Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190423112442
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,1969,1391,673,627,593,0,527,541,560,0,597,582,563,562,1729,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,62,62,6,6,124,124,6,6,6,6,31,31,49,49,6,6,44,44,6,6,15,15,6,6,6,6,6,6,112,112,7,7,6,6,15,15,7,7,6,6,7,7,6,6,6,6,24,24,15,15,6,6,62,62,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,6,6,124,124,6,6,12,12,24,24,6,6,31,31,6,6,15,15,15,15,49,49,7,7,31,31,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,1.00,1.00,1.00,80.57,100.00,100.00,100.00,12.96,31.42,27.86,45.30,100.00,100.00,14.64,1.00,1.23,3.14,6.02,73.08,2.56,3.56,1.16,16.14,2.13,32.07,100.00,1.00,7.51,8.74,2.28,56.82,9.01,7.35,2.49,96.85,5.01,100.00,3.91,4.65,4.33,7.04,4.24,4.43,3.30,4.78,2.88,4.04,1.00,1.00,5.41,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,41.20,65.88,100.00,1.00,77.89,100.00,100.00,1.00,96.37,100.00,7.55,13.34,17.42,42.42,100.00,100.00,1.00,1.00,1.74,2.88,1.33,32.05,1.17,21.08,56.95,69.57,3.76,4.38,1.16,26.72,1.45,36.65,2.05,3.15,3.78,4.24,2.48,2.86,1.98,5.49,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/04/23 11:24:47
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,1.30314851,0.00000000,0.35219350,0.95429432,-0.73309386,-0.50820684,0.14335720,0.13811129,-0.35173064,-0.07829826,-0.04365704,0.03905078,-0.36812556,-1.75418890,-0.11999687,-0.80165941,-0.22597739,-1.07015932,2.26759100,-0.00326024,0.20190205,0.04478298,0.10673191,0.13534842,0.00000000,0.63032013,0.00000000,1.51755404,0.00000000,2.43882394,-0.02513088,0.00000000,-0.55893672,0,11:24:56.1,0,0
2,0.00000000,-0.92886788,0.00000000,-0.44911778,-0.62932295,-0.16234864,-0.37686220,-1.20501018,-0.06493431,-0.35173064,-0.27971548,-0.05730484,0.08164632,0.12865624,-1.72259021,-0.23424087,0.20369087,-0.20722647,0.04822310,2.98632932,0.02846536,0.35814390,0.13246243,0.15343973,0.17567681,0.00000000,0.78160250,0.00000000,0.16918667,0.00000000,0.85520661,0.35620293,0.00000000,0.78936183,0,11:24:56.2,0,0
3,0.00000000,-5.59279585,0.00000000,-0.94857025,-3.09633279,-0.66030544,-1.78057504,1.10002482,-0.68958330,-0.34701893,-0.02862236,-0.12498473,-0.01743452,-0.08825553,-1.50795484,-0.19209906,-0.27210498,-0.24700509,0.68198943,-3.08412957,0.05701431,0.12312502,0.00263323,0.11284123,0.11295035,-23.18701553,0.65750313,0.00000000,-0.71429133,0.00000000,-0.41997108,-0.53204477,-5.92059660,-1.44729149,0,11:24:56.3,0,0
4,-1.73581326,-3.74068713,0.00000000,-0.33649680,-0.50915766,0.32351670,0.26776078,-0.50501364,-0.19480675,-0.37042239,-0.27971548,-0.09442657,0.06378936,0.08232281,-1.62879300,-0.14486271,0.08888750,-0.13243249,0.87239772,-0.77940422,0.06257902,0.11971158,-0.00818077,0.23619445,0.31359062,0.00000000,0.80490690,0.00000000,0.16918667,0.00000000,0.58367223,0.72981054,0.00000000,1.02264845,0,11:24:56.4,0,0
5,2.07930779,-0.92886788,0.00000000,-0.44911778,-0.62932295,-0.18476360,-0.50414848,-1.85338104,-0.50868130,-0.36572626,-0.51876920,-0.13585868,-0.07008487,-0.01509103,-1.59798014,-0.22729953,-0.09191196,-0.24693322,-0.47590104,-3.03943110,-0.00569604,0.18232574,0.05492893,-0.07992596,0.00531060,0.00000000,0.60774177,0.00000000,1.51755404,0.00000000,-1.37663877,-0.19374378,0.00000000,0.01718175,0,11:24:56.5,0,0
6,0.00000000,-3.74068713,0.00000000,-0.78055257,-1.51280093,-0.12755844,-0.67754668,0.14335720,0.13811129,-0.34033468,-0.07829826,-0.13585868,-0.07450894,0.36138570,-1.56782520,0.03328218,0.69066972,-0.14946714,0.05700229,-3.12841344,0.06853458,0.13878463,-0.03752458,0.08205043,0.14191626,0.00000000,0.75380123,0.00000000,1.68009508,0.00000000,-1.72136283,0.69781321,0.00000000,2.38345075,0,11:24:56.6,0,0
7,0.00000000,-0.92886788,0.00000000,-0.00506202,-0.62932295,-0.65890652,-1.44919419,-0.46994364,-0.26075619,-0.34503081,-0.10294360,-0.10434359,0.11873330,-0.02396190,-1.65950882,-0.22729953,-0.27210498,-0.22859630,0.47126836,0.03140328,0.02301083,0.04225163,-0.06608074,-0.05610099,0.06764101,0.00000000,0.50949401,0.00000000,1.51755404,0.00000000,2.43882394,-0.75448930,0.00000000,-3.80353832,0,11:24:56.7,0,0
8,0.00000000,-2.51248527,0.00000000,-0.00506202,-0.62932295,-0.09004927,-0.65111405,0.14335720,-0.26075619,-0.35348481,-0.05349063,-0.06485175,0.09949741,0.24372247,-1.75418890,-0.14486271,0.50487137,-0.16723053,-0.20929125,2.31228948,0.02846536,0.27895898,0.03855165,0.22897156,0.25943238,0.00000000,0.75380123,0.00000000,1.51755404,0.00000000,-1.72136283,-0.53892928,0.00000000,-0.54027116,0,11:24:56.8,0,0
9,0.00000000,-0.92886788,0.00000000,-0.60442251,-1.80976188,-0.29980496,-0.57985282,0.45165396,0.28097171,-0.35348481,-0.00364124,-0.06105466,0.10392147,-0.06141422,-1.65950882,-0.09400992,-0.05135991,-0.24489537,-1.03934383,-0.71221966,0.01817913,0.23820679,0.06114836,0.00656852,0.07587282,0.00000000,0.73071176,0.00000000,3.74948835,0.00000000,1.01774764,0.43096715,0.00000000,2.92790246,0,11:24:56.9,0,0
10,-1.73581326,5.11826992,0.00000000,0.69548237,0.88158548,0.15293913,0.16070233,0.14335720,0.20904863,-0.37678909,-0.00364124,-0.10251709,-0.04090903,0.22674540,-1.91809857,0.05764456,0.44415355,-0.14610177,0.07903849,0.68139768,0.08002838,0.27981490,0.10832077,0.16133642,0.18831879,0.00000000,1.19670677,0.00000000,1.68009508,0.00000000,-1.21426868,0.63661391,0.00000000,-0.84529430,0,11:24:57.0,0,0
11,2.07930779,-3.74068713,0.00000000,-0.33649680,-1.51280093,-0.20234750,-0.95601636,0.14335720,-0.57099605,-0.35990274,0.02150592,-0.07186687,0.07286283,0.34348774,-1.59798014,-0.13607313,0.65909719,-0.24686097,0.28691840,0.23210621,0.07301074,0.22281857,0.06851283,0.16251251,0.19024134,0.00000000,0.75380123,0.00000000,1.51755404,0.00000000,0.85520661,-0.19374378,0.00000000,-0.98795611,0,11:24:57.1,0,0
12,0.00000000,-3.74068713,0.00000000,-1.29311275,-2.81340528,0.03911722,-0.23307888,0.14335720,0.00341803,-0.35333017,0.02150592,-0.07091886,-0.07450894,0.01166350,-2.05513024,-0.23735426,-0.04231359,-0.12773587,0.52399719,-2.99436665,0.07301074,0.26063165,0.07311065,0.19565977,0.23993082,0.00000000,0.75380123,0.00000000,-2.13553882,0.00000000,-1.37663877,-0.83696985,-8.64903545,-1.27690434,0,11:24:57.2,0,0
13,0.00000000,-0.92886788,0.00000000,0.35219350,-0.62932295,0.06670136,-0.28198329,0.14335720,-0.12800260,-0.34494713,-0.00364124,-0.04921432,0.05930630,-0.02997056,-1.95162022,-0.07141842,-0.01960491,-0.08274630,-0.67749572,-2.90317273,0.10195954,0.32133818,0.10493688,0.19624786,0.20863095,0.00000000,0.80490690,0.00000000,1.68009508,0.00000000,3.32247305,0.14088114,0.00000000,6.75225544,0,11:24:57.3,0,0
14,0.00000000,-0.92886788,0.00000000,-0.60442251,-2.93404841,-0.10687360,-0.22549422,1.10002482,0.20904863,-0.33935949,-0.00364124,-0.07995739,0.01671076,0.21776587,-1.88449895,-0.05794422,0.14322080,-0.18581611,-0.13431780,0.23210621,0.08002838,0.22193006,0.04403516,0.18676107,0.19574524,0.00000000,1.00945747,0.00000000,-2.13553882,0.00000000,-0.49316075,-1.37342954,0.00000000,-2.00923491,0,11:24:57.4,0,0
15,0.00000000,5.11826992,0.00000000,0.18292215,4.69670630,0.17932215,-0.10751130,0.14335720,-0.32163212,-0.35990274,-0.05349063,-0.01565594,0.09059689,-0.16386501,-1.88449895,-0.18784358,-0.39395016,-0.04155347,-0.36532876,-2.94898677,0.13248199,0.26063165,0.10493688,-0.02875304,0.06422960,0.00000000,0.70316577,0.00000000,-0.55192143,0.00000000,-2.79788589,-0.40724716,0.00000000,-4.66084528,0,11:24:57.5,0,0
16,0.00000000,-0.92886788,0.00000000,-0.09186227,-0.62932295,0.38638151,0.40463224,0.14335720,0.28097171,-0.35522687,-0.07829826,-0.04365704,-0.04324355,-0.26011583,-1.75418890,-0.16346565,-0.38032484,-0.16402198,-1.35947919,0.25481459,0.04410857,0.28326192,0.08669456,0.00437429,0.09260472,0.00000000,0.83302641,0.00000000,1.75280392,0.00000000,-1.72136283,-0.90881974,0.00000000,-3.36204433,0,11:24:57.6,0,0
17,0.00000000,-0.92886788,0.00000000,-0.44911778,-0.62932295,-0.01127765,-0.28198329,0.14335720,0.00341803,-0.35522687,0.08699868,-0.10251709,0.04355208,-0.16386501,-1.78649104,-0.13926512,0.12051212,-0.30568007,-0.72177964,-0.71221966,-0.00143646,0.20064403,0.03855165,-0.06042581,0.02185235,0.00000000,0.63032013,0.00000000,1.51755404,0.00000000,1.81187427,0.54852921,0.00000000,2.52019572,0,11:24:57.7,0,0
18,0.00000000,-2.51248527,0.00000000,0.74387610,-0.50915766,0.08105134,-0.80327535,0.14335720,-0.06493431,-0.35522687,-0.27971548,-0.10608200,0.09059689,0.17745464,-1.44878161,-0.13738389,0.40336740,-0.34323528,-0.45395270,2.33477569,0.00452750,0.27983800,0.07948491,0.08678593,0.16458352,0.00000000,1.00945747,0.00000000,0.16918667,0.00000000,0.58367223,-0.19374378,-2.10547495,-0.22986260,0,11:24:57.8,0,0
19,2.07930779,-0.92886788,0.00000000,-0.44911778,-0.62932295,0.24380884,-0.32251129,0.14335720,-0.62855327,-0.36918536,-0.10294360,-0.16069938,-0.09644923,-0.12376840,-1.47823656,-0.25794274,-0.09191196,-0.22895244,0.70393777,-3.10628867,0.03555689,0.10383063,-0.01523864,0.05404996,0.18150999,0.00000000,0.53614032,0.00000000,-3.36374092,0.00000000,-0.41997108,-0.24353771,-2.10547495,-0.21978274,0,11:24:57.9,0,0
