Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190416110734
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,673,627,693,0,557,559,575,0,582,574,603,586,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,124,124,6,6,6,6,44,44,31,31,15,15,44,44,7,7,124,124,6,6,6,6,6,6,15,15,6,6,6,6,7,7,6,6,7,7,7,7,6,6,6,6,24,24,15,15,6,6,72,72,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,31,31,7,7,62,62,120,120,6,6,7,7,7,7,6,6,12,12,6,6,7,7,15,15,31,31,6,6,24,24,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,12.65,27.83,15.07,100.00,1.89,6.34,35.73,1.00,1.57,3.50,6.67,17.42,1.92,2.68,1.42,21.05,2.64,44.48,5.41,8.01,3.66,6.86,2.33,60.64,5.29,7.06,2.63,98.50,2.75,100.00,5.70,6.08,3.09,4.79,2.35,4.00,4.00,5.25,2.91,6.31,1.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,85.18,100.00,31.23,57.48,100.00,100.00,88.00,100.00,100.00,1.00,66.60,100.00,4.46,13.36,3.57,9.31,1.29,5.47,1.00,1.00,2.48,4.08,2.36,55.50,1.51,32.75,14.96,30.90,3.00,4.89,1.44,37.86,1.45,30.86,2.56,3.67,3.25,4.81,1.89,3.50,9.44,24.56,1.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,1.00

Measurement Information
Date,2019/04/16 11:07:40
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,2.57581615,0.19281644,0.56624573,1.54724252,0.66690648,1.92918408,-0.32003921,-0.41760689,-0.51691097,-4.21823454,-0.53420705,0.11509647,-0.40070927,-0.61896914,-0.51710582,-0.15905650,-0.57152349,0.04891595,0.16542834,-0.36103624,-0.32690787,-0.08479604,-0.38874394,-0.11761712,0.00000000,0.00000000,0.00000000,0.42615107,0.00000000,0.01471887,1.00361192,0.03152120,2.47015762,0,11:07:49.1,0,0
2,0.00000000,-1.23981750,-0.44108760,0.43043509,0.31904042,0.61493003,1.72977436,-0.30366498,-0.97919679,-0.51691097,-3.86670923,-0.55248505,-0.04884890,0.03424495,-0.61338592,-0.38831851,0.21297604,-0.53506488,1.04551494,0.98754168,-0.32975677,-0.31364301,-0.06379850,-0.34312692,-0.08191196,0.00000000,0.00000000,0.00000000,1.88960302,0.00000000,0.26242661,0.69179618,0.45810196,1.62562394,0,11:07:49.2,0,0
3,0.00000000,-1.23981750,0.19281644,-1.43038917,-3.33405232,0.17703117,0.14803037,-0.28458387,0.05150776,-0.51144540,-3.25859118,-0.49739045,0.17338145,0.06990146,-0.57286566,-0.38831851,0.21297604,-0.46522400,0.86568946,1.00116670,-0.23399396,-0.30034673,-0.06271893,-0.43123868,-0.17682093,0.00000000,0.00000000,0.00000000,1.88960302,0.00000000,0.26242661,-0.06077155,1.61513829,0.41010338,0,11:07:49.3,0,0
4,0.00000000,0.34379974,-0.38713455,0.56624573,1.54724252,-0.11611780,-3.95749521,-0.27252758,0.74137866,-0.48804197,-2.63352633,-0.46489653,0.25984520,-0.19229947,-0.45949835,-0.43747336,-0.15905650,-0.62085843,-0.30166611,0.60948408,-0.40283796,-0.30050710,-0.05191673,-0.28503922,-0.05186559,0.00000000,0.00000000,0.00000000,6.38763332,0.00000000,0.53623062,1.45931470,0.00000000,3.62042308,0,11:07:49.4,0,0
5,0.00000000,-4.32012844,0.02906391,-0.70906931,-0.56950665,0.56671059,2.74416971,-0.27107295,-1.61418092,-0.48998469,-2.97897005,-0.48247150,0.15108830,0.42192248,-0.54146302,-0.36457592,0.52301508,-0.50168264,0.36193219,1.00116670,-0.28100786,-0.30034673,-0.06003441,-0.40153968,-0.10690922,0.00000000,0.00000000,0.00000000,0.42615107,0.00000000,0.35177252,-0.12197540,1.61513829,0.33295482,0,11:07:49.5,0,0
6,0.00000000,0.00000000,0.31142288,3.15342069,7.82962990,0.87515491,-2.44171810,-0.25455639,3.86697054,-0.48526084,-2.56854486,-0.46735770,0.01878442,-0.42484203,-0.49227282,-0.45870230,-0.74363428,-0.50508308,-0.24432321,0.19289392,-0.30231696,-0.28012392,-0.06240226,-0.22155155,-0.08545760,0.00000000,0.00000000,0.00000000,6.38763332,0.00000000,-0.84506309,0.81405944,0.00000000,14.89825535,0,11:07:49.6,0,0
7,0.00000000,0.34379974,-0.30548850,-0.68842882,-3.33405232,0.35992002,0.36301574,-0.25455639,0.74137866,-0.48439246,-2.59299374,-0.49908444,0.03209126,0.24179500,-0.58248353,-0.35239410,0.24434282,-0.49804464,-0.23098375,0.63694966,-0.28635582,-0.30046031,-0.06191710,-0.51036704,-0.25228667,0.00000000,0.00000000,0.00000000,1.88960302,0.00000000,0.12901856,-0.08413744,0.45810196,-0.70876056,0,11:07:49.7,0,0
8,0.00000000,2.57581615,-0.69717115,1.30131233,3.13085985,-0.47326881,0.84158945,-0.25455639,2.44447923,-0.49379405,-2.19509196,-0.52227706,-0.08198797,0.34374258,-0.60796624,-0.33457640,0.56330305,-0.53854579,0.03571654,0.63694966,-0.34493378,-0.28709930,-0.05191673,-0.33708814,-0.12269811,0.00000000,0.00000000,0.00000000,5.63201475,0.00000000,0.12901856,0.66388315,4.27322340,-1.01668787,0,11:07:49.8,0,0
9,0.00000000,2.57581615,0.19281644,0.69500852,1.78249240,0.50543481,0.72589624,-0.28904417,0.55941820,-0.47585922,-2.85812783,-0.49075058,0.02753811,0.43538135,-0.51910573,-0.35962242,0.54087198,-0.48340318,0.33978972,-0.28290761,-0.21233326,-0.26927093,-0.04078570,-0.34188712,-0.13450651,0.00000000,0.00000000,0.00000000,1.88960302,0.00000000,0.64157879,0.23477386,7.66227579,0.78988558,0,11:07:49.9,0,0
10,0.00000000,0.34379974,-0.10477559,-2.38705683,-0.62588292,0.41896296,-0.09816843,-0.24590577,0.21254762,-0.48998469,-2.64775109,-0.50926930,-0.05382007,0.11939357,-0.60316861,-0.35305351,0.24434282,-0.58340538,0.03571654,1.03779888,-0.31873053,-0.28709930,-0.04261562,-0.52641577,-0.26146647,0.00000000,0.00000000,0.00000000,0.34049582,0.00000000,0.26242661,0.71556157,0.45810196,2.11740422,0,11:07:50.0,0,0
11,0.00000000,2.57581615,0.19281644,-0.04695177,-0.52223295,-0.94346052,0.92406940,-0.28458387,2.20465064,-0.48998469,-3.23651576,-0.50926930,-0.06728905,-0.19229947,-0.58122766,-0.48307577,-0.53659683,-0.64862704,-0.65389508,-1.63117170,-0.40849763,-0.31131929,-0.07429095,-0.42981434,-0.24227938,0.00000000,0.00000000,0.00000000,1.81689417,0.00000000,0.64157879,0.14100730,4.27322340,1.78785646,0,11:07:50.1,0,0
12,0.00000000,2.57581615,0.19281644,1.07880592,2.50391006,0.08789758,0.93648672,-0.32152355,-1.37098348,-0.49851793,-3.61934233,-0.54879737,0.11067241,0.60102016,-0.68528634,-0.37854978,0.81171584,-0.55324405,0.81720352,0.59585905,-0.31421062,-0.35312262,-0.09592415,-0.39300153,-0.17094149,0.00000000,0.00000000,0.00000000,1.88960302,0.00000000,0.64157879,0.00277817,0.45810196,0.35035443,0,11:07:50.2,0,0
13,0.00000000,0.34379974,0.10981794,1.07880592,2.50391006,0.61395818,1.99791968,-0.27252758,-0.97919679,-0.47118145,-3.23149204,-0.53789842,0.08796871,0.02536688,-0.67992049,-0.49470130,-0.16794202,-0.54392320,1.27439511,0.63694966,-0.29621837,-0.32690787,-0.06003441,-0.49560872,-0.22558890,0.00000000,0.00000000,0.00000000,-0.92221636,0.00000000,0.26242661,-0.42378083,-1.77391446,-0.05535257,0,11:07:50.3,0,0
14,0.00000000,-2.46801949,-0.10477559,-0.14948167,-1.53306818,-0.12422287,0.10066388,-0.26357704,-0.56145298,-0.46078795,-2.32453203,-0.49908444,0.07624049,-0.16990487,-0.63438040,-0.46620989,0.02187266,-0.58340538,0.02686224,1.05160618,-0.34493378,-0.26927093,-0.04261562,-0.28964174,-0.03013656,0.00000000,0.00000000,0.00000000,1.65435314,0.00000000,-0.09228322,0.79482853,0.03152120,2.25556397,0,11:07:50.4,0,0
15,0.00000000,0.34379974,0.19281644,-0.08212511,1.54724252,-0.52469999,0.36630556,-0.29818049,1.11900282,-0.46747893,-2.78719544,-0.47211182,0.10796887,0.25082615,-0.45125234,-0.33579808,0.41663292,-0.47914723,-0.56092680,0.25278082,-0.21083803,-0.25583389,-0.02035648,-0.24935779,-0.12388150,0.00000000,0.00000000,0.00000000,1.81689417,0.00000000,0.12901856,0.71455473,0.00000000,2.75144053,0,11:07:50.5,0,0
16,0.00000000,2.57581615,0.96698147,1.30131233,3.13085985,0.33143827,-0.62241954,-0.27107295,1.11900282,-0.48161885,-2.35434389,-0.49437094,-0.05926069,-0.18336375,-0.51910573,-0.44919530,0.02187266,-0.53169644,0.08439789,1.07926774,-0.28635582,-0.25577182,-0.01946670,-0.33161241,-0.13312821,0.00000000,0.00000000,0.00000000,2.57251239,0.00000000,-0.07007313,-0.11589819,4.27322340,-0.10245681,0,11:07:50.6,0,0
17,0.00000000,-1.23981750,0.72053754,-0.04005802,-1.02932703,0.53223950,0.83883721,-0.25455639,-0.70556092,-0.47023031,-2.56854486,-0.50276083,-0.13377757,-0.15641300,-0.60266340,-0.44810149,0.20405482,-0.52006310,0.07105842,0.67370838,-0.28100786,-0.25588381,-0.02782878,-0.45734194,-0.23260081,0.00000000,0.00000000,0.00000000,-1.99873960,0.00000000,0.12901856,-0.31684762,4.27322340,-1.17344332,0,11:07:50.7,0,0
18,0.00000000,-1.23981750,0.03158448,-0.08212511,-0.68460286,0.21194403,0.86819619,-0.24439374,-1.11294544,-0.47118145,-2.47896910,-0.50926930,0.07624049,-0.16990487,-0.61338592,-0.43642643,-0.13675264,-0.55324405,1.24807930,1.05160618,-0.35555828,-0.26927093,-0.03148460,-0.34758377,-0.12774530,0.00000000,0.00000000,0.00000000,0.30598572,0.00000000,-0.94189709,0.00241383,-4.58573389,0.09427776,0,11:07:50.8,0,0
19,0.00000000,0.34379974,0.19281644,-0.68842882,-1.02932703,0.71001953,1.32177198,-0.27252758,1.32079470,-0.48439246,-2.47896910,-0.53239524,-0.04026188,0.56577981,-0.65440643,-0.30175135,0.86099106,-0.56481981,-0.22209132,-0.86608309,-0.34493378,-0.29349095,-0.05191673,-0.37204719,-0.13764806,0.00000000,0.00000000,0.00000000,2.57251239,0.00000000,0.12901856,-0.02717047,0.45810196,-1.17905784,0,11:07:50.9,0,0
