Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20190423105640
Experiment Comment,

Subject Information
ID,
Name,
Measurement Comment,
Age,   y
Sex,None

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,OFF
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,0,2000,1409,2000,1409,678,630,563,0,532,544,550,0,547,553,553,556,2000,0,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,31,31,6,6,72,72,6,6,6,6,15,15,15,15,98,98,31,31,6,6,6,6,6,6,22,22,6,6,60,60,6,6,6,6,14,14,12,12,6,6,14,14,6,6,6,6,44,44,24,24,6,6,44,44,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,47,47,72,72,112,112,6,6,24,24,6,6,6,6,56,56,15,15,31,31,150,150,6,6,15,15,31,31,6,6,6,6,6,6,6,6,6,6
Digital Gain,83.37,1.00,100.00,1.00,13.95,17.28,100.00,100.00,100.00,100.00,4.65,12.42,3.41,9.33,10.36,10.33,7.82,28.81,1.28,3.37,10.57,100.00,2.66,3.56,1.49,24.39,6.94,100.00,6.37,6.94,15.63,20.12,4.27,100.00,9.03,7.62,3.06,100.00,8.37,1.00,8.49,6.17,29.69,28.92,10.73,10.50,5.43,4.43,4.15,4.95,100.00,100.00,2.68,1.00,1.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,50.38,62.13,68.93,100.00,14.47,34.20,100.00,1.00,100.00,100.00,7.55,18.95,6.08,21.24,3.76,10.73,100.00,1.00,1.65,2.81,1.66,75.44,12.21,100.00,100.00,100.00,3.22,3.81,1.62,100.00,1.37,28.57,100.00,100.00,46.52,42.02,2.85,2.74,3.03,6.63,25.95,1.00,100.00,1.00,100.00,1.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/04/23 10:56:45
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.31964943,-2.16040111,1.08486569,-0.88578343,-2.06227732,-0.02552988,-0.19289611,-1.27785873,-0.81329167,-0.57757992,0.30699998,-0.26361388,0.03338664,-2.12956643,1.23046386,-0.60040170,-5.39617300,-0.44778764,0.10883462,2.32851195,-0.26363751,-0.25020108,-0.00117066,-0.13780729,0.09418350,0.00000000,1.03037250,0.00000000,-1.68192720,3.79945183,-1.46694326,-1.55536783,-0.80084890,-1.43056309,0,10:56:54.1,0,0
2,-0.53048086,0.65141839,1.15524900,0.63042003,0.13455518,0.12714326,-0.09870870,-1.27785873,-0.33285499,-0.55537373,0.35159263,-0.27098724,0.01993254,-0.36273998,1.31504309,-0.48704293,-0.80234003,-0.42909721,0.11991873,-0.02454553,-0.12919335,-0.73336685,-0.22794749,-0.42277563,-0.13971071,0.00000000,0.85077333,0.00000000,0.00000000,2.57124972,-0.11857589,-0.47444153,0.19149850,-0.72917920,0,10:56:54.2,0,0
3,-0.11925683,-0.93219888,1.29877448,-1.01310813,-3.51853752,-0.06726255,-0.22716390,-1.27785873,-0.69577038,-0.56247509,0.35159263,-0.26089352,0.24214819,0.47845349,1.26178753,-0.14453559,0.28888452,-0.65528971,0.04261125,0.04417035,-0.32899410,-0.32040140,-0.06548469,-0.06871348,0.03864092,0.00000000,0.95786655,0.00000000,0.00000000,2.57124972,-1.46694326,-0.13495226,0.19149850,-0.81368929,0,10:56:54.3,0,0
4,-0.53048086,-2.16040111,1.05468619,-1.49208713,-4.36700296,0.02786361,-0.14070167,-1.27785873,-0.58226132,-0.59078777,0.26276571,-0.32154563,-0.04081202,0.25330696,1.00980139,-0.53598982,-0.11229686,-0.78067058,0.00975104,0.04450926,-0.47726357,0.18550879,0.05782717,-0.18911438,0.00872235,0.00000000,0.87602955,0.00000000,0.00000000,2.57124972,1.46504140,-1.26644063,0.19149850,-0.63128340,0,10:56:54.4,0,0
5,-0.90868223,2.88343477,0.96400756,0.09147293,-2.51489425,0.05643694,-0.14070167,-1.27785873,-0.39149070,-0.60885596,0.22283199,-0.37063512,-0.18138538,-0.51356846,0.98170358,-0.66041726,-0.47855994,-0.21264254,3.13390756,0.21888673,0.04380105,0.45643067,0.22816838,-0.50084698,-0.05025152,0.00000000,0.81049120,0.00000000,-1.68192720,2.57124972,0.11667398,-0.58656710,-0.80084890,-0.55210835,0,10:56:54.5,0,0
6,-0.53048086,0.65141839,1.16770327,-0.48844385,-0.21016890,0.02786361,-0.12602410,-1.27785873,-0.41171291,-0.56626701,0.26276571,-0.32276797,-0.01355809,0.54313940,1.13821828,-0.38073641,0.79608673,-0.38616046,1.51565123,2.39666152,-0.16150101,-0.08154593,0.01696531,-0.24409428,-0.09585890,0.00000000,0.87602955,0.00000000,0.00000000,3.79945183,0.11667398,-0.50096273,-0.80084890,-0.53109199,0,10:56:54.6,0,0
7,-0.11925683,-0.93219888,1.19821155,-0.88578343,-0.71390998,-0.14563845,-0.28166667,-1.27785873,-1.02029586,-0.55916566,0.09701400,-0.19942355,0.20832402,-0.48871547,1.51851678,-0.71459162,-0.89000928,-0.44569844,-3.80292535,0.04450926,-0.13659860,-0.10354095,0.00664571,-0.33821097,-0.05451667,0.00000000,1.04087377,0.00000000,0.00000000,1.56760657,-1.34677792,-0.30757847,-0.14279638,-0.69110620,0,10:56:54.7,0,0
8,-0.90868223,-2.16040111,1.14823663,0.07083248,0.98471802,0.17311703,0.00314012,-1.27785873,0.00779406,-0.54594809,0.17926569,-0.32363814,0.56241447,1.18508017,1.05826998,-0.28786972,1.60069644,-0.77765530,-3.92352152,0.11232003,-0.48321059,-0.00825014,0.04345503,-0.61396754,-0.16089039,-4.62227821,0.44681084,-15.10749435,-0.93273914,-0.01592516,-3.19888663,-0.84268284,-0.45794618,-0.02567805,0,10:56:54.8,0,0
9,-0.90868223,6.69855595,1.22142768,2.30276346,3.32306814,0.04609652,-0.13534717,-1.27785873,-0.50286198,-0.56065100,0.22283199,-0.28348061,0.09681947,-0.70282912,1.18167269,-0.69386280,-1.79499376,-0.82381481,0.00975104,-0.15610021,-0.41352260,-0.73528439,-0.14017284,-0.20134185,-0.04459069,0.00000000,0.93216962,0.00000000,0.00000000,2.57124972,0.11667398,1.23958254,-0.05888853,0.06165111,0,10:56:54.9,0,0
10,-0.90868223,0.65141839,1.05468619,0.11785986,-1.21381223,0.08153128,-0.11338626,-1.27785873,-0.45326164,-0.55493087,0.13993104,-0.27353188,0.03640070,-1.42038345,1.27686381,-0.79915673,-2.41722870,-0.44150832,1.51565123,-0.09269521,-0.18538143,-0.61709929,-0.16707177,-0.27090937,0.02765390,-8.88618660,0.87602955,0.00000000,-5.49704838,3.79945183,0.11667398,-0.30757847,-0.05888853,-0.25260276,0,10:56:55.0,0,0
11,-0.53048086,-3.16404438,0.98430288,-0.81378704,-1.44897652,0.09577634,-0.05643067,-1.27785873,-0.19442154,-0.52709067,0.26276571,-0.31962982,0.00914677,0.61991113,1.01943719,-0.50842571,0.97089618,-0.46307027,-3.82502866,5.34777546,-0.12550963,-0.10369730,0.07697561,-0.43542629,-0.06244010,0.00000000,0.82051837,0.00000000,-5.49704838,1.56760657,-2.69514537,-0.58656710,-1.49106050,-0.55210835,0,10:56:55.1,0,0
12,0.31964943,-0.93219888,1.24741089,-0.40680444,-2.06227732,0.17704196,-0.02216288,-1.27785873,-0.11157148,-0.53084868,0.17926569,-0.29097572,-0.17947990,-0.09659415,1.25494921,-0.38174593,-0.02806663,-0.36577219,1.52669215,0.04450926,-0.10595037,-0.23320265,0.05202419,-0.12217747,0.00324727,0.00000000,0.99918139,0.00000000,0.00000000,3.79945183,1.46504140,-1.82411957,0.54741514,-1.64773929,0,10:56:55.2,0,0
13,-0.90868223,-0.93219888,0.98430288,0.10575575,0.13455518,0.05080599,-0.08328030,-1.27785873,-0.43242142,-0.52381134,0.13993104,-0.33089995,0.29688385,0.69447058,1.00980139,-0.27959770,1.02252758,-0.64839536,-1.59704041,4.70159292,-0.31204984,0.07151038,0.11702426,-0.57839131,-0.13926822,0.00000000,0.62324196,0.00000000,-0.77019870,1.56760657,-1.34677792,-2.04768705,-0.41480520,-1.21535385,0,10:56:55.3,0,0
14,-0.11925683,-0.93219888,1.10388553,-1.01310813,-2.06227732,-0.04184303,-0.20639677,-1.27785873,-0.73389232,-0.53651631,0.22283199,-0.32837829,-0.42347616,-1.49494290,1.05678344,-0.96719289,-3.21072006,-0.55967021,0.06458209,0.21888673,-0.24098985,0.92812055,0.32347688,-0.00057326,0.19062112,0.00000000,1.07230246,0.00000000,0.00000000,3.79945183,-2.18805122,1.22230005,-0.05888853,-0.42240015,0,10:56:55.4,0,0
15,-0.11925683,-2.16040111,1.10388553,-1.32634723,-1.44897652,0.08673085,-0.07840023,-1.27785873,-0.36800367,-0.52889848,0.09701400,-0.31223992,0.20706674,0.44304746,1.05110312,-0.53598982,0.16895391,-0.73195595,0.00975104,0.07732251,-0.44357765,0.03385206,0.09772801,-0.59292465,-0.22935808,-8.88618660,0.66211140,-11.32611561,-7.72906494,0.71914136,-2.35042143,-2.01515412,-0.45794618,-1.28846574,0,10:56:55.5,0,0
16,-0.11925683,0.65141839,0.98430288,1.07447577,1.09122276,0.18025702,-0.03449033,-1.27785873,-0.14105086,-0.47821492,0.17926569,-0.25839320,0.45756808,1.16033888,1.13399887,-0.59050721,1.36766255,-0.74166977,-0.28122926,0.04450926,-0.40550023,-0.02686453,0.07892313,-0.35902345,-0.01113026,-4.69498682,0.81049120,-11.32611561,-0.69748968,2.57124972,-0.11857589,0.59510618,-0.41480520,0.06257383,0,10:56:55.6,0,0
17,-0.53048086,2.88343477,1.22142768,0.73984373,1.01803315,-0.09970909,-0.21748078,-1.27785873,-0.97782433,-0.50229591,0.13993104,-0.21465050,-0.03293102,0.82102591,1.63433599,-0.12178740,0.81212157,-0.30850720,-0.16091794,0.28448984,-0.04179557,0.46612266,0.19081868,0.44550270,0.40471494,0.00000000,1.24315727,0.00000000,0.00000000,5.38306952,0.04396527,0.27663156,-0.97436255,-1.69918180,0,10:56:55.7,0,0
18,1.32540691,0.65141839,1.27428818,0.10575575,0.13455518,0.19525960,-0.00043419,-1.27785873,0.02466003,-0.48146307,0.09701400,-0.21465050,-0.10278075,0.35385597,1.26397026,-0.40759256,0.25662318,-0.47896367,-0.22687644,0.14880590,-0.18538143,0.06349522,0.06737094,-0.16218919,0.12236735,0.00000000,1.08281863,0.00000000,-1.68192720,1.56760657,-2.69514537,-1.45772672,0.19149850,-0.75156236,0,10:56:55.8,0,0
19,0.79660845,-0.93219888,1.19821155,-0.88578343,-2.06227732,0.13170120,-0.04926532,-1.27785873,-0.20862541,-0.48525226,0.05826068,-0.22389728,0.38048744,-0.75310284,1.18813658,-0.72679985,-1.31429839,-0.72894764,-0.01200247,4.77064800,-0.46413216,0.40075028,0.13432558,-0.29515913,-0.03164130,-8.88618660,0.97329128,0.00000000,-5.49704838,3.79945183,-0.11857589,-1.02397895,0.54741514,-0.63313222,0,10:56:55.9,0,0
