Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191018113244
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1085,870,1622,1187,776,688,932,780,966,800,753,674,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,124,124,6,6,6,6,44,44,49,49,72,72,31,31,6,6,6,6,6,6,6,6,7,7,7,7,15,15,6,6,6,6,6,6,7,7,6,6,7,7,6,6,6,6,7,7,49,49,15,15,98,98,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,56,56,62,62,31,31,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,12.25,20.58,79.85,1.00,2.49,3.73,38.82,100.00,1.82,3.40,1.38,3.90,1.99,2.26,2.14,4.59,2.97,8.89,2.55,3.64,4.38,10.95,1.93,6.99,2.28,3.48,2.33,5.54,1.77,5.15,2.61,2.84,2.30,4.34,1.65,4.20,2.79,3.52,2.23,5.44,2.27,9.56,3.05,4.29,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,83.23,100.00,1.00,1.00,1.00,1.00,86.15,100.00,72.28,100.00,8.58,14.99,10.72,52.37,1.95,10.05,2.20,4.05,1.41,1.96,1.30,1.84,1.04,3.29,15.50,38.87,1.69,2.76,1.88,1.97,1.77,2.10,8.27,7.96,3.26,4.60,3.02,3.59,1.89,1.91,100.00,41.14,100.00,100.00,100.00,1.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/18 11:32:50
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.15889904,0.12243353,1.25308549,0.16336060,1.08866978,-0.06409904,-0.03143242,-0.72839993,-0.62257266,-0.04468185,-0.01716702,-0.00203510,0.04635343,-0.00435693,0.24354872,0.02374405,0.03744467,-0.04808078,0.05865364,0.03149690,0.15502937,-0.13891800,-0.16558746,-0.08127193,-0.05101576,-0.18405767,-0.20973769,-0.47869173,1.82996893,-1.59894466,0.35474992,-0.46008098,0.00000000,0.34389132,0,11:32:59.1,0,0
2,-0.16242057,0.14536685,1.23494315,0.17911977,1.10183108,-0.06178857,0.01142489,-0.73846525,-0.60119939,-0.04474403,-0.01780717,0.00133273,0.04757302,-0.00412354,0.24475561,0.02606506,0.03755395,-0.04838647,0.05938054,0.03148153,0.15528451,-0.13829751,-0.16475204,-0.08037993,-0.05189575,-0.20259821,-0.21580729,-0.60405934,1.81315064,-1.62733018,0.23156750,-0.39589950,0.00000000,-0.28565332,0,11:32:59.2,0,0
3,-0.16899037,0.16985422,1.20324540,0.19836865,1.10087585,-0.05439482,0.06029826,-0.74160653,-0.55533916,-0.04469081,-0.01854038,0.00468093,0.04879643,-0.00381504,0.24602045,0.02849479,0.03762978,-0.04855277,0.06010797,0.03150091,0.15576366,-0.13756369,-0.16396827,-0.07935639,-0.05230391,-0.21857601,-0.22108421,-0.74171203,1.80336690,-1.61920547,0.12797228,-0.32837972,0.00000000,-0.89644742,0,11:32:59.3,0,0
4,-0.17840429,0.19467545,1.15978312,0.21976313,1.08721638,-0.04185747,0.11574280,-0.73854202,-0.48634610,-0.04452197,-0.01935211,0.00797378,0.04996706,-0.00344816,0.24728255,0.03097828,0.03770868,-0.04854273,0.06086707,0.03158963,0.15655199,-0.13669999,-0.16326413,-0.07810716,-0.05217753,-0.23165496,-0.22547336,-0.87506557,1.79719388,-1.57152081,0.05249377,-0.25727621,0.00000000,-1.45735800,0,11:32:59.4,0,0
5,-0.19053221,0.21850468,1.10680819,0.24166621,1.06293380,-0.02421769,0.17618951,-0.73033124,-0.39877701,-0.04424502,-0.02023021,0.01118462,0.05103506,-0.00303646,0.24847931,0.03345933,0.03781530,-0.04832122,0.06169150,0.03177051,0.15771724,-0.13570192,-0.16267033,-0.07655244,-0.05149241,-0.24172355,-0.22894625,-0.98711312,1.78720939,-1.48432004,0.01126745,-0.18158063,0.00000000,-1.93874645,0,11:32:59.5,0,0
6,-0.20534952,0.23992580,1.04784989,0.26218402,1.03005576,-0.00235039,0.24071330,-0.71816611,-0.29838941,-0.04386600,-0.02113505,0.01429804,0.05196301,-0.00259516,0.24956168,0.03586314,0.03798098,-0.04786221,0.06261968,0.03207093,0.15928881,-0.13456306,-0.16220514,-0.07463503,-0.05025369,-0.24882786,-0.23153201,-1.06208420,1.76527584,-1.36099505,0.00821278,-0.10076898,0.00000000,-2.31652355,0,11:32:59.6,0,0
7,-0.22220019,0.25830415,0.98617637,0.28010187,0.99409533,0.02271646,0.31107986,-0.70336753,-0.19190302,-0.04340463,-0.02202848,0.01731114,0.05273203,-0.00216451,0.25050747,0.03810836,0.03820657,-0.04715420,0.06367465,0.03250661,0.16127142,-0.13328624,-0.16188255,-0.07233372,-0.04851745,-0.25319800,-0.23332787,-1.08624542,1.72590506,-1.20804906,0.04609386,-0.01328414,0.00000000,-2.57379985,0,11:32:59.7,0,0
8,-0.24056326,0.27323768,0.92546052,0.29454896,0.95854390,0.04948959,0.39021978,-0.68723416,-0.08682723,-0.04288550,-0.02287691,0.02023494,0.05333662,-0.00176718,0.25131199,0.04011021,0.03849007,-0.04618990,0.06487802,0.03308776,0.16364083,-0.13187386,-0.16170272,-0.06967287,-0.04638760,-0.25517374,-0.23448250,-1.04937768,1.66306508,-1.03489578,0.12479726,0.08109972,0.00000000,-2.70194554,0,11:32:59.8,0,0
9,-0.25936899,0.28464332,0.86910093,0.30497828,0.92928702,0.07642682,0.48220357,-0.67093778,0.00973846,-0.04231777,-0.02362176,0.02308842,0.05378444,-0.00145535,0.25198174,0.04178424,0.03880598,-0.04497838,0.06624454,0.03380461,0.16634575,-0.13034187,-0.16165884,-0.06669296,-0.04397497,-0.25518072,-0.23514837,-0.94590265,1.57423127,-0.85189116,0.24268477,0.18393981,0.00000000,-2.70097899,0,11:32:59.9,0,0
10,-0.27795470,0.29334316,0.82055402,0.31178078,0.91204685,0.10166176,0.59201056,-0.65551555,0.08987265,-0.04172106,-0.02422893,0.02589273,0.05409136,-0.00127945,0.25255311,0.04303599,0.03910616,-0.04353885,0.06777433,0.03464159,0.16931173,-0.12870340,-0.16173898,-0.06346881,-0.04141267,-0.25364742,-0.23549722,-0.77392554,1.45917678,-0.66842890,0.39703739,0.29542664,0.00000000,-2.57926369,0,11:33:00.0,0,0
11,-0.29507121,0.30079165,0.78236890,0.31603181,0.91233158,0.12363188,0.72474974,-0.64180166,0.14753795,-0.04110843,-0.02465985,0.02866442,0.05426890,-0.00128184,0.25305998,0.04378926,0.03935222,-0.04189692,0.06946267,0.03556033,0.17245072,-0.12699680,-0.16192058,-0.06010851,-0.03884787,-0.25103679,-0.23568796,-0.53704679,1.32074833,-0.49374768,0.58392727,0.41445661,0.00000000,-2.35256076,0,11:33:00.1,0,0
12,-0.30892718,0.30866227,0.75648820,0.31901899,0.93416589,0.14097497,0.88554412,-0.63039976,0.17909336,-0.04049147,-0.02489111,0.03140789,0.05433592,-0.00148889,0.25355226,0.04402584,0.03950265,-0.04010675,0.07127549,0.03651739,0.17564885,-0.12525731,-0.16217555,-0.05673564,-0.03642179,-0.24773137,-0.23586562,-0.24461398,1.16475046,-0.33510602,0.79666674,0.53946537,0.00000000,-2.04252911,0,11:33:00.2,0,0
13,-0.31863397,0.31845483,0.74458402,0.32210675,0.97973198,0.15251252,1.07833326,-0.62168044,0.18074836,-0.03986051,-0.02490732,0.03412966,0.05432427,-0.00193830,0.25408560,0.04374349,0.03951870,-0.03822352,0.07317763,0.03746023,0.17880188,-0.12352583,-0.16246653,-0.05347507,-0.03424211,-0.24405830,-0.23613293,0.09137584,1.00032711,-0.19614401,1.03049123,0.66516232,0.00000000,-1.67482460,0,11:33:00.3,0,0
14,-0.32305378,0.33188087,0.74652159,0.32718274,1.04930091,0.15751562,1.30409241,-0.61576903,0.15038036,-0.03921441,-0.02470243,0.03684038,0.05426485,-0.00265464,0.25472158,0.04297014,0.03935370,-0.03630364,0.07512185,0.03833657,0.18180463,-0.12183069,-0.16274260,-0.05044672,-0.03239988,-0.24026081,-0.23655318,0.45196322,0.83607769,-0.08023789,1.27786672,0.78711677,0.00000000,-1.27697194,0,11:33:00.4,0,0
15,-0.32075453,0.35092592,0.76192641,0.33609170,1.14172673,0.15583077,1.56206512,-0.61259651,0.08737067,-0.03855409,-0.02429667,0.03953378,0.05418999,-0.00363538,0.25550741,0.04178318,0.03898880,-0.03440790,0.07706648,0.03909735,0.18456915,-0.12019460,-0.16295147,-0.04777592,-0.03097257,-0.23649822,-0.23716742,0.81819165,0.68414742,0.01342337,1.53044283,0.90123218,0.00000000,-0.87620670,0,11:33:00.5,0,0
16,-0.31096885,0.37667179,0.79001480,0.35005558,1.25376546,0.14763620,1.84832311,-0.61199689,-0.00566103,-0.03787837,-0.02371994,0.04219024,0.05413231,-0.00488276,0.25648391,0.04026663,0.03841348,-0.03261680,0.07894751,0.03969732,0.18699163,-0.11864793,-0.16305420,-0.04555979,-0.02999265,-0.23284742,-0.23797749,1.16853917,0.55505592,0.08785001,1.78034186,1.00232327,0.00000000,-0.49746290,0,11:33:00.6,0,0
17,-0.29296067,0.40965396,0.82920694,0.36992112,1.37915921,0.13393988,2.15699697,-0.61366725,-0.12433201,-0.03719381,-0.02301791,0.04477852,0.05410223,-0.00638401,0.25765893,0.03855510,0.03763968,-0.03099648,0.08070990,0.04009470,0.18900500,-0.11720907,-0.16301051,-0.04388313,-0.02948591,-0.22932094,-0.23897624,1.48293114,0.45910111,0.14802167,2.02039552,1.08642542,0.00000000,-0.16168217,0,11:33:00.7,0,0
18,-0.26635912,0.44953081,0.87727249,0.39578155,1.51064110,0.11579563,2.47804546,-0.61721385,-0.26340690,-0.03649371,-0.02223526,0.04725394,0.05410594,-0.00810411,0.25901702,0.03677907,0.03669390,-0.02961382,0.08229965,0.04027362,0.19055276,-0.11588512,-0.16278100,-0.04279765,-0.02943515,-0.22588463,-0.24013600,1.74277711,0.40356266,0.19853595,2.24064708,1.14915299,0.00000000,0.11543704,0,11:33:00.8,0,0
19,-0.23141225,0.49498415,0.93222475,0.42669150,1.63866198,0.09483691,2.80038357,-0.62218010,-0.41528791,-0.03577700,-0.02143168,0.04959334,0.05416137,-0.00999628,0.26053762,0.03508470,0.03560742,-0.02852239,0.08366641,0.04021908,0.19161737,-0.11467551,-0.16234732,-0.04232401,-0.02980725,-0.22246622,-0.24142170,1.93418467,0.39593259,0.24624287,2.43388605,1.18929636,0.00000000,0.32416558,0,11:33:00.9,0,0
20,-0.18860964,0.54371405,0.99152279,0.46089271,1.75334406,0.07261761,3.10830712,-0.62809873,-0.57213426,-0.03505830,-0.02066540,0.05176268,0.05427720,-0.01200552,0.26218227,0.03360555,0.03443741,-0.02775734,0.08478480,0.03995202,0.19219701,-0.11356565,-0.16169307,-0.04245775,-0.03056248,-0.21897076,-0.24281378,2.04704857,0.43891171,0.29407793,2.59082341,1.20609128,0.00000000,0.46091837,0,11:33:01.0,0,0
