Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191025112007
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,968,801,645,611,597,582,701,644,577,571,761,679,598,583,1845,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,124,124,6,6,15,15,6,6,6,6,44,44,31,31,6,6,31,31,6,6,22,22,15,15,15,15,15,15,7,7,6,6,6,6,6,6,15,15,14,14,14,14,7,7,6,6,7,7,22,22,24,24,6,6,15,15,44,44,6,6,6,6,31,31,6,6,48,48,6,6,6,6,62,62,49,49,6,6,12,12,7,7,7,7,22,22,62,62,6,6,6,6,7,7,15,15,6,6,6,6,6,6,7,7,49,49,120,120,6,6,6,6
Digital Gain,1.00,1.00,100.00,100.00,42.31,63.25,65.62,100.00,63.95,100.00,17.79,33.05,6.25,21.24,1.24,3.36,7.98,12.15,1.77,2.45,1.57,5.04,3.22,3.17,2.09,4.75,3.33,8.64,2.84,4.29,2.05,4.43,2.48,3.80,2.34,3.98,3.65,5.09,2.52,4.09,3.22,4.23,2.31,3.84,1.92,2.76,2.46,3.61,3.46,4.69,2.26,5.29,2.35,2.05,2.99,4.01,2.61,6.43,53.33,66.73,60.23,100.00,100.00,100.00,1.00,1.00,100.00,51.04,100.00,100.00,100.00,100.00,7.73,17.12,5.37,20.65,1.00,3.03,3.79,6.93,3.55,4.02,2.25,4.93,1.70,4.46,2.01,2.01,100.00,100.00,100.00,100.00,2.33,3.49,2.42,3.99,1.87,2.94,1.29,1.91,1.54,1.92,62.09,21.72,3.07,3.08,100.00,100.00,1.00,1.00,100.00,100.00

Measurement Information
Date,2019/10/25 11:20:14
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.25557187,0.58147436,-0.10637951,-1.89472878,1.17386639,-0.17809942,-0.28114539,-0.20678292,-0.07718956,-0.66044700,-0.79431927,0.05233344,-0.12580670,-0.14019528,0.00233281,-0.28321075,-0.17748201,-0.05539354,-0.34111580,-0.11621807,0.22300649,-0.28349811,0.03511888,-0.48202312,0.08746301,-0.04109503,0.43377402,-0.08753986,0.74318880,0.79967701,0.12327561,-1.20997560,0.00000000,-1.65633142,0,11:20:24.1,0,0
2,0.32985112,0.55010444,-0.10499156,-1.90368342,1.13856661,0.02190704,-0.20932858,-0.20620416,-0.04063740,-0.65725446,-0.79000151,0.05936072,-0.12054208,-0.13935772,0.00749196,-0.28111285,-0.17680347,-0.04941132,-0.33356369,-0.11180361,0.23212959,-0.27818701,0.03780533,-0.47525221,0.09255319,-0.04097560,0.43085197,-0.08059206,0.75155270,0.76478064,0.11396214,-1.19587862,0.00000000,-1.37762833,0,11:20:24.2,0,0
3,0.35470620,0.53514200,-0.09704451,-1.90809953,1.11304784,0.22592160,-0.13320169,-0.20558974,-0.00535280,-0.65413314,-0.78594202,0.06611831,-0.11538384,-0.13874781,0.01214730,-0.27894068,-0.17588992,-0.04378167,-0.32637879,-0.10722705,0.24087188,-0.27273196,0.04066017,-0.46862686,0.09719500,-0.04093459,0.42609334,-0.07258839,0.76072562,0.72704422,0.11029175,-1.14412165,0.00000000,-1.07815742,0,11:20:24.3,0,0
4,0.33813131,0.53845280,-0.08267213,-1.90792358,1.09940207,0.42157602,-0.05681833,-0.20491335,0.02675188,-0.65109390,-0.78234571,0.07252508,-0.11043834,-0.13837311,0.01637742,-0.27670130,-0.17473453,-0.03875970,-0.31992090,-0.10264331,0.24898881,-0.26723385,0.04358007,-0.46223873,0.10153296,-0.04084296,0.41967872,-0.06355194,0.77191162,0.68795091,0.11208081,-1.04989171,0.00000000,-0.77635831,0,11:20:24.4,0,0
5,0.29015675,0.56063408,-0.06236172,-1.90342820,1.09885502,0.59743327,0.01581161,-0.20414095,0.05417582,-0.64814526,-0.77942234,0.07854564,-0.10579767,-0.13821720,0.02030634,-0.27441213,-0.17334035,-0.03457927,-0.31453288,-0.09821256,0.25625414,-0.26179835,0.04645680,-0.45619640,0.10573970,-0.04056123,0.41201952,-0.05360727,0.78631753,0.64917499,0.11847831,-0.91375059,0.00000000,-0.49186194,0,11:20:24.5,0,0
6,0.22169261,0.60099697,-0.03699873,-1.89538503,1.11174726,0.74345756,0.08081014,-0.20324011,0.07569690,-0.64529485,-0.77734131,0.08415643,-0.10155387,-0.13828732,0.02406649,-0.27211154,-0.17175665,-0.03140832,-0.31046712,-0.09412214,0.26253575,-0.25654820,0.04916773,-0.45061284,0.10997212,-0.03995964,0.40372500,-0.04298257,0.80500227,0.61253589,0.12845449,-0.73938805,0.00000000,-0.24246052,0,11:20:24.6,0,0
7,0.14344615,0.65583289,-0.00800267,-1.88526833,1.13683891,0.85236228,0.13514410,-0.20220120,0.09049979,-0.64256722,-0.77622980,0.08936940,-0.09776609,-0.13853052,0.02781555,-0.26983261,-0.17004232,-0.02934421,-0.30789116,-0.09055392,0.26776627,-0.25162011,0.05158694,-0.44557425,0.11437960,-0.03893421,0.39555097,-0.03199361,0.82865453,0.57995576,0.14156106,-0.53127807,0.00000000,-0.04344073,0,11:20:24.7,0,0
8,0.06500643,0.72109056,0.02307517,-1.87432921,1.17238605,0.92060453,0.17681183,-0.20103559,0.09861274,-0.63999081,-0.77613646,0.09422987,-0.09446644,-0.13888471,0.03170519,-0.26759723,-0.16826442,-0.02837756,-0.30682430,-0.08768628,0.27197543,-0.24714833,0.05359068,-0.44114098,0.11904912,-0.03743688,0.38830012,-0.02103368,0.85733432,0.55309677,0.15671140,-0.29604411,0.00000000,0.09386422,0,11:20:24.8,0,0
9,-0.00583320,0.79113185,0.05449729,-1.86410105,1.21559918,0.94716054,0.20442803,-0.19978395,0.10039836,-0.63760847,-0.77704018,0.09878919,-0.09168298,-0.13926239,0.03584209,-0.26542017,-0.16648956,-0.02842968,-0.30718219,-0.08566815,0.27525967,-0.24325716,0.05507112,-0.43734965,0.12397192,-0.03547668,0.38270283,-0.01053625,0.89032072,0.53364402,0.17365140,-0.04303065,0.00000000,0.16139694,0,11:20:24.9,0,0
10,-0.06348266,0.85925794,0.08443072,-1.85585928,1.26324403,0.93309724,0.21739988,-0.19853060,0.09619398,-0.63548785,-0.77884781,0.10309842,-0.08941018,-0.13960543,0.04028773,-0.26332474,-0.16481271,-0.02931544,-0.30873135,-0.08461048,0.27779192,-0.24005915,0.05593651,-0.43421450,0.12901901,-0.03314328,0.37930983,-0.00096687,0.92600709,0.52233654,0.19154932,0.21749608,0.00000000,0.15470009,0,11:20:25.0,0,0
11,-0.10468825,0.91905206,0.11114387,-1.85068405,1.31157756,0.88258338,0.21637428,-0.19741076,0.08692029,-0.63371134,-0.78139240,0.10723816,-0.08764085,-0.13981880,0.04507269,-0.26130444,-0.16330747,-0.03076028,-0.31112087,-0.08455388,0.27982825,-0.23763806,0.05614448,-0.43167582,0.13402706,-0.03061425,0.37844080,0.00723546,0.96191925,0.51942301,0.20979287,0.47519013,0.00000000,0.07853403,0,11:20:25.1,0,0
12,-0.12841815,0.96372086,0.13289940,-1.84931946,1.35689080,0.80285949,0.20300284,-0.19672106,0.07366846,-0.63241923,-0.78439534,0.11126845,-0.08643021,-0.13986781,0.05018524,-0.25938600,-0.16204327,-0.03244220,-0.31396434,-0.08548525,0.28167942,-0.23608933,0.05565958,-0.42964649,0.13874741,-0.02817572,0.38010186,0.01371344,0.99444652,0.52451950,0.22770189,0.72093189,0.00000000,-0.06010417,0,11:20:25.2,0,0
13,-0.13555017,0.98724264,0.14854433,-1.85224366,1.39536083,0.70195580,0.17949638,-0.19667876,0.05755481,-0.63169974,-0.78743464,0.11523032,-0.08571240,-0.13963370,0.05556347,-0.25751808,-0.16102234,-0.03402594,-0.31680813,-0.08730844,0.28363934,-0.23542190,0.05447727,-0.42800286,0.14283414,-0.02612083,0.38395739,0.01816605,1.01965761,0.53641379,0.24522744,0.94530845,0.00000000,-0.24955651,0,11:20:25.3,0,0
14,-0.12842564,0.98447502,0.15722243,-1.85918021,1.42401218,0.58908314,0.14889395,-0.19726735,0.03991880,-0.63153249,-0.79020137,0.11916355,-0.08532403,-0.13906386,0.06102530,-0.25561821,-0.16028704,-0.03519161,-0.31911352,-0.08993351,0.28594288,-0.23560137,0.05267363,-0.42659163,0.14593095,-0.02468656,0.38920334,0.02036100,1.03411925,0.55326790,0.26227644,1.14039445,0.00000000,-0.47488365,0,11:20:25.4,0,0
15,-0.11033728,0.95174474,0.15825565,-1.86978817,1.44012797,0.47245654,0.11414147,-0.19862077,0.02157260,-0.63195968,-0.79236943,0.12309301,-0.08516850,-0.13814345,0.06637219,-0.25362214,-0.15983638,-0.03563983,-0.32038105,-0.09320947,0.28882533,-0.23652963,0.05034255,-0.42517495,0.14779402,-0.02413181,0.39482042,0.02022124,1.03456819,0.57234955,0.27788144,1.30090213,0.00000000,-0.71969712,0,11:20:25.5,0,0
16,-0.08501770,0.88861573,0.15176515,-1.88268590,1.44248617,0.36011508,0.07827999,-0.20083287,0.00311335,-0.63298476,-0.79365343,0.12702008,-0.08514214,-0.13685031,0.07135525,-0.25145394,-0.15962958,-0.03514135,-0.32021385,-0.09692629,0.29241246,-0.23804419,0.04762418,-0.42350116,0.14825802,-0.02465986,0.39956179,0.01781849,1.01838398,0.59076124,0.29187050,1.42295396,0.00000000,-0.96577841,0,11:20:25.6,0,0
17,-0.05618274,0.79645056,0.13806757,-1.89649785,1.43051791,0.25881046,0.04424421,-0.20395313,-0.01478203,-0.63457447,-0.79382241,0.13092358,-0.08515625,-0.13522483,0.07572722,-0.24907532,-0.15961660,-0.03351786,-0.31829223,-0.10084832,0.29679689,-0.23994991,0.04468695,-0.42135397,0.14723320,-0.02640771,0.40203020,0.01336261,0.98401624,0.60550284,0.30372939,1.50491464,0.00000000,-1.19731128,0,11:20:25.7,0,0
18,-0.02716983,0.67999780,0.11815190,-1.90917206,1.40521908,0.17364943,0.01443812,-0.20794801,-0.03181114,-0.63664091,-0.79275358,0.13476224,-0.08509952,-0.13331664,0.07925148,-0.24645469,-0.15974477,-0.03070969,-0.31445113,-0.10473362,0.30195361,-0.24200912,0.04172227,-0.41853723,0.14478889,-0.02938634,0.40084887,0.00720816,0.93133807,0.61351627,0.31264353,1.54789555,0.00000000,-1.39765298,0,11:20:25.8,0,0
19,-0.00328495,0.54462492,0.09333409,-1.91901934,1.36819577,0.10682611,-0.00950206,-0.21271738,-0.04813847,-0.63905287,-0.79039633,0.13846420,-0.08489006,-0.13121505,0.08171128,-0.24360210,-0.15996030,-0.02675522,-0.30868548,-0.10832460,0.30778024,-0.24394117,0.03894144,-0.41490200,0.14113666,-0.03349648,0.39476734,-0.00017710,0.86180973,0.61215591,0.31816247,1.55491936,0.00000000,-1.55468261,0,11:20:25.9,0,0
