Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191018105656
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,945,787,642,609,731,661,597,582,911,767,703,645,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,62,62,6,6,6,6,49,49,49,49,6,6,31,31,6,6,14,14,7,7,22,22,7,7,12,12,7,7,6,6,6,6,15,15,22,22,6,6,12,12,6,6,6,6,6,6,7,7,7,7,22,22,6,6,6,6,6,6,31,31,6,6,44,44,6,6,6,6,62,62,72,72,31,31,15,15,6,6,6,6,24,24,124,124,6,6,6,6,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,37.36,58.23,44.04,71.38,7.86,29.71,63.70,81.17,1.42,2.26,1.28,5.77,2.40,3.10,1.70,4.20,4.45,11.11,2.01,3.28,5.02,9.53,2.45,4.37,1.98,3.59,5.57,9.61,1.89,4.52,2.25,3.07,1.87,3.51,1.87,3.80,2.28,3.31,2.13,4.59,2.35,7.08,4.11,5.95,2.16,4.26,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,1.00,1.00,24.81,28.57,100.00,100.00,100.00,100.00,11.51,29.03,15.52,45.46,2.36,9.36,2.37,4.24,2.26,2.87,1.21,2.91,1.71,4.08,100.00,100.00,1.41,2.55,1.40,2.56,1.72,3.22,2.13,2.90,2.07,3.14,1.87,1.95,1.90,1.90,8.61,7.45,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/18 10:57:03
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.02038267,0.41127923,0.30184186,0.43533275,0.77999747,-0.79537201,-0.53004307,-0.53672683,0.25369412,-0.08708038,-0.03247444,-0.02337410,-0.07969549,-0.05281687,-0.04040038,-0.11418368,-0.05916276,-0.18441281,-0.17143765,-0.03316251,-0.06969424,-0.06138957,0.02183373,-0.08562654,-0.02106305,-0.04290796,-0.11172701,0.31908885,0.00605880,-0.78346014,-1.68292713,-0.95812607,-2.48436332,0.02668831,0,10:57:12.1,0,0
2,0.07033651,0.42697817,0.41121134,0.49345085,0.79014969,-1.02713704,-0.74343562,-0.54539120,-0.07732406,-0.08604994,-0.03253096,-0.02070374,-0.08103542,-0.05158378,-0.03697455,-0.11498801,-0.05867662,-0.18176678,-0.16941422,-0.03254058,-0.06530475,-0.06065364,0.02153806,-0.08521899,-0.02133403,-0.04075216,-0.11031902,0.32075387,0.04267641,-0.67935562,-2.03005219,-1.07836890,-2.53499484,0.01458505,0,10:57:12.2,0,0
3,0.16621804,0.42111540,0.51864612,0.52148592,0.76811153,-1.21738029,-0.92240542,-0.55503827,-0.39275041,-0.08541964,-0.03289470,-0.01850515,-0.08278831,-0.05054967,-0.03367917,-0.11603096,-0.05837948,-0.17928578,-0.16761975,-0.03203982,-0.06120522,-0.05996390,0.02130532,-0.08522471,-0.02210263,-0.03862839,-0.10986855,0.32270768,0.10602413,-0.57139677,-2.33474350,-1.16981041,-2.54725671,0.00197842,0,10:57:12.3,0,0
4,0.26262060,0.39435908,0.61569142,0.51848030,0.71738589,-1.35837436,-1.05890310,-0.56546193,-0.67600209,-0.08519446,-0.03352449,-0.01680694,-0.08492070,-0.04973383,-0.03055439,-0.11734293,-0.05834810,-0.17704563,-0.16621572,-0.03171302,-0.05747180,-0.05932410,0.02113608,-0.08560949,-0.02331940,-0.03663317,-0.11031212,0.32490286,0.19425058,-0.46095541,-2.57617331,-1.22471178,-2.52044058,-0.00999071,0,10:57:12.4,0,0
5,0.35458189,0.34968573,0.69466168,0.48700696,0.64508820,-1.44357967,-1.14614809,-0.57645345,-0.91128409,-0.08536121,-0.03436254,-0.01560020,-0.08738010,-0.04913254,-0.02762419,-0.11893725,-0.05865587,-0.17508790,-0.16527043,-0.03158232,-0.05414332,-0.05872921,0.02104571,-0.08631075,-0.02490177,-0.03484670,-0.11152721,0.32727867,0.30361265,-0.35179248,-2.73949909,-1.24098444,-2.45596838,-0.02050130,0,10:57:12.5,0,0
6,0.43670580,0.28864223,0.74862117,0.42823556,0.55510497,-1.47195590,-1.18316305,-0.58780158,-1.08754361,-0.08588801,-0.03534977,-0.01484576,-0.09009858,-0.04876424,-0.02488833,-0.12086350,-0.05937639,-0.17343920,-0.16485882,-0.03167265,-0.05124471,-0.05818355,0.02103365,-0.08722256,-0.02672203,-0.03333828,-0.11330685,0.32974246,0.42839289,-0.24742088,-2.81690025,-1.21599829,-2.35756063,-0.02876448,0,10:57:12.6,0,0
7,0.50436926,0.21444423,0.77265006,0.34531829,0.45219159,-1.44162381,-1.17007780,-0.59926581,-1.19670403,-0.08673508,-0.03642840,-0.01446752,-0.09298872,-0.04860074,-0.02234250,-0.12309085,-0.06053782,-0.17211047,-0.16499951,-0.03198252,-0.04877970,-0.05768702,0.02110048,-0.08825519,-0.02865483,-0.03216772,-0.11544606,0.33217525,0.56117493,-0.15048586,-2.80201030,-1.15065551,-2.22491717,-0.03440909,0,10:57:12.7,0,0
8,0.55362159,0.13066259,0.76278311,0.24301536,0.34112179,-1.35531843,-1.11126626,-0.61058390,-1.23503697,-0.08783871,-0.03754506,-0.01436197,-0.09594874,-0.04860980,-0.01995796,-0.12555718,-0.06213790,-0.17108065,-0.16567162,-0.03250011,-0.04672720,-0.05724785,0.02123629,-0.08931509,-0.03057822,-0.03135947,-0.11772402,0.33446476,0.69517797,-0.06358909,-2.69651031,-1.04878950,-2.06072950,-0.03729826,0,10:57:12.8,0,0
9,0.58126181,0.04082353,0.71869421,0.12690531,0.22592218,-1.22068274,-1.01509941,-0.62149060,-1.20546126,-0.08913087,-0.03865281,-0.01441051,-0.09886092,-0.04872910,-0.01770103,-0.12815252,-0.06413358,-0.17032228,-0.16681762,-0.03318774,-0.04505657,-0.05687563,0.02142324,-0.09030145,-0.03235184,-0.03092650,-0.11990712,0.33649394,0.82044250,0.01047373,-2.50987482,-0.91670460,-1.87090886,-0.03790109,0,10:57:12.9,0,0
10,0.58546740,-0.05220224,0.64196843,0.00125087,0.10774496,-1.04662216,-0.89317292,-0.63166606,-1.11395526,-0.09053795,-0.03971221,-0.01449423,-0.10160152,-0.04895364,-0.01554169,-0.13077271,-0.06645973,-0.16978788,-0.16833393,-0.03400359,-0.04372476,-0.05658325,0.02163743,-0.09115713,-0.03388082,-0.03085677,-0.12182063,0.33815879,0.92842740,0.07001171,-2.25230145,-0.76139498,-1.65798593,-0.03678185,0,10:57:13.0,0,0
11,0.56744301,-0.14516392,0.53587914,-0.12845121,-0.01108495,-0.84281814,-0.75516242,-0.64078701,-0.96943992,-0.09197924,-0.04069659,-0.01449293,-0.10404253,-0.04923288,-0.01343728,-0.13322391,-0.06899711,-0.16942005,-0.17008683,-0.03488853,-0.04267640,-0.05636894,0.02185353,-0.09182187,-0.03507708,-0.03110227,-0.12329952,0.33938181,1.01307380,0.11465402,-1.93990815,-0.59286004,-1.42772162,-0.03462581,0,10:57:13.1,0,0
12,0.52649945,-0.23645917,0.40648064,-0.25842875,-0.13195337,-0.62250131,-0.61424887,-0.64853060,-0.78564727,-0.09337790,-0.04158732,-0.01429450,-0.10604496,-0.04954085,-0.01134813,-0.13531585,-0.07160754,-0.16915001,-0.17192337,-0.03577813,-0.04185403,-0.05623409,0.02204452,-0.09227099,-0.03589249,-0.03160821,-0.12424647,0.34010217,1.06769836,0.14547107,-1.59134471,-0.41945535,-1.18678987,-0.03227290,0,10:57:13.2,0,0
13,0.46442217,-0.32368985,0.26106080,-0.38329366,-0.25389245,-0.39954603,-0.48247892,-0.65460092,-0.57651627,-0.09466170,-0.04237622,-0.01380503,-0.10749554,-0.04980970,-0.00923317,-0.13681547,-0.07411086,-0.16890527,-0.17367487,-0.03660305,-0.04118976,-0.05618238,0.02218052,-0.09251349,-0.03632192,-0.03229536,-0.12464005,0.34028563,1.08861601,0.16322464,-1.22738266,-0.25099441,-0.94381720,-0.03058098,0,10:57:13.3,0,0
14,0.38455287,-0.40473574,0.10728842,-0.49895754,-0.37652937,-0.18677346,-0.36863464,-0.65876520,-0.35532159,-0.09577614,-0.04306526,-0.01293928,-0.10827896,-0.05002936,-0.00705375,-0.13752615,-0.07633812,-0.16860817,-0.17514528,-0.03730261,-0.04060913,-0.05619863,0.02223928,-0.09255686,-0.03637571,-0.03308752,-0.12447499,0.33993319,1.07440019,0.17115280,-0.86621904,-0.09529930,-0.70499086,-0.03011586,0,10:57:13.4,0,0
15,0.29133084,-0.47778109,-0.04610528,-0.60174441,-0.49904019,0.00304627,-0.28024891,-0.66081327,-0.13673598,-0.09667495,-0.04366848,-0.01163188,-0.10830036,-0.05017725,-0.00476873,-0.13725337,-0.07811327,-0.16819350,-0.17618312,-0.03783576,-0.04004446,-0.05626670,0.02219499,-0.09242763,-0.03608818,-0.03390956,-0.12380373,0.33906791,1.02587605,0.17336173,-0.52544457,0.04027683,-0.47773185,-0.03160494,0,10:57:13.5,0,0
16,0.18952920,-0.54151917,-0.19078068,-0.68894625,-0.61972249,0.15897597,-0.22119331,-0.66067749,0.06761754,-0.09733701,-0.04420276,-0.00985131,-0.10749042,-0.05021891,-0.00235935,-0.13582207,-0.07926915,-0.16761537,-0.17666985,-0.03816232,-0.03944774,-0.05635951,0.02203389,-0.09215717,-0.03551826,-0.03468708,-0.12270483,0.33773687,0.94692141,0.17162667,-0.21987152,0.15078889,-0.27107111,-0.03542908,0,10:57:13.6,0,0
17,0.08483945,-0.59446496,-0.31899920,-0.75810659,-0.73635542,0.27261126,-0.19183435,-0.65834558,0.24933445,-0.09775423,-0.04469630,-0.00759067,-0.10581335,-0.05012158,0.00018758,-0.13311833,-0.07967768,-0.16683936,-0.17649953,-0.03824999,-0.03876538,-0.05643186,0.02176355,-0.09177129,-0.03472672,-0.03535083,-0.12128234,0.33602485,0.84423447,0.16980429,0.03874977,0.23232079,-0.09162186,-0.04170259,0,10:57:13.7,0,0
18,-0.01712845,-0.63561022,-0.42475155,-0.80820090,-0.84574342,0.33791298,-0.18993497,-0.65394616,0.40228415,-0.09794498,-0.04516556,-0.00486258,-0.10326508,-0.04984048,0.00288284,-0.12906463,-0.07923760,-0.16584855,-0.17562333,-0.03811489,-0.03796038,-0.05644930,0.02138875,-0.09128962,-0.03377903,-0.03587215,-0.11964745,0.33402178,0.72556180,0.17200001,0.24353740,0.28200132,0.05895982,-0.05007531,0,10:57:13.8,0,0
19,-0.11149196,-0.66466749,-0.50349206,-0.83947605,-0.94495130,0.35134780,-0.21138959,-0.64774507,0.52245450,-0.09795749,-0.04564143,-0.00170942,-0.09989295,-0.04936185,0.00571194,-0.12369186,-0.07791072,-0.16466561,-0.17407155,-0.03777951,-0.03702689,-0.05636999,0.02092087,-0.09072386,-0.03273943,-0.03625450,-0.11791061,0.33183128,0.59868473,0.18106109,0.39107484,0.29934624,0.17757113,-0.06005332,0,10:57:13.9,0,0
