Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191025104430
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1760,1488,1712,1456,926,776,917,771,931,779,678,630,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,124,124,6,6,6,6,44,44,49,49,6,6,15,15,31,31,7,7,6,6,88,88,15,15,15,15,31,31,15,15,6,6,15,15,15,15,6,6,7,7,7,7,15,15,49,49,6,6,30,30,15,15,6,6,6,6,6,6,31,31,6,6,44,44,6,6,6,6,56,56,62,62,72,72,15,15,15,15,7,7,31,31,6,6,62,62,7,7,7,7,15,15,6,6,24,24,7,7,47,47,6,6,6,6,6,6,6,6
Digital Gain,70.82,82.53,73.08,86.23,100.00,100.00,96.56,100.00,100.00,100.00,12.53,17.93,100.00,1.00,100.00,100.00,3.95,4.74,2.32,5.78,2.11,4.60,1.83,2.37,5.11,5.78,3.18,8.94,2.21,4.75,5.01,20.16,3.93,20.45,2.05,3.05,6.28,17.69,2.16,6.83,2.65,3.59,1.78,4.69,1.18,3.25,2.80,5.09,2.41,10.81,100.00,1.00,2.45,4.93,1.00,1.00,1.00,1.00,100.00,100.00,100.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,61.40,68.36,72.76,89.93,8.89,12.11,6.09,29.30,1.00,1.00,2.68,5.28,3.04,5.82,2.28,4.99,2.29,5.33,1.00,1.00,3.62,4.56,1.73,6.25,1.31,5.11,1.52,4.60,1.76,2.97,1.63,1.57,1.96,4.46,1.00,1.00,100.00,100.00,1.00,1.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/25 10:44:37
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.27688995,0.27460879,0.97599268,0.71356952,2.02183580,0.01370800,2.10733843,-0.23458716,-0.23478490,-1.17189395,-0.17991887,-0.05411201,1.32524705,0.06494745,-0.00158806,-0.17341265,0.09688629,-0.18981048,-0.03762418,0.31346384,0.13286799,-0.00750053,0.15045565,0.26983929,0.29579684,4.24943733,0.11834536,-0.47777686,-2.19642162,-0.16302323,-1.56910622,-0.22412468,0.00000000,1.08676612,0,10:44:46.1,0,0
2,0.31654862,0.28218925,0.92758822,0.76322615,2.16027951,0.01299528,2.17955279,-0.23581699,-0.23432148,-1.14931548,-0.18011996,-0.05198883,1.31595612,0.06294546,-0.00206630,-0.17898688,0.09401681,-0.19224614,-0.04057787,0.31108806,0.13613056,-0.01147572,0.14757118,0.26917437,0.29572028,4.28615952,0.11459164,-0.54536116,-2.50711823,-0.18111497,-1.51289320,-0.26800174,0.00000000,1.04935312,0,10:44:46.2,0,0
3,0.35473076,0.28148192,0.89163882,0.79401177,2.26700377,0.01007049,2.17889214,-0.25081247,-0.23454863,-1.12292039,-0.18021351,-0.04999363,1.30584276,0.06144280,-0.00258452,-0.18324912,0.09328306,-0.19510822,-0.04355481,0.30878973,0.13882084,-0.01594631,0.14448686,0.26916012,0.29618394,4.29165268,0.11136381,-0.59705102,-2.74474525,-0.21147312,-1.48467743,-0.33858800,0.00000000,0.99057132,0,10:44:46.3,0,0
4,0.38911986,0.27403969,0.86918277,0.80566132,2.34321833,0.00557637,2.11037159,-0.27793849,-0.23518011,-1.09453821,-0.18016079,-0.04820060,1.29603016,0.06045699,-0.00308177,-0.18610401,0.09466164,-0.19817089,-0.04645633,0.30681077,0.14071438,-0.02048111,0.14143161,0.26985323,0.29676428,4.27119255,0.10893273,-0.62949014,-2.89387345,-0.25002462,-1.47204554,-0.42998597,0.00000000,0.91979462,0,10:44:46.4,0,0
5,0.41761464,0.26161554,0.86080235,0.79902434,2.39214277,0.00071585,1.98551750,-0.31468865,-0.23576607,-1.06662524,-0.17993404,-0.04668528,1.28778708,0.05996111,-0.00348775,-0.18752071,0.09800746,-0.20116179,-0.04916741,0.30540302,0.14160225,-0.02453471,0.13868240,0.27127910,0.29697692,4.23134899,0.10754973,-0.64054668,-2.94470239,-0.29247952,-1.46364129,-0.53426534,0.00000000,0.84634548,0,10:44:46.5,0,0
6,0.43869126,0.24659945,0.86576653,0.77678829,2.41910338,-0.00353829,1.81974947,-0.35658062,-0.23587821,-1.04210758,-0.17951813,-0.04552438,1.28230751,0.05991394,-0.00374884,-0.18754719,0.10312332,-0.20379363,-0.05162704,0.30478901,0.14129789,-0.02747324,0.13654891,0.27340421,0.29632589,4.18110037,0.10741909,-0.62949014,-2.89387345,-0.33416715,-1.44730127,-0.64122480,0.00000000,0.78155720,0,10:44:46.6,0,0
7,0.45122892,0.23146141,0.88255638,0.74213982,2.42990160,-0.00624365,1.63538408,-0.39883870,-0.23507529,-1.02421403,-0.17892522,-0.04479349,1.28060317,0.06020128,-0.00382796,-0.18632695,0.10962011,-0.20579684,-0.05381912,0.30515891,0.13963428,-0.02862447,0.13534614,0.27615353,0.29435632,4.12968969,0.10871223,-0.59705102,-2.74474525,-0.37098414,-1.41145480,-0.73888683,0.00000000,0.73547125,0,10:44:46.7,0,0
8,0.45473015,0.21839201,0.90890348,0.69872350,2.43109918,-0.00683566,1.45173395,-0.43670619,-0.23305474,-1.01618564,-0.17818990,-0.04456298,1.28346443,0.06069428,-0.00371632,-0.18405572,0.11708117,-0.20693536,-0.05573803,0.30664504,0.13649674,-0.02732714,0.13537715,0.27937812,0.29069081,4.08679104,0.11148696,-0.54536116,-2.50711823,-0.39896688,-1.34852278,-0.81607085,0.00000000,0.71748745,0,10:44:46.8,0,0
9,0.44915059,0.20911118,0.94198591,0.65005219,2.42602372,-0.00472618,1.28908193,-0.46493798,-0.22954386,-1.02102661,-0.17736600,-0.04489017,1.29131114,0.06127569,-0.00343565,-0.18098012,0.12507609,-0.20704077,-0.05744625,0.30930135,0.13182873,-0.02299458,0.13689901,0.28286836,0.28503746,4.06042480,0.11568673,-0.47777686,-2.19642162,-0.41473684,-1.25452745,-0.86129016,0.00000000,0.73422843,0,10:44:46.9,0,0
10,0.43516508,0.20513287,0.97866219,0.59983808,2.41831613,0.00045670,1.16587079,-0.47921583,-0.22437955,-1.04119790,-0.17651749,-0.04580288,1.30416858,0.06183988,-0.00304174,-0.17737737,0.13315676,-0.20601812,-0.05906539,0.31309927,0.12565620,-0.01516465,0.14010035,0.28640977,0.27726105,4.05725002,0.12116536,-0.39860383,-1.83244979,-0.41690055,-1.12940490,-0.86470282,0.00000000,0.79040819,0,10:44:47.0,0,0
11,0.41383642,0.20708227,1.01608086,0.55136544,2.40923142,0.00839455,1.09594929,-0.47669095,-0.21765350,-1.07833457,-0.17572556,-0.04730525,1.32166779,0.06227262,-0.00262109,-0.17354172,0.14084262,-0.20385650,-0.06066598,0.31792307,0.11810640,-0.00354986,0.14507943,0.28975305,0.26742393,4.08055210,0.12764940,-0.31274867,-1.43775892,-0.40529668,-0.97807211,-0.82347238,0.00000000,0.88522196,0,10:44:47.1,0,0
12,0.38664874,0.21481887,1.05086267,0.50634879,2.39668632,0.01857634,1.08654928,-0.45603135,-0.20958334,-1.13304412,-0.17507869,-0.04935262,1.34302104,0.06249168,-0.00227793,-0.16981676,0.14764610,-0.20064184,-0.06240840,0.32356280,0.10938440,0.01191503,0.15182742,0.29263487,0.25571933,4.13099813,0.13474329,-0.22532977,-1.03587937,-0.38071868,-0.80643487,-0.73487961,0.00000000,1.01532555,0,10:44:47.2,0,0
13,0.35535571,0.22739190,1.08038163,0.46582234,2.37646866,0.03031591,1.13850999,-0.41788888,-0.20054752,-1.20473838,-0.17465504,-0.05186977,1.36706197,0.06247686,-0.00214816,-0.16643758,0.15322487,-0.19655097,-0.06441122,0.32972860,0.09979399,0.03104226,0.16021781,0.29481786,0.24252531,4.20613956,0.14197335,-0.14128232,-0.64949888,-0.34497637,-0.62405771,-0.60010928,0.00000000,1.17352104,0,10:44:47.3,0,0
14,0.32201722,0.24366672,1.10260296,0.43044692,2.34462047,0.04259878,1.24453688,-0.36381230,-0.19105177,-1.29157758,-0.17452002,-0.05474527,1.39232969,0.06220218,-0.00237165,-0.16370325,0.15720189,-0.19185819,-0.06682783,0.33603796,0.08969319,0.05338099,0.17000592,0.29610068,0.22833523,4.30148602,0.14880253,-0.06499372,-0.29878718,-0.30069184,-0.44205442,-0.42612156,0.00000000,1.34906030,0,10:44:47.4,0,0
15,0.28871253,0.26192111,1.11620939,0.40000609,2.29585457,0.05408574,1.39237618,-0.29776815,-0.18177865,-1.39051414,-0.17471959,-0.05782811,1.41719079,0.06169745,-0.00307020,-0.16178845,0.15936536,-0.18687303,-0.06970789,0.34207809,0.07952159,0.07823474,0.18083812,0.29630411,0.21375369,4.40885544,0.15464924,0.00000002,0.00000007,-0.25246355,-0.27203763,-0.22167890,0.00000000,1.52994084,0,10:44:47.5,0,0
16,0.25730041,0.28018618,1.12066698,0.37336954,2.22485757,0.06363547,1.56413889,-0.22428271,-0.17339905,-1.49744391,-0.17527281,-0.06094660,1.43994415,0.06103464,-0.00435901,-0.16081043,0.15961936,-0.18196176,-0.07308689,0.34742001,0.06972663,0.10468775,0.19227540,0.29532227,0.19944555,4.51896429,0.15894382,0.05123186,0.23552161,-0.20396139,-0.12623265,-0.00179867,0.00000000,1.70166492,0,10:44:47.6,0,0
17,0.22948602,0.29657075,1.11607838,0.34960607,2.12795258,0.07021756,1.74232805,-0.14920662,-0.16655146,-1.60743392,-0.17616931,-0.06391341,1.45896494,0.06029943,-0.00633302,-0.16080415,0.15790810,-0.17749508,-0.07694995,0.35162467,0.06076928,0.13165732,0.20381968,0.29313803,0.18610959,4.62225676,0.16119796,0.08741947,0.40188220,-0.15902831,-0.01313821,0.21952480,0.00000000,1.85109758,0,10:44:47.7,0,0
18,0.20658198,0.30903420,1.10342467,0.32696632,2.00148106,0.07293556,1.90592372,-0.07899576,-0.16183805,-1.71505511,-0.17736311,-0.06653658,1.47283602,0.05958451,-0.00903742,-0.16178055,0.15430245,-0.17382385,-0.08120323,0.35430771,0.05308956,0.15796298,0.21493907,0.28978753,0.17439307,4.70917940,0.16100222,0.10847418,0.49867430,-0.12030043,0.05964513,0.42727593,0.00000000,1.96403730,0,10:44:47.8,0,0
19,0.18964809,0.31644771,1.08444786,0.30462518,1.84730947,0.07099812,2.03641677,-0.01949548,-0.15977754,-1.81476498,-0.17878869,-0.06863201,1.48039329,0.05898985,-0.01247470,-0.16363047,0.14894894,-0.17124960,-0.08570812,0.35514697,0.04706871,0.18240082,0.22511159,0.28541052,0.16487092,4.77106857,0.15811536,0.11540810,0.53055072,-0.09069419,0.08530217,0.60711205,0.00000000,2.02929926,0,10:44:47.9,0,0
20,0.17917189,0.31754336,1.06113505,0.28132838,1.66456902,0.06413256,2.11680961,0.02442398,-0.16068965,-1.90128016,-0.18034157,-0.07003672,1.48089790,0.05860498,-0.01659334,-0.16620173,0.14204331,-0.16998845,-0.09024149,0.35389385,0.04302341,0.20382349,0.23385331,0.28016344,0.15791649,4.80149746,0.15241697,0.11015368,0.50639528,-0.07118603,0.06155038,0.74712759,0.00000000,2.03827953,0,10:44:48.0,0,0
