Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191025135258
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,1428,1072,710,649,652,615,676,629,597,582,676,629,653,615,1085,1190,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,124,124,6,6,98,98,6,6,6,6,31,31,15,15,6,6,31,31,6,6,6,6,15,15,6,6,6,6,12,12,6,6,6,6,7,7,15,15,6,6,7,7,6,6,6,6,7,7,6,6,15,15,6,6,7,7,24,24,6,6,112,112,31,31,6,6,31,31,6,6,6,6,56,56,49,49,6,6,22,22,7,7,6,6,7,7,15,15,6,6,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6,31,31,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,69.86,100.00,58.79,100.00,6.93,26.80,4.87,28.87,1.16,4.30,14.22,43.84,1.41,3.01,1.86,3.96,2.24,2.89,2.30,3.06,2.28,3.64,2.19,3.58,2.20,3.34,2.65,3.89,3.40,5.25,4.15,4.79,1.99,3.21,3.30,4.93,1.88,2.89,1.82,3.27,3.91,6.46,2.60,4.81,1.82,5.17,2.80,1.96,3.13,3.00,1.98,5.16,37.75,61.86,100.00,100.00,23.37,100.00,100.00,100.00,1.00,1.00,100.00,100.00,96.00,100.00,7.98,20.81,6.18,1.00,1.59,4.67,2.17,4.56,2.35,3.41,1.45,2.12,2.25,3.17,2.14,4.39,1.61,2.49,3.21,3.79,1.49,1.98,1.94,2.80,2.87,4.24,1.41,2.33,1.27,2.56,1.74,1.45,17.95,26.81,1.81,5.52,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/10/25 13:53:06
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.33838159,1.07725072,0.02353554,0.04353480,-0.00348080,-0.11802717,-0.07933774,-0.10101919,-0.35292476,-0.15891229,-0.11601254,-0.05058927,0.07549883,-0.20679030,0.22907564,0.09527658,-0.17473772,-0.09604707,-0.01109127,-0.12328289,0.00704578,-0.20949668,-0.17526460,-0.26000610,-0.11744490,-0.02282170,-0.29429743,-0.01980116,-0.26924735,-0.17204066,-0.32622096,-0.98296690,0.00707042,0.39354262,0,13:53:16.1,0,0
2,-0.26294896,1.08921909,0.00465774,0.02112867,-0.02169455,-0.09775234,-0.05605039,-0.09972855,-0.32557425,-0.15769508,-0.11396091,-0.04862461,0.07851872,-0.20541401,0.23203680,0.09621924,-0.17451808,-0.09490276,-0.01138334,-0.12407635,0.00885625,-0.20937724,-0.17475449,-0.26088133,-0.11769376,-0.02181387,-0.29329845,-0.01825924,-0.26651850,-0.16981331,-0.16953626,-0.93720120,0.01931296,0.45192391,0,13:53:16.2,0,0
3,-0.16938147,1.11268675,-0.01131961,0.00846183,-0.01851972,-0.08320574,-0.03759994,-0.09793267,-0.30653363,-0.15643571,-0.11145490,-0.04638233,0.08196573,-0.20407599,0.23522197,0.09701526,-0.17445329,-0.09366421,-0.01144334,-0.12475950,0.01065578,-0.20925602,-0.17411798,-0.26083401,-0.11702298,-0.02074006,-0.29162145,-0.01688172,-0.26396504,-0.16789474,0.03387813,-0.87959594,0.03134992,0.50240022,0,13:53:16.3,0,0
4,-0.06138009,1.14480650,-0.02119543,0.00643047,0.00647107,-0.07521192,-0.02496662,-0.09562002,-0.29672462,-0.15513241,-0.10850094,-0.04389727,0.08575147,-0.20280550,0.23861706,0.09769085,-0.17449196,-0.09217434,-0.01110788,-0.12521751,0.01257822,-0.20901754,-0.17331237,-0.25973341,-0.11535417,-0.01963077,-0.28927812,-0.01565459,-0.26162061,-0.16638255,0.27889732,-0.81243128,0.04193731,0.54209077,0,13:53:16.4,0,0
5,0.05550068,1.18050909,-0.02229771,0.01520978,0.05167049,-0.07391772,-0.01841552,-0.09280161,-0.29602194,-0.15377975,-0.10512684,-0.04119819,0.08980152,-0.20161809,0.24221984,0.09829166,-0.17458241,-0.09026584,-0.01024149,-0.12535304,0.01476442,-0.20855394,-0.17230031,-0.25752023,-0.11267688,-0.01849465,-0.28631523,-0.01453477,-0.25949347,-0.16526373,0.55802947,-0.73800230,0.04976799,0.56941819,0,13:53:16.5,0,0
6,0.17259228,1.21654809,-0.01282538,0.03474291,0.11530904,-0.07894713,-0.01773039,-0.08950748,-0.30359259,-0.15236785,-0.10136789,-0.03832401,0.09403819,-0.20052397,0.24603106,0.09887671,-0.17466463,-0.08780517,-0.00874931,-0.12508343,0.01733482,-0.20776698,-0.17105016,-0.25416800,-0.10901512,-0.01733418,-0.28279191,-0.01347593,-0.25757316,-0.16449825,0.86060822,-0.65712857,0.05360166,0.58471012,0,13:53:16.6,0,0
7,0.28113368,1.25002289,0.00822917,0.06407751,0.19373900,-0.08936807,-0.02220177,-0.08578292,-0.31788129,-0.15088885,-0.09728257,-0.03531342,0.09838638,-0.19950508,0.25005451,0.09952710,-0.17467386,-0.08468499,-0.00657838,-0.12436170,0.02039332,-0.20658252,-0.16953842,-0.24972673,-0.10444587,-0.01613758,-0.27878669,-0.01240684,-0.25582233,-0.16397640,1.17494261,-0.57267004,0.05273426,0.58793408,0,13:53:16.7,0,0
8,0.37212232,1.27852321,0.04051131,0.10215968,0.28304785,-0.10386765,-0.03076706,-0.08169396,-0.33693373,-0.14933698,-0.09294269,-0.03218849,0.10278892,-0.19852890,0.25431150,0.10033298,-0.17454742,-0.08083381,-0.00372051,-0.12317324,0.02400589,-0.20494881,-0.16775747,-0.24429473,-0.09908676,-0.01488978,-0.27439952,-0.01126601,-0.25418702,-0.16351494,1.48784244,-0.48559535,0.04684785,0.57912552,0,13:53:16.8,0,0
9,0.43814504,1.30082333,0.08295117,0.14739169,0.37848663,-0.12090465,-0.04215555,-0.07732822,-0.35855401,-0.14771073,-0.08843634,-0.02895155,0.10722356,-0.19754009,0.25884506,0.10139649,-0.17424017,-0.07621324,-0.00019854,-0.12152905,0.02821522,-0.20282571,-0.16570537,-0.23802733,-0.09310613,-0.01357298,-0.26972261,-0.00999131,-0.25260618,-0.16282947,1.78597903,-0.39798290,0.03582796,0.56235021,0,13:53:16.9,0,0
10,0.47414806,1.31770182,0.13286871,0.19814777,0.47570285,-0.13866380,-0.05485701,-0.07277685,-0.38027599,-0.14600022,-0.08384445,-0.02560234,0.11167669,-0.19648659,0.26369333,0.10280336,-0.17371719,-0.07084915,0.00390920,-0.11948153,0.03301667,-0.20021431,-0.16339515,-0.23110431,-0.08668302,-0.01216887,-0.26484442,-0.00853509,-0.25100166,-0.16178504,2.05608630,-0.31253862,0.02011649,0.53876716,0,13:53:17.0,0,0
11,0.47700262,1.33064628,0.18705717,0.25236022,0.57010674,-0.15538789,-0.06741913,-0.06814472,-0.39999482,-0.14420754,-0.07926168,-0.02214200,0.11613128,-0.19529742,0.26887965,0.10462677,-0.17295912,-0.06481054,0.00847995,-0.11711897,0.03836044,-0.19713695,-0.16085383,-0.22375073,-0.08002973,-0.01067226,-0.25987461,-0.00686142,-0.24930300,-0.16023086,2.28789353,-0.23098125,0.00044124,0.51112193,0,13:53:17.1,0,0
12,0.44700876,1.34404457,0.24126381,0.30806324,0.65807825,-0.16964841,-0.07867714,-0.06354451,-0.41605040,-0.14233831,-0.07477575,-0.01857353,0.12057445,-0.19390394,0.27442369,0.10692105,-0.17195930,-0.05821367,0.01336747,-0.11454405,0.04416179,-0.19364592,-0.15812062,-0.21621862,-0.07336602,-0.00907714,-0.25490543,-0.00495106,-0.24744584,-0.15805466,2.47194386,-0.15554293,-0.02201799,0.48132223,0,13:53:17.2,0,0
13,0.38878360,1.36125529,0.29122370,0.36308143,0.73717701,-0.18033059,-0.08780252,-0.05908677,-0.42753017,-0.14040054,-0.07047288,-0.01488422,0.12500180,-0.19225767,0.28034309,0.10971065,-0.17074308,-0.05118909,0.01841553,-0.11188656,0.05032501,-0.18980709,-0.15524468,-0.20872904,-0.06688818,-0.00737151,-0.25000498,-0.00278865,-0.24535252,-0.15525188,2.60355616,-0.08865415,-0.04573444,0.44631934,0,13:53:17.3,0,0
14,0.30915958,1.38640404,0.33316842,0.41595736,0.80522054,-0.18654762,-0.09407301,-0.05487525,-0.43368739,-0.13840246,-0.06641945,-0.01106689,0.12940209,-0.19030750,0.28663942,0.11300448,-0.16933931,-0.04389341,0.02346439,-0.10926546,0.05672056,-0.18569793,-0.15228176,-0.20148607,-0.06077797,-0.00556563,-0.24522626,-0.00038995,-0.24297629,-0.15196085,2.68043327,-0.03286169,-0.06919574,0.40967774,0,13:53:17.4,0,0
15,0.21807835,1.42245495,0.36296061,0.46455413,0.86113238,-0.18822232,-0.09741584,-0.05101385,-0.43496719,-0.13635533,-0.06266969,-0.00712492,0.13375740,-0.18803112,0.29329547,0.11676625,-0.16780338,-0.03651875,0.02834899,-0.10679515,0.06320198,-0.18141103,-0.14929147,-0.19468014,-0.05518703,-0.00368373,-0.24062082,0.00220865,-0.24028954,-0.14831872,2.70359874,0.01019718,-0.09080679,0.37187445,0,13:53:17.5,0,0
16,0.12710859,1.47221470,0.37753797,0.50771660,0.90517765,-0.18546939,-0.09797545,-0.04760212,-0.43209821,-0.13428529,-0.05927678,-0.00307261,0.13802636,-0.18543962,0.30026567,0.12093185,-0.16620435,-0.02925743,0.03291665,-0.10458301,0.06961755,-0.17704283,-0.14633232,-0.18844892,-0.05021631,-0.00175654,-0.23622353,0.00495274,-0.23728400,-0.14458582,2.67737532,0.03999401,-0.10925382,0.33330196,0,13:53:17.6,0,0
17,0.04720782,1.53682661,0.37522882,0.54441601,0.93873709,-0.17903262,-0.09638252,-0.04473028,-0.42656597,-0.13222530,-0.05627589,0.00107736,0.14217968,-0.18255498,0.30750439,0.12542652,-0.16459776,-0.02226037,0.03707653,-0.10270336,0.07584381,-0.17268711,-0.14345562,-0.18287982,-0.04592447,0.00018390,-0.23204380,0.00778804,-0.23396678,-0.14106688,2.60833025,0.05568739,-0.12372893,0.29450694,0,13:53:17.7,0,0
18,-0.01099562,1.61640990,0.35517654,0.57414037,0.96380758,-0.17000775,-0.09345756,-0.04246413,-0.42015290,-0.13020010,-0.05367862,0.00528874,0.14616545,-0.17942588,0.31493503,0.13014603,-0.16304812,-0.01568621,0.04073729,-0.10120871,0.08176617,-0.16843134,-0.14071019,-0.17800981,-0.04231487,0.00209702,-0.22808848,0.01063002,-0.23037951,-0.13802156,2.50542641,0.05856626,-0.13342033,0.25641745,0,13:53:17.8,0,0
19,-0.03830503,1.70788264,0.31771612,0.59568787,0.98158085,-0.15973030,-0.09016830,-0.04085114,-0.41475126,-0.12823924,-0.05147902,0.00951002,0.14992115,-0.17612138,0.32245985,0.13497506,-0.16160838,-0.00964928,0.04387319,-0.10012250,0.08730410,-0.16435409,-0.13814236,-0.17380279,-0.03933296,0.00393921,-0.22433545,0.01340013,-0.22658341,-0.13568419,2.37945461,0.05050951,-0.13814715,0.22136791,0,13:53:17.9,0,0
