Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191018135758
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,708,648,735,664,557,559,596,582,557,559,616,594,578,571,1565,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,72,72,12,12,6,6,15,15,31,31,6,6,15,15,6,6,7,7,7,7,31,31,6,6,30,30,7,7,6,6,15,15,24,24,6,6,7,7,7,7,6,6,15,15,7,7,120,120,6,6,6,6,49,49,6,6,6,6,31,31,6,6,49,49,6,6,6,6,15,15,44,44,6,6,7,7,6,6,7,7,31,31,6,6,15,15,7,7,6,6,15,15,124,124,7,7,7,7,6,6,56,56,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,7.94,37.53,100.00,100.00,3.20,8.06,4.73,22.35,1.44,5.42,5.64,11.09,1.69,3.44,3.12,5.95,2.71,3.23,2.73,3.78,3.09,5.06,1.94,3.81,8.32,13.01,4.69,5.73,3.56,5.52,7.30,6.97,3.02,3.64,4.45,6.11,6.48,9.27,2.47,3.71,4.39,6.24,3.96,6.62,1.00,1.00,3.01,2.74,1.85,4.02,44.72,100.00,81.92,100.00,100.00,1.00,100.00,100.00,1.00,1.00,1.00,100.00,100.00,100.00,61.74,100.00,2.92,7.55,2.84,20.38,2.03,6.87,3.48,6.86,1.89,2.62,3.05,4.28,2.30,2.98,23.58,45.80,2.68,4.20,4.13,4.57,1.98,2.29,2.16,2.91,24.54,24.85,2.19,3.21,1.91,3.71,1.34,1.54,4.68,4.69,24.37,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/10/18 13:58:04
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.09284507,-0.27340606,-0.37683985,0.20126069,1.06057549,-0.03258313,-0.00775197,-0.02427436,-0.11437565,-0.10821038,-0.05794063,-0.16759883,-0.05041308,-0.08182352,-0.01897433,-0.05578648,-0.02400712,-0.16526638,-0.10792729,0.02138912,-0.07215971,-0.06412474,0.05151350,-0.12850408,-0.07237048,0.00000000,-0.03141725,-0.06554914,0.61751968,-0.21624178,0.34343508,7.48923635,0.00000000,0.00000000,0,13:58:13.1,0,0
2,-1.75926352,-0.82890445,-1.60504198,-0.10822576,-1.21796930,-0.02345783,0.16394763,-0.05568413,-0.07896470,-0.12930636,-0.07508211,-0.23023576,-0.05189563,-0.01499375,-0.01899540,0.13244125,0.09021758,-0.09589556,0.02923733,-0.00857340,-0.02980439,-0.19830514,-0.01914804,-0.17174666,-0.11043316,0.00000000,-0.04461666,-0.06554914,0.74142390,-0.52773100,0.34343508,0.00000000,0.00000000,0.00000000,0,13:58:13.2,0,0
3,0.10156085,0.16715778,2.16344500,0.05985003,0.96698600,-0.17074920,-0.10740572,-0.01134623,-0.23885612,-0.10720675,-0.04914539,-0.22572006,-0.07608443,-0.02620034,-0.09826898,0.04647248,0.00133579,-0.11703888,-0.05080001,-0.05674843,-0.04370282,-0.20929791,-0.03632216,-0.29290378,-0.22142652,0.00000000,-0.12865186,-0.08440108,0.61751968,-0.26107258,-0.66020823,1.12998772,0.00000000,2.41485763,0,13:58:13.3,0,0
4,-0.86382264,0.90465528,-1.60504198,0.28877768,1.70205259,0.09066299,0.10197101,-0.03992485,-0.07733720,-0.10665380,-0.05794063,-0.18041030,0.00116761,-0.02612616,0.00715730,0.05035615,-0.00556642,-0.06008348,0.08867227,-0.01133119,-0.00123369,-0.10408802,0.02130366,-0.16462682,-0.12816994,0.00000000,-0.03334955,-0.04875926,0.54250711,0.13954952,0.34343508,-2.11005211,0.00000000,1.06659365,0,13:58:13.4,0,0
5,-2.49433017,-0.82890445,-1.60504198,0.32719851,0.31861517,0.08325525,-0.05512479,-0.03725524,-0.09202728,-0.10471513,-0.07199598,-0.11555442,0.04305644,-0.01213183,0.07051480,0.14192162,0.07352122,-0.05797974,0.06918421,-0.05705068,0.00848114,-0.22344074,-0.03022333,-0.18775068,-0.14535733,0.00000000,-0.00864755,-0.07225619,1.17301810,0.92863750,3.15525436,0.00000000,0.00000000,0.00000000,0,13:58:13.5,0,0
6,0.83480543,-0.53955191,1.32178807,0.10913898,-0.63805246,0.03678380,-0.03817581,-0.09811074,-0.13239717,-0.14003499,-0.13780156,-0.11385646,0.01798161,-0.04011048,0.08924830,0.05694314,0.00668475,-0.02392359,0.07515415,-0.00857340,0.04199297,-0.22344074,-0.01914804,-0.07590040,-0.01668024,0.00000000,0.00293834,-0.04875926,0.29149494,0.51999563,1.57163715,-0.66795319,0.00000000,-1.23844147,0,13:58:13.6,0,0
7,-0.63350576,-0.38834059,2.90540528,0.18512666,0.01031840,0.06392747,0.11891999,-0.02683277,-0.10727852,-0.08747052,-0.05794063,-0.12820286,0.00420422,0.00173582,0.05703850,0.13244125,0.05359164,-0.02864464,0.04838908,0.01890376,0.01537925,-0.07636531,0.02130366,-0.06543069,-0.03357760,0.00000000,0.03731811,-0.04875926,0.78417861,0.33925661,-0.66020823,3.70645380,0.00000000,3.76315641,0,13:58:13.7,0,0
8,-1.75236976,-0.38834059,-1.60504198,0.07150580,0.01031840,0.04081006,0.12359630,-0.02511330,-0.06587485,-0.07479388,-0.02490673,-0.14934137,0.01958620,0.00182834,0.00551232,0.16597614,0.08817084,-0.07949107,0.01144971,-0.02778813,0.00556075,-0.19850135,-0.00168935,-0.16462682,-0.10910570,0.00000000,-0.02329916,-0.04875926,0.29149494,0.33925661,4.11337900,-2.25157046,0.00000000,-1.23844147,0,13:58:13.8,0,0
9,-1.70509577,-0.70529175,-1.60504198,-0.17595099,-1.98641992,-0.09258399,-0.15584207,-0.01120931,-0.19424318,-0.07745837,-0.03904659,-0.16932929,0.00116761,-0.02608901,-0.00917051,0.05694314,0.04173838,-0.06008348,0.10804699,-0.00857340,0.03194359,-0.17058243,-0.00168935,-0.17917256,-0.12702607,0.00000000,-0.03888173,-0.06046884,0.74142390,-0.21624178,-0.66020823,3.67411542,0.00000000,-3.54316688,0,13:58:13.9,0,0
10,-0.63350576,-0.38834059,1.32178807,-0.04069996,-0.63805246,-0.14466029,0.02431710,-0.02951437,-0.21121041,-0.09653141,-0.04204821,-0.20507765,-0.03332169,0.00184004,-0.01583460,0.17154375,0.08817084,-0.06026010,0.08089414,-0.04871715,0.00556075,-0.25864664,-0.04200741,-0.17384732,-0.10976276,0.00000000,-0.06896755,-0.06331944,0.58084750,0.42890209,0.34343508,-0.66795319,0.00000000,0.10992596,0,13:58:14.0,0,0
11,2.66931129,0.37999097,1.32178807,-0.04069996,0.96698600,-0.15629378,-0.13500653,-0.02682807,-0.23748201,-0.11274488,-0.05618807,-0.21909568,-0.06132835,0.02936630,-0.05961221,0.24029571,0.13484561,-0.06026010,0.06174240,-0.01864691,-0.01088767,-0.20929791,0.00562280,-0.20542803,-0.12617376,0.00000000,-0.05783850,-0.08440108,0.45207137,0.13954952,0.34343508,0.00000000,0.00000000,0.10992596,0,13:58:14.1,0,0
12,2.90466452,-0.22631277,2.90540528,0.00891837,-0.60298246,-0.05414094,-0.31856593,-0.06889053,-0.21641579,-0.12317039,-0.13780156,-0.14245284,0.01260651,-0.01499375,0.04016475,0.17909890,0.09696484,-0.07526142,0.06918421,-0.02505844,0.02776271,-0.18769859,-0.00726863,-0.17263354,-0.12702607,0.00000000,-0.02526656,-0.05830091,1.07353115,0.51999563,1.57163715,0.00000000,0.00000000,0.00000000,0,13:58:14.2,0,0
13,0.83480543,-1.14585567,-0.37683985,0.00891837,-1.98641992,0.01129075,-0.01950326,0.01048008,-0.14422226,-0.04648205,0.00360068,-0.10114548,0.08383519,-0.05387902,0.09072379,-0.02582901,-0.02259301,-0.06008348,0.04251422,-0.00497657,0.02529663,-0.17376089,-0.00349814,-0.11860013,-0.08928565,0.00000000,-0.00446781,-0.04404113,1.17301810,-0.21624178,-0.66020823,1.44209886,0.00000000,-3.54316688,0,13:58:14.3,0,0
14,0.10156085,0.37999097,2.90540528,0.22354749,0.96698600,0.07862917,0.17209709,0.01920289,-0.06839734,-0.03094743,0.02606343,-0.08988240,0.07563120,0.01573015,0.05021067,0.20152910,0.07203234,-0.07732875,0.05577942,-0.02681572,0.02529663,-0.19065937,-0.01084861,-0.12850408,-0.07237048,0.00000000,0.00293834,-0.04875926,0.78417861,0.33925661,4.96184397,-2.26885796,0.00000000,4.43043661,0,13:58:14.4,0,0
15,0.83480543,-0.09898804,0.57982779,0.14703123,0.96698600,0.05853736,0.08083084,-0.02951437,-0.07733720,-0.07290809,-0.04812715,-0.09585160,0.07526208,-0.01216599,0.09215140,0.13481225,0.08147016,0.00764243,0.14642692,0.00234725,0.11867907,-0.13780108,0.00932151,-0.18362629,-0.16408667,0.00000000,0.00707440,-0.05609907,0.42821884,0.80934823,1.57163715,0.00000000,0.00000000,0.00000000,0,13:58:14.5,0,0
16,-1.01730311,-0.38834059,-0.64837432,0.03418564,0.01031840,-0.01469682,0.04300400,-0.02956150,-0.12610170,-0.06566533,-0.01354080,-0.13509379,0.03314365,0.00192141,0.02382689,0.13481225,0.05486155,-0.02641372,0.06174240,-0.02778813,0.03194359,-0.19065937,-0.00726863,-0.11914297,-0.07134195,0.00000000,-0.00824751,-0.05830091,0.45207137,0.13954952,0.34343508,-2.25157046,0.00000000,0.10992596,0,13:58:14.6,0,0
17,-4.51691532,1.19521952,-1.72520721,-0.00294031,1.59385014,-0.10768002,-0.00775197,-0.02956150,-0.11725443,-0.08747052,-0.02781296,-0.16932929,-0.00882322,0.00138288,0.00065119,0.08440366,0.06997246,-0.12546603,0.02313949,-0.00497657,-0.02745201,-0.11306062,0.00016224,-0.15481636,-0.10976276,0.00000000,-0.02954516,-0.05388556,0.45207137,0.42890209,0.34343508,7.48923635,0.00000000,0.00000000,0,13:58:14.7,0,0
18,-1.02605498,0.90465528,1.32178807,-0.04069996,1.70205259,-0.09874299,0.17959015,-0.04258735,-0.09209207,-0.13073356,-0.09697515,-0.18738395,-0.06208156,0.00173582,-0.03853016,0.11995663,0.08841315,-0.06259563,0.08636460,-0.03228305,0.00574857,-0.19850135,-0.01357619,-0.14549963,-0.09212711,0.00000000,-0.05400968,-0.07055210,0.61751968,0.16585246,7.01782990,-1.95318031,0.00000000,5.23237896,0,13:58:14.8,0,0
19,0.95002609,0.29835153,2.16344500,-0.14435098,0.24548273,-0.28152627,-0.35798404,-0.01375509,-0.29812086,-0.12705675,-0.03904659,-0.22572006,-0.04321409,-0.01224508,-0.05807452,0.01210216,0.01686902,-0.07949107,0.04838908,-0.05674843,0.00556075,-0.23092392,-0.01357619,-0.17141537,-0.11043316,0.00000000,-0.05361259,-0.07310724,0.30056855,0.07311078,1.57163715,1.63677216,0.00000000,2.41485763,0,13:58:14.9,0,0
