Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191025131940
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,893,757,660,620,567,565,616,594,567,565,646,611,618,595,1330,1595,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,96,96,6,6,124,124,6,6,6,6,31,31,28,28,6,6,31,31,6,6,12,12,15,15,24,24,7,7,12,12,6,6,6,6,12,12,15,15,7,7,15,15,7,7,6,6,7,7,7,7,28,28,6,6,6,6,24,24,6,6,150,150,31,31,6,6,44,44,6,6,6,6,56,56,49,49,7,7,31,31,7,7,12,12,48,48,49,49,12,12,14,14,12,12,15,15,15,15,6,6,6,6,6,6,24,24,12,12,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,46.43,100.00,55.85,100.00,10.70,34.55,3.75,20.59,1.25,4.45,20.42,39.92,1.49,2.99,1.74,3.73,3.00,3.97,2.47,3.77,4.13,7.04,2.05,3.81,3.06,5.46,3.22,3.74,3.37,6.01,7.70,7.37,3.09,3.93,4.08,5.67,3.18,4.59,1.90,3.34,4.35,6.63,2.96,5.51,1.67,6.67,2.80,1.89,2.39,2.42,2.09,4.61,40.85,54.73,1.00,1.00,23.55,66.82,100.00,100.00,100.00,45.93,100.00,100.00,100.00,100.00,7.99,21.51,5.95,100.00,2.47,8.04,2.67,6.30,3.66,5.48,2.20,3.31,2.61,2.61,3.08,3.11,1.89,3.32,2.49,2.52,2.38,2.60,2.27,3.50,2.68,3.93,1.67,2.69,1.92,3.98,1.66,1.41,2.68,2.65,1.52,5.20,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/25 13:19:48
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.21355449,-0.07576473,-0.17663953,-0.11364437,-0.52237165,-0.38982490,-0.41394594,-0.22429760,-0.66237986,-0.19683434,0.04152002,-0.17782423,0.12014364,-0.00055549,-0.19573316,-0.07542488,0.11870218,-0.31001237,0.13310824,0.12781978,-0.00048757,-0.04209691,0.00118863,0.02825772,0.04673048,-0.01260501,-0.17473784,-0.02105348,-0.12506564,0.01844918,0.00000000,-0.46333772,0.24406785,-1.49058974,0,13:19:58.1,0,0
2,0.25175190,-0.09036236,-0.18078549,-0.11022014,-0.47739658,-0.40197510,-0.42419741,-0.22314517,-0.64660645,-0.19487752,0.04280253,-0.17944732,0.11884341,0.00232555,-0.19610761,-0.07434349,0.11916617,-0.30792716,0.14022774,0.12949318,0.00368736,-0.03993285,0.00138397,0.03141774,0.04957907,-0.01351893,-0.17237772,-0.02046769,-0.12307128,0.01741260,0.00000000,-0.44510803,0.18577571,-1.49224484,0,13:19:58.2,0,0
3,0.28335083,-0.09379746,-0.18517762,-0.10689931,-0.42568696,-0.41182101,-0.43528581,-0.22188188,-0.62546962,-0.19272448,0.04431760,-0.18048640,0.11789666,0.00584112,-0.19641635,-0.07267179,0.11996573,-0.30503842,0.14766288,0.13095216,0.00820487,-0.03767681,0.00169639,0.03482178,0.05254533,-0.01395665,-0.16977784,-0.01985430,-0.12110203,0.01351358,0.00000000,-0.41671610,0.11509597,-1.42535138,0,13:19:58.3,0,0
4,0.30515137,-0.08686573,-0.18980047,-0.10401514,-0.36830369,-0.41894820,-0.44670609,-0.22051086,-0.60024679,-0.19040859,0.04598458,-0.18082783,0.11738830,0.00982407,-0.19657439,-0.07047284,0.12106527,-0.30152777,0.15488912,0.13222843,0.01281843,-0.03531862,0.00219060,0.03839382,0.05562093,-0.01389434,-0.16706178,-0.01919664,-0.11916312,0.00708562,0.00000000,-0.37881374,0.03498932,-1.29883933,0,13:19:58.4,0,0
5,0.31414643,-0.07099082,-0.19416700,-0.10199521,-0.30774155,-0.42265552,-0.45767316,-0.21904482,-0.57208943,-0.18796641,0.04772758,-0.18042740,0.11735965,0.01408769,-0.19651070,-0.06782012,0.12240957,-0.29761481,0.16139917,0.13338606,0.01727358,-0.03285414,0.00292368,0.04206526,0.05880376,-0.01332519,-0.16435312,-0.01847132,-0.11725086,-0.00135497,0.00000000,-0.33180290,-0.05113349,-1.12784648,0,13:19:58.5,0,0
6,0.30849642,-0.04742099,-0.19770420,-0.10072615,-0.24545595,-0.42217353,-0.46739298,-0.21749751,-0.54199511,-0.18543200,0.04947383,-0.17926331,0.11784782,0.01844386,-0.19614094,-0.06481085,0.12393999,-0.29351759,0.16677800,0.13450234,0.02136054,-0.03025125,0.00395211,0.04573603,0.06206669,-0.01224916,-0.16177599,-0.01765416,-0.11532945,-0.01120677,0.00000000,-0.27804509,-0.13920543,-0.92870182,0,13:19:58.6,0,0
7,0.28619036,-0.01785249,-0.19860093,-0.10007966,-0.18323401,-0.41654152,-0.47478923,-0.21588035,-0.51075733,-0.18283398,0.05116105,-0.17736980,0.11885162,0.02270451,-0.19538246,-0.06154012,0.12559085,-0.28943446,0.17071576,0.13566487,0.02491375,-0.02747614,0.00532482,0.04932356,0.06538869,-0.01070311,-0.15943789,-0.01673182,-0.11337624,-0.02162475,0.00000000,-0.21839802,-0.22485630,-0.72221124,0,13:19:58.7,0,0
8,0.24547206,0.01653123,-0.19776541,-0.09983803,-0.12260070,-0.40510306,-0.47903726,-0.21421911,-0.47910967,-0.18019123,0.05274876,-0.17480327,0.12035332,0.02671774,-0.19416393,-0.05809049,0.12730645,-0.28555685,0.17304263,0.13695894,0.02783203,-0.02452138,0.00706032,0.05278814,0.06875359,-0.00873892,-0.15739661,-0.01569001,-0.11134768,-0.03168377,0.00000000,-0.15590940,-0.30338264,-0.52711201,0,13:19:58.8,0,0
9,0.18602894,0.05435698,-0.19453704,-0.09964595,-0.06526535,-0.38740030,-0.47933185,-0.21254088,-0.44753805,-0.17752063,0.05420614,-0.17167562,0.12229445,0.03033743,-0.19244677,-0.05456089,0.12902419,-0.28203878,0.17370607,0.13845380,0.03005175,-0.02138629,0.00916690,0.05602498,0.07211073,-0.00642533,-0.15571775,-0.01452821,-0.10921011,-0.04050798,0.00000000,-0.09320468,-0.37053546,-0.35974321,0,13:19:58.9,0,0
10,0.10887198,0.09464340,-0.18670996,-0.09912504,-0.01255105,-0.36314166,-0.47502086,-0.21087477,-0.41620722,-0.17483324,0.05553414,-0.16812229,0.12460177,0.03346119,-0.19021434,-0.05102449,0.13069513,-0.27898636,0.17275883,0.14019367,0.03157674,-0.01809016,0.01161604,0.05897001,0.07541478,-0.00382359,-0.15444507,-0.01323653,-0.10691658,-0.04728707,0.00000000,-0.03267896,-0.42262077,-0.23462565,0,13:19:59.0,0,0
11,0.01469417,0.13666846,-0.17554085,-0.09778111,0.03414710,-0.33215678,-0.46566972,-0.20924310,-0.38498512,-0.17213511,0.05674369,-0.16428198,0.12719370,0.03604945,-0.18746841,-0.04751979,0.13230504,-0.27647233,0.17041866,0.14221741,0.03247492,-0.01466313,0.01437170,0.06152820,0.07859690,-0.00102736,-0.15358739,-0.01181739,-0.10444409,-0.05129929,0.00000000,0.02312050,-0.45635068,-0.16164863,0,13:19:59.1,0,0
12,-0.09555050,0.18004464,-0.16176593,-0.09503897,0.07410494,-0.29498014,-0.45121834,-0.20766817,-0.35384688,-0.16942568,0.05787106,-0.16030413,0.12998502,0.03809982,-0.18423414,-0.04407402,0.13383895,-0.27453575,0.16694656,0.14452033,0.03284319,-0.01115750,0.01736092,0.06365482,0.08161298,0.00186675,-0.15312399,-0.01027457,-0.10177705,-0.05206526,0.00000000,0.07189568,-0.46999523,-0.14632094,0,13:19:59.2,0,0
13,-0.22070673,0.22521619,-0.14622426,-0.09033138,0.10695968,-0.25239357,-0.43190086,-0.20616235,-0.32248601,-0.16670248,0.05896623,-0.15632221,0.13289914,0.03965846,-0.18056369,-0.04068292,0.13531202,-0.27314249,0.16272250,0.14710136,0.03283916,-0.00762373,0.02051855,0.06532720,0.08443002,0.00477109,-0.15298836,-0.00861447,-0.09891027,-0.04923562,0.00000000,0.11126522,-0.46247056,-0.18738011,0,13:19:59.3,0,0
14,-0.35601690,0.27150550,-0.12883052,-0.08344048,0.13221923,-0.20561559,-0.40825331,-0.20473194,-0.29076281,-0.16395906,0.06008283,-0.15244471,0.13586585,0.04080721,-0.17652193,-0.03731131,0.13674884,-0.27221075,0.15816690,0.14989923,0.03263976,-0.00413500,0.02375333,0.06651464,0.08699616,0.00759944,-0.15310848,-0.00682826,-0.09583988,-0.04278499,0.00000000,0.14011961,-0.43432745,-0.27946070,0,13:19:59.4,0,0
15,-0.49770361,0.31932023,-0.11057287,-0.07396948,0.15049344,-0.15637667,-0.38120270,-0.20337392,-0.25876260,-0.16118576,0.06127798,-0.14872311,0.13885744,0.04167555,-0.17214665,-0.03389970,0.13820150,-0.27160841,0.15375608,0.15285648,0.03245239,-0.00074688,0.02698164,0.06727134,0.08932142,0.01026840,-0.15335463,-0.00489804,-0.09256425,-0.03280328,0.00000000,0.15781504,-0.38686353,-0.41198605,0,13:19:59.5,0,0
16,-0.63985181,0.36820784,-0.09083249,-0.06208159,0.16168423,-0.10681526,-0.35202858,-0.20207433,-0.22707559,-0.15837608,0.06260844,-0.14517838,0.14184961,0.04239660,-0.16750850,-0.03039367,0.13971326,-0.27122545,0.14987621,0.15588561,0.03242877,0.00246472,0.03011392,0.06762501,0.09140001,0.01273831,-0.15361360,-0.00281501,-0.08909361,-0.01972968,0.00000000,0.16367650,-0.32291147,-0.57254738,0,13:19:59.6,0,0
17,-0.77786523,0.41684118,-0.07033477,-0.04837838,0.16447268,-0.05922877,-0.32219058,-0.20080604,-0.19620156,-0.15551902,0.06412404,-0.14181453,0.14484583,0.04311087,-0.16267739,-0.02673651,0.14133939,-0.27091560,0.14692849,0.15889509,0.03271163,0.00544716,0.03307211,0.06762635,0.09324537,0.01493443,-0.15374917,-0.00058315,-0.08545351,-0.00406810,0.00000000,0.15785314,-0.24594691,-0.74388331,0,13:19:59.7,0,0
18,-0.90514874,0.46351984,-0.04874300,-0.03370656,0.15874290,-0.01588420,-0.29314160,-0.19954847,-0.16707480,-0.15262789,0.06585741,-0.13860843,0.14784345,0.04396665,-0.15773003,-0.02286846,0.14312160,-0.27050531,0.14526485,0.16179201,0.03343827,0.00815541,0.03579769,0.06734330,0.09489108,0.01683329,-0.15364678,0.00180070,-0.08166403,0.01326514,0.00000000,0.14137214,-0.16088749,-0.91191673,0,13:19:59.8,0,0
19,-1.01541364,0.50678116,-0.02578125,-0.01896262,0.14418094,0.02067913,-0.26660186,-0.19827139,-0.14107105,-0.14971255,0.06781930,-0.13549924,0.15086590,0.04505670,-0.15273461,-0.01876396,0.14508913,-0.26987624,0.14512737,0.16448013,0.03465190,0.01055390,0.03824393,0.06684014,0.09636756,0.01842398,-0.15318590,0.00433797,-0.07775228,0.03133700,0.00000000,0.11511303,-0.07263444,-1.05794644,0,13:19:59.9,0,0
