Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191018131959
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,653,615,675,628,562,562,646,611,607,588,691,638,648,612,1320,1578,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,150,150,6,6,49,49,6,6,6,6,15,15,28,28,6,6,24,24,6,6,6,6,7,7,24,24,6,6,12,12,7,7,6,6,7,7,15,15,7,7,6,6,7,7,7,7,12,12,6,6,14,14,7,7,6,6,124,124,6,6,6,6,31,31,6,6,49,49,6,6,6,6,15,15,31,31,7,7,15,15,7,7,7,7,15,15,6,6,14,14,7,7,6,6,6,6,15,15,6,6,6,6,7,7,44,44,6,6,6,6,6,6
Digital Gain,1.00,100.00,100.00,100.00,100.00,96.47,68.07,100.00,1.00,1.00,2.93,7.86,3.70,10.73,1.62,4.14,4.14,7.08,2.02,3.27,2.64,4.57,3.50,3.90,2.66,3.52,3.17,5.53,2.18,3.84,4.64,8.06,2.81,5.09,4.39,7.17,4.82,6.89,2.71,6.07,2.24,3.15,2.60,4.13,2.12,5.75,2.90,4.22,1.84,4.56,1.50,6.63,4.40,3.37,1.75,2.52,1.00,1.00,70.97,68.07,100.00,100.00,1.00,1.00,1.00,1.00,100.00,35.38,100.00,100.00,33.25,92.65,3.29,9.93,5.41,24.58,100.00,100.00,100.00,100.00,2.54,3.21,3.32,4.63,2.35,4.05,11.61,20.16,1.95,3.21,2.78,4.47,1.41,2.47,1.58,2.06,2.40,3.54,1.49,3.26,1.00,3.35,2.66,3.31,2.54,2.55,18.68,93.89,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/10/18 13:20:05
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-1.62531483,12.36945629,-0.54810184,0.00000000,-0.14999683,-0.24586789,-0.16940065,-0.32091483,-0.20176435,-0.19934094,-0.10950615,0.08459532,-0.09916415,0.18329242,0.13769336,0.02493248,0.01154410,0.14061715,-0.00797890,0.12182712,-0.01047985,-0.03050006,-0.08220249,-0.23174582,-0.01526253,-0.21771996,-0.21078560,0.00000000,-0.05337073,-0.00320960,0.00000000,0.00000000,-0.51778877,0,13:20:14.1,0,0
2,3.25123620,-2.58198261,-1.74917090,-0.54810184,0.00000000,0.05883648,-0.06323875,-0.14864528,-0.14889744,-0.18390867,-0.17341743,-0.05270725,0.09114151,-0.11332648,0.17887178,0.15854961,0.03863949,0.03501159,0.17692687,0.05001070,0.17304267,0.04798071,0.02507055,0.07579458,-0.09257244,-0.02081625,-0.07052558,-0.19255881,0.00000000,0.33795375,1.67775762,0.00000000,0.00000000,7.00950193,0,13:20:14.2,0,0
3,0.00000000,4.42216444,-0.22278821,1.44609404,0.00000000,-0.12844177,-0.35191768,-0.13467455,-0.28978330,-0.14399371,-0.14537989,-0.03287021,0.13148613,-0.14162852,0.25751051,0.06806373,-0.03934554,-0.04811461,0.11664154,0.01745563,0.16514875,0.07488903,0.01145324,0.01290944,-0.16367453,-0.01978171,-0.15867364,-0.19618142,0.00000000,0.14802675,1.67775762,3.50546885,0.00000000,-2.79897475,0,13:20:14.3,0,0
4,-1.35306573,0.12028877,-1.41703987,-0.23370668,0.00000000,0.10962433,0.00116447,-0.15597361,-0.05170937,-0.16505672,-0.15927939,0.02011428,0.20977020,-0.07065678,0.26563302,0.20681360,0.03863949,0.01153727,0.12955333,0.06364683,0.17304267,0.12112335,0.02507055,0.10160003,-0.09063070,-0.01526253,-0.13459015,-0.19255881,0.00000000,0.14802675,-0.62696773,3.50546885,0.00000000,-2.11108351,0,13:20:14.4,0,0
5,0.00000000,-1.19071305,-0.87461376,0.94636017,0.00000000,-0.06945109,-0.30045354,-0.17401521,-0.22897378,-0.17438065,-0.19675225,0.05343029,0.24475409,-0.14162852,0.32393122,0.16187842,-0.00265241,-0.04811461,0.09303503,0.04476211,0.15350433,0.07470499,0.01327103,0.12410688,-0.06683140,-0.01978171,-0.07441095,-0.20077613,0.00000000,0.28061286,0.52145469,0.00000000,0.00000000,1.16189826,0,13:20:14.5,0,0
6,-2.46175146,-0.62167156,-1.41703987,0.09967610,0.00000000,-0.01373552,-0.05751235,-0.14403072,-0.16737418,-0.15384139,-0.11998831,-0.08010440,0.14177603,-0.14159161,0.23374350,0.09503341,-0.02537158,-0.04990271,0.06005351,-0.04404460,0.13907561,0.01306368,-0.06220284,0.12044259,-0.07455025,-0.00615668,-0.06628758,-0.19616745,0.00000000,-0.37771127,0.75821483,0.00000000,0.00000000,-4.23709583,0,13:20:14.6,0,0
7,3.32323289,1.23348022,-1.41703987,0.45462632,0.00000000,-0.03498193,-0.18228184,-0.10018257,-0.22541262,-0.12538302,-0.08232277,-0.01031624,0.16681655,-0.07980250,0.26965171,0.15854961,0.04310834,0.00815570,0.17264791,0.00107482,0.14778964,0.02433604,-0.00494112,-0.04207298,-0.18006313,-0.02081625,-0.22563405,-0.20167974,0.00000000,0.33795375,1.67775762,0.00000000,0.00000000,-2.85309839,0,13:20:14.7,0,0
8,0.00000000,0.60653055,-1.28256404,0.37259704,0.00000000,-0.10170435,-0.25873777,-0.16272351,-0.26195791,-0.19148061,-0.15927939,-0.06860022,0.16744456,-0.12746619,0.23708762,0.04677185,-0.02552459,0.01154410,0.14485233,0.01117811,0.13143438,-0.00206267,0.00236989,0.02679886,-0.13327797,-0.00615668,-0.07874986,-0.20167974,0.00000000,0.14802675,-0.62696773,0.00000000,0.00000000,3.58474517,0,13:20:14.8,0,0
9,0.00000000,-2.50895357,2.53294754,-0.27709869,0.00000000,-0.15809575,-0.27370110,-0.10018257,-0.30228013,-0.13598712,-0.08232277,0.04276425,0.18424785,-0.14343667,0.27557904,0.07055952,-0.02552459,-0.01100111,0.12138896,-0.00512241,0.13326682,0.00079251,-0.02314922,-0.06457983,-0.17768461,-0.04197482,-0.21963380,-0.20527333,0.00000000,0.14802675,-0.00320960,0.00000000,0.00000000,7.00950193,0,13:20:14.9,0,0
10,-1.35306573,-0.27705082,-1.77226675,0.88515729,0.00000000,-0.00857241,-0.20750223,-0.11415444,-0.20768590,-0.11650543,-0.08413397,-0.03598173,0.16190504,-0.14162852,0.24579546,0.07055952,0.00197778,0.07394347,0.19202262,0.02470243,0.21324846,0.05095593,-0.00675486,0.04704888,-0.12348999,-0.02540336,-0.15378915,-0.21078560,0.00000000,0.51758462,3.02612495,0.00000000,0.00000000,-3.95354390,0,13:20:15.0,0,0
11,-2.77342987,2.46735477,-2.21809268,2.01754594,0.00000000,0.15598156,0.00875599,-0.13282470,-0.07200737,-0.12603779,-0.14537989,-0.04186999,0.09810248,-0.14162852,0.21344754,0.11632772,0.01116854,0.07425575,0.19202262,0.02470243,0.22796984,0.07470499,0.01145324,-0.01299120,-0.17397036,-0.01526253,-0.21771996,-0.20527333,0.00000000,0.02307971,1.19877863,0.00000000,0.00000000,-4.69463634,0,13:20:15.1,0,0
12,0.00000000,8.23728561,2.82567477,1.24768269,0.00000000,0.04143687,-0.17463723,-0.17346470,-0.18781525,-0.16286328,-0.18527524,-0.00045485,0.12583628,-0.08492890,0.22948326,0.20681360,0.06627775,0.05512260,0.20079698,0.03109177,0.21917336,0.03493360,-0.02141670,0.10511166,-0.09462281,-0.05108067,-0.07129887,-0.20527333,0.00000000,0.48201030,-0.10230341,0.00000000,0.00000000,-0.05985134,0,13:20:15.2,0,0
13,-2.23272848,4.42216444,-0.18873492,0.83979034,0.00000000,0.01376445,-0.23549800,-0.16209567,-0.14846097,-0.15533988,-0.17096688,0.05381781,0.22459246,-0.06577124,0.31244823,0.20740162,0.06664228,-0.03087178,0.10598955,0.01745563,0.15845904,0.04629267,-0.02141670,0.19545248,-0.03991026,-0.01526253,0.05041653,-0.20618075,0.00000000,0.48201030,-0.10230341,0.00000000,0.00000000,-0.27933377,0,13:20:15.3,0,0
14,-5.00615835,1.34849095,-2.96354461,1.21854007,0.00000000,-0.07361045,-0.30615112,-0.12165650,-0.24591984,-0.13705415,-0.13399509,-0.03263143,0.11866533,-0.09640954,0.20447962,0.15854961,0.03863949,0.01213272,0.14485233,-0.01136327,0.15938015,0.03557052,-0.02933290,0.09528575,-0.08584599,-0.00615668,-0.06235550,-0.20527333,0.00000000,-0.09517244,2.54714608,7.14498615,0.00000000,-4.10274363,0,13:20:15.4,0,0
15,0.07199685,2.19014788,-0.43404993,0.70597982,0.00000000,-0.05168131,-0.17607169,-0.13282470,-0.17093611,-0.14543717,-0.13124184,0.04234592,0.17744818,-0.19158213,0.26965171,-0.02177262,-0.05299313,-0.00748683,0.10201424,0.00840191,0.12182712,0.02433604,-0.02314922,0.04404863,-0.12583461,-0.00338735,-0.05209988,-0.21887584,0.00000000,0.42175096,1.10137141,0.00000000,0.00000000,7.20903587,0,13:20:15.5,0,0
16,0.00000000,0.12028877,-1.55028129,0.05820186,0.00000000,-0.02461794,-0.05751235,-0.14864528,-0.20473987,-0.17469336,-0.14802586,-0.10138159,0.08869870,-0.14769155,0.18205634,0.04890008,-0.02571293,-0.05375849,0.12138896,-0.00860058,0.10741818,-0.00021996,-0.00219127,-0.10389218,-0.22240809,-0.02886506,-0.23888049,-0.22800058,0.00000000,0.33795375,1.67775762,0.00000000,0.00000000,-1.74819183,0,13:20:15.6,0,0
17,2.37703180,8.23728561,1.25924027,0.83979034,0.00000000,0.04582505,-0.10494900,-0.12346853,-0.15078442,-0.12652047,-0.09357630,0.00076812,0.18595979,-0.12746634,0.27952531,0.06806373,0.01575059,-0.03003204,0.10201424,-0.01866957,0.14875862,0.02433604,0.00236989,0.09490903,-0.05722392,-0.00615668,-0.04392980,-0.20527333,0.00000000,-0.26779717,-0.00320960,0.00000000,0.00000000,-0.27933377,0,13:20:15.7,0,0
18,0.00000000,2.93210816,-1.41703987,1.57349026,0.00000000,0.14216274,-0.05007107,-0.16062593,-0.09356360,-0.15384139,-0.15733995,-0.00240042,0.16190504,-0.14162852,0.30224773,0.11361443,0.00197778,-0.05086210,0.11273785,0.01388549,0.18283772,0.07470499,0.02507055,0.05320757,-0.10160501,-0.01526253,-0.14760751,-0.20618075,0.00000000,0.14802675,1.19877863,0.00000000,0.00000000,-1.64992106,0,13:20:15.8,0,0
19,-3.20371175,-0.62167156,-1.66235483,-0.23370668,0.00000000,0.07995593,-0.15139996,-0.16272351,-0.18769734,-0.12709926,-0.13600199,-0.00240042,0.14483061,-0.17284261,0.27085289,0.02500882,-0.03917218,-0.00776999,0.12955333,0.01388549,0.17304267,0.08597735,0.00236989,0.08405127,-0.07349157,-0.01526253,-0.14462817,-0.20072500,0.00000000,0.02307971,1.19877863,0.00000000,0.00000000,-0.51998973,0,13:20:15.9,0,0
20,-0.45814580,-1.12551606,-0.87461376,0.57076210,0.00000000,0.16983515,0.00116447,-0.12346853,-0.03472225,-0.12709926,-0.10771435,0.00883406,0.16506422,-0.09909123,0.27787247,0.13938595,0.01568479,0.01153727,0.15315986,0.01388549,0.19457838,0.03670834,0.00686244,0.13811404,-0.03157108,-0.01247071,-0.06628758,-0.21069212,0.00000000,-0.05337073,-0.00320960,0.00000000,0.00000000,-2.37001228,0,13:20:16.0,0,0
