Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191025151750
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1030,838,852,733,736,664,712,650,761,679,753,674,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,112,112,6,6,31,31,6,6,6,6,47,47,28,28,14,14,31,31,6,6,6,6,6,6,6,6,7,7,15,15,7,7,6,6,6,6,7,7,7,7,6,6,7,7,7,7,12,12,6,6,48,48,62,62,15,15,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,72,72,56,56,14,14,31,31,6,6,6,6,6,6,15,15,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,100.00,41.77,89.53,100.00,100.00,100.00,100.00,38.85,73.08,4.57,10.37,1.48,4.53,13.98,27.40,1.44,2.49,1.39,2.92,1.96,2.39,1.84,3.29,3.87,7.04,2.52,3.45,3.93,5.14,2.36,3.87,2.28,3.30,4.19,5.88,2.51,3.89,2.50,3.03,3.48,4.51,2.44,3.99,3.26,4.50,1.92,3.14,2.15,4.99,23.04,100.00,66.51,100.00,63.87,100.00,100.00,100.00,100.00,100.00,1.00,1.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,12.92,27.70,7.67,21.14,1.69,3.93,2.95,5.56,1.63,1.90,1.22,1.82,1.34,2.46,2.84,4.81,1.40,2.07,1.14,2.13,1.79,2.06,1.00,7.69,2.63,3.68,1.18,2.09,1.50,3.34,100.00,100.00,100.00,100.00,30.47,59.75,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/25 15:17:58
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.82110316,-0.36220750,0.00312715,0.21044023,-0.01597825,-0.86870450,-0.33867612,-0.19895433,-0.65728152,-0.50171256,-0.23451574,-0.54237938,-0.57402664,-0.58587545,-0.56104463,-0.80276579,-0.32663950,-0.71240264,-0.76591939,-0.73340940,-0.68557352,-0.74313146,-0.55314493,-0.66413659,-0.36308432,0.96869701,-1.45533490,0.64223933,-0.94016469,-0.80589527,-0.09244512,-2.22766185,-1.33103395,0.83517092,0,15:18:07.1,0,0
2,-0.59158999,-0.49861717,0.00899443,0.10084377,-0.09314917,-0.99143904,-0.34402722,-0.19810806,-0.67255086,-0.50142199,-0.23457220,-0.54383898,-0.57536852,-0.58922768,-0.56488734,-0.80721730,-0.32809749,-0.71610844,-0.76823252,-0.73444337,-0.68801588,-0.74569583,-0.55415606,-0.66891801,-0.36492223,0.97035319,-1.41336429,0.65785557,-0.92357934,-0.85327798,-0.17570312,-2.10357738,-1.42106438,1.03787124,0,15:18:07.2,0,0
3,-0.37092838,-0.63463473,-0.00203425,-0.03888772,-0.18810520,-1.10930014,-0.34918225,-0.19700773,-0.68562025,-0.50105035,-0.23453464,-0.54522997,-0.57663590,-0.59252274,-0.56865054,-0.81167793,-0.32959387,-0.71961284,-0.77023697,-0.73558670,-0.69008124,-0.74787885,-0.55500597,-0.67261046,-0.36633530,0.97129172,-1.35801494,0.69002503,-0.90986413,-0.93205523,-0.24432924,-1.98113465,-1.50040901,1.20579386,0,15:18:07.3,0,0
4,-0.17063716,-0.76404971,-0.02894011,-0.20387772,-0.29647225,-1.21943688,-0.35383677,-0.19570394,-0.69556022,-0.50062650,-0.23439908,-0.54648459,-0.57779181,-0.59561807,-0.57225358,-0.81612438,-0.33113626,-0.72293043,-0.77198666,-0.73676652,-0.69176239,-0.74965131,-0.55570686,-0.67510509,-0.36726958,0.97150731,-1.29303920,0.73736715,-0.89929503,-1.03632796,-0.29222497,-1.86988735,-1.57092857,1.33391166,0,15:18:07.4,0,0
5,0.00000004,-0.87979954,-0.06986870,-0.38581398,-0.41178513,-1.31886268,-0.35773018,-0.19425094,-0.70159131,-0.50017875,-0.23417300,-0.54754323,-0.57880259,-0.59838820,-0.57562661,-0.82052964,-0.33272123,-0.72609437,-0.77356082,-0.73791569,-0.69308287,-0.75101572,-0.55627429,-0.67639023,-0.36771935,0.97101760,-1.22209144,0.79661280,-0.89160973,-1.15723467,-0.31407589,-1.77734947,-1.63457966,1.41976416,0,15:18:07.5,0,0
6,0.13450623,-0.97646004,-0.12235756,-0.57646227,-0.52804184,-1.40499973,-0.36044458,-0.19270355,-0.70278275,-0.49973685,-0.23386337,-0.54836249,-0.57963872,-0.60072678,-0.57870704,-0.82485831,-0.33434436,-0.72914642,-0.77506095,-0.73898286,-0.69410485,-0.75201720,-0.55673361,-0.67654622,-0.36771998,0.96991217,-1.15043402,0.86434311,-0.88648528,-1.28485203,-0.30673328,-1.70828617,-1.69319963,1.46080530,0,15:18:07.6,0,0
7,0.22951464,-1.04894567,-0.18338609,-0.76320499,-0.63648415,-1.47581649,-0.36162308,-0.19111645,-0.69854116,-0.49933007,-0.23348752,-0.54892671,-0.58028972,-0.60254854,-0.58146095,-0.82908124,-0.33599588,-0.73212713,-0.77659190,-0.73992485,-0.69489497,-0.75269794,-0.55710739,-0.67578644,-0.36737037,0.96833086,-1.08365178,0.93523639,-0.88370144,-1.40947640,-0.26997927,-1.66431260,-1.74996340,1.45849073,0,15:18:07.7,0,0
8,0.28479254,-1.09406292,-0.25003067,-0.93431669,-0.72938573,-1.52944589,-0.36095405,-0.18955179,-0.68840718,-0.49898118,-0.23306772,-0.54924327,-0.58075774,-0.60382944,-0.58387560,-0.83316261,-0.33766302,-0.73505938,-0.77822644,-0.74070889,-0.69552249,-0.75312734,-0.55741650,-0.67430371,-0.36675349,0.96645772,-1.02546644,1.00242174,-0.88280803,-1.52023852,-0.20516758,-1.64383554,-1.80430102,1.41695929,0,15:18:07.8,0,0
9,0.30299714,-1.11029625,-0.31918144,-1.07797968,-0.79933810,-1.56396580,-0.35808808,-0.18805633,-0.67186761,-0.49870649,-0.23262781,-0.54934931,-0.58107132,-0.60458022,-0.58597445,-0.83707660,-0.33933878,-0.73796040,-0.78002757,-0.74133009,-0.69606584,-0.75338221,-0.55768919,-0.67235631,-0.36598608,0.96446514,-0.97977573,1.05995929,-0.88336575,-1.60822535,-0.11647690,-1.64234102,-1.85686040,1.34130931,0,15:18:07.9,0,0
10,0.28920197,-1.09803665,-0.38828775,-1.18392253,-0.84035558,-1.57867908,-0.35287747,-0.18667433,-0.64911753,-0.49852240,-0.23219769,-0.54929191,-0.58125526,-0.60484540,-0.58778065,-0.84079611,-0.34101555,-0.74083632,-0.78204817,-0.74178541,-0.69659412,-0.75352210,-0.55794173,-0.67020124,-0.36517859,0.96256411,-0.94856799,1.10283518,-0.88491654,-1.66894031,-0.00963052,-1.65780592,-1.90988457,1.23775232,0,15:18:08.0,0,0
11,0.25025189,-1.05790496,-0.45481381,-1.24270689,-0.84712476,-1.57280982,-0.34531114,-0.18543817,-0.62053418,-0.49842983,-0.23179564,-0.54912966,-0.58135402,-0.60467720,-0.58933270,-0.84427273,-0.34265912,-0.74365330,-0.78425890,-0.74208868,-0.69713372,-0.75359440,-0.55818295,-0.66809875,-0.36446023,0.96095461,-0.93383354,1.12650573,-0.88708347,-1.69842875,0.10793452,-1.67890382,-1.96194601,1.11514342,0,15:18:08.1,0,0
12,0.19401821,-0.99379122,-0.51692200,-1.24905813,-0.81763989,-1.54740000,-0.33563131,-0.18438132,-0.58714783,-0.49843383,-0.23144458,-0.54893613,-0.58142668,-0.60418761,-0.59068865,-0.84748548,-0.34425226,-0.74637544,-0.78664029,-0.74225289,-0.69771224,-0.75363946,-0.55841440,-0.66622198,-0.36390811,0.95977300,-0.93546677,1.12697613,-0.88986939,-1.69689858,0.22701025,-1.69445395,-2.01213384,0.98306513,0,15:18:08.2,0,0
13,0.12863034,-0.91018063,-0.57340568,-1.20035791,-0.75190592,-1.50112998,-0.32399449,-0.18351512,-0.54970312,-0.49852374,-0.23115738,-0.54877967,-0.58152580,-0.60347557,-0.59190458,-0.85040492,-0.34577245,-0.74894619,-0.78912115,-0.74230838,-0.69832814,-0.75365877,-0.55863035,-0.66472661,-0.36360025,0.95916790,-0.95259070,1.10301089,-0.89304596,-1.66734695,0.33853903,-1.69629657,-2.05906343,0.84744126,0,15:18:08.3,0,0
14,0.06175678,-0.81216544,-0.62307489,-1.09729981,-0.65261787,-1.43495131,-0.31061989,-0.18285179,-0.50899273,-0.49867713,-0.23093891,-0.54871112,-0.58170402,-0.60264689,-0.59302384,-0.85299683,-0.34718752,-0.75128686,-0.79159856,-0.74227351,-0.69894391,-0.75363916,-0.55881613,-0.66366160,-0.36355698,0.95921624,-0.98372906,1.05527806,-0.89640886,-1.61556852,0.43323374,-1.67580223,-2.10096383,0.71724552,0,15:18:08.4,0,0
15,-0.00000003,-0.70605135,-0.66550148,-0.94519597,-0.52518547,-1.35221195,-0.29613793,-0.18238488,-0.46682155,-0.49886307,-0.23078369,-0.54875529,-0.58199465,-0.60179359,-0.59406096,-0.85522228,-0.34846878,-0.75331080,-0.79395568,-0.74216789,-0.69950217,-0.75353593,-0.55895096,-0.66301382,-0.36377174,0.95998102,-1.02713120,0.98593551,-0.90003818,-1.54898131,0.50354546,-1.62697494,-2.13464212,0.59711385,0,15:18:08.5,0,0
16,-0.05154763,-0.59817797,-0.70057583,-0.75290573,-0.37742254,-1.25595093,-0.28113332,-0.18209134,-0.42480844,-0.49904671,-0.23067702,-0.54892474,-0.58241695,-0.60099435,-0.59501642,-0.85705084,-0.34957770,-0.75492680,-0.79603940,-0.74200481,-0.69992870,-0.75330442,-0.55901635,-0.66269726,-0.36420408,0.96144563,-1.07811236,0.89906871,-0.90419728,-1.47591448,0.54266459,-1.54623675,-2.15770721,0.48849642,0,15:18:08.6,0,0
17,-0.08955901,-0.49406311,-0.72828674,-0.53159934,-0.21834244,-1.14805710,-0.26605836,-0.18194580,-0.38409340,-0.49919358,-0.23059821,-0.54922509,-0.58299440,-0.60032058,-0.59590203,-0.85849029,-0.35049468,-0.75606394,-0.79771322,-0.74180007,-0.70014989,-0.75290334,-0.55900049,-0.66260082,-0.36479855,0.96358246,-1.13267541,0.80063576,-0.90868187,-1.40602124,0.54578304,-1.43276381,-2.16875386,0.39253375,0,15:18:08.7,0,0
18,-0.11253364,-0.39982301,-0.74866664,-0.29651329,-0.05950801,-1.03408360,-0.25157851,-0.18191016,-0.34636205,-0.49927238,-0.23052450,-0.54963374,-0.58372712,-0.59980685,-0.59670031,-0.85955155,-0.35119876,-0.75667673,-0.79886037,-0.74155575,-0.70010620,-0.75227606,-0.55888247,-0.66258508,-0.36548376,0.96629137,-1.18733180,0.69757694,-0.91330236,-1.34608257,0.51185679,-1.28857696,-2.16435838,0.30852023,0,15:18:08.8,0,0
