Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191018154521
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1230,955,642,609,681,632,602,585,881,750,843,727,1810,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Over,Over,Over,Over,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,7,7,6,6,6,6,31,31,44,44,6,6,31,31,6,6,7,7,6,6,15,15,6,6,7,7,7,7,6,6,6,6,12,12,15,15,6,6,6,6,6,6,6,6,6,6,31,31,15,15,31,31,6,6,15,15,6,6,31,31,6,6,31,31,6,6,6,6,49,49,62,62,6,6,7,7,6,6,6,6,7,7,62,62,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,1.00,100.00,100.00,2.75,4.55,100.00,100.00,100.00,100.00,13.13,26.36,15.76,24.69,88.56,100.00,11.77,21.87,1.44,2.69,2.36,6.32,1.99,2.23,2.79,6.00,2.75,6.03,3.40,4.60,4.30,6.31,2.40,3.70,2.27,3.34,4.15,6.32,3.10,5.65,3.32,3.62,1.92,2.72,1.63,3.03,2.21,3.09,2.04,4.00,2.19,10.21,3.59,3.45,3.66,5.30,1.00,1.00,19.16,24.66,100.00,100.00,1.00,1.00,30.43,56.33,18.93,37.13,100.00,100.00,2.11,3.42,6.88,13.82,9.42,22.36,70.46,100.00,2.81,4.50,1.35,1.57,2.21,7.35,2.36,5.17,100.00,100.00,2.51,3.60,2.06,3.19,2.59,4.09,1.47,1.76,1.49,1.89,1.17,1.93,1.73,2.12,65.57,1.00,100.00,100.00,100.00,1.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/18 15:45:28
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-1.37511134,-0.30492824,-0.03567545,-0.15001212,0.09001203,-0.05184428,0.09130176,-0.05944419,-0.19080016,-0.00236108,0.03961715,0.07613553,0.37023750,0.23182827,0.27435547,0.56427097,0.31439471,0.13571452,0.49132088,0.04239375,-0.17329293,-0.03222199,-0.08047396,-0.14959796,-0.12322173,-0.14722700,-0.36338562,-0.36150604,-3.22009015,-0.33303943,-0.18148427,0.93411905,0.04303416,0.21028279,0,15:45:37.1,0,0
2,-1.42136490,-0.29095942,-0.03783394,-0.13377519,0.05135037,-0.06449224,0.07062314,-0.06896424,-0.20406823,-0.00300474,0.03931346,0.07432943,0.36876509,0.23236011,0.27202880,0.55946749,0.31226781,0.13479553,0.49261409,0.03701960,-0.17275994,-0.03890102,-0.08457620,-0.15209480,-0.12734996,-0.15142860,-0.36529484,-0.36404681,-3.32121754,-0.33016422,-0.21199438,0.88508683,0.05409364,0.21093069,0,15:45:37.2,0,0
3,-1.45254207,-0.25323716,-0.04028101,-0.09456680,0.04019308,-0.07882377,0.04988249,-0.08168418,-0.21767206,-0.00367945,0.03874264,0.07238799,0.36709970,0.23241176,0.26914766,0.55413121,0.30963829,0.13319921,0.49256977,0.03187552,-0.17308226,-0.04534582,-0.08849359,-0.15508512,-0.13160127,-0.15483816,-0.36765283,-0.36635542,-3.36041951,-0.32762557,-0.24200000,0.78752506,0.06284844,0.20599222,0,15:45:37.3,0,0
4,-1.46547711,-0.19209117,-0.04298954,-0.03192159,0.06094018,-0.09427516,0.03009479,-0.09655399,-0.23102045,-0.00441625,0.03790297,0.07034726,0.36522192,0.23184395,0.26577184,0.54829884,0.30655277,0.13085413,0.49103236,0.02706807,-0.17430712,-0.05145520,-0.09217472,-0.15851490,-0.13588649,-0.15733178,-0.37040761,-0.36843440,-3.33686066,-0.32559338,-0.26684588,0.64965904,0.06916638,0.19536579,0,15:45:37.4,0,0
5,-1.45547688,-0.10951621,-0.04590034,0.05275581,0.11511172,-0.11024538,0.01206557,-0.11237456,-0.24359149,-0.00522813,0.03682511,0.06823394,0.36312437,0.23061065,0.26195434,0.54204768,0.30309069,0.12770301,0.48790002,0.02268180,-0.17648330,-0.05716365,-0.09558636,-0.16231371,-0.14011236,-0.15888162,-0.37350485,-0.37029541,-3.25588441,-0.32419375,-0.28319272,0.47859415,0.07307638,0.17903131,0,15:45:37.5,0,0
6,-1.42107725,-0.00884922,-0.04897726,0.15636083,0.20132913,-0.12613860,-0.00365617,-0.12774497,-0.25496185,-0.00612206,0.03556529,0.06608123,0.36081797,0.22873205,0.25775936,0.53549546,0.29936597,0.12372351,0.48315686,0.01877111,-0.17961264,-0.06243733,-0.09871493,-0.16640028,-0.14420731,-0.15952994,-0.37686759,-0.37196848,-3.12503028,-0.32360241,-0.29000440,0.28748012,0.07466798,0.15736054,0,15:45:37.6,0,0
7,-1.36021471,0.10487595,-0.05215425,0.27358913,0.31511691,-0.14128330,-0.01654943,-0.14142638,-0.26469585,-0.00708019,0.03420971,0.06392325,0.35832432,0.22630949,0.25324962,0.52881491,0.29552743,0.11893478,0.47685745,0.01534179,-0.18365034,-0.06728427,-0.10156707,-0.17065583,-0.14810230,-0.15941055,-0.38036808,-0.37347329,-2.95524096,-0.32389829,-0.28771788,0.08728331,0.07420634,0.13128376,0,15:45:37.7,0,0
8,-1.27342296,0.22556686,-0.05538477,0.39805916,0.45069292,-0.15515320,-0.02645916,-0.15210506,-0.27258924,-0.00807527,0.03285065,0.06177587,0.35567933,0.22350915,0.24847682,0.52219009,0.29173288,0.11339521,0.46914282,0.01238870,-0.18851443,-0.07174098,-0.10415686,-0.17497551,-0.15175755,-0.15871286,-0.38391882,-0.37484965,-2.75923133,-0.32525274,-0.27817175,-0.11115574,0.07188746,0.10177681,0,15:45:37.8,0,0
9,-1.16450810,0.34716824,-0.05862902,0.52293915,0.60093254,-0.16729963,-0.03345803,-0.15845773,-0.27855080,-0.00906736,0.03160046,0.05961634,0.35289484,0.22053514,0.24343440,0.51580614,0.28814623,0.10716601,0.46019295,0.00987910,-0.19412519,-0.07586738,-0.10650575,-0.17927209,-0.15516821,-0.15767793,-0.38744339,-0.37612766,-2.55093884,-0.32773620,-0.26489460,-0.30098689,0.06819081,0.07026198,0,15:45:37.9,0,0
10,-1.03662539,0.46310216,-0.06183230,0.64053190,0.75722861,-0.17749541,-0.03790379,-0.15984115,-0.28275356,-0.01001790,0.03056075,0.05744141,0.34997943,0.21762146,0.23813447,0.50984168,0.28492051,0.10035602,0.45026988,0.00775510,-0.20033905,-0.07974619,-0.10864723,-0.18346971,-0.15835966,-0.15659313,-0.39088160,-0.37735689,-2.34271383,-0.33141756,-0.25173742,-0.46973518,0.06348860,0.03822960,0,15:45:38.0,0,0
11,-0.89592761,0.56663197,-0.06495022,0.74296570,0.91041648,-0.18561554,-0.04018728,-0.15576783,-0.28539577,-0.01088409,0.02982022,0.05520907,0.34694186,0.21500531,0.23254658,0.50444126,0.28218785,0.09306292,0.43963790,0.00593788,-0.20703909,-0.08347488,-0.11061062,-0.18751402,-0.16138363,-0.15574957,-0.39419359,-0.37853867,-2.14812517,-0.33630762,-0.24267575,-0.60997361,0.05816570,0.00733774,0,15:45:38.1,0,0
12,-0.74976647,0.65156537,-0.06794688,0.82321548,1.05175948,-0.19163957,-0.04094421,-0.14629510,-0.28678325,-0.01162926,0.02945150,0.05287798,0.34377575,0.21290310,0.22664005,0.49970415,0.28004465,0.08537543,0.42854553,0.00432985,-0.21410628,-0.08716254,-0.11243242,-0.19140092,-0.16433778,-0.15542880,-0.39741853,-0.37970084,-1.97386527,-0.34240133,-0.24190950,-0.71627086,0.05250565,-0.02108731,0,15:45:38.2,0,0
13,-0.60672301,0.71310657,-0.07076608,0.87576455,1.17440176,-0.19557500,-0.04062115,-0.13195193,-0.28719321,-0.01222276,0.02950445,0.05041003,0.34047803,0.21146692,0.22038016,0.49566802,0.27853671,0.07740640,0.41725701,0.00286486,-0.22139938,-0.09089291,-0.11412847,-0.19511572,-0.16730286,-0.15584393,-0.40055099,-0.38085228,-1.82677495,-0.34961256,-0.25153497,-0.78543866,0.04694417,-0.04557657,0,15:45:38.3,0,0
14,-0.47385356,0.74737817,-0.07336306,0.89629906,1.27235723,-0.19771427,-0.03982122,-0.11353290,-0.28712687,-0.01264404,0.02999826,0.04777083,0.33705583,0.21081805,0.21375538,0.49233496,0.27767205,0.06926120,0.40604264,0.00143476,-0.22877944,-0.09474743,-0.11572816,-0.19866998,-0.17036812,-0.15714081,-0.40364102,-0.38200060,-1.70806193,-0.35786176,-0.27408355,-0.81664330,0.04166082,-0.06498270,0,15:45:38.4,0,0
15,-0.35794497,0.75284737,-0.07569751,0.88288015,1.34223533,-0.19830251,-0.03897302,-0.09230483,-0.28694990,-0.01288811,0.03091414,0.04493628,0.33350778,0.21098194,0.20677017,0.48962533,0.27740493,0.06102677,0.39511129,-0.00001142,-0.23613399,-0.09876602,-0.11723283,-0.20211676,-0.17364180,-0.15941122,-0.40676045,-0.38312325,-1.61657584,-0.36698666,-0.30970564,-0.81136781,0.03677859,-0.07851956,0,15:45:38.5,0,0
16,-0.26624802,0.72910511,-0.07775551,0.83489895,1.38177323,-0.19755383,-0.03829644,-0.06949686,-0.28687677,-0.01296581,0.03221245,0.04188950,0.32984751,0.21191201,0.19944759,0.48739609,0.27764371,0.05277888,0.38466749,-0.00151630,-0.24335343,-0.10296992,-0.11864652,-0.20551622,-0.17720725,-0.16263254,-0.40998098,-0.38419721,-1.54806840,-0.37683660,-0.35846418,-0.77321446,0.03232917,-0.08601802,0,15:45:38.6,0,0
17,-0.19981161,0.67748350,-0.07950021,0.75427693,1.39167666,-0.19565652,-0.03784380,-0.04649818,-0.28705424,-0.01290176,0.03382294,0.03862691,0.32609469,0.21348621,0.19183643,0.48544204,0.27824345,0.04457606,0.37484825,-0.00310553,-0.25036958,-0.10736921,-0.11996649,-0.20894177,-0.18113348,-0.16672860,-0.41338021,-0.38519192,-1.49550903,-0.38720575,-0.41624913,-0.70755821,0.02828848,-0.08758631,0,15:45:38.7,0,0
18,-0.15941872,0.60098803,-0.08091740,0.64450639,1.37292767,-0.19294114,-0.03755202,-0.02475740,-0.28763324,-0.01272992,0.03565883,0.03515485,0.32228389,0.21551205,0.18400644,0.48351589,0.27902249,0.03644031,0.36573383,-0.00479203,-0.25715184,-0.11194471,-0.12119356,-0.21246427,-0.18543385,-0.17151488,-0.41701713,-0.38609236,-1.45100152,-0.39787298,-0.47835076,-0.62106764,0.02460666,-0.08372372,0,15:45:38.8,0,0
19,-0.14334977,0.50452238,-0.08200449,0.51122755,1.32942808,-0.18953343,-0.03708876,-0.00559795,-0.28855115,-0.01249977,0.03761144,0.03150712,0.31846747,0.21774314,0.17607392,0.48135436,0.27978617,0.02839889,0.35739157,-0.00657943,-0.26366732,-0.11666068,-0.12232593,-0.21615334,-0.19009693,-0.17675887,-0.42091587,-0.38685685,-1.40593410,-0.40863404,-0.54091644,-0.52113467,0.02100656,-0.07537642,0,15:45:38.9,0,0
