Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191025144313
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1220,950,792,697,696,641,822,715,791,697,788,695,1320,1578,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,72,72,6,6,6,6,31,31,31,31,6,6,31,31,6,6,6,6,6,6,6,6,12,12,15,15,14,14,6,6,6,6,6,6,12,12,6,6,7,7,7,7,6,6,6,6,24,24,6,6,7,7,6,6,14,14,6,6,31,31,28,28,31,31,6,6,6,6,56,56,62,62,62,62,24,24,6,6,6,6,6,6,62,62,6,6,6,6,6,6,6,6,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,87.84,100.00,100.00,100.00,21.61,49.90,21.10,57.72,31.83,87.61,13.29,25.02,1.52,2.75,1.65,3.73,2.01,2.30,2.08,3.57,2.59,5.20,2.83,4.03,2.95,4.11,2.54,5.21,2.40,3.55,2.58,4.17,2.08,3.98,3.02,3.54,2.61,3.45,2.97,5.40,2.11,3.04,2.00,3.72,1.93,5.61,3.68,1.91,5.33,3.52,1.00,1.00,3.81,2.06,1.00,1.00,1.00,1.00,2.21,5.42,49.12,85.55,59.29,97.33,35.10,66.69,10.97,20.67,8.17,19.92,2.92,5.73,2.72,4.90,1.26,1.84,1.40,2.80,1.52,2.73,3.25,3.26,2.29,3.22,1.26,3.20,1.34,1.71,3.61,5.75,2.44,3.24,1.33,2.07,1.05,2.55,4.40,2.43,26.44,14.28,1.00,1.00,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/10/25 14:43:20
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.16288452,0.29866791,1.50916040,0.06628713,0.03844899,0.43604729,0.28552386,-0.19065949,0.45445991,-0.09548284,-0.05246202,0.02613339,-0.31650054,-0.39834672,-0.37055710,-0.79886663,-0.60983884,-0.22733110,-0.39726841,-0.45375377,-0.61290395,-1.00845575,-0.68182427,-0.47374603,-0.46712857,-0.12482292,-0.18637766,-0.15998192,0.00000000,0.00294200,-1.11860168,0.32069758,0.16622528,0.38268808,0,14:43:29.1,0,0
2,-0.18222670,0.33998570,1.45672774,0.07970888,0.08052744,0.38070536,0.23747040,-0.20502290,0.42060295,-0.09866904,-0.05005859,0.02552141,-0.30282089,-0.39565367,-0.37117815,-0.78128392,-0.59885263,-0.23106176,-0.38551295,-0.45367393,-0.61253285,-0.99961281,-0.67599875,-0.47241721,-0.46780041,-0.12460411,-0.18734853,-0.15995608,0.00000000,0.00281638,-0.93663198,0.41263777,0.16126318,0.41454011,0,14:43:29.2,0,0
3,-0.19397643,0.38729727,1.39785326,0.10460964,0.15443607,0.32126075,0.18611404,-0.21385904,0.38437977,-0.10645598,-0.04820190,0.02387116,-0.28696358,-0.39459741,-0.36880901,-0.75901604,-0.58373082,-0.23593885,-0.37513536,-0.45556381,-0.60659188,-0.98373640,-0.67103529,-0.46808505,-0.47100094,-0.12473970,-0.18678464,-0.15899159,0.00000000,0.00344053,-0.73881948,0.48229805,0.15684885,0.44648713,0,14:43:29.3,0,0
4,-0.19649142,0.43951863,1.33670270,0.14062937,0.26089725,0.26149350,0.13454767,-0.21658380,0.34792250,-0.11812942,-0.04690292,0.02144918,-0.26968822,-0.39496714,-0.36377078,-0.73322636,-0.56507432,-0.24177891,-0.36641592,-0.45911929,-0.59556067,-0.96187347,-0.66694856,-0.46105438,-0.47638720,-0.12512213,-0.18480420,-0.15723005,0.00000000,0.00473191,-0.52992338,0.53233480,0.15310118,0.47790915,0,14:43:29.4,0,0
5,-0.18878983,0.49413094,1.27743053,0.18610306,0.39650181,0.20567161,0.08667058,-0.21321782,0.31355736,-0.13277271,-0.04614704,0.01855486,-0.25181016,-0.39648727,-0.35650015,-0.70519400,-0.54363817,-0.24833728,-0.35952833,-0.46395436,-0.58017260,-0.93538201,-0.66371751,-0.45175377,-0.48348495,-0.12564759,-0.18160114,-0.15485486,0.00000000,0.00659341,-0.31242931,0.56563371,0.15015814,0.50780523,0,14:43:29.5,0,0
6,-0.17079389,0.54818553,1.22336602,0.23821011,0.55480635,0.15764365,0.04585323,-0.20430273,0.28347433,-0.14935350,-0.04590986,0.01548692,-0.23416905,-0.39882368,-0.34754601,-0.67624313,-0.52028966,-0.25532085,-0.35450378,-0.46962890,-0.56136024,-0.90583694,-0.66130710,-0.44072616,-0.49174973,-0.12621319,-0.17745340,-0.15206841,0.00000000,0.00889658,-0.09273494,0.58722311,0.14808528,0.53618640,0,14:43:29.6,0,0
7,-0.14339526,0.59857798,1.17704415,0.29367611,0.72770208,0.12046964,0.01489200,-0.19076750,0.25950876,-0.16678388,-0.04613761,0.01253769,-0.21753430,-0.40159941,-0.33748552,-0.64761943,-0.49591067,-0.26241103,-0.35127369,-0.47568399,-0.54019749,-0.87490457,-0.65966409,-0.42857081,-0.50059503,-0.12672913,-0.17268988,-0.14907518,0.00000000,0.01151103,0.12289091,0.60046154,0.14695612,0.56303817,0,14:43:29.7,0,0
8,-0.10912131,0.64271075,1.13930607,0.34892321,0.90516317,0.09688925,-0.00362595,-0.17385189,0.24321550,-0.18401606,-0.04677156,0.00994335,-0.20258851,-0.40449753,-0.32692820,-0.62048006,-0.47142100,-0.26928148,-0.34965071,-0.48165694,-0.51779509,-0.84419703,-0.65870166,-0.41590565,-0.50944811,-0.12711622,-0.16766155,-0.14606343,0.00000000,0.01429944,0.33231014,0.61008966,0.14679128,0.58804786,0,14:43:29.8,0,0
9,-0.07017803,0.67672139,1.11124754,0.39916605,1.07422161,0.08838728,-0.00815859,-0.15506464,0.23563430,-0.20010439,-0.04773704,0.00787949,-0.18987080,-0.40720129,-0.31646162,-0.59576529,-0.44763851,-0.27563488,-0.34936589,-0.48713773,-0.49524891,-0.81520045,-0.65831470,-0.40333241,-0.51778764,-0.12731269,-0.16271813,-0.14316975,0.00000000,0.01711438,0.52907842,0.61803418,0.14756271,0.61081374,0,14:43:29.9,0,0
10,-0.03051300,0.69768316,1.09098971,0.44008705,1.22238803,0.09523498,0.00185757,-0.13611414,0.23712407,-0.21427593,-0.04895317,0.00645515,-0.17974383,-0.40947315,-0.30659088,-0.57419229,-0.42529893,-0.28120631,-0.35007468,-0.49179438,-0.47354448,-0.78914738,-0.65841204,-0.39139065,-0.52517200,-0.12728268,-0.15817472,-0.14049831,0.00000000,0.01984840,0.71062791,0.62578404,0.14922534,0.63022882,0,14:43:30.0,0,0
11,0.00660881,0.70334220,1.07705832,0.46795401,1.33801210,0.11704375,0.02624891,-0.11843994,0.24763429,-0.22595960,-0.05033202,0.00569769,-0.17238933,-0.41112506,-0.29773849,-0.55618590,-0.40495646,-0.28580162,-0.35142627,-0.49538881,-0.45352891,-0.76696724,-0.65889907,-0.38053057,-0.53127450,-0.12701249,-0.15431124,-0.13810539,0.00000000,0.02238349,0.87209296,0.63286275,0.15169564,0.64543521,0,14:43:30.1,0,0
12,0.03731561,0.69262224,1.06638968,0.47994190,1.41155994,0.15224008,0.06390540,-0.10318383,0.26644817,-0.23480894,-0.05178070,0.00556609,-0.16780266,-0.41204450,-0.29021189,-0.54191178,-0.38699272,-0.28928021,-0.35304144,-0.49777973,-0.43583259,-0.74922246,-0.65967524,-0.37108150,-0.53587669,-0.12651226,-0.15131994,-0.13602212,0.00000000,0.02462667,1.00834584,0.63705701,0.15484847,0.65459335,0,14:43:30.2,0,0
13,0.05841836,0.66390336,1.05573690,0.47348461,1.43432105,0.19843888,0.11297837,-0.09142955,0.29240364,-0.24071956,-0.05322147,0.00595193,-0.16580907,-0.41221189,-0.28419363,-0.53129923,-0.37162212,-0.29159325,-0.35458899,-0.49893835,-0.42088977,-0.73611516,-0.66065240,-0.36325139,-0.53889763,-0.12582041,-0.14932796,-0.13422734,0.00000000,0.02651255,1.11353862,0.63484210,0.15854469,0.65560585,0,14:43:30.3,0,0
14,0.06813411,0.61747634,1.04224765,0.44780147,1.40216553,0.25241596,0.17066902,-0.08360226,0.32382989,-0.24379258,-0.05456919,0.00672209,-0.16607013,-0.41169527,-0.27971983,-0.52407545,-0.35890007,-0.29274845,-0.35577038,-0.49893144,-0.40887269,-0.72749215,-0.66175675,-0.35711107,-0.54036885,-0.12498318,-0.14835371,-0.13265681,0.00000000,0.02802930,1.18315005,0.62166905,0.16263948,0.64618963,0,14:43:30.4,0,0
15,0.06484151,0.55430222,1.02185202,0.40331224,1.31425273,0.31086054,0.23401609,-0.07992415,0.35890034,-0.24432287,-0.05576495,0.00769898,-0.16815832,-0.41062129,-0.27673888,-0.51980931,-0.34872538,-0.29281536,-0.35635322,-0.49791393,-0.39975211,-0.72291952,-0.66292781,-0.35260856,-0.54042244,-0.12406079,-0.14834544,-0.13124512,0.00000000,0.02916388,1.21245837,0.59205472,0.16699184,0.62409365,0,14:43:30.5,0,0
16,0.04874399,0.47642696,0.99208510,0.34177002,1.17322886,0.37030366,0.29982495,-0.08012686,0.39565504,-0.24274503,-0.05675349,0.00870191,-0.17157237,-0.40917313,-0.27509046,-0.51797140,-0.34087294,-0.29193467,-0.35619298,-0.49609637,-0.39331472,-0.72171754,-0.66410172,-0.34960321,-0.53927135,-0.12312543,-0.14918974,-0.12991801,0.00000000,0.02992638,1.19752657,0.54199827,0.17145579,0.58741623,0,14:43:30.6,0,0
17,0.02068207,0.38656938,0.95128351,0.26614210,0.98637551,0.42711478,0.36458138,-0.08341781,0.43194798,-0.23957846,-0.05748873,0.00955772,-0.17578737,-0.40755156,-0.27454567,-0.51799029,-0.33503589,-0.29028109,-0.35522696,-0.49373862,-0.38920930,-0.72308123,-0.66524690,-0.34787470,-0.53718954,-0.12224286,-0.15072393,-0.12861742,0.00000000,0.03034674,1.13322353,0.46651447,0.17591187,0.53447366,0,14:43:30.7,0,0
18,-0.01675524,0.28828323,0.89868295,0.18032132,0.76415485,0.47814396,0.42498130,-0.08885674,0.46579918,-0.23538676,-0.05794957,0.01011280,-0.18031999,-0.40597391,-0.27485153,-0.51930165,-0.33084995,-0.28806436,-0.35347492,-0.49110782,-0.38699597,-0.72613126,-0.66632748,-0.34716472,-0.53448313,-0.12148174,-0.15273970,-0.12728932,0.00000000,0.03046646,1.02084851,0.36484179,0.18023486,0.46484613,0,14:43:30.8,0,0
19,-0.06030433,0.18656090,0.83454502,0.08952528,0.52001083,0.52066278,0.47794718,-0.09543794,0.49544105,-0.23072465,-0.05813317,0.01023756,-0.18474624,-0.40467954,-0.27575514,-0.52143753,-0.32797682,-0.28549972,-0.35102430,-0.48847699,-0.38618687,-0.73003405,-0.66733474,-0.34721276,-0.53147376,-0.12089632,-0.15504639,-0.12590872,0.00000000,0.03032208,0.86113757,0.23625830,0.18431558,0.37897041,0,14:43:30.9,0,0
