Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191018150732
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1120,891,637,606,746,670,602,585,781,691,648,612,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,44,44,6,6,6,6,48,48,49,49,6,6,31,31,7,7,88,88,6,6,44,44,7,7,7,7,6,6,6,6,6,6,15,15,7,7,6,6,6,6,6,6,7,7,15,15,6,6,12,12,124,124,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,98,98,31,31,6,6,7,7,15,15,30,30,6,6,7,7,12,12,6,6,7,7,6,6,7,7,15,15,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,81.17,100.00,100.00,100.00,50.61,100.00,100.00,100.00,38.56,100.00,100.00,1.00,34.20,100.00,100.00,1.00,2.90,4.87,4.33,4.35,1.71,1.84,3.15,5.50,5.27,14.38,2.72,3.52,2.52,3.82,3.59,6.18,2.26,2.97,8.66,10.90,4.90,8.81,3.03,3.34,2.65,3.67,1.56,2.67,3.75,5.03,3.87,7.19,100.00,1.00,2.52,3.40,1.00,1.00,100.00,100.00,100.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,86.68,100.00,100.00,100.00,13.25,35.61,17.52,44.40,1.00,1.00,2.69,4.96,1.26,1.78,5.52,1.00,3.96,9.91,1.19,1.96,1.31,2.02,3.32,5.35,2.43,4.12,1.74,2.20,2.73,3.31,1.33,2.14,1.35,2.83,2.44,3.86,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/18 15:07:38
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.49638367,0.13895726,1.66097045,0.18797426,0.09050850,-0.64173245,0.95829439,-0.50803661,-0.19769713,-0.09905422,0.42537951,-0.21403171,0.16803981,0.03778129,-0.12198731,-0.14194964,0.04957472,-0.60978532,-0.20918094,0.07990378,-0.34018135,-0.18580967,-0.12117311,-0.18673883,-0.16924623,1.03810465,-0.14644396,0.00000000,0.18515438,-0.57321030,-0.41048875,-1.16226780,-0.86050999,-0.25169027,0,15:07:48.1,0,0
2,-0.48093718,0.11010375,1.67175984,0.18556736,0.02623985,-0.54690450,0.96721321,-0.50936276,-0.18770213,-0.09577405,0.43945017,-0.20937869,0.17478487,0.03947762,-0.11829013,-0.14121012,0.05157841,-0.60755718,-0.20587215,0.08313853,-0.33883876,-0.18541616,-0.12021188,-0.18485519,-0.16871600,1.11216736,-0.14455114,0.00000000,0.32463992,-0.50633371,-0.71760273,-1.29736042,-0.91083831,-0.03839429,0,15:07:48.2,0,0
3,-0.46320641,0.08713894,1.69001651,0.18692455,-0.02043563,-0.43299875,0.95989895,-0.51153749,-0.17391141,-0.09271884,0.45320070,-0.20478617,0.18043317,0.04080106,-0.11469818,-0.14024399,0.05340523,-0.60523015,-0.20236926,0.08617674,-0.33743405,-0.18502235,-0.11906780,-0.18244046,-0.16735540,1.16076922,-0.14252676,0.00000000,0.47710219,-0.44743162,-1.03416467,-1.39829934,-0.96149731,0.21007682,0,15:07:48.3,0,0
4,-0.44462627,0.07059988,1.71567845,0.19198255,-0.04785180,-0.30788457,0.93780601,-0.51448637,-0.15086564,-0.08989289,0.46629897,-0.20024778,0.18499687,0.04169748,-0.11119986,-0.13907386,0.05500827,-0.60275334,-0.19866480,0.08888356,-0.33587509,-0.18464094,-0.11777475,-0.17940010,-0.16503638,1.18451846,-0.14029023,0.00000000,0.63410479,-0.40221888,-1.34718859,-1.46127093,-1.01446629,0.47650278,0,15:07:48.4,0,0
5,-0.42613944,0.06062449,1.74749088,0.20039460,-0.05568674,-0.18008879,0.89755976,-0.51818699,-0.11643844,-0.08728950,0.47830889,-0.19577186,0.18850404,0.04212100,-0.10778134,-0.13775240,0.05635653,-0.60007733,-0.19473799,0.09116520,-0.33407864,-0.18428257,-0.11638162,-0.17571427,-0.16172105,1.18615770,-0.13780090,0.00000000,0.78443676,-0.37517133,-1.64324546,-1.48530293,-1.07281327,0.74205953,0,15:07:48.5,0,0
6,-0.40892825,0.05674386,1.78334785,0.21138291,-0.04539781,-0.05859256,0.83998048,-0.52235484,-0.06866296,-0.08487953,0.48887932,-0.19136396,0.19106378,0.04204003,-0.10441247,-0.13633835,0.05741868,-0.59715796,-0.19057162,0.09293883,-0.33196694,-0.18395565,-0.11493985,-0.17138262,-0.15741180,1.16869700,-0.13501617,0.00000000,0.91788423,-0.37088385,-1.90910923,-1.47234380,-1.13854754,0.98908609,0,15:07:48.6,0,0
7,-0.39428413,0.05756356,1.81994629,0.22350025,-0.02110249,0.04967379,0.76513356,-0.52650946,-0.00915068,-0.08262611,0.49776864,-0.18702066,0.19285415,0.04145004,-0.10105974,-0.13490120,0.05818205,-0.59394056,-0.18611047,0.09415325,-0.32945430,-0.18367136,-0.11351879,-0.16646351,-0.15220797,1.13712597,-0.13191931,0.00000000,1.02552199,-0.39191541,-2.13241601,-1.42738914,-1.21438169,1.19914281,0,15:07:48.7,0,0
8,-0.38274789,0.06206610,1.85374534,0.23570386,0.01346682,0.13911067,0.67524940,-0.52998435,0.06041647,-0.08047388,0.50481826,-0.18273500,0.19409129,0.04037134,-0.09767745,-0.13349606,0.05863470,-0.59037459,-0.18134800,0.09478677,-0.32647994,-0.18343391,-0.11217860,-0.16106746,-0.14628284,1.09442091,-0.12851866,0.00000000,1.09964323,-0.43884093,-2.30230665,-1.35720122,-1.29996228,1.35848105,0,15:07:48.8,0,0
9,-0.37494197,0.06858183,1.88075387,0.24640431,0.05271406,0.20621775,0.57332230,-0.53227586,0.13308261,-0.07836780,0.50997007,-0.17848705,0.19501115,0.03884096,-0.09420717,-0.13216591,0.05879525,-0.58642471,-0.17627913,0.09487008,-0.32300273,-0.18323602,-0.11097407,-0.15532005,-0.13984953,1.04540050,-0.12482441,0.00000000,1.13522363,-0.51155972,-2.41001892,-1.27100182,-1.39631712,1.45608008,0,15:07:48.9,0,0
10,-0.37079605,0.07517649,1.89755368,0.25425258,0.09117194,0.24723560,0.46342939,-0.53266722,0.20107384,-0.07624452,0.51337498,-0.17424543,0.19591565,0.03695888,-0.09058575,-0.13091947,0.05871231,-0.58205664,-0.17090769,0.09444743,-0.31899258,-0.18306832,-0.10995150,-0.14935775,-0.13314542,0.99172878,-0.12085636,0.00000000,1.12872577,-0.60789418,-2.44940758,-1.17888463,-1.50188315,1.48519123,0,15:07:49.0,0,0
11,-0.36952898,0.08049774,1.90145791,0.25821099,0.12428823,0.26273894,0.34937865,-0.53084344,0.25465187,-0.07404134,0.51532596,-0.16995591,0.19714442,0.03483010,-0.08672364,-0.12974682,0.05844015,-0.57723832,-0.16529574,0.09358463,-0.31443542,-0.18290316,-0.10914523,-0.14331821,-0.12642376,0.93510354,-0.11663374,0.00000000,1.08092082,-0.72378469,-2.41734672,-1.09048295,-1.61423230,1.44386303,0,15:07:49.1,0,0
12,-0.36886677,0.08287750,1.89123964,0.25724491,0.14705193,0.25323486,0.23716998,-0.52649915,0.28558716,-0.07169534,0.51635206,-0.16555610,0.19903514,0.03259354,-0.08254141,-0.12859750,0.05806417,-0.57196230,-0.15952253,0.09238181,-0.30935276,-0.18270817,-0.10856315,-0.13732323,-0.11991621,0.87651390,-0.11216293,0.00000000,0.99594092,-0.85333383,-2.31399870,-1.01410246,-1.73122990,1.33550894,0,15:07:49.2,0,0
13,-0.36863244,0.08120418,1.86489522,0.25072485,0.15616760,0.22214389,0.13145790,-0.51952469,0.28375480,-0.06915291,0.51709288,-0.16096963,0.20192681,0.03039250,-0.07795199,-0.12740871,0.05766837,-0.56621414,-0.15370323,0.09093816,-0.30377185,-0.18244830,-0.10819996,-0.13147295,-0.11382344,0.81411701,-0.10745840,0.00000000,0.87897009,-0.99054897,-2.14291739,-0.95705724,-1.84762526,1.16507661,0,15:07:49.3,0,0
14,-0.36755931,0.07445460,1.82269192,0.23829000,0.14898947,0.17252986,0.03732949,-0.51002407,0.24179302,-0.06637043,0.51828742,-0.15612648,0.20610154,0.02837929,-0.07289727,-0.12609924,0.05734580,-0.56000227,-0.14795744,0.08937124,-0.29775283,-0.18207888,-0.10802718,-0.12584519,-0.10829698,0.74640054,-0.10254205,0.00000000,0.73790324,-1.12745368,-1.91096592,-0.92429197,-1.95778573,0.94402295,0,15:07:49.4,0,0
15,-0.36415309,0.06210341,1.76589417,0.22004716,0.12484160,0.10959887,-0.03853242,-0.49831235,0.15609409,-0.06333124,0.52069849,-0.15096597,0.21178272,0.02670551,-0.06732880,-0.12457705,0.05719782,-0.55335367,-0.14244020,0.08778799,-0.29137048,-0.18156508,-0.10799808,-0.12048135,-0.10343158,0.67041200,-0.09742645,0.00000000,0.58393699,-1.25686657,-1.62805080,-0.91788983,-2.05847168,0.68671358,0,15:07:49.5,0,0
16,-0.35732752,0.04400162,1.69778407,0.19651452,0.08378520,0.03846953,-0.09269564,-0.48488873,0.02681912,-0.06001642,0.52522111,-0.14542989,0.21915492,0.02549737,-0.06122247,-0.12275474,0.05729986,-0.54631126,-0.13730134,0.08628266,-0.28470546,-0.18087010,-0.10805868,-0.11534608,-0.09923346,0.58346480,-0.09209775,0.00000000,0.42695177,-1.36984313,-1.30666065,-0.93683416,-2.14302421,0.40933293,0,15:07:49.6,0,0
17,-0.34529397,0.02092002,1.61944306,0.16870870,0.02857203,-0.03495996,-0.12220118,-0.47029865,-0.14421821,-0.05642607,0.53266954,-0.13947292,0.22831909,0.02484513,-0.05457387,-0.12056288,0.05771840,-0.53891647,-0.13265461,0.08493374,-0.27783427,-0.17995377,-0.10813891,-0.11036132,-0.09562577,0.48368233,-0.08653160,0.00000000,0.27877754,-1.45937622,-0.96123892,-0.97706234,-2.20683956,0.13083388,0,15:07:49.7,0,0
18,-0.32814041,-0.00639229,1.53654408,0.13776380,-0.03770742,-0.10746505,-0.12613899,-0.45536378,-0.35105923,-0.05257019,0.54370707,-0.13306242,0.23929378,0.02482072,-0.04739253,-0.11795458,0.05850598,-0.53121883,-0.12859422,0.08380903,-0.27082258,-0.17877460,-0.10816082,-0.10539509,-0.09246498,0.37101364,-0.08069220,0.00000000,0.15075338,-1.51889157,-0.60740757,-1.03180814,-2.24403596,-0.13484913,0,15:07:49.8,0,0
19,-0.30608004,-0.03700774,1.45288908,0.10492133,-0.11119070,-0.17622429,-0.10410495,-0.44077218,-0.58392096,-0.04846320,0.55895096,-0.12618367,0.25201637,0.02544437,-0.03970833,-0.11490057,0.05968804,-0.52326822,-0.12515968,0.08296038,-0.26372588,-0.17730086,-0.10805402,-0.10026190,-0.08952876,0.24752627,-0.07452523,0.00000000,0.05319261,-1.54365826,-0.26109749,-1.09220326,-2.25122881,-0.37272254,0,15:07:49.9,0,0
