Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191019095720
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,1696,1392,1133,898,1090,873,772,686,666,623,822,715,886,753,1213,945,1355,1636,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Signal Check Result,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under
Analog Gain,124,124,6,6,24,24,15,15,24,24,7,7,7,7,7,7,12,12,6,6,6,6,6,6,12,12,7,7,15,15,15,15,6,6,6,6,15,15,15,15,6,6,24,24,28,28,7,7,6,6,12,12,6,6,14,14,7,7,6,6,6,6,31,31,6,6,31,31,6,6,44,44,14,14,7,7,7,7,7,7,6,6,6,6,6,6,6,6,15,15,6,6,6,6,6,6,15,15,6,6,6,6,6,6,24,24,7,7,49,49,6,6
Digital Gain,1.00,1.00,96.85,98.40,2.54,4.42,2.37,3.34,22.46,23.06,5.02,6.93,3.90,9.36,2.03,6.18,2.71,5.19,1.47,2.65,1.38,3.26,2.43,2.90,2.27,2.79,2.57,4.30,3.18,3.92,3.69,5.44,1.88,4.74,2.23,2.89,5.70,8.38,2.06,6.77,2.62,2.34,2.22,3.73,1.66,6.77,3.73,4.28,1.69,3.40,1.67,6.01,3.13,1.82,2.85,2.17,2.78,9.09,65.01,50.59,25.00,87.45,28.81,82.33,100.00,100.00,42.61,63.58,63.09,80.64,2.38,2.78,2.72,3.80,3.46,8.16,2.34,5.33,3.57,6.02,1.25,1.74,1.68,2.81,1.83,2.72,11.16,17.21,2.24,3.00,1.72,3.53,1.31,2.56,1.26,1.80,2.65,3.04,1.36,2.66,1.00,2.99,3.35,2.04,3.62,2.11,1.90,6.81,3.70,3.75,1.00,1.00

Measurement Information
Date,2019/10/19 09:57:27
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.79721868,0.05161628,0.90004003,0.93240386,0.81330168,1.25589132,0.46122703,0.71762681,0.76109254,0.12252362,0.65497965,0.20904079,0.27225921,-0.00650006,-0.51433003,-0.92279780,-0.10992692,-0.49266759,-0.13689658,0.29027292,-0.31383488,-0.14152567,0.60820204,-0.29933727,0.06465025,0.79709166,0.14863798,0.47243315,0.67920917,0.50444514,0.18481836,-0.73303527,0.18739788,-1.41055775,0,09:57:36.1,0,0
2,0.72819924,0.05708541,0.89887553,0.92920738,0.80335021,1.25219977,0.45846537,0.66046619,0.75027275,0.11542331,0.69132751,0.17039523,0.24748157,0.02289000,-0.52810985,-0.89960951,-0.10915317,-0.47014642,-0.15348507,0.30399948,-0.33623171,-0.16842714,0.59297329,-0.32602456,0.04862843,0.75838727,0.14094017,0.46790358,0.63214844,0.54935849,0.19215186,-0.79940587,0.24681419,-1.42064774,0,09:57:36.2,0,0
3,0.63795656,0.06106306,0.89521182,0.92604119,0.78685981,1.24701464,0.45698884,0.57728750,0.73914683,0.10225692,0.71644932,0.11915202,0.21282542,0.05967180,-0.52267945,-0.83903617,-0.09064031,-0.43414941,-0.14962915,0.32263246,-0.35217044,-0.20237173,0.56279004,-0.35706061,0.02677070,0.69581920,0.12916879,0.46193463,0.57108080,0.58086079,0.19456042,-0.84466445,0.28911385,-1.39920104,0,09:57:36.3,0,0
4,0.53223997,0.06330220,0.88759500,0.92179549,0.76239848,1.24017704,0.45573446,0.47069889,0.72739547,0.08316664,0.72872722,0.05734319,0.16913156,0.10226244,-0.49823347,-0.74332982,-0.05496040,-0.38617402,-0.12603599,0.34548780,-0.36118653,-0.24179456,0.51878977,-0.39079544,-0.00020790,0.61119103,0.11298508,0.45428339,0.49782816,0.59567553,0.19147770,-0.87125194,0.31159163,-1.34792650,0,09:57:36.4,0,0
5,0.41760096,0.06355357,0.87473392,0.91523343,0.72906280,1.23159969,0.45354840,0.34477708,0.71466148,0.05863559,0.72718167,-0.01231196,0.11773692,0.14869241,-0.45616901,-0.61693376,-0.00376169,-0.32851112,-0.08467150,0.37159291,-0.36323941,-0.28474313,0.46300036,-0.42533115,-0.03121492,0.50774533,0.09231320,0.44478372,0.41502804,0.59182900,0.18285450,-0.88383478,0.31341207,-1.27113020,0,09:57:36.5,0,0
6,0.30087397,0.06165779,0.85540283,0.90508449,0.68648434,1.22127855,0.44934094,0.20485219,0.70062679,0.02948420,0.71157646,-0.08658881,0.06040868,0.19674091,-0.39897028,-0.46618176,0.06034764,-0.26409078,-0.02860294,0.39975080,-0.35871059,-0.32899761,0.39823002,-0.45868996,-0.06484278,0.38999972,0.06737367,0.43335766,0.32598436,0.56857741,0.16919808,-0.88805038,0.29504105,-1.17323709,0,09:57:36.6,0,0
7,0.18864870,0.05774690,0.82872790,0.89016807,0.63487267,1.20923233,0.44208506,0.05707648,0.68497944,-0.00320715,0.68241513,-0.16195038,-0.00074795,0.24408987,-0.32997808,-0.29883036,0.13397546,-0.19625278,0.03823883,0.42860463,-0.34834939,-0.37224543,0.32781911,-0.48890734,-0.09945160,0.26340410,0.03871367,0.42004555,0.23443268,0.52676612,0.15107378,-0.89028072,0.25798675,-1.05998862,0,09:57:36.7,0,0
8,0.08678354,0.05191354,0.79421902,0.86952144,0.57508922,1.19556928,0.43108031,-0.09197068,0.66752452,-0.03815198,0.64091879,-0.23487771,-0.06348544,0.28850511,-0.25319427,-0.12347511,0.21320590,-0.12849730,0.11137245,0.45675823,-0.33322209,-0.41224405,0.25545281,-0.51424718,-0.13330635,0.13400342,0.00716903,0.40498865,0.14430477,0.46854946,0.12970996,-0.89507782,0.20557964,-0.93699980,0,09:57:36.8,0,0
9,-0.00000002,0.04448209,0.75184953,0.84253836,0.50857949,1.18040848,0.41589075,-0.23579104,0.64819449,-0.07395560,0.58894104,-0.30207711,-0.12552284,0.32798675,-0.17292266,0.05108077,0.29388055,-0.06420339,0.18609631,0.48284379,-0.31460324,-0.44699019,0.18482372,-0.53328240,-0.16467549,0.00796580,-0.02615473,0.38845912,0.05944956,0.39718094,0.10643555,-0.90720600,0.14190985,-0.81063992,0,09:57:36.9,0,0
10,-0.06840789,0.03581528,0.70213383,0.80902171,0.43727392,1.16389716,0.39645231,-0.36839393,0.62705088,-0.10919704,0.52885842,-0.36071733,-0.18470177,0.36092383,-0.09346382,0.21647970,0.37189046,-0.00636544,0.25788382,0.50561494,-0.29384589,-0.47484586,0.11940520,-0.54499811,-0.19197206,-0.10884730,-0.05994926,0.37083247,-0.01664311,0.31670797,0.08267126,-0.92819029,0.07206330,-0.68587208,0,09:57:37.0,0,0
11,-0.11672776,0.02628854,0.64609534,0.76919943,0.36343274,1.14613688,0.37302485,-0.48471889,0.60424244,-0.14255129,0.46338603,-0.40863389,-0.23913540,0.38616404,-0.01881226,0.36536068,0.44346982,0.04259421,0.32266995,0.52402347,-0.27232093,-0.49467251,0.06217493,-0.54890293,-0.21388109,-0.21128841,-0.09284124,0.35254878,-0.08106227,0.23181334,0.05983089,-0.95876795,0.00144502,-0.56802487,0,09:57:37.1,0,0
12,-0.14484128,0.01646975,0.58520329,0.72373813,0.28947452,1.12728131,0.34625575,-0.58096081,0.58007520,-0.17287734,0.39539555,-0.44447288,-0.28732255,0.40308410,0.04759141,0.49183252,0.50543451,0.08097729,0.37716597,0.53731817,-0.25130928,-0.50588512,0.01544780,-0.54500461,-0.22942358,-0.29525065,-0.12340599,0.33410609,-0.13166484,0.14739518,0.03936508,-0.99635774,-0.06390178,-0.46024892,0,09:57:37.2,0,0
13,-0.15409988,0.00686669,0.52124387,0.67373121,0.21785937,1.10741389,0.31699890,-0.65477014,0.55493158,-0.19927707,0.32772866,-0.46770173,-0.32818338,0.41161281,0.10312861,0.59182268,0.55539817,0.10791407,0.41903558,0.54504693,-0.23190512,-0.50847381,-0.01929691,-0.53381145,-0.23803389,-0.35793132,-0.15031201,0.31602943,-0.16720603,0.06814445,0.02239083,-1.03679979,-0.11833291,-0.36511451,0,09:57:37.3,0,0
14,-0.14708386,-0.00200644,0.45624560,0.62061322,0.15099818,1.08666086,0.28637353,-0.70533299,0.52929837,-0.22114240,0.26302403,-0.47863054,-0.36112761,0.41218728,0.14607407,0.66322666,0.59186655,0.12336126,0.44702110,0.54708123,-0.21495137,-0.50298387,-0.04144484,-0.51628947,-0.23959658,-0.39796737,-0.17241924,0.29883972,-0.18739152,-0.00173236,0.00976929,-1.07545507,-0.15765977,-0.28427410,0,09:57:37.4,0,0
15,-0.12727442,-0.00980348,0.39230216,0.56606805,0.09100249,1.06513762,0.25558075,-0.73333377,0.50372547,-0.23818533,0.20355684,-0.47831655,-0.38602895,0.40570387,0.17571282,0.70597064,0.61433583,0.12807636,0.46100119,0.54364961,-0.20099883,-0.49042487,-0.05123283,-0.49370191,-0.23442098,-0.41549855,-0.18884951,0.28300327,-0.19287235,-0.05899799,0.00202916,-1.10519600,-0.17809393,-0.21783324,0,09:57:37.5,0,0
16,-0.09867480,-0.01632575,0.33153713,0.51192701,0.03970059,1.04301894,0.22585778,-0.74078023,0.47878331,-0.25042015,0.15112635,-0.46844366,-0.40319708,0.39338347,0.19227114,0.72180718,0.62321591,0.12347630,0.46186379,0.53525674,-0.19029608,-0.47217673,-0.04970127,-0.46755108,-0.22322297,-0.41206306,-0.19905487,0.26891384,-0.18514374,-0.10143917,-0.00066306,-1.12003481,-0.17771345,-0.16523443,0,09:57:37.6,0,0
17,-0.06541950,-0.02138008,0.27580425,0.46001971,-0.00158876,1.02051497,0.19834587,-0.73074394,0.45503151,-0.25814077,0.10696474,-0.45108837,-0.41326261,0.37668926,0.19687834,0.71403748,0.61976373,0.11148532,0.45140997,0.52266777,-0.18279788,-0.44984987,-0.03851992,-0.43940163,-0.20701918,-0.39038813,-0.20285602,0.25686371,-0.16638178,-0.12801099,0.00165830,-1.11255145,-0.15518296,-0.12504506,0,09:57:37.7,0,0
18,-0.03140859,-0.02507244,0.22668879,0.41209942,-0.03198493,0.99787325,0.17398417,-0.70704240,0.43297225,-0.26185963,0.07171242,-0.42854315,-0.41711000,0.35717607,0.19136490,0.68712533,0.60589349,0.09433296,0.43209538,0.50681210,-0.17818563,-0.42513835,-0.01983766,-0.41074872,-0.18705027,-0.35411891,-0.20041609,0.24705914,-0.13925660,-0.13880242,0.00867663,-1.07769847,-0.10988271,-0.09519437,0,09:57:37.8,0,0
19,0.00000002,-0.02751855,0.18538509,0.36966267,-0.05118228,0.97537774,0.15351060,-0.67385691,0.41302016,-0.26225549,0.04544867,-0.40311402,-0.41577235,0.33636379,0.17805938,0.64621884,0.58397526,0.07434707,0.40676191,0.48868930,-0.17594475,-0.39970046,0.00390146,-0.38294819,-0.16468042,-0.30749136,-0.19226143,0.23956856,-0.10670478,-0.13510208,0.01963579,-1.01237690,-0.04383126,-0.07349011,0,09:57:37.9,0,0
20,0.02621637,-0.02903208,0.15259342,0.33384046,-0.05943047,0.95336103,0.13736133,-0.63539082,0.39546031,-0.26010892,0.02772850,-0.37696591,-0.41036680,0.31560495,0.15949868,0.59665734,0.55661148,0.05372695,0.37841955,0.46933389,-0.17545165,-0.37503669,0.03021653,-0.35713530,-0.14130753,-0.25497115,-0.17923661,0.23433827,-0.07169340,-0.11915714,0.03382606,-0.91515988,0.04075032,-0.05772715,0,09:57:38.0,0,0
