Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191026094229
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,1688,1225,890,755,757,677,696,641,922,774,946,788,1608,1178,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,56,56,6,6,30,30,31,31,30,30,62,62,31,31,7,7,7,7,6,6,6,6,6,6,15,15,15,15,6,6,6,6,6,6,7,7,6,6,7,7,15,15,15,15,6,6,7,7,24,24,31,31,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,49,49,24,24,22,22,28,28,6,6,6,6,6,6,31,31,7,7,6,6,6,6,6,6,6,6,6,6,6,6,31,31,6,6,6,6,6,6,6,6
Digital Gain,46.63,100.00,52.51,100.00,3.22,9.34,24.17,63.13,1.00,1.00,8.32,24.78,3.57,13.08,3.04,3.13,10.07,26.44,2.08,3.48,2.57,4.47,2.08,2.33,2.02,2.42,2.50,3.23,3.22,3.64,3.62,3.70,2.48,2.98,2.63,2.97,2.97,2.65,2.81,4.96,3.01,2.55,2.92,4.45,2.41,4.90,2.82,4.73,1.64,3.70,2.11,6.04,3.28,5.89,3.28,6.83,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00,100.00,100.00,41.88,56.27,32.00,88.08,40.63,100.00,5.40,16.21,2.74,10.90,1.82,5.23,2.25,4.53,1.26,1.89,2.21,2.35,1.77,2.32,3.49,3.56,2.88,3.32,1.30,1.64,1.90,1.95,8.28,8.03,2.61,2.85,1.84,1.99,1.11,1.93,1.00,1.00,19.44,32.76,1.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/26 09:42:38
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.51917571,0.26460958,0.66165388,-0.01662727,8.19884777,-0.19497539,-0.17919272,4.65209007,-0.39062124,-0.16708353,-0.15525357,-0.21301524,-0.32529798,-0.53671509,-0.00598245,-0.45834336,-0.81485468,0.28904945,-0.59604466,-0.51850545,-0.18953006,-0.41154778,-0.38145301,-0.08611370,-0.24739273,-0.40851757,-0.42199469,-0.48861441,0.39272240,-0.75443399,0.04133410,-1.87241435,-0.87847048,-0.13830736,0,09:42:47.1,0,0
2,0.61382967,0.27859870,0.67585814,-0.00688600,8.18881416,-0.20211510,-0.15906912,4.76365662,-0.37094468,-0.15416074,-0.14798942,-0.20354213,-0.32236996,-0.53639126,-0.00932798,-0.45237404,-0.81177795,0.29294974,-0.58718675,-0.51840013,-0.18337752,-0.41209143,-0.38177752,-0.08472624,-0.24883527,-0.41702190,-0.40853402,-0.47363183,0.34596664,-0.71892798,0.00052447,-1.56003845,-0.82359558,-0.03367504,0,09:42:47.2,0,0
3,0.68673909,0.29959652,0.69459218,0.00742444,8.22504997,-0.20281623,-0.13756776,4.87200308,-0.34627917,-0.14237116,-0.14241070,-0.19428214,-0.32028398,-0.53668630,-0.01257137,-0.44771779,-0.80987167,0.29644853,-0.57970619,-0.51881403,-0.17794727,-0.41283491,-0.38257334,-0.08351590,-0.25056320,-0.42777684,-0.39230633,-0.45851928,0.32302743,-0.67693716,-0.05282979,-1.25232708,-0.74621701,0.06628478,0,09:42:47.3,0,0
4,0.73160380,0.32696185,0.71583313,0.02579872,8.30182266,-0.19760169,-0.11482281,4.97400999,-0.31766212,-0.13181850,-0.13847838,-0.18542831,-0.31906956,-0.53757375,-0.01562417,-0.44442359,-0.80907273,0.29944068,-0.57372332,-0.51975423,-0.17336972,-0.41376710,-0.38382384,-0.08266453,-0.25249034,-0.43951422,-0.37457773,-0.44416499,0.32873926,-0.63133484,-0.11728875,-0.96381801,-0.65127283,0.15740412,0,09:42:47.4,0,0
5,0.74432957,0.35920256,0.73767668,0.04736950,8.40413284,-0.18691467,-0.09082747,5.06721640,-0.28592291,-0.12253893,-0.13606915,-0.17710407,-0.31868374,-0.53898734,-0.01838643,-0.44245908,-0.80926794,0.30185038,-0.56925756,-0.52118760,-0.16972165,-0.41485041,-0.38546941,-0.08231954,-0.25450698,-0.45092651,-0.35652298,-0.43131921,0.36527011,-0.58282548,-0.19067262,-0.70978415,-0.54359370,0.23571938,0,09:42:47.5,0,0
6,0.72346658,0.39427805,0.75846422,0.07101107,8.50933933,-0.17169963,-0.06577444,5.14992237,-0.25223613,-0.11451378,-0.13500308,-0.16940285,-0.31903735,-0.54085416,-0.02080069,-0.44175199,-0.81030744,0.30360290,-0.56626087,-0.52307385,-0.16705051,-0.41604805,-0.38745224,-0.08256813,-0.25648004,-0.46075514,-0.33911458,-0.42058101,0.43293759,-0.53362817,-0.26998636,-0.50272626,-0.42938000,0.29848161,0,09:42:47.6,0,0
7,0.67025107,0.42973900,0.77688646,0.09542640,8.58959770,-0.15255140,-0.03963972,5.22126532,-0.21726561,-0.10767301,-0.13505810,-0.16237430,-0.32001013,-0.54307675,-0.02286802,-0.44217715,-0.81202185,0.30462795,-0.56462950,-0.52535671,-0.16537644,-0.41733682,-0.38971215,-0.08342605,-0.25825706,-0.46787533,-0.32307196,-0.41236117,0.52798438,-0.48458287,-0.35207820,-0.35141829,-0.31368014,0.34354642,0,09:42:47.7,0,0
8,0.58882987,0.46285015,0.79210174,0.11925354,8.61485291,-0.13032113,-0.01248737,5.28115654,-0.18168506,-0.10190061,-0.13599367,-0.15601945,-0.32143629,-0.54555559,-0.02459125,-0.44359457,-0.81423324,0.30488282,-0.56421787,-0.52797776,-0.16467707,-0.41869888,-0.39219335,-0.08487154,-0.25970271,-0.47134203,-0.30887148,-0.40684462,0.64541751,-0.43612844,-0.43352431,-0.26025942,-0.20199922,0.37047154,0,09:42:47.8,0,0
9,0.48535967,0.49087450,0.80371517,0.14111193,8.55608845,-0.10575033,0.01565269,5.33014822,-0.14595009,-0.09704084,-0.13758847,-0.15032434,-0.32313931,-0.54817867,-0.02602940,-0.44583634,-0.81677407,0.30433077,-0.56483322,-0.53085178,-0.16487969,-0.42011112,-0.39482924,-0.08683002,-0.26067337,-0.47046769,-0.29671481,-0.40398103,0.77897364,-0.38813469,-0.51084769,-0.22899923,-0.09894278,0.38004488,0,09:42:47.9,0,0
10,0.36806270,0.51116312,0.81182063,0.15979274,8.38849258,-0.07952023,0.04480351,5.36951780,-0.11033379,-0.09289706,-0.13963312,-0.14523347,-0.32491571,-0.55083346,-0.02727982,-0.44871643,-0.81949705,0.30294964,-0.56625563,-0.53390443,-0.16587216,-0.42155036,-0.39755887,-0.08915462,-0.26103330,-0.46480727,-0.28650585,-0.40352294,0.92080104,-0.34059274,-0.57883632,-0.25393152,-0.00831456,0.37380961,0,09:42:48.0,0,0
11,0.24640003,0.52161443,0.81699997,0.17431219,8.09421635,-0.05225722,0.07495107,5.40106869,-0.07495721,-0.08924182,-0.14193745,-0.14067799,-0.32655182,-0.55343759,-0.02849203,-0.45205817,-0.82229877,0.30069873,-0.56826234,-0.53707176,-0.16751552,-0.42300498,-0.40033692,-0.09169698,-0.26069185,-0.45417386,-0.27793571,-0.40504611,1.06306612,-0.29317912,-0.63523197,-0.32519874,0.06712279,0.35427508,0,09:42:48.1,0,0
12,0.12972492,0.52092767,0.82027543,0.18422270,7.66445398,-0.02454771,0.10614134,5.42691231,-0.03987971,-0.08585420,-0.14436574,-0.13657369,-0.32783654,-0.55592036,-0.02984881,-0.45569590,-0.82512391,0.29752654,-0.57063663,-0.54029685,-0.16963494,-0.42446309,-0.40311214,-0.09429087,-0.25958332,-0.43859887,-0.27051395,-0.40794507,1.19876993,-0.24530442,-0.67706752,-0.43207070,0.12559423,0.32458994,0,09:42:48.2,0,0
13,0.02742200,0.50867045,0.82292366,0.18948510,7.10063171,0.00312922,0.13838829,5.44927025,-0.00504988,-0.08251555,-0.14682674,-0.13284126,-0.32857797,-0.55822599,-0.03154609,-0.45947647,-0.82795531,0.29337820,-0.57318598,-0.54354340,-0.17203437,-0.42592216,-0.40584680,-0.09677417,-0.25769088,-0.41835484,-0.26363391,-0.41148388,1.32245481,-0.19699444,-0.70080286,-0.56056339,0.16615340,0.28829619,0,09:42:48.3,0,0
14,-0.05277992,0.48561516,0.82641745,0.19079134,6.41461802,0.03033914,0.17170298,5.47035837,0.02956715,-0.07903402,-0.14928032,-0.12942225,-0.32861793,-0.56034046,-0.03381205,-0.46330625,-0.83083254,0.28817093,-0.57577991,-0.54679006,-0.17454243,-0.42737478,-0.40851501,-0.09901956,-0.25503731,-0.39386809,-0.25661632,-0.41494033,1.43014646,-0.14713262,-0.70425749,-0.69413149,0.18916415,0.24897674,0,09:42:48.4,0,0
15,-0.10483743,0.45330372,0.83230823,0.18911086,5.62792158,0.05696838,0.20619716,5.49219275,0.06428362,-0.07526560,-0.15173404,-0.12627178,-0.32783583,-0.56227744,-0.03688365,-0.46712503,-0.83384562,0.28180534,-0.57830989,-0.55003822,-0.17696969,-0.42882538,-0.41109249,-0.10092472,-0.25168228,-0.36565611,-0.24873562,-0.41763610,1.51830351,-0.09590631,-0.68726498,-0.81897330,0.19513890,0.20986868,0,09:42:48.5,0,0
16,-0.12471874,0.41416460,0.84207809,0.18585001,4.77000332,0.08271628,0.24180722,5.51652575,0.09909819,-0.07111418,-0.15421280,-0.12336258,-0.32615936,-0.56407511,-0.04096026,-0.47088897,-0.83710402,0.27418110,-0.58070743,-0.55329543,-0.17914593,-0.43027058,-0.41355744,-0.10242209,-0.24772891,-0.33425465,-0.23936534,-0.41898876,1.58587265,-0.04295063,-0.64879727,-0.92102152,0.18597440,0.17432575,0,09:42:48.6,0,0
17,-0.11055121,0.37129629,0.85705793,0.18275307,3.87586164,0.10762028,0.27857083,5.54463148,0.13421467,-0.06655148,-0.15678765,-0.12070145,-0.32357901,-0.56579715,-0.04623464,-0.47460511,-0.84074533,0.26519257,-0.58296096,-0.55659330,-0.18093130,-0.43172330,-0.41588536,-0.10350411,-0.24330907,-0.30024907,-0.22797467,-0.41855308,1.63419068,0.01112241,-0.59117526,-0.99092692,0.16316111,0.14422750,0,09:42:48.7,0,0
18,-0.06340824,0.32812306,0.87827981,0.18164706,2.98315883,0.13167553,0.31644714,5.57738161,0.16965200,-0.06159441,-0.15950088,-0.11830088,-0.32012689,-0.56752259,-0.05282762,-0.47830790,-0.84490716,0.25477305,-0.58509552,-0.55994922,-0.18220812,-0.43318173,-0.41804260,-0.10422271,-0.23860152,-0.26422697,-0.21418615,-0.41600037,1.66576445,0.06711134,-0.51580006,-1.02164626,0.12977165,0.12105396,0,09:42:48.8,0,0
19,0.01323649,0.28817973,0.90636432,0.18428272,2.12916827,0.15496996,0.35529140,5.61505175,0.20542085,-0.05632683,-0.16239794,-0.11616284,-0.31588462,-0.56933141,-0.06075719,-0.48203921,-0.84970766,0.24292009,-0.58715588,-0.56338501,-0.18288910,-0.43464893,-0.41998935,-0.10462017,-0.23377384,-0.22677258,-0.19769494,-0.41112715,1.68426049,0.12518418,-0.42546073,-1.00814199,0.08878870,0.10586500,0,09:42:48.9,0,0
