Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191019091306
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,945,787,757,677,681,632,1052,851,811,709,1468,1096,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Over,Over,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,120,120,6,6,6,6,7,7,7,7,48,48,15,15,31,31,49,49,6,6,6,6,12,12,22,22,15,15,7,7,6,6,12,12,12,12,6,6,62,62,44,44,7,7,6,6,31,31,7,7,150,150,6,6,6,6,6,6,44,44,6,6,31,31,6,6,6,6,15,15,7,7,15,15,31,31,6,6,6,6,7,7,98,98,7,7,6,6,6,6,6,6,31,31,6,6,6,6,15,15,6,6,6,6,6,6,6,6
Digital Gain,99.59,100.00,100.00,100.00,8.30,10.15,100.00,100.00,100.00,100.00,4.23,6.68,2.99,6.45,57.58,59.25,2.71,4.49,2.67,5.03,8.89,8.96,2.52,2.97,2.39,3.08,2.67,4.33,2.11,2.89,4.04,5.53,2.82,5.90,2.52,3.65,3.39,4.36,2.41,6.68,2.97,2.90,4.54,4.74,2.52,5.81,3.48,4.37,1.83,3.90,2.13,12.15,4.08,4.05,1.00,1.00,100.00,1.00,71.13,100.00,100.00,1.00,1.00,1.00,100.00,100.00,1.00,1.00,100.00,100.00,100.00,100.00,2.78,4.71,2.66,5.84,2.80,6.86,3.30,7.10,1.35,1.84,1.15,2.25,2.38,3.57,3.43,3.45,2.12,3.36,1.55,2.66,1.09,2.32,2.27,2.48,3.62,4.42,1.63,3.53,1.36,4.07,3.02,3.79,26.89,37.60,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/19 09:13:12
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.41854265,-0.78395844,1.18089783,-1.04172361,-0.81227386,-0.16088048,-0.16167800,-0.73803651,-0.47093031,-2.26589656,-2.73087811,-0.38241345,-0.34365180,-0.44884878,-0.46884689,-0.62265360,-0.20546715,-0.55394471,-0.09431157,-0.13286124,-0.30460036,0.23349448,0.08731842,-0.48863751,-0.52220923,-0.13562894,-0.32823670,-0.55366522,1.10607898,-0.25161466,1.90136313,0.00000000,-0.06396689,0.22882715,0,09:13:22.1,0,0
2,0.47264656,-0.78252840,1.23464155,-0.91749454,-0.78783703,-0.16402410,-0.16117841,-0.72636068,-0.47089854,-2.27238631,-2.74016333,-0.38593242,-0.34773439,-0.45316070,-0.47575814,-0.62953240,-0.20687999,-0.55893290,-0.10161744,-0.13465738,-0.31326571,0.22745165,0.08828445,-0.49481496,-0.52332705,-0.13632013,-0.33130717,-0.42276919,1.05846238,-0.30514744,1.86014354,0.00000000,-0.18817776,0.24791230,0,09:13:22.2,0,0
3,0.52262855,-0.76265699,1.28723812,-0.76778382,-0.74954879,-0.16691411,-0.16016729,-0.70119530,-0.47051686,-2.28040147,-2.74981141,-0.39005509,-0.35244384,-0.45757422,-0.48312101,-0.63646394,-0.20820345,-0.56398928,-0.10897453,-0.13686758,-0.32212731,0.22149836,0.08925904,-0.50124484,-0.52428281,-0.13607329,-0.33496422,-0.29490626,0.98044538,-0.35652670,1.77088594,0.00000000,-0.30729577,0.23849799,0,09:13:22.3,0,0
4,0.56286615,-0.72388881,1.33559370,-0.59976363,-0.69856304,-0.16930605,-0.15850857,-0.66346771,-0.46976045,-2.28992629,-2.75977230,-0.39466792,-0.35768732,-0.46212584,-0.49082175,-0.64346254,-0.20956476,-0.56908071,-0.11627548,-0.13948308,-0.33110851,0.21540013,0.08992415,-0.50786233,-0.52510130,-0.13494034,-0.33913201,-0.17843194,0.87667805,-0.40342754,1.63500452,0.00000000,-0.41583529,0.19726513,0,09:13:22.4,0,0
5,0.58981103,-0.66632402,1.37699270,-0.42224020,-0.63648778,-0.17100944,-0.15613998,-0.61342776,-0.46864176,-2.30080509,-2.77007055,-0.39961895,-0.36332932,-0.46682265,-0.49870914,-0.65049845,-0.21107784,-0.57419205,-0.12344561,-0.14247423,-0.34013388,0.20893604,0.08999631,-0.51459533,-0.52583063,-0.13303562,-0.34369054,-0.08025715,0.75467074,-0.44404414,1.45870471,0.00000000,-0.50958312,0.12318290,0,09:13:22.5,0,0
6,0.60079682,-0.59061760,1.40929937,-0.24322657,-0.56474209,-0.17182884,-0.15300609,-0.55328929,-0.46715984,-2.31277061,-2.78074026,-0.40472034,-0.36919951,-0.47168395,-0.50660533,-0.65758270,-0.21290821,-0.57926780,-0.13038024,-0.14579566,-0.34908661,0.20192584,0.08923033,-0.52136511,-0.52653205,-0.13052288,-0.34849241,-0.00519707,0.62228066,-0.47684598,1.25221741,0.00000000,-0.58526707,0.01769716,0,09:13:22.6,0,0
7,0.59602416,-0.49905914,1.43103230,-0.07177024,-0.48607126,-0.17166361,-0.14912914,-0.48607621,-0.46536136,-2.32547879,-2.79182363,-0.40979031,-0.37511969,-0.47667366,-0.51433545,-0.66463250,-0.21513943,-0.58425516,-0.13698988,-0.14937933,-0.35785195,0.19422643,0.08742245,-0.52807540,-0.52726263,-0.12760611,-0.35336608,0.04447579,0.48820698,-0.50098872,1.02693868,0.00000000,-0.64140707,-0.11526856,0,09:13:22.7,0,0
8,0.57688320,-0.39410242,1.44142878,0.08428898,-0.40253428,-0.17048945,-0.14461339,-0.41503894,-0.46332029,-2.33853745,-2.80334640,-0.41462347,-0.38088337,-0.48174146,-0.52170849,-0.67155564,-0.21785508,-0.58908403,-0.14320110,-0.15314414,-0.36630487,0.18577039,0.08442980,-0.53463751,-0.52808440,-0.12454922,-0.35813257,0.06921682,0.36133394,-0.51642597,0.79764473,0.00000000,-0.67880768,-0.26950851,0,09:13:22.8,0,0
9,0.54676187,-0.27934703,1.44038308,0.21817145,-0.31682992,-0.16835870,-0.13958047,-0.34403771,-0.46110839,-2.35156584,-2.81546354,-0.41905847,-0.38631856,-0.48682180,-0.52857405,-0.67824346,-0.22108784,-0.59369040,-0.14895935,-0.15699188,-0.37432712,0.17648864,0.08019988,-0.54094267,-0.52904266,-0.12155132,-0.36260396,0.07210749,0.24926455,-0.52344471,0.57902890,0.00000000,-0.69858921,-0.43750024,0,09:13:22.9,0,0
10,0.51002133,-0.15947583,1.42852020,0.32366809,-0.23243593,-0.16543426,-0.13424370,-0.27824584,-0.45884478,-2.36422420,-2.82836080,-0.42296135,-0.39128092,-0.49184915,-0.53481549,-0.68456811,-0.22483262,-0.59802300,-0.15424569,-0.16083902,-0.38181710,0.16637067,0.07473472,-0.54689437,-0.53019381,-0.11885662,-0.36660689,0.05846336,0.15872835,-0.52306783,0.38565528,0.00000000,-0.70393419,-0.60920680,0,09:13:23.0,0,0
11,0.47145566,-0.03909991,1.40697908,0.39712778,-0.15197720,-0.16192546,-0.12881544,-0.22179134,-0.45663047,-2.37622285,-2.84224486,-0.42625296,-0.39566332,-0.49675840,-0.54036355,-0.69043911,-0.22906175,-0.60204548,-0.15906246,-0.16458382,-0.38868940,0.15544546,0.06810849,-0.55240768,-0.53157520,-0.11667046,-0.37000176,0.03518813,0.09468424,-0.51650095,0.23041859,0.00000000,-0.69841158,-0.77446568,0,09:13:23.1,0,0
12,0.43615979,0.07665498,1.37733948,0.43636394,-0.07830908,-0.15811701,-0.12354208,-0.18019010,-0.45456809,-2.38732600,-2.85741043,-0.42888808,-0.39939523,-0.50147229,-0.54518902,-0.69574779,-0.23368840,-0.60573238,-0.16344479,-0.16814230,-0.39489460,0.14372219,0.06046039,-0.55739647,-0.53320813,-0.11519101,-0.37266025,0.00993334,0.06001763,-0.50531328,0.12204053,0.00000000,-0.68663341,-0.92317092,0,09:13:23.2,0,0
13,0.40867281,0.18303832,1.34152544,0.44142509,-0.01379320,-0.15431969,-0.11865849,-0.15730974,-0.45274255,-2.39740014,-2.87404490,-0.43087608,-0.40245196,-0.50592035,-0.54931021,-0.70039195,-0.23859347,-0.60907412,-0.16742653,-0.17143653,-0.40038577,0.13131772,0.05197974,-0.56176472,-0.53509074,-0.11452957,-0.37447658,-0.00984805,0.05643474,-0.49074173,0.06876846,0.00000000,-0.67233026,-1.04603815,0,09:13:23.3,0,0
14,0.39150965,0.27564275,1.30154920,0.41433147,0.03947178,-0.15080994,-0.11431921,-0.15639369,-0.45117417,-2.40633464,-2.89225912,-0.43224776,-0.40482861,-0.51004225,-0.55276185,-0.70431894,-0.24364135,-0.61208248,-0.17107561,-0.17439513,-0.40515009,0.11837970,0.04292414,-0.56542706,-0.53720391,-0.11471093,-0.37539133,-0.01785323,0.08244262,-0.47452003,0.07037625,-0.00111739,-0.65958220,-1.13608885,0,09:13:23.4,0,0
15,0.38633782,0.34952590,1.25940955,0.35699004,0.07887905,-0.14787738,-0.11068586,-0.17987587,-0.44988266,-2.41407895,-2.91210294,-0.43308300,-0.40656793,-0.51377910,-0.55561465,-0.70747089,-0.24866983,-0.61476719,-0.17445067,-0.17696925,-0.40917400,0.10511261,0.03358902,-0.56831533,-0.53951573,-0.11570292,-0.37537628,-0.00977901,0.13554910,-0.45791146,0.12559354,-0.00224261,-0.65134507,-1.18698454,0,09:13:23.5,0,0
16,0.39349329,0.40052968,1.21692824,0.27287218,0.10242585,-0.14575355,-0.10784588,-0.22861102,-0.44883683,-2.42063260,-2.93351626,-0.43347332,-0.40772817,-0.51711148,-0.55795836,-0.70987219,-0.25354612,-0.61714989,-0.17760073,-0.17913161,-0.41245589,0.09174624,0.02428637,-0.57036054,-0.54197174,-0.11739668,-0.37444067,0.01603011,0.21203768,-0.44179097,0.22854441,-0.00332278,-0.64915055,-1.19573057,0,09:13:23.6,0,0
17,0.41056755,0.42544550,1.17562866,0.16625305,0.10853916,-0.14458071,-0.10579523,-0.30205810,-0.44795737,-2.42601871,-2.95628786,-0.43352294,-0.40838134,-0.52001274,-0.55988312,-0.71156955,-0.25813749,-0.61927444,-0.18056697,-0.18088272,-0.41501981,0.07855054,0.01529586,-0.57154852,-0.54452085,-0.11964347,-0.37266073,0.05821818,0.30642065,-0.42684466,0.36892688,-0.00427650,-0.65350509,-1.16219544,0,09:13:23.7,0,0
18,0.43456262,0.42283666,1.13670266,0.04220403,0.09663469,-0.14440145,-0.10444616,-0.39855775,-0.44712946,-2.43029070,-2.98013163,-0.43333337,-0.40860865,-0.52247584,-0.56148571,-0.71264219,-0.26232526,-0.62119985,-0.18339084,-0.18224804,-0.41690198,0.06578724,0.00688674,-0.57187337,-0.54711360,-0.12222514,-0.37013865,0.11239126,0.41372025,-0.41346407,0.53585523,-0.00498886,-0.66371506,-1.08913636,0,09:13:23.8,0,0
19,0.45936111,0.39226031,1.10103416,-0.09378003,0.06679390,-0.14515999,-0.10363781,-0.51415533,-0.44619521,-2.43354321,-3.00461125,-0.43301985,-0.40850174,-0.52452958,-0.56286919,-0.71324539,-0.26604670,-0.62298572,-0.18609437,-0.18330577,-0.41814667,0.05374860,-0.00075839,-0.57135659,-0.54968947,-0.12488004,-0.36701837,0.17144726,0.52734643,-0.40149230,0.71540374,-0.00531588,-0.67720550,-0.98429948,0,09:13:23.9,0,0
