Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191026090943
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,1836,1313,1373,1040,825,717,752,674,681,632,742,668,891,756,1143,904,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,88,88,6,6,31,31,6,6,6,6,14,14,7,7,6,6,24,24,31,31,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,12,12,7,7,6,6,6,6,12,12,6,6,6,6,7,7,14,14,62,62,15,15,6,6,6,6,31,31,6,6,31,31,6,6,6,6,44,44,24,24,12,12,47,47,6,6,6,6,6,6,15,15,7,7,6,6,6,6,6,6,6,6,6,6,6,6,15,15,124,124,15,15,6,6,6,6
Digital Gain,1.00,1.00,100.00,100.00,3.04,7.71,26.65,55.63,42.17,100.00,2.77,5.10,4.44,8.38,1.20,3.78,4.75,7.74,2.97,5.89,1.47,4.08,2.24,2.63,2.10,2.81,3.44,5.39,3.89,5.22,3.36,5.20,2.00,4.72,2.34,3.17,4.05,6.39,2.98,8.49,4.08,3.59,2.40,3.41,2.13,5.45,2.41,2.90,1.75,3.27,2.44,7.41,3.03,3.13,6.45,6.93,2.21,6.63,100.00,100.00,100.00,100.00,1.00,1.00,1.00,100.00,100.00,100.00,100.00,100.00,62.73,100.00,3.46,8.43,3.25,9.14,1.71,4.35,3.55,7.23,1.77,2.36,1.41,1.74,1.74,2.58,2.10,3.90,3.10,4.43,1.49,2.93,1.32,2.27,1.31,1.76,1.65,1.86,1.11,2.32,1.20,1.73,1.00,1.00,92.73,94.07,1.58,6.20,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/26 09:09:51
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000000,-0.15236366,0.32321846,0.14377339,0.04729449,0.15234903,0.09945353,-0.26050860,-0.08196329,-1.67951512,-0.52257085,-0.44585228,-0.68609655,-0.66790855,-0.28033075,-0.64869398,-0.57423836,-0.10712875,-0.51054555,-0.53340024,-0.30562806,-0.37963516,-0.50327027,-0.27345926,-0.34379575,-0.65420228,0.27460828,0.76507914,-0.17453800,-0.42910644,0.55900627,0.87347251,-0.86388069,-1.44546127,0,09:10:00.1,0,0
2,0.00000000,-0.08861875,0.29491919,0.11985129,0.07112311,0.13915807,0.08423692,-0.26382402,-0.09384848,-1.68564332,-0.52888042,-0.44278479,-0.68676168,-0.66305858,-0.27440208,-0.63438493,-0.56203812,-0.10101405,-0.49605277,-0.52619618,-0.30005106,-0.37874016,-0.50329506,-0.26560444,-0.34197748,-0.67580354,0.26683235,0.77738702,-0.16888355,-0.42723718,0.52864873,0.92545313,-1.29138565,-1.41743493,0,09:10:00.2,0,0
3,0.00000000,-0.05076980,0.26749077,0.09190004,0.08168747,0.12585400,0.06848088,-0.26688415,-0.10540871,-1.69060636,-0.53486216,-0.43952858,-0.68759596,-0.65883523,-0.26875648,-0.62355995,-0.55263174,-0.09578671,-0.48488936,-0.51993829,-0.29538339,-0.37720725,-0.50232720,-0.25835428,-0.33732250,-0.68469822,0.25958344,0.78453296,-0.16183020,-0.40286973,0.48957512,0.94119495,-1.72500479,-1.40650511,0,09:10:00.3,0,0
4,0.00000000,-0.04175440,0.24222443,0.06169032,0.07910054,0.11293241,0.05308349,-0.26942232,-0.11611446,-1.69409430,-0.54030776,-0.43615958,-0.68849337,-0.65539283,-0.26359603,-0.61663532,-0.54637951,-0.09161008,-0.47757071,-0.51496303,-0.29175282,-0.37512103,-0.50047243,-0.25198221,-0.33006647,-0.68036103,0.25314781,0.78565758,-0.15367752,-0.35917163,0.44422081,0.92031854,-2.13960123,-1.41574800,0,09:10:00.4,0,0
5,0.00000000,-0.06221777,0.22030634,0.03109203,0.06412291,0.10096410,0.03901459,-0.27119356,-0.12538610,-1.69577098,-0.54506099,-0.43274766,-0.68936187,-0.65289700,-0.25911859,-0.61391032,-0.54353917,-0.08860631,-0.47444808,-0.51156759,-0.28924456,-0.37259132,-0.49791554,-0.24671534,-0.32061422,-0.66307783,0.24776134,0.78013653,-0.14482166,-0.29982725,0.39650196,0.86566013,-2.51176810,-1.44888127,0,09:10:00.5,0,0
6,0.00000000,-0.11072309,0.20270309,0.00179975,0.03802052,0.09048321,0.02714860,-0.27201572,-0.13276100,-1.69532824,-0.54903996,-0.42935529,-0.69011104,-0.65146804,-0.25547755,-0.61548579,-0.54420674,-0.08683109,-0.47565168,-0.50996500,-0.28786853,-0.36975282,-0.49487457,-0.24272218,-0.30950871,-0.63389087,0.24360652,0.76767355,-0.13570383,-0.23016208,0.35076568,0.78306031,-2.82022047,-1.50669348,0,09:10:00.6,0,0
7,0.00000000,-0.18286332,0.19016729,-0.02441088,0.00289069,0.08196653,0.01821456,-0.27176112,-0.13789238,-1.69251657,-0.55220908,-0.42602241,-0.69065398,-0.65120333,-0.25276762,-0.62130684,-0.54834789,-0.08627129,-0.48109615,-0.51031154,-0.28756320,-0.36674297,-0.49162659,-0.24009860,-0.29739651,-0.59452319,0.24080172,0.74843359,-0.12679768,-0.15537760,0.31186408,0.68082297,-3.04775381,-1.58760476,0,09:10:00.7,0,0
8,0.00000000,-0.27128029,0.18314438,-0.04593125,-0.03848028,0.07583525,0.01278142,-0.27038637,-0.14052981,-1.68715334,-0.55457318,-0.42279744,-0.69093442,-0.65212357,-0.25104219,-0.63107866,-0.55573273,-0.08684200,-0.49047020,-0.51262736,-0.28821379,-0.36370966,-0.48844022,-0.23887798,-0.28499097,-0.54728734,0.23938769,0.72288138,-0.11858200,-0.08135990,0.28452963,0.56887978,-3.18381190,-1.68584251,0,09:10:00.8,0,0
9,0.00000000,-0.36771858,0.18175983,-0.06162613,-0.08323442,0.07244958,0.01125460,-0.26792401,-0.14049371,-1.67916358,-0.55615991,-0.41970319,-0.69089586,-0.65417576,-0.25028020,-0.64431149,-0.56596547,-0.08838497,-0.50324392,-0.51681018,-0.28964785,-0.36078146,-0.48556975,-0.23898788,-0.27298951,-0.49489757,0.23936369,0.69196004,-0.11150349,-0.01236588,0.27297413,0.45774341,-3.22034740,-1.79546416,0,09:10:00.9,0,0
10,0.00000000,-0.46281675,0.18582657,-0.07065997,-0.12832598,0.07198994,0.01368969,-0.26449344,-0.13784036,-1.66861892,-0.55703145,-0.41675594,-0.69049263,-0.65722752,-0.25038239,-0.66032457,-0.57849091,-0.09066353,-0.51869506,-0.52264327,-0.29161969,-0.35806924,-0.48323491,-0.24027379,-0.26204497,-0.44026077,0.24068759,0.65686840,-0.10593737,0.04748217,0.28066641,0.35735187,-3.15683985,-1.90711665,0,09:10:01.0,0,0
11,0.00000000,-0.54814321,0.19483152,-0.07276380,-0.17089413,0.07452454,0.01993844,-0.26026663,-0.13271205,-1.65575027,-0.55723983,-0.41398939,-0.68970686,-0.66107965,-0.25122476,-0.67829019,-0.59263015,-0.09341427,-0.53596848,-0.52979100,-0.29386908,-0.35566431,-0.48160213,-0.24253862,-0.25272793,-0.38630965,0.24323496,0.61903405,-0.10217372,0.09590432,0.30978742,0.27593023,-2.99787784,-2.00979257,0,09:10:01.1,0,0
12,0.00000000,-0.61492747,0.20805715,-0.06808696,-0.20835175,0.07997023,0.02958867,-0.25549230,-0.12540825,-1.64098215,-0.55685318,-0.41143963,-0.68854785,-0.66550696,-0.25263080,-0.69731313,-0.60762769,-0.09634822,-0.55412215,-0.53783816,-0.29613462,-0.35363904,-0.48076978,-0.24552648,-0.24548709,-0.33580172,0.24685858,0.58005524,-0.10038431,0.13107431,0.36041564,0.21899323,-2.75442815,-2.09363389,0,09:10:01.2,0,0
13,0.00000000,-0.65602225,0.22458567,-0.05706471,-0.23830810,0.08811489,0.04202048,-0.25045067,-0.11630870,-1.62489378,-0.55592656,-0.40913263,-0.68702853,-0.67021751,-0.25437784,-0.71643513,-0.62268603,-0.09915239,-0.57218480,-0.54629290,-0.29814020,-0.35204032,-0.48075560,-0.24893938,-0.24061459,-0.29115015,0.25139332,0.54165745,-0.10062923,0.15328740,0.43075418,0.18860804,-2.44065619,-2.14826107,0,09:10:01.3,0,0
14,0.00000000,-0.66741514,0.24337649,-0.04075355,-0.25957429,0.09862354,0.05647920,-0.24543515,-0.10586315,-1.60822845,-0.55450565,-0.40710691,-0.68518585,-0.67490953,-0.25624713,-0.73472643,-0.63703543,-0.10153958,-0.58922201,-0.55465913,-0.29964536,-0.35088420,-0.48151782,-0.25248852,-0.23824996,-0.25430244,0.25663948,0.50546259,-0.10286427,0.16341364,0.51769936,0.18301027,-2.07528162,-2.16521358,0,09:10:01.4,0,0
15,0.00000000,-0.64737833,0.26330206,-0.02045624,-0.27149534,0.11103258,0.07208777,-0.24073097,-0.09458867,-1.59182703,-0.55263120,-0.40540382,-0.68307096,-0.67927289,-0.25803852,-0.75133711,-0.64997023,-0.10327286,-0.60441995,-0.56247222,-0.30046707,-0.35018104,-0.48296547,-0.25590816,-0.23838569,-0.22663853,0.26238152,0.47297335,-0.10693736,0.16459303,0.61623317,0.19663021,-1.67806232,-2.13750076,0,09:10:01.5,0,0
16,0.00000000,-0.59689522,0.28332889,0.00241968,-0.27397066,0.12484620,0.08803175,-0.23659226,-0.08292866,-1.57652116,-0.55032212,-0.40405869,-0.68074441,-0.68305230,-0.25955918,-0.76556867,-0.66091883,-0.10416630,-0.61711895,-0.56928849,-0.30047569,-0.34989724,-0.48493552,-0.25893649,-0.24086021,-0.20893416,0.26843867,0.44555861,-0.11261342,0.16066180,0.72081316,0.22054507,-1.27100468,-2.06119776,0,09:10:01.6,0,0
17,0.00000000,-0.51931381,0.30252799,0.02654732,-0.26740649,0.13948300,0.10344759,-0.23323135,-0.07139117,-1.56314433,-0.54760247,-0.40309015,-0.67825752,-0.68600094,-0.26064673,-0.77686048,-0.66943330,-0.10409213,-0.62683100,-0.57475579,-0.29960611,-0.35000089,-0.48724321,-0.26136377,-0.24538200,-0.20133209,0.27462861,0.42413250,-0.11956367,0.15408053,0.82408369,0.24332614,-0.87539232,-1.93716073,0,09:10:01.7,0,0
18,0.00000000,-0.42030317,0.32013109,0.05052037,-0.25321460,0.15441538,0.11763643,-0.23079260,-0.06035270,-1.55237961,-0.54450279,-0.40249503,-0.67566192,-0.68793857,-0.26117665,-0.78485090,-0.67524099,-0.10299081,-0.63327307,-0.57860452,-0.29783723,-0.35043225,-0.48966932,-0.26300859,-0.25155485,-0.20341404,0.28080586,0.40943527,-0.12742609,0.14833538,0.91923040,0.25220549,-0.51129186,-1.76863360,0,09:10:01.8,0,0
19,0.00000000,-0.30778521,0.33556527,0.07299265,-0.23314659,0.16907349,0.12997457,-0.22935635,-0.05019418,-1.54476213,-0.54104668,-0.40224999,-0.67298788,-0.68873161,-0.26106179,-0.78937972,-0.67824620,-0.10088742,-0.63637459,-0.58070952,-0.29522800,-0.35112533,-0.49200729,-0.26375300,-0.25891080,-0.21425752,0.28685164,0.40174437,-0.13580833,0.14667222,0.99973148,0.23444921,-0.19655143,-1.56278336,0,09:10:01.9,0,0
