Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191026113908
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,1966,1389,1508,1119,840,726,882,750,1266,977,1037,842,1631,1192,1373,1040,1210,1397,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,47,47,6,6,15,15,6,6,6,6,15,15,6,6,7,7,12,12,6,6,6,6,7,7,7,7,7,7,15,15,6,6,6,6,12,12,7,7,7,7,6,6,7,7,7,7,6,6,6,6,24,24,6,6,12,12,47,47,6,6,6,6,31,31,6,6,31,31,72,72,6,6,24,24,7,7,6,6,7,7,6,6,6,6,7,7,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,31,6,6,6,6,6,6
Digital Gain,3.58,7.39,41.77,100.00,3.00,5.66,29.77,59.68,33.06,64.71,4.29,7.01,2.14,3.18,3.03,4.78,4.23,5.26,2.29,2.36,2.26,3.87,4.01,3.42,3.45,3.98,3.81,4.16,3.43,2.37,3.44,2.71,2.52,3.25,3.38,3.92,4.31,4.46,3.69,4.75,3.18,2.45,2.97,2.40,2.17,3.64,2.83,2.44,2.49,3.26,1.87,5.43,3.53,2.14,3.25,2.55,1.00,1.00,80.77,55.10,89.85,100.00,31.82,53.51,100.00,100.00,100.00,100.00,4.36,4.86,29.81,57.65,3.90,6.00,3.37,5.06,1.16,2.07,5.05,6.39,1.76,1.72,1.29,1.71,2.36,2.55,3.15,2.52,1.90,2.00,1.45,1.54,1.90,1.96,31.89,21.91,2.64,2.39,2.42,2.60,1.59,1.90,1.00,7.78,4.56,4.48,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/26 11:39:16
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.07447758,-0.15577865,0.02844436,0.33607763,0.01907353,-0.31811714,-0.47458610,-0.08527727,-0.38254717,-0.33512190,-0.31623247,-0.22814344,0.24904692,-0.23083691,0.01866425,0.48860610,-0.27767074,-0.42417839,0.16579694,-0.27392682,0.51354069,0.06100587,0.22228110,-0.08837313,0.33931202,0.67860842,-0.26396498,-0.16245864,0.00000000,-0.35237315,-0.10195919,-0.42537832,-0.83679867,-1.29428577,0,11:39:25.1,0,0
2,0.07358684,-0.14972669,0.02563875,0.33266553,0.01300893,-0.32110703,-0.47919685,-0.09015273,-0.38750738,-0.33876070,-0.31914142,-0.22998284,0.24538641,-0.23768625,0.01693641,0.48742482,-0.28287941,-0.42374170,0.16440929,-0.28027764,0.51441848,0.05467233,0.21852641,-0.08928666,0.33914188,0.67828178,-0.26620066,-0.16614591,0.00000000,-0.37308621,-0.09881129,-0.43747902,-1.05053020,-1.46800172,0,11:39:25.2,0,0
3,0.07190783,-0.14118429,0.02237285,0.33330557,0.00864136,-0.32361898,-0.48344231,-0.09481589,-0.39219415,-0.34259680,-0.32202539,-0.23268929,0.24130163,-0.24436498,0.01412391,0.48563400,-0.28806645,-0.42390776,0.16278753,-0.28671163,0.51489806,0.04822374,0.21472411,-0.09047060,0.33894038,0.67804903,-0.26860911,-0.16988210,0.00000000,-0.39419463,-0.10057528,-0.44580853,-1.26272523,-1.62984133,0,11:39:25.3,0,0
4,0.06961171,-0.13096677,0.01884574,0.33771273,0.00597139,-0.32568127,-0.48726434,-0.09916750,-0.39653319,-0.34649792,-0.32481623,-0.23620357,0.23677275,-0.25075325,0.01029880,0.48330370,-0.29316187,-0.42462528,0.16098607,-0.29312769,0.51496905,0.04182995,0.21093266,-0.09182685,0.33874449,0.67791390,-0.27112845,-0.17365412,0.00000000,-0.41483471,-0.10731816,-0.44847202,-1.46480381,-1.76824045,0,11:39:25.4,0,0
5,0.06692536,-0.12007744,0.01528083,0.34531641,0.00477624,-0.32732469,-0.49060544,-0.10310385,-0.40044159,-0.35031700,-0.32743421,-0.24043642,0.23183645,-0.25671038,0.00556862,0.48055485,-0.29808286,-0.42582583,0.15904535,-0.29941094,0.51467341,0.03568559,0.20722938,-0.09324160,0.33859676,0.67787176,-0.27369636,-0.17744941,0.00000000,-0.43417811,-0.11853506,-0.44334334,-1.64756131,-1.87131894,0,11:39:25.5,0,0
6,0.06407220,-0.10953405,0.01187398,0.35536742,0.00480954,-0.32852143,-0.49338114,-0.10652474,-0.40378031,-0.35388207,-0.32979429,-0.24521610,0.22659720,-0.26209220,0.00014281,0.47756255,-0.30274540,-0.42739016,0.15702721,-0.30543846,0.51405883,0.03000847,0.20371923,-0.09457279,0.33855698,0.67790717,-0.27623931,-0.18123366,0.00000000,-0.45134443,-0.13311900,-0.42902726,-1.80298328,-1.93075728,0,11:39:25.6,0,0
7,0.06124248,-0.10048803,0.00879785,0.36690059,0.00554681,-0.32925698,-0.49554211,-0.10933823,-0.40646306,-0.35704762,-0.33180645,-0.25036812,0.22121245,-0.26676604,-0.00575740,0.47451615,-0.30706951,-0.42917830,0.15500143,-0.31107312,0.51322228,0.02501327,0.20051542,-0.09567839,0.33867416,0.67801577,-0.27867645,-0.18495452,0.00000000,-0.46565562,-0.14942595,-0.40428829,-1.92337334,-1.94039524,0,11:39:25.7,0,0
8,0.05862388,-0.09382389,0.00616575,0.37891549,0.00651047,-0.32947168,-0.49702725,-0.11149611,-0.40837985,-0.35971957,-0.33340630,-0.25572816,0.21585092,-0.27059424,-0.01189188,0.47159120,-0.31097928,-0.43105429,0.15300423,-0.31620428,0.51217669,0.02087321,0.19771963,-0.09645259,0.33896700,0.67817283,-0.28095412,-0.18856017,0.00000000,-0.47663346,-0.16508833,-0.36858734,-2.00275898,-1.89617050,0,11:39:25.8,0,0
9,0.05637138,-0.09017423,0.00405077,0.39046064,0.00717695,-0.32913229,-0.49781430,-0.11296170,-0.40948913,-0.36183637,-0.33454800,-0.26113361,0.21070716,-0.27349064,-0.01803584,0.46895027,-0.31441176,-0.43290910,0.15102623,-0.32072988,0.51095903,0.01773731,0.19544637,-0.09682532,0.33944288,0.67835337,-0.28304878,-0.19199717,0.00000000,-0.48376876,-0.17734839,-0.32192037,-2.03608179,-1.79926848,0,11:39:25.9,0,0
10,0.05457884,-0.08991978,0.00247795,0.40067026,0.00715155,-0.32820237,-0.49789321,-0.11373380,-0.40975857,-0.36337677,-0.33520728,-0.26641896,0.20598240,-0.27537006,-0.02394463,0.46674615,-0.31731606,-0.43466061,0.14904858,-0.32456461,0.50954092,0.01571451,0.19378081,-0.09676508,0.34008050,0.67853951,-0.28495604,-0.19521269,0.00000000,-0.48686031,-0.18377583,-0.26516157,-2.02190971,-1.65288138,0,11:39:26.0,0,0
11,0.05326409,-0.09336401,0.00140864,0.40861285,0.00585866,-0.32665101,-0.49728683,-0.11384154,-0.40919766,-0.36436316,-0.33538765,-0.27147499,0.20184337,-0.27621171,-0.02944208,0.46507323,-0.31965896,-0.43626210,0.14702524,-0.32765469,0.50791705,0.01484666,0.19278891,-0.09628849,0.34083503,0.67871922,-0.28670311,-0.19815384,0.00000000,-0.48620439,-0.18263210,-0.19987544,-1.96095967,-1.46426272,0,11:39:26.1,0,0
12,0.05239827,-0.10038792,0.00076580,0.41374829,0.00308008,-0.32448933,-0.49604717,-0.11333907,-0.40786445,-0.36485675,-0.33511290,-0.27619576,0.19844499,-0.27600163,-0.03436596,0.46401355,-0.32141176,-0.43768179,0.14490859,-0.32997668,0.50603563,0.01514215,0.19251364,-0.09544954,0.34165376,0.67887276,-0.28832796,-0.20078319,0.00000000,-0.48210227,-0.17228046,-0.12852934,-1.85540271,-1.24320149,0,11:39:26.2,0,0
13,0.05191491,-0.11058198,0.00043808,0.41572720,-0.00140925,-0.32177484,-0.49424917,-0.11230986,-0.40585598,-0.36495113,-0.33444265,-0.28051126,0.19589984,-0.27479577,-0.03862263,0.46358126,-0.32259160,-0.43892959,0.14265360,-0.33152425,0.50388092,0.01655223,0.19296239,-0.09435491,0.34245545,0.67899668,-0.28990516,-0.20306806,0.00000000,-0.47491238,-0.15202105,-0.05415865,-1.71043599,-1.00231731,0,11:39:26.3,0,0
14,0.05170845,-0.12322927,0.00031279,0.41449228,-0.00760738,-0.31857002,-0.49197912,-0.11083290,-0.40328395,-0.36474505,-0.33343604,-0.28436834,0.19427302,-0.27266145,-0.04214928,0.46376899,-0.32321778,-0.44001129,0.14023788,-0.33231643,0.50142360,0.01899671,0.19412781,-0.09313320,0.34315395,0.67908973,-0.29151598,-0.20498279,0.00000000,-0.46511480,-0.12211332,0.01998282,-1.53342927,-0.75434089,0,11:39:26.4,0,0
15,0.05160311,-0.13745512,0.00026396,0.41020098,-0.01530224,-0.31494567,-0.48932138,-0.10902778,-0.40026218,-0.36436114,-0.33218029,-0.28775617,0.19358930,-0.26969850,-0.04494974,0.46454978,-0.32332146,-0.44097209,0.13764343,-0.33239642,0.49867266,0.02235701,0.19597881,-0.09192816,0.34366402,0.67916214,-0.29324093,-0.20651180,0.00000000,-0.45332867,-0.08385354,0.09007546,-1.33353102,-0.51365250,0,11:39:26.5,0,0
16,0.05144022,-0.15246619,0.00019772,0.40313804,-0.02415936,-0.31105605,-0.48639885,-0.10700813,-0.39695928,-0.36394325,-0.33076850,-0.29071265,0.19380900,-0.26603976,-0.04707109,0.46583089,-0.32295135,-0.44189146,0.13485201,-0.33182830,0.49556524,0.02646604,0.19844593,-0.09091427,0.34388056,0.67921424,-0.29517320,-0.20765863,0.00000000,-0.44024169,-0.03939484,0.15265189,-1.12207925,-0.29164273,0,11:39:26.6,0,0
17,0.05096413,-0.16732380,-0.00001041,0.39392480,-0.03372080,-0.30705437,-0.48333046,-0.10488984,-0.39355418,-0.36363184,-0.32929221,-0.29330924,0.19485122,-0.26184568,-0.04863929,0.46748883,-0.32218009,-0.44286934,0.13184340,-0.33069554,0.49208412,0.03113463,0.20143767,-0.09026583,0.34369338,0.67924452,-0.29740497,-0.20844366,0.00000000,-0.42642033,0.00842337,0.20447198,-0.90962160,-0.10003792,0,11:39:26.7,0,0
18,0.04994332,-0.18145347,-0.00044708,0.38305175,-0.04360042,-0.30314156,-0.48023954,-0.10280520,-0.39022481,-0.36356127,-0.32785100,-0.29564887,0.19657792,-0.25728747,-0.04979968,0.46937454,-0.32109073,-0.44401264,0.12861976,-0.32909256,0.48816809,0.03615772,0.20485175,-0.09013262,0.34301969,0.67924744,-0.29999813,-0.20889133,0.00000000,-0.41236290,0.05679086,0.24264441,-0.70704949,0.05137820,0,11:39:26.8,0,0
19,0.04813670,-0.19417951,-0.00118168,0.37126276,-0.05320820,-0.29952753,-0.47725472,-0.10086723,-0.38715610,-0.36384410,-0.32652572,-0.29783589,0.19884625,-0.25253674,-0.05072612,0.47134081,-0.31976637,-0.44543663,0.12519008,-0.32712737,0.48381788,0.04131120,0.20856819,-0.09063566,0.34178787,0.67922014,-0.30298823,-0.20904200,0.00000000,-0.39859337,0.10234170,0.26487640,-0.52394313,0.15579283,0,11:39:26.9,0,0
