Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191019115344
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,1613,1181,820,714,682,632,966,800,702,644,946,788,653,615,920,917,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,112,112,6,6,15,15,6,6,6,6,15,15,7,7,15,15,15,15,6,6,6,6,7,7,31,31,6,6,15,15,6,6,6,6,7,7,22,22,6,6,7,7,6,6,6,6,12,12,15,15,15,15,6,6,6,6,49,49,44,44,6,6,31,31,6,6,44,44,62,62,31,31,56,56,56,56,6,6,7,7,6,6,6,6,15,15,7,7,6,6,12,12,6,6,7,7,7,7,7,7,6,6,6,6,7,7,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,2.85,5.14,34.60,68.64,85.55,100.00,3.44,4.24,3.38,4.57,2.10,4.55,5.70,6.43,1.69,2.21,1.53,3.01,3.36,3.45,2.19,3.82,3.06,5.07,2.45,2.42,2.30,2.51,2.84,4.85,4.02,5.19,4.43,5.72,1.93,3.26,5.79,5.02,2.06,2.50,1.97,3.02,2.98,2.96,3.31,4.37,2.38,5.93,3.79,2.15,2.79,2.24,3.98,15.13,1.00,1.00,36.24,73.80,32.19,48.02,100.00,100.00,21.42,27.40,3.20,3.43,2.72,6.14,7.15,13.33,6.89,31.38,1.78,2.84,4.09,5.48,1.57,1.79,1.59,2.28,2.34,3.93,2.91,3.10,1.45,1.67,2.47,3.21,1.62,2.08,2.23,2.14,2.41,2.40,2.47,3.16,1.30,2.39,2.87,1.91,4.21,2.99,10.80,36.08,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/19 11:53:50
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.34538284,-1.06855810,-0.05455238,-0.12350599,-0.60007918,-0.62400079,-0.52258343,0.16239938,-0.72693652,-0.29694596,0.09420149,-0.27249324,0.51414508,0.29583713,0.05901619,0.24932612,0.17512561,-0.80766886,-0.50940460,-0.48514086,-0.10893125,-0.59743190,-0.30571502,-0.15831546,-0.14205244,-0.03399762,-0.29505450,-0.26612568,-0.05578479,0.31903630,-0.08587349,-0.15964277,-0.73285508,0.01093451,0,11:54:00.1,0,0
2,-0.32926628,-1.06324553,-0.05335434,-0.11432543,-0.56240165,-0.62349153,-0.52286434,0.16270499,-0.72648495,-0.29780251,0.09278254,-0.27325404,0.51318550,0.29484978,0.06140665,0.24821235,0.17071684,-0.81271124,-0.51117873,-0.48955345,-0.10969015,-0.60669833,-0.30826274,-0.15833530,-0.14379703,-0.03553344,-0.29557315,-0.26454413,-0.07230367,0.46199334,-0.08984960,-0.17510837,-0.73166072,0.00759813,0,11:54:00.2,0,0
3,-0.31001949,-1.03537285,-0.05186534,-0.10769852,-0.53517383,-0.62321681,-0.52345783,0.16224498,-0.72657800,-0.29887912,0.08970333,-0.27349237,0.51064509,0.29164338,0.06412537,0.24637972,0.16458130,-0.81611508,-0.51293188,-0.49636024,-0.10810872,-0.61918646,-0.31300601,-0.15788764,-0.14546376,-0.03818084,-0.29555297,-0.26322657,-0.08898702,0.58366305,-0.09607455,-0.18798183,-0.73349053,0.00537773,0,11:54:00.3,0,0
4,-0.28968012,-0.98444009,-0.05022605,-0.10379360,-0.51838040,-0.62320155,-0.52434939,0.16100864,-0.72722775,-0.30018348,0.08501589,-0.27319470,0.50646573,0.28629568,0.06711920,0.24389902,0.15693745,-0.81771398,-0.51464427,-0.50539160,-0.10427228,-0.63465744,-0.31989798,-0.15712728,-0.14729516,-0.04184628,-0.29511073,-0.26250279,-0.10495515,0.68965524,-0.10412616,-0.19846317,-0.73537213,0.00377729,0,11:54:00.4,0,0
5,-0.26806960,-0.91152126,-0.04854438,-0.10256751,-0.51158834,-0.62343597,-0.52550596,0.15903912,-0.72842669,-0.30170789,0.07887202,-0.27236354,0.50070101,0.27903521,0.07032751,0.24091396,0.14812075,-0.81747270,-0.51629567,-0.51632017,-0.09838531,-0.65264541,-0.32873461,-0.15615991,-0.14943162,-0.04645451,-0.29431906,-0.26260883,-0.11962336,0.78312135,-0.11340440,-0.20695099,-0.73364937,0.00245335,0,11:54:00.5,0,0
6,-0.24636836,-0.81974751,-0.04692912,-0.10368245,-0.51306230,-0.62391037,-0.52689224,0.15643707,-0.73014992,-0.30343917,0.07152017,-0.27103344,0.49350092,0.27016774,0.07368065,0.23758608,0.13850807,-0.81547350,-0.51787722,-0.52868390,-0.09080027,-0.67248523,-0.33917397,-0.15515323,-0.15205738,-0.05182761,-0.29332343,-0.26373079,-0.13232580,0.86870611,-0.12321126,-0.21424183,-0.72529453,0.00078725,0,11:54:00.6,0,0
7,-0.22398777,-0.71234971,-0.04546330,-0.10664102,-0.52060086,-0.62461579,-0.52848548,0.15334921,-0.73239017,-0.30535263,0.06327957,-0.26926777,0.48511201,0.26011616,0.07708801,0.23410536,0.12855142,-0.81190574,-0.51936090,-0.54192525,-0.08195921,-0.69336963,-0.35076964,-0.15426974,-0.15529919,-0.05772574,-0.29226977,-0.26596084,-0.14248869,0.94839078,-0.13264900,-0.22103865,-0.70672774,-0.00167518,0,11:54:00.7,0,0
8,-0.20013951,-0.59404224,-0.04422334,-0.11091661,-0.53184038,-0.62552041,-0.53025103,0.14993781,-0.73510081,-0.30742359,0.05451069,-0.26715526,0.47582808,0.24932213,0.08045021,0.23066069,0.11868916,-0.80706918,-0.52073437,-0.55543613,-0.07238621,-0.71440619,-0.36299682,-0.15369016,-0.15926985,-0.06397445,-0.29133493,-0.26930076,-0.14997025,1.02056170,-0.14097847,-0.22833647,-0.67629009,-0.00527108,0,11:54:00.8,0,0
9,-0.17379791,-0.47020546,-0.04325900,-0.11576755,-0.54375625,-0.62659472,-0.53215551,0.14639153,-0.73824364,-0.30961984,0.04560226,-0.26480448,0.46599203,0.23825306,0.08366443,0.22742872,0.10934695,-0.80132484,-0.52196842,-0.56858933,-0.06262726,-0.73467612,-0.37528422,-0.15354480,-0.16397667,-0.07027769,-0.29065394,-0.27369347,-0.15447821,1.08433223,-0.14733522,-0.23675136,-0.63215029,-0.01021348,0,11:54:00.9,0,0
10,-0.14375348,-0.34792829,-0.04256316,-0.12078322,-0.55445176,-0.62776041,-0.53415054,0.14291239,-0.74172437,-0.31188914,0.03695035,-0.26231742,0.45598072,0.22739068,0.08664332,0.22457734,0.10093118,-0.79507136,-0.52303994,-0.58078939,-0.05319955,-0.75330806,-0.38706526,-0.15388712,-0.16932890,-0.07644468,-0.29030326,-0.27895218,-0.15615839,1.13815665,-0.15110135,-0.24647871,-0.57536787,-0.01624351,0,11:54:01.0,0,0
11,-0.10916739,-0.23445146,-0.04213225,-0.12557262,-0.56269407,-0.62895083,-0.53619874,0.13969438,-0.74544442,-0.31417647,0.02891969,-0.25980470,0.44617075,0.21717665,0.08930774,0.22224082,0.09376626,-0.78872520,-0.52390242,-0.59151453,-0.04457029,-0.76953477,-0.39781213,-0.15471724,-0.17517316,-0.08227932,-0.29031962,-0.28479594,-0.15528078,1.17533445,-0.15180042,-0.25771031,-0.50731111,-0.02317438,0,11:54:01.1,0,0
12,-0.07000522,-0.13665043,-0.04194841,-0.12991679,-0.56769818,-0.63008028,-0.53825253,0.13688602,-0.74929017,-0.31643873,0.02179791,-0.25737172,0.43688968,0.20796750,0.09159070,0.22049473,0.08807539,-0.78268230,-0.52453172,-0.60035086,-0.03713337,-0.78275859,-0.40707329,-0.15598767,-0.18128975,-0.08757962,-0.29070100,-0.29090163,-0.15213062,1.19149899,-0.14918844,-0.27022660,-0.43213412,-0.03056527,0,11:54:01.2,0,0
13,-0.02602866,-0.06037013,-0.04196320,-0.13363595,-0.56917465,-0.63103110,-0.54024827,0.13461103,-0.75310290,-0.31861848,0.01581310,-0.25509930,0.42844892,0.20006111,0.09345084,0.21938312,0.08400348,-0.77728134,-0.52488434,-0.60702109,-0.03116136,-0.79257250,-0.41450864,-0.15755127,-0.18736975,-0.09224711,-0.29134983,-0.29693401,-0.14726606,1.18352711,-0.14330459,-0.28311428,-0.35367259,-0.03759100,0,11:54:01.3,0,0
14,0.01967815,-0.01009745,-0.04213192,-0.13669288,-0.56748217,-0.63170570,-0.54212457,0.13295710,-0.75672948,-0.32066840,0.01110884,-0.25305766,0.42108086,0.19365601,0.09487027,0.21889086,0.08158039,-0.77281851,-0.52493185,-0.61138314,-0.02683382,-0.79878181,-0.41989630,-0.15920217,-0.19304782,-0.09613463,-0.29211003,-0.30249524,-0.14112422,1.14596689,-0.13431618,-0.29549614,-0.27693862,-0.04356962,0,11:54:01.4,0,0
15,0.06320855,0.00972805,-0.04242018,-0.13951053,-0.56509048,-0.63200009,-0.54380047,0.13195476,-0.75998718,-0.32255167,0.00773036,-0.25130573,0.41494536,0.18883352,0.09584717,0.21894997,0.08071778,-0.76950985,-0.52466035,-0.61346036,-0.02421460,-0.80143219,-0.42315787,-0.16069578,-0.19797340,-0.09925435,-0.29278961,-0.30731478,-0.13438845,1.07781959,-0.12271574,-0.30642813,-0.20793207,-0.04783816,0,11:54:01.5,0,0
16,0.10076892,-0.00388026,-0.04279783,-0.14222650,-0.56273651,-0.63185221,-0.54523033,0.13157742,-0.76276106,-0.32424751,0.00562035,-0.24987334,0.41009605,0.18555646,0.09640693,0.21944356,0.08122990,-0.76748556,-0.52408844,-0.61342180,-0.02325780,-0.80078930,-0.42436102,-0.16179368,-0.20182577,-0.10165440,-0.29319391,-0.31118128,-0.12764549,0.98022103,-0.10917405,-0.31494343,-0.15287176,-0.04980627,0,11:54:01.6,0,0
17,0.12634245,-0.05184029,-0.04325905,-0.14523545,-0.56246012,-0.63122630,-0.54637301,0.13176745,-0.76494914,-0.32573202,0.00464808,-0.24877371,0.40650609,0.18367110,0.09659334,0.22021389,0.08284448,-0.76677841,-0.52325130,-0.61155277,-0.02380998,-0.79730076,-0.42369106,-0.16224542,-0.20430025,-0.10336040,-0.29310623,-0.31395048,-0.12130438,0.85418838,-0.09438456,-0.31999022,-0.11491727,-0.04908925,0,11:54:01.7,0,0
18,0.13418253,-0.13271475,-0.04377455,-0.14872728,-0.56555146,-0.63006938,-0.54714847,0.13241388,-0.76643199,-0.32700822,0.00459554,-0.24799828,0.40405521,0.18295413,0.09647869,0.22109978,0.08523236,-0.76730889,-0.52218789,-0.60825849,-0.02561629,-0.79156792,-0.42145929,-0.16181353,-0.20516375,-0.10450773,-0.29231775,-0.31558764,-0.11585541,0.70646942,-0.07926177,-0.32080826,-0.09711529,-0.04542937,0,11:54:01.8,0,0
19,0.11867159,-0.24224618,-0.04431188,-0.15279561,-0.57281125,-0.62838209,-0.54752082,0.13339038,-0.76717615,-0.32806712,0.00520612,-0.24750032,0.40257278,0.18310726,0.09616156,0.22193909,0.08804180,-0.76891834,-0.52093548,-0.60400373,-0.02834805,-0.78428251,-0.41805899,-0.16030940,-0.20426610,-0.10522088,-0.29065791,-0.31619051,-0.11147069,0.54540771,-0.06449489,-0.31705254,-0.10091652,-0.03904048,0,11:54:01.9,0,0
