Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191026105958
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,1696,1392,1728,1408,1175,923,1252,968,1156,912,1492,1110,1141,903,1388,1049,1090,1198,1792,1664,1408,1060
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Signal Check Result,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under
Analog Gain,72,72,6,6,22,22,72,72,44,44,12,12,6,6,31,31,7,7,6,6,7,7,6,6,7,7,6,6,12,12,6,6,6,6,7,7,6,6,6,6,6,6,7,7,14,14,12,12,6,6,72,72,6,6,15,15,49,49,72,72,15,15,24,24,49,49,24,24,6,6,6,6,44,44,31,31,7,7,15,15,6,6,6,6,6,6,14,14,6,6,6,6,6,6,6,6,7,7,6,6,6,6,7,7,6,6,15,15,12,12,6,6
Digital Gain,11.17,14.40,39.91,69.71,2.85,4.47,26.11,26.33,2.30,3.55,3.95,5.33,2.68,4.31,2.33,4.60,3.83,5.30,1.61,2.58,2.88,4.69,2.70,2.99,3.43,3.61,2.25,2.49,3.24,2.92,2.31,2.55,2.29,3.71,5.23,7.42,2.29,2.69,2.32,3.24,2.82,2.71,3.15,3.52,2.15,3.52,4.33,4.36,2.15,3.09,16.21,16.68,2.93,2.40,2.51,2.70,6.24,7.22,9.50,9.36,2.90,3.93,10.88,14.84,5.76,6.99,9.01,25.79,28.85,72.71,24.59,47.72,4.41,7.54,4.53,10.86,2.22,4.56,2.71,5.09,1.30,1.91,2.00,2.08,1.89,1.95,1.00,3.99,1.32,1.85,2.02,2.09,1.92,1.92,8.18,7.94,3.15,3.43,1.28,1.79,1.73,3.08,4.33,4.19,12.11,11.48,2.38,3.52,1.99,2.80,39.18,47.17

Measurement Information
Date,2019/10/26 11:00:06
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.45518100,0.11418214,-0.00969210,3.13257957,1.26535213,-0.48223874,-0.29159129,-1.87793958,-0.53580552,-0.27218324,-1.21494246,-0.48600706,-0.45962542,-0.58404082,-0.56441689,-0.79297745,-0.86148131,-0.63446569,-0.78898400,-0.68825883,-0.73091489,-0.94603693,-0.57458907,-0.35359320,0.08208726,2.01190782,-0.20378065,0.01596479,2.24647236,0.53716403,-0.03049515,0.18004248,2.22001553,0.25549740,0,11:00:15.1,0,0
2,0.45524484,0.11778072,-0.01443509,3.10854554,1.27345967,-0.48274496,-0.28524363,-1.86532509,-0.53702945,-0.26721957,-1.22052038,-0.48319381,-0.47099087,-0.58497328,-0.57077497,-0.80335635,-0.85172141,-0.61620337,-0.78514618,-0.68434316,-0.73467427,-0.95759529,-0.57829022,-0.35127753,0.08577595,1.95007491,-0.20426266,0.01427351,2.21504021,0.52747244,-0.03650601,0.18747169,2.22728205,0.25627133,0,11:00:15.2,0,0
3,0.45578557,0.12243827,-0.01859980,3.08265400,1.27332306,-0.48236117,-0.27947128,-1.85334337,-0.53683114,-0.26287052,-1.22009552,-0.48159337,-0.47821769,-0.58556336,-0.57388335,-0.80580676,-0.84262991,-0.60117775,-0.77739650,-0.68059105,-0.73520559,-0.96398264,-0.58042854,-0.34861249,0.08869109,1.89188325,-0.20440957,0.01248125,2.18263721,0.51935494,-0.04209944,0.19157133,2.23314357,0.25085807,0,11:00:15.3,0,0
4,0.45715222,0.12838417,-0.02198535,3.05559969,1.26575625,-0.48107249,-0.27445033,-1.84213936,-0.53538513,-0.25923035,-1.21393466,-0.48115146,-0.48138270,-0.58572692,-0.57377774,-0.80082476,-0.83436251,-0.58970428,-0.76635903,-0.67704785,-0.73261631,-0.96526104,-0.58100742,-0.34568024,0.09078354,1.83864582,-0.20415302,0.01065460,2.15027666,0.51287162,-0.04721637,0.19266348,2.23744726,0.23971280,0,11:00:15.4,0,0
5,0.45982412,0.13561590,-0.02442085,3.02805114,1.25203359,-0.47891441,-0.27029020,-1.83177686,-0.53295749,-0.25637695,-1.20269644,-0.48174596,-0.48081899,-0.58540636,-0.57067776,-0.78935856,-0.82701397,-0.58185738,-0.75282896,-0.67374259,-0.72719318,-0.96180075,-0.58013284,-0.34258083,0.09206139,1.79124224,-0.20344101,0.00886350,2.11890721,0.50796390,-0.05181897,0.19141847,2.24014688,0.22369719,0,11:00:15.5,0,0
6,0.46409333,0.14394626,-0.02579490,3.00085068,1.23388135,-0.47590518,-0.26698181,-1.82222092,-0.52981412,-0.25434014,-1.18734801,-0.48319602,-0.47710714,-0.58457214,-0.56500703,-0.77274752,-0.82062054,-0.57753068,-0.73775721,-0.67068857,-0.71940887,-0.95423442,-0.57799369,-0.33943340,0.09254152,1.75021553,-0.20229030,0.00717981,2.08943105,0.50448835,-0.05588018,0.18856323,2.24128914,0.20390731,0,11:00:15.6,0,0
7,0.47035170,0.15318684,-0.02604517,2.97480655,1.21339631,-0.47217521,-0.26448223,-1.81333315,-0.52630258,-0.25309700,-1.16910446,-0.48522773,-0.47096795,-0.58321488,-0.55729133,-0.75257707,-0.81515574,-0.57639813,-0.72213084,-0.66786724,-0.70984399,-0.94338477,-0.57481170,-0.33634591,0.09229540,1.71566439,-0.20075022,0.00568175,2.06259418,0.50228649,-0.05938194,0.18487352,2.24105000,0.18161915,0,11:00:15.7,0,0
8,0.47896174,0.16290571,-0.02516866,2.95070195,1.19280505,-0.46779427,-0.26262358,-1.80496943,-0.52272296,-0.25264284,-1.14933860,-0.48760495,-0.46325555,-0.58135504,-0.54817182,-0.73055232,-0.81053001,-0.57798290,-0.70690042,-0.66524744,-0.69917953,-0.93020684,-0.57085353,-0.33343178,0.09142794,1.68749118,-0.19892152,0.00443604,2.03888941,0.50109482,-0.06234914,0.18125047,2.23965764,0.15842897,0,11:00:15.8,0,0
9,0.49014482,0.17255816,-0.02323094,2.92917895,1.17434406,-0.46289569,-0.26120585,-1.79691350,-0.51940078,-0.25293452,-1.12949753,-0.49005309,-0.45487109,-0.57904488,-0.53832299,-0.70838499,-0.80661768,-0.58166987,-0.69292635,-0.66278678,-0.68811095,-0.91572005,-0.56643319,-0.33082476,0.09003600,1.66516042,-0.19695115,0.00349514,2.01862073,0.50068438,-0.06480526,0.17852457,2.23740029,0.13599218,0,11:00:15.9,0,0
10,0.50386781,0.18169354,-0.02035269,2.91092920,1.16017497,-0.45762563,-0.26000211,-1.78889501,-0.51660937,-0.25388587,-1.11094749,-0.49229628,-0.44667727,-0.57634139,-0.52840286,-0.68763900,-0.80325258,-0.58675057,-0.68089378,-0.66044980,-0.67729360,-0.90093845,-0.56186843,-0.32864949,0.08823247,1.64801347,-0.19500826,0.00289553,2.00198698,0.50081468,-0.06677106,0.17741643,2.23462486,0.11589841,0,11:00:16.0,0,0
11,0.51999277,0.18985052,-0.01669944,2.89651871,1.15211201,-0.45204526,-0.25868681,-1.78062701,-0.51449656,-0.25540936,-1.09485221,-0.49411476,-0.43944523,-0.57332677,-0.51900822,-0.66961437,-0.80023032,-0.59249616,-0.67126632,-0.65817428,-0.66730094,-0.88674027,-0.55740839,-0.32701239,0.08614594,1.63535655,-0.19328605,0.00266279,1.98887074,0.50128460,-0.06827819,0.17852363,2.23166013,0.09973639,0,11:00:16.1,0,0
12,0.53827697,0.19649443,-0.01244741,2.88616920,1.15146112,-0.44628289,-0.25700232,-1.77190447,-0.51321024,-0.25742173,-1.08214998,-0.49536985,-0.43382156,-0.57010978,-0.51064527,-0.65529662,-0.79735303,-0.59821999,-0.66427052,-0.65591025,-0.65860248,-0.87387443,-0.55325407,-0.32602575,0.08388776,1.62642348,-0.19198360,0.00279955,1.97894776,0.50190151,-0.06938414,0.18206343,2.22878385,0.08852206,0,11:00:16.2,0,0
13,0.55811346,0.20141630,-0.00779293,2.88004613,1.15909708,-0.44038886,-0.25465864,-1.76252127,-0.51272959,-0.25979188,-1.07346368,-0.49593976,-0.43025041,-0.56678057,-0.50368994,-0.64526254,-0.79441738,-0.60330600,-0.65989137,-0.65362233,-0.65151072,-0.86289728,-0.54956341,-0.32575241,0.08156420,1.62054622,-0.19126180,0.00328747,1.97180557,0.50250626,-0.07012389,0.18814558,2.22628021,0.08326478,0,11:00:16.3,0,0
14,0.57872087,0.20434134,-0.00296263,2.87793660,1.17523038,-0.43440956,-0.25142092,-1.75234103,-0.51298314,-0.26240346,-1.06910145,-0.49581230,-0.42899185,-0.56342393,-0.49838722,-0.63969946,-0.79124480,-0.60722637,-0.65788412,-0.65128618,-0.64617211,-0.85414875,-0.54643708,-0.32625914,0.07924805,1.61709380,-0.19127980,0.00408496,1.96687353,0.50297844,-0.07055804,0.19656421,2.22429132,0.08446108,0,11:00:16.4,0,0
15,0.59909743,0.20533800,0.00183240,2.87951708,1.19945753,-0.42836753,-0.24712090,-1.74129236,-0.51382816,-0.26514193,-1.06899869,-0.49502817,-0.43007186,-0.56013107,-0.49482089,-0.63841182,-0.78770125,-0.60961670,-0.65782565,-0.64891595,-0.64257783,-0.84776586,-0.54390997,-0.32753435,0.07702554,1.61564016,-0.19209492,0.00513290,1.96349669,0.50317377,-0.07074601,0.20702393,2.22290802,0.09223238,0,11:00:16.5,0,0
16,0.61795640,0.20456561,0.00638598,2.88421512,1.23076451,-0.42232016,-0.24169810,-1.72939539,-0.51508307,-0.26787743,-1.07278013,-0.49370638,-0.43335736,-0.55698037,-0.49296248,-0.64088553,-0.78369594,-0.61028624,-0.65918219,-0.64652812,-0.64059299,-0.84367323,-0.54195082,-0.32960907,0.07493952,1.61582601,-0.19375475,0.00636389,1.96101010,0.50302345,-0.07074798,0.21894154,2.22211242,0.10631824,0,11:00:16.6,0,0
17,0.63394499,0.20229992,0.01052436,2.89140129,1.26765645,-0.41629779,-0.23518288,-1.71671629,-0.51651353,-0.27043498,-1.07975852,-0.49196878,-0.43852350,-0.55402404,-0.49265110,-0.64634216,-0.77917439,-0.60920066,-0.66133410,-0.64416039,-0.63993931,-0.84161997,-0.54047996,-0.33242297,0.07303382,1.61753833,-0.19620097,0.00770175,1.95887065,0.50252730,-0.07060726,0.23169217,2.22185254,0.12597738,0,11:00:16.7,0,0
18,0.64565021,0.19890620,0.01412045,2.90048075,1.30827463,-0.41028684,-0.22765136,-1.70339477,-0.51781726,-0.27264097,-1.08905232,-0.48995635,-0.44510010,-0.55129796,-0.49361986,-0.65383685,-0.77413249,-0.60645097,-0.66364706,-0.64187020,-0.64025444,-0.84122670,-0.53939080,-0.33588216,0.07134095,1.62074924,-0.19932659,0.00907758,1.95659375,0.50166386,-0.07036868,0.24453147,2.22202325,0.15000013,0,11:00:16.8,0,0
19,0.65172809,0.19473103,0.01709039,2.91066551,1.35052097,-0.40433016,-0.21930863,-1.68961358,-0.51872712,-0.27428943,-1.09962249,-0.48779237,-0.45251599,-0.54881573,-0.49553645,-0.66236377,-0.76861751,-0.60228473,-0.66553473,-0.63970673,-0.64112288,-0.84202242,-0.53854495,-0.33982962,0.06989171,1.62544954,-0.20293839,0.01042590,1.95383167,0.50047809,-0.07005796,0.25671285,2.22249460,0.17700668,0,11:00:16.9,0,0
