Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191019111842
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,1696,1392,1728,1408,1125,894,1007,824,1191,932,812,709,1291,991,848,730,1470,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,98,98,6,6,31,31,6,6,6,6,24,24,14,14,31,31,15,15,6,6,7,7,6,6,7,7,6,6,15,15,6,6,6,6,6,6,24,24,6,6,7,7,15,15,6,6,12,12,7,7,31,31,6,6,15,15,112,112,120,120,124,124,31,31,6,6,31,31,6,6,31,31,31,31,15,15,7,7,7,7,6,6,6,6,6,6,12,12,6,6,6,6,6,6,7,7,15,15,6,6,6,6,6,6,14,14,31,31,6,6,6,6
Digital Gain,1.00,1.00,100.00,100.00,2.81,4.61,24.77,47.85,37.42,61.74,5.88,8.07,3.36,3.88,3.33,3.92,3.87,6.00,1.73,2.54,2.24,3.73,2.16,2.57,2.85,3.18,2.25,2.46,3.51,2.94,2.58,2.26,1.84,3.07,2.20,2.93,7.01,7.49,1.62,2.88,4.39,3.65,3.60,3.33,1.48,3.16,3.71,3.41,3.51,6.60,2.47,10.98,2.94,1.80,3.89,3.13,100.00,100.00,100.00,100.00,100.00,100.00,28.66,56.62,46.52,93.17,42.13,80.11,17.18,32.94,2.17,5.03,4.24,6.15,4.83,5.88,2.45,3.04,2.36,3.89,1.18,1.97,2.73,2.88,1.49,1.68,2.48,2.35,1.36,1.74,1.77,2.10,1.30,1.63,8.27,5.90,2.84,2.69,1.10,2.30,100.00,100.00,100.00,100.00,3.13,1.76,2.51,4.49,100.00,100.00,100.00,1.00

Measurement Information
Date,2019/10/19 11:18:49
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-2.69190764,0.01324127,-0.27137232,0.07777065,0.50304657,-0.29155219,0.23354122,0.51014954,-0.40401232,-0.39083669,-0.76188743,-0.32600334,-0.51381999,-1.01219594,0.11606348,-0.74558246,-0.59327811,-0.44331941,-0.08327029,-0.46563533,0.03253248,-0.41805032,-0.42292756,-0.07941025,-0.37465364,-0.16856386,-0.07266410,-0.16892962,-0.18676475,1.44357979,0.36249515,-0.01524241,-0.03460693,0.16106334,0,11:18:58.1,0,0
2,-2.86376381,-0.02232541,-0.27068761,0.07095246,0.49799982,-0.28861386,0.23511606,0.49986243,-0.39931279,-0.39209756,-0.75933743,-0.32670000,-0.52294308,-1.01119077,0.10932685,-0.74689597,-0.59332848,-0.44505301,-0.08587634,-0.46577862,0.02895140,-0.41708168,-0.42119011,-0.07608617,-0.37182349,-0.17330499,-0.07026289,-0.16683602,-0.07718159,1.44350100,0.35504991,0.03743815,-0.03586683,0.24541032,0,11:18:58.2,0,0
3,-2.96955323,-0.05519335,-0.26964104,0.06420779,0.49143529,-0.28670076,0.23702304,0.49223849,-0.39478418,-0.39306191,-0.75644660,-0.32758644,-0.53108770,-1.01073599,0.10274415,-0.74794632,-0.59247333,-0.44706467,-0.08729953,-0.46519107,0.02643163,-0.41578716,-0.41965336,-0.07294681,-0.36950758,-0.17552486,-0.06782509,-0.16479649,0.04006520,1.44572175,0.34639266,0.08449265,-0.03764288,0.32074580,0,11:18:58.3,0,0
4,-3.00752759,-0.08303739,-0.26831764,0.05817151,0.48404637,-0.28588086,0.23937224,0.48775432,-0.39041966,-0.39362612,-0.75310493,-0.32867101,-0.53798652,-1.01071537,0.09641949,-0.74864185,-0.59055394,-0.44939452,-0.08746059,-0.46375400,0.02502501,-0.41424206,-0.41835219,-0.07008558,-0.36775845,-0.17507723,-0.06537415,-0.16286652,0.15950745,1.45011437,0.33753875,0.12465443,-0.03959978,0.38327646,0,11:18:58.4,0,0
5,-2.97550702,-0.10288396,-0.26677197,0.05359385,0.47679633,-0.28605041,0.24230613,0.48683274,-0.38610530,-0.39370072,-0.74921495,-0.32994631,-0.54343319,-1.01096225,0.09045666,-0.74890053,-0.58744037,-0.45208627,-0.08635337,-0.46136117,0.02469804,-0.41252625,-0.41729489,-0.06762981,-0.36666086,-0.17192538,-0.06298241,-0.16109560,0.27521548,1.45635974,0.32936224,0.15672173,-0.04139292,0.42895675,0,11:18:58.5,0,0
6,-2.87734985,-0.11273846,-0.26510486,0.05103470,0.47046646,-0.28696576,0.24599832,0.48979589,-0.38165584,-0.39320934,-0.74467963,-0.33136058,-0.54724878,-1.01127183,0.08495358,-0.74864084,-0.58303767,-0.45516962,-0.08398705,-0.45795208,0.02538803,-0.41074243,-0.41648653,-0.06561901,-0.36618444,-0.16617349,-0.06068166,-0.15953453,0.38196439,1.46392310,0.32253745,0.17952918,-0.04262362,0.45378125,0,11:18:58.6,0,0
7,-2.71940279,-0.11167140,-0.26342753,0.05081249,0.46570835,-0.28839582,0.25057235,0.49685544,-0.37692529,-0.39211205,-0.73942393,-0.33283740,-0.54934919,-1.01140785,0.08000459,-0.74781269,-0.57730848,-0.45865408,-0.08045062,-0.45348471,0.02696599,-0.40896735,-0.41589418,-0.06404773,-0.36627090,-0.15801071,-0.05849703,-0.15821235,0.47374916,1.47279584,0.31750479,0.19203523,-0.04292280,0.45392287,0,11:18:58.7,0,0
8,-2.51066113,-0.09979101,-0.26183161,0.05309576,0.46299228,-0.28997895,0.25616696,0.50811338,-0.37168944,-0.39037988,-0.73336333,-0.33426020,-0.54972386,-1.01109374,0.07567728,-0.74636716,-0.57025325,-0.46254051,-0.07588312,-0.44796968,0.02925314,-0.40727270,-0.41547072,-0.06285853,-0.36678255,-0.14775458,-0.05644193,-0.15712307,0.54514533,1.48235798,0.31446302,0.19331935,-0.04199058,0.42610896,0,11:18:58.8,0,0
9,-2.26336646,-0.07785112,-0.26040226,0.05785439,0.46266064,-0.29140016,0.26284245,0.52351958,-0.36581329,-0.38803893,-0.72644901,-0.33548072,-0.54847032,-1.01003730,0.07204284,-0.74426097,-0.56192702,-0.46680379,-0.07047053,-0.44145629,0.03204473,-0.40571049,-0.41514766,-0.06197642,-0.36757487,-0.13581318,-0.05452755,-0.15623632,0.59205568,1.49222887,0.31338495,0.18351735,-0.03957931,0.36931545,0,11:18:58.9,0,0
10,-1.98873067,-0.04799310,-0.25919303,0.06474768,0.46464646,-0.29228875,0.27064204,0.54289979,-0.35913366,-0.38514850,-0.71864766,-0.33631128,-0.54575980,-1.00794923,0.06915168,-0.74148124,-0.55244726,-0.47139534,-0.06443778,-0.43404707,0.03512624,-0.40431130,-0.41484633,-0.06126791,-0.36846444,-0.12265750,-0.05274476,-0.15550409,0.61152768,1.50211513,0.31405354,0.16298509,-0.03566887,0.28383133,0,11:18:59.0,0,0
11,-1.69998777,-0.01346055,-0.25825179,0.07311603,0.46858367,-0.29244208,0.27948898,0.56591666,-0.35166049,-0.38183153,-0.70997435,-0.33658531,-0.54187357,-1.00456762,0.06701737,-0.73804504,-0.54198182,-0.47625434,-0.05803772,-0.42588902,0.03826855,-0.40306893,-0.41447830,-0.06060341,-0.36924180,-0.10879482,-0.05107541,-0.15485300,0.60190892,1.51203108,0.31611159,0.13289826,-0.03028303,0.17164013,0,11:18:59.1,0,0
12,-1.41140354,0.02255178,-0.25761032,0.08221900,0.47397864,-0.29175001,0.28920990,0.59203786,-0.34349820,-0.37826708,-0.70049882,-0.33615202,-0.53716981,-0.99969631,0.06560095,-0.73402953,-0.53075969,-0.48132050,-0.05157838,-0.41718110,0.04122110,-0.40200064,-0.41395625,-0.05983782,-0.36968955,-0.09478547,-0.04950077,-0.15420523,0.56303537,1.52111256,0.31911901,0.09456960,-0.02366605,0.03637648,0,11:18:59.2,0,0
13,-1.13509285,0.05598317,-0.25727102,0.09114651,0.48008192,-0.29022336,0.29956672,0.62062156,-0.33486506,-0.37465736,-0.69033933,-0.33489516,-0.53208303,-0.99318993,0.06485008,-0.72953039,-0.51903874,-0.48651716,-0.04533549,-0.40815282,0.04378884,-0.40108788,-0.41319600,-0.05886624,-0.36964515,-0.08114194,-0.04800386,-0.15348071,0.49705723,1.52863228,0.32261053,0.04915955,-0.01613980,-0.11482488,0,11:18:59.3,0,0
14,-0.88251638,0.08307891,-0.25722346,0.09899513,0.48611268,-0.28795922,0.31026086,0.65090221,-0.32602733,-0.37122273,-0.67965180,-0.33273980,-0.52704638,-0.98497725,0.06465090,-0.72466302,-0.50708658,-0.49176964,-0.03962753,-0.39904606,0.04577272,-0.40031704,-0.41212445,-0.05761374,-0.36897394,-0.06834348,-0.04659517,-0.15259838,0.40762565,1.53430283,0.32614806,-0.00027775,-0.00812115,-0.27578840,0,11:18:59.4,0,0
15,-0.66578561,0.10056952,-0.25740829,0.10487076,0.49122351,-0.28512934,0.32097340,0.68207359,-0.31727874,-0.36816418,-0.66861624,-0.32966772,-0.52250725,-0.97507554,0.06489082,-0.71956789,-0.49518609,-0.49699387,-0.03470257,-0.39010984,0.04706258,-0.39966804,-0.41068298,-0.05603258,-0.36759347,-0.05679167,-0.04526399,-0.15148471,0.30033091,1.53725314,0.32936224,-0.05100961,-0.00004604,-0.43781915,0,11:18:59.5,0,0
16,-0.49321330,0.10493411,-0.25776175,0.10789089,0.49438444,-0.28189942,0.33141559,0.71331060,-0.30889931,-0.36565483,-0.65743840,-0.32572958,-0.51885444,-0.96359056,0.06542021,-0.71438426,-0.48360026,-0.50210440,-0.03076820,-0.38157538,0.04758975,-0.39909354,-0.40882662,-0.05412666,-0.36547330,-0.04676421,-0.04401355,-0.15009707,0.18243752,1.53727710,0.33198094,-0.09992943,0.00758710,-0.59225148,0,11:18:59.6,0,0
17,-0.37163547,0.09427698,-0.25819400,0.10744098,0.49495083,-0.27857020,0.34129292,0.74383765,-0.30116159,-0.36379844,-0.64632267,-0.32101387,-0.51640016,-0.95069098,0.06611609,-0.70922816,-0.47256202,-0.50700611,-0.02793877,-0.37362391,0.04737080,-0.39852092,-0.40651298,-0.05195965,-0.36268675,-0.03842340,-0.04287468,-0.14840025,0.06238537,1.53407443,0.33384240,-0.14416875,0.01425920,-0.72834194,0,11:18:59.7,0,0
18,-0.30543208,0.06799394,-0.25859192,0.10330341,0.49256939,-0.27538684,0.35034978,0.77286249,-0.29429606,-0.36268678,-0.63549882,-0.31571007,-0.51536202,-0.93662065,0.06683152,-0.70418763,-0.46225604,-0.51160628,-0.02627499,-0.36640131,0.04648523,-0.39787886,-0.40372631,-0.04962408,-0.35934991,-0.03180936,-0.04186530,-0.14637965,-0.05047818,1.52756679,0.33489439,-0.18091357,0.01955407,-0.83750594,0,11:18:59.8,0,0
19,-0.29626667,0.02609611,-0.25886115,0.09530661,0.48695484,-0.27248457,0.35845983,0.79967225,-0.28837934,-0.36233050,-0.62517756,-0.31006283,-0.51585376,-0.92168093,0.06743667,-0.69934267,-0.45281747,-0.51582390,-0.02573944,-0.36000451,0.04506297,-0.39709347,-0.40047118,-0.04723857,-0.35563391,-0.02683259,-0.04101678,-0.14405708,-0.14642933,1.51794910,0.33518127,-0.20810461,0.02315150,-0.91149741,0,11:18:59.9,0,0
