Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191019140742
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1075,864,772,686,676,629,907,765,706,647,683,633,1710,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Over,Over,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,112,112,6,6,98,98,6,6,6,6,31,31,31,31,6,6,15,15,6,6,22,22,7,7,6,6,15,15,12,12,15,15,15,15,6,6,7,7,6,6,6,6,7,7,12,12,7,7,6,6,6,6,7,7,62,62,12,12,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,124,124,15,15,6,6,6,6,7,7,44,44,6,6,6,6,6,6,6,6,6,6,6,6,7,7,15,15,6,6,6,6,6,6,6,6
Digital Gain,57.28,83.52,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,13.18,32.65,14.13,45.05,62.13,100.00,4.42,11.01,1.25,3.39,1.64,6.26,2.72,4.23,1.62,2.89,3.46,9.85,2.36,3.04,3.03,6.38,3.02,9.11,2.16,2.99,2.98,4.37,1.52,3.33,2.36,2.53,2.25,3.27,2.21,3.75,2.52,3.68,1.78,3.37,83.37,100.00,4.12,5.09,5.23,6.38,18.45,100.00,54.46,100.00,41.47,100.00,1.00,1.00,98.20,100.00,100.00,100.00,79.92,100.00,100.00,100.00,12.19,30.62,15.75,36.50,1.00,1.00,2.41,6.77,1.38,2.87,1.31,2.71,1.71,3.41,2.12,2.15,1.58,2.57,1.20,2.37,100.00,100.00,100.00,100.00,2.12,2.78,1.31,2.01,2.65,6.23,2.17,3.49,30.92,60.27,25.68,95.07,100.00,100.00,100.00,100.00

Measurement Information
Date,2019/10/19 14:07:49
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.23102844,0.04363192,-0.03612783,-0.05069704,0.37323850,-0.12091962,-0.32092154,-0.20453151,-0.08770909,-0.22134194,-0.00587335,0.13337831,0.02245347,-0.18537809,0.23156844,-0.04843615,-0.08468647,0.13810880,0.13510129,-0.10969121,0.31020010,0.07626969,-0.05333813,-0.01201002,-0.11681807,-0.22674882,-0.05567731,-0.08717196,-0.41986117,-0.26554751,-0.29926056,0.24826060,-0.02658064,-0.16187921,0,14:07:58.1,0,0
2,0.22337577,0.08700077,-0.02652233,0.07016481,0.39472541,-0.12115925,-0.31888366,-0.21222672,-0.08678105,-0.21981652,-0.00444971,0.13242219,0.02019078,-0.18602891,0.22736472,-0.05013375,-0.08382148,0.13595310,0.13459201,-0.10892821,0.30790585,0.07542073,-0.05333385,-0.01367326,-0.11815841,-0.16403545,-0.05361645,-0.08744802,-0.46051362,-0.23718533,-0.36914888,0.30318236,0.01142093,0.04038123,0,14:07:58.2,0,0
3,0.21702011,0.12021682,-0.00364021,0.16927099,0.38743579,-0.12038003,-0.31689152,-0.21929881,-0.08583548,-0.21839392,-0.00328336,0.13128169,0.01779239,-0.18633907,0.22299680,-0.05187026,-0.08294498,0.13316350,0.13336651,-0.10831175,0.30500916,0.07416349,-0.05339982,-0.01589595,-0.11948489,-0.10036148,-0.05156289,-0.08604873,-0.50422972,-0.20606554,-0.43314505,0.32482079,0.06300990,0.24893822,0,14:07:58.3,0,0
4,0.21227512,0.14128903,0.03089397,0.24104868,0.35165724,-0.11843620,-0.31435108,-0.22545159,-0.08473212,-0.21711592,-0.00248205,0.12996809,0.01532394,-0.18643922,0.21843183,-0.05371762,-0.08223084,0.12969679,0.13141201,-0.10789780,0.30152920,0.07246574,-0.05361028,-0.01868506,-0.12085427,-0.03949829,-0.04961023,-0.08301581,-0.55068904,-0.17376359,-0.48812008,0.31101641,0.12309069,0.44887486,0,14:07:58.4,0,0
5,0.20912991,0.14777227,0.07442630,0.28017509,0.28683159,-0.11551727,-0.31099799,-0.23052846,-0.08348159,-0.21601340,-0.00213362,0.12849267,0.01284854,-0.18646523,0.21363719,-0.05575890,-0.08183976,0.12554118,0.12875248,-0.10773543,0.29749754,0.07029876,-0.05404710,-0.02205306,-0.12235278,0.01536957,-0.04789161,-0.07848553,-0.59805286,-0.14192085,-0.53145939,0.25816524,0.18571705,0.62145257,0,14:07:58.5,0,0
6,0.20684190,0.13835511,0.12367483,0.28422552,0.19458361,-0.11166715,-0.30641595,-0.23449539,-0.08203562,-0.21511158,-0.00230989,0.12687823,0.01042920,-0.18654393,0.20859669,-0.05805752,-0.08187197,0.12072167,0.12543657,-0.10785599,0.29296872,0.06767001,-0.05477431,-0.02599292,-0.12405818,0.06099898,-0.04652111,-0.07279655,-0.64386004,-0.11199678,-0.56132835,0.16525111,0.24564078,0.75096780,0,14:07:58.6,0,0
7,0.20442799,0.11291531,0.17473677,0.25357348,0.07897988,-0.10709064,-0.30016741,-0.23740685,-0.08043551,-0.21442147,-0.00305931,0.12511966,0.00809648,-0.18679360,0.20326631,-0.06066865,-0.08238772,0.11528904,0.12154332,-0.10826551,0.28800684,0.06461046,-0.05583913,-0.03048828,-0.12605764,0.09456431,-0.04561845,-0.06633568,-0.68520099,-0.08534479,-0.57566530,0.03639198,0.29863805,0.82634044,0,14:07:58.7,0,0
8,0.20102596,0.07195071,0.22371666,0.19060627,-0.05629709,-0.10208724,-0.29232997,-0.23936313,-0.07871807,-0.21394059,-0.00437133,0.12325461,0.00590341,-0.18730278,0.19767238,-0.06360112,-0.08340128,0.10937119,0.11718856,-0.10895444,0.28272441,0.06118461,-0.05726585,-0.03545297,-0.12839276,0.11248159,-0.04524239,-0.05944468,-0.71967202,-0.06316020,-0.57519740,-0.12618349,0.33995739,0.84022528,0,14:07:58.8,0,0
9,0.19540559,0.01752302,0.26628834,0.10045510,-0.20525293,-0.09711785,-0.28324202,-0.24058457,-0.07705776,-0.21365297,-0.00620597,0.12128889,0.00387780,-0.18815802,0.19183300,-0.06686896,-0.08489635,0.10313340,0.11253111,-0.10988487,0.27725881,0.05749111,-0.05904742,-0.04079392,-0.13108650,0.11328509,-0.04543189,-0.05250311,-0.74414694,-0.04643993,-0.56083548,-0.31594402,0.36752039,0.79119289,0,14:07:58.9,0,0
10,0.18627182,-0.04799765,0.29903316,-0.01044655,-0.36187834,-0.09241860,-0.27290976,-0.24124537,-0.07550351,-0.21353772,-0.00850070,0.11921704,0.00201447,-0.18940014,0.18576020,-0.07045330,-0.08679210,0.09671463,0.10768473,-0.11101751,0.27170700,0.05363270,-0.06117421,-0.04642728,-0.13415280,0.09718388,-0.04619099,-0.04588657,-0.75557971,-0.03577283,-0.53468567,-0.52257210,0.37941715,0.68261951,0,14:07:59.0,0,0
11,0.17287892,-0.12089062,0.31874812,-0.13410698,-0.51933509,-0.08848108,-0.26206088,-0.24108128,-0.07425752,-0.21357296,-0.01116693,0.11702287,0.00028937,-0.19108032,0.17948437,-0.07433935,-0.08902751,0.09027632,0.10278595,-0.11230400,0.26617670,0.04972241,-0.06360801,-0.05225416,-0.13756931,0.06480353,-0.04747703,-0.03982763,-0.75224650,-0.03129168,-0.50023937,-0.73483765,0.37558356,0.52367759,0,14:07:59.1,0,0
12,0.15466557,-0.19710208,0.32338408,-0.26216608,-0.67144305,-0.08541729,-0.25094599,-0.23996769,-0.07332706,-0.21372747,-0.01408963,0.11468615,-0.00133450,-0.19320463,0.17303789,-0.07848472,-0.09149507,0.08396604,0.09793755,-0.11368389,0.26075214,0.04588081,-0.06629733,-0.05816685,-0.14127629,0.01785569,-0.04920818,-0.03446695,-0.73221815,-0.03302586,-0.46176243,-0.94061697,0.35713816,0.32807809,0,14:07:59.2,0,0
13,0.13166696,-0.27336073,0.31235701,-0.38691378,-0.81341588,-0.08336396,-0.24001287,-0.23768194,-0.07280897,-0.21397181,-0.01712992,0.11218478,-0.00289589,-0.19575574,0.16648111,-0.08283940,-0.09409522,0.07791485,0.09321913,-0.11509899,0.25551015,0.04222887,-0.06917510,-0.06403944,-0.14517394,-0.04006262,-0.05124366,-0.02985230,-0.69451457,-0.04031161,-0.42250776,-1.13157701,0.32714912,0.11188939,0,14:07:59.3,0,0
14,0.10430720,-0.34585518,0.28629321,-0.50099415,-0.94016373,-0.08241649,-0.22996174,-0.23392151,-0.07270260,-0.21427868,-0.02014115,0.10950080,-0.00444737,-0.19871798,0.15987840,-0.08734969,-0.09674612,0.07225159,0.08871587,-0.11649776,0.25052041,0.03887137,-0.07216521,-0.06973747,-0.14913310,-0.10661658,-0.05340054,-0.02592778,-0.64031869,-0.05233052,-0.38731289,-1.29230082,0.28865463,-0.10471864,0,14:07:59.4,0,0
15,0.07351376,-0.41102013,0.24691537,-0.59784913,-1.04788649,-0.08265976,-0.22140037,-0.22846015,-0.07303239,-0.21462516,-0.02297143,0.10662300,-0.00602951,-0.20204970,0.15331106,-0.09194796,-0.09936728,0.06705698,0.08446840,-0.11784247,0.24582101,0.03589403,-0.07519767,-0.07513645,-0.15300399,-0.17650622,-0.05548550,-0.02260118,-0.57136559,-0.06803212,-0.35886171,-1.41301787,0.24604172,-0.30454600,0,14:07:59.5,0,0
16,0.04066686,-0.46664062,0.19683196,-0.67301351,-1.13421178,-0.08408472,-0.21505573,-0.22095391,-0.07375050,-0.21499342,-0.02548603,0.10355714,-0.00767197,-0.20569469,0.14687553,-0.09657609,-0.10191833,0.06239053,0.08050021,-0.11910080,0.24143401,0.03337413,-0.07819355,-0.08011428,-0.15662192,-0.24565704,-0.05727752,-0.01961833,-0.49061146,-0.08615766,-0.33908322,-1.48632622,0.20403068,-0.47215620,0,14:07:59.6,0,0
17,0.00754812,-0.51053196,0.13967469,-0.72395366,-1.19821787,-0.08663540,-0.21140561,-0.21099795,-0.07480568,-0.21536799,-0.02753619,0.10034666,-0.00936977,-0.20955771,0.14070214,-0.10114954,-0.10436851,0.05831598,0.07684515,-0.12025437,0.23740278,0.03136776,-0.08107559,-0.08453637,-0.15981370,-0.30989954,-0.05855794,-0.01674032,-0.40234753,-0.10547712,-0.33021042,-1.50774968,0.16641760,-0.59717119,0,14:07:59.7,0,0
18,-0.02390301,-0.54310805,0.08000541,-0.75127602,-1.24104452,-0.09054726,-0.21152034,-0.19866236,-0.07618709,-0.21573594,-0.02901298,0.09703217,-0.01111193,-0.21354346,0.13490422,-0.10558578,-0.10670209,0.05485071,0.07351191,-0.12129544,0.23374863,0.02989885,-0.08377355,-0.08830243,-0.16242211,-0.36563531,-0.05913399,-0.01373894,-0.31160203,-0.12451425,-0.33129108,-1.47609615,0.13706867,-0.67301512,0,14:07:59.8,0,0
19,-0.05193102,-0.56472307,0.02235716,-0.75588763,-1.26449752,-0.09579740,-0.21583416,-0.18370746,-0.07787396,-0.21609452,-0.02986032,0.09366491,-0.01287977,-0.21757779,0.12957379,-0.10983680,-0.10893176,0.05194832,0.07047488,-0.12223259,0.23044901,0.02895713,-0.08624533,-0.09136721,-0.16433269,-0.41115072,-0.05887105,-0.01046088,-0.22456792,-0.14207356,-0.34196687,-1.39357674,0.11910509,-0.69760579,0,14:07:59.9,0,0
