Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191026131050
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,745,670,677,630,666,623,742,668,686,635,748,671,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,72,72,6,6,112,112,6,6,6,6,44,44,44,44,6,6,31,31,6,6,12,12,6,6,6,6,15,15,6,6,7,7,7,7,6,6,6,6,6,6,6,6,7,7,6,6,12,12,6,6,7,7,15,15,72,72,56,56,6,6,98,98,31,31,6,6,31,31,6,6,6,6,62,62,62,62,124,124,28,28,6,6,6,6,7,7,7,7,7,7,6,6,6,6,7,7,15,15,6,6,6,6,47,47,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,32.41,63.25,26.23,50.20,100.00,100.00,81.98,1.00,1.26,3.76,1.54,9.23,2.19,3.74,1.61,3.93,2.46,7.95,2.51,3.80,2.81,5.58,3.91,10.26,2.40,3.90,2.45,3.76,2.40,4.50,2.84,3.33,3.01,4.27,1.87,3.42,3.30,5.72,1.70,3.84,20.46,49.42,4.32,10.89,69.76,100.00,4.52,9.53,64.54,100.00,94.07,95.81,14.88,80.84,81.85,100.00,99.19,100.00,100.00,100.00,100.00,100.00,13.09,32.46,12.24,34.89,1.00,1.00,2.04,6.99,2.16,4.89,1.28,3.40,1.78,4.59,1.93,3.53,2.42,4.07,1.10,2.43,1.39,1.71,12.57,1.00,2.51,3.48,2.32,2.93,1.89,4.51,3.36,7.24,25.71,63.83,1.25,3.92,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/26 13:10:57
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.21001901,-0.29384199,-0.15206854,-0.11310165,0.54626149,0.86690527,0.44630873,-0.12041991,-0.15344991,-0.22063412,-0.07744667,-0.02608208,0.01239772,-0.26199329,-0.08047806,-0.19029163,-0.22733338,-0.06237892,0.04979822,-0.00188499,-0.26629719,0.09004370,-0.02227340,0.09126325,0.10592721,0.00079126,-0.13852142,-0.91553950,-1.88320494,0.28067595,1.13586485,0.34645680,0.24883640,0.32352397,0,13:11:07.1,0,0
2,-0.15820970,-0.39578408,0.02580263,-0.16547939,0.48294976,0.86075211,0.46593922,-0.07062725,0.10402262,-0.21475331,-0.06805814,-0.02345089,0.01763378,-0.25033554,-0.07860243,-0.18495947,-0.21311438,-0.06532157,0.05286746,0.00408536,-0.26815975,0.09392179,-0.01762143,0.08996062,0.10792083,0.00840783,-0.14252105,-0.91281867,-1.87200546,0.28770831,1.33410001,0.34034130,0.24790122,0.43161023,0,13:11:07.2,0,0
3,-0.09805128,-0.44671637,0.20275907,-0.17726894,0.44978437,0.85033518,0.47637948,-0.01681795,0.38177636,-0.20821105,-0.05738559,-0.02058011,0.02420001,-0.23732877,-0.07678848,-0.17897061,-0.19720066,-0.06863939,0.05625476,0.00976786,-0.27055076,0.09758922,-0.01301387,0.08815528,0.10982849,0.01606956,-0.14845870,-0.90400898,-1.86341596,0.29363036,1.53459859,0.32548204,0.24820958,0.53755260,0,13:11:07.3,0,0
4,-0.03142378,-0.44235075,0.37001276,-0.14338955,0.45530125,0.84246588,0.47683764,0.03735746,0.66482711,-0.20109309,-0.04561499,-0.01743017,0.03201136,-0.22326232,-0.07510297,-0.17244227,-0.17978019,-0.07208168,0.06002071,0.01513767,-0.27324533,0.10100716,-0.00854860,0.08608077,0.11174825,0.02346267,-0.15563849,-0.88930488,-1.85712481,0.29847014,1.73080456,0.30145890,0.24948770,0.63869959,0,13:11:07.4,0,0
5,0.03908633,-0.38171607,0.51982147,-0.06166152,0.50592947,0.84403384,0.46708864,0.08738238,0.93802053,-0.19355135,-0.03302891,-0.01399346,0.04089934,-0.20847173,-0.07359805,-0.16551597,-0.16112141,-0.07537742,0.06419456,0.02019000,-0.27598399,0.10415398,-0.00432612,0.08396041,0.11373497,0.03027916,-0.16336335,-0.86863160,-1.85263157,0.30228049,1.91643178,0.26803941,0.25141087,0.73395663,0,13:11:07.5,0,0
6,0.11007278,-0.26878583,0.64460677,0.06624618,0.60313261,0.85848516,0.44701275,0.12895072,1.18653750,-0.18579018,-0.01997046,-0.01029918,0.05061741,-0.19336355,-0.07232200,-0.15836908,-0.14159113,-0.07826421,0.06876226,0.02492977,-0.27850282,0.10700485,-0.00046369,0.08204495,0.11583749,0.03623695,-0.17091295,-0.84242040,-1.84930789,0.30517060,2.08513832,0.22474375,0.25355718,0.81897253,0,13:11:07.6,0,0
7,0.17861883,-0.11062897,0.74006701,0.23549668,0.74505621,0.88871622,0.41707411,0.15863068,1.39714170,-0.17805678,-0.00683329,-0.00641101,0.06084072,-0.17833401,-0.07130024,-0.15115608,-0.12157498,-0.08050278,0.07367232,0.02936399,-0.28055415,0.10953838,0.00292377,0.08056154,0.11805935,0.04107142,-0.17761295,-0.81202388,-1.84640300,0.30714819,2.23184967,0.17265348,0.25544474,0.89183086,0,13:11:07.7,0,0
8,0.24257159,0.08262841,0.80320275,0.43985939,0.92756522,0.93482596,0.37807196,0.17352122,1.55766308,-0.17061061,0.00597744,-0.00239287,0.07120896,-0.16380569,-0.07048073,-0.14404204,-0.10154018,-0.08187041,0.07885075,0.03351514,-0.28188372,0.11176185,0.00572703,0.07969525,0.12036970,0.04458289,-0.18292326,-0.77864462,-1.84308648,0.30829805,2.35273385,0.11331543,0.25671130,0.94938868,0,13:11:07.8,0,0
9,0.29799587,0.29899827,0.83380824,0.67014468,1.14310491,0.99500281,0.33183819,0.17205742,1.65924525,-0.16371720,0.01804388,0.00164769,0.08132514,-0.15017302,-0.06981292,-0.13716337,-0.08196455,-0.08219574,0.08419897,0.03741233,-0.28230852,0.11367996,0.00785191,0.07958533,0.12271725,0.04670548,-0.18640131,-0.74373186,-1.83853018,0.30859104,2.44557571,0.04887468,0.25711903,0.99041176,0,13:11:07.9,0,0
10,0.34316173,0.52434528,0.83570814,0.91449958,1.38047671,1.06515718,0.28069422,0.15321164,1.69645751,-0.15761688,0.02898861,0.00558977,0.09078755,-0.13782416,-0.06922087,-0.13067713,-0.06340099,-0.08136320,0.08959564,0.04106921,-0.28171015,0.11530270,0.00922477,0.08028442,0.12501645,0.04743937,-0.18779996,-0.70903951,-1.83197987,0.30801874,2.50991917,-0.01735901,0.25638133,1.01349890,0,13:11:08.0,0,0
11,0.37696517,0.74493212,0.81434542,1.16079104,1.62714887,1.13934410,0.22741099,0.11690016,1.66753340,-0.15250714,0.03848658,0.00929227,0.09920298,-0.12711015,-0.06861538,-0.12470963,-0.04640483,-0.07932106,0.09491085,0.04451571,-0.28003296,0.11667493,0.00980212,0.08176964,0.12715760,0.04692005,-0.18705286,-0.67572224,-1.82270718,0.30650201,2.54683828,-0.08215408,0.25461426,1.01828778,0,13:11:08.1,0,0
12,0.39827394,0.94717902,0.77592289,1.39576793,1.86908185,1.21027553,0.17583326,0.06462405,1.57437396,-0.14852798,0.04628602,0.01264299,0.10624968,-0.11832299,-0.06787168,-0.11935428,-0.03149115,-0.07607434,0.10002229,0.04775670,-0.27729297,0.11783136,0.00957509,0.08396236,0.12904279,0.04534584,-0.18424791,-0.64585531,-1.81012011,0.30404419,2.55962968,-0.14156896,0.25174004,1.00513041,0,13:11:08.2,0,0
13,0.40748954,1.11795485,0.72858590,1.60499454,2.09063148,1.27279508,0.12969685,-0.00100320,1.42209256,-0.14573298,0.05226006,0.01551106,0.11164305,-0.11164960,-0.06690311,-0.11467291,-0.01912145,-0.07169423,0.10481395,0.05079913,-0.27359670,0.11882159,0.00857641,0.08667707,0.13054763,0.04300530,-0.17964324,-0.61993021,-1.79384398,0.30059689,2.55197835,-0.19169305,0.24796396,0.97564948,0,13:11:08.3,0,0
14,0.40572098,1.24749076,0.68107796,1.77626336,2.27840447,1.32002842,0.09410180,-0.07711853,1.22060311,-0.14410321,0.05637497,0.01780380,0.11521407,-0.10721848,-0.06560528,-0.11070757,-0.00969822,-0.06629790,0.10919397,0.05365065,-0.26909584,0.11970489,0.00687540,0.08971161,0.13158719,0.04026379,-0.17361324,-0.59806550,-1.77366722,0.29612204,2.52897096,-0.22853576,0.24363886,0.93370104,0,13:11:08.4,0,0
15,0.39495590,1.32874572,0.64192891,1.89898694,2.42006755,1.34592378,0.07277490,-0.15943222,0.98092210,-0.14353320,0.05870115,0.01944465,0.11687335,-0.10505397,-0.06390136,-0.10745751,-0.00350134,-0.06005239,0.11309798,0.05630752,-0.26399127,0.12055126,0.00457746,0.09281705,0.13209270,0.03755715,-0.16661577,-0.58011848,-1.74952936,0.29065493,2.49592805,-0.24934779,0.23908032,0.88225591,0,13:11:08.5,0,0
16,0.37726474,1.35819411,0.61816615,1.96539593,2.50639153,1.34565508,0.06867439,-0.24375381,0.71724409,-0.14385374,0.05941921,0.02040691,0.11665303,-0.10509302,-0.06174133,-0.10489834,-0.00069246,-0.05316701,0.11648095,0.05876657,-0.25853452,0.12141366,0.00182072,0.09576235,0.13203716,0.03526556,-0.15912990,-0.56545645,-1.72156346,0.28412807,2.45794606,-0.25202504,0.23474038,0.82585019,0,13:11:08.6,0,0
17,0.35617602,1.33610523,0.61712611,1.97106481,2.53170967,1.31660128,0.08433411,-0.32542211,0.44627994,-0.14482678,0.05878726,0.02068657,0.11468156,-0.10716212,-0.05911988,-0.10298775,-0.00127073,-0.04586082,0.11935040,0.06102565,-0.25297150,0.12233100,-0.00124053,0.09829056,0.13141021,0.03376307,-0.15167399,-0.55244744,-1.69003940,0.27666008,2.42009544,-0.23545274,0.23099807,0.77037501,0,13:11:08.7,0,0
18,0.33457702,1.26630867,0.64099240,1.91554785,2.49583745,1.25785100,0.12084952,-0.40027177,0.18189311,-0.14617616,0.05714060,0.02032141,0.11117683,-0.11098068,-0.05607721,-0.10164783,-0.00505912,-0.03837149,0.12173606,0.06309012,-0.24754409,0.12332845,-0.00443513,0.10016987,0.13022551,0.03336752,-0.14477916,-0.53906941,-1.65536547,0.26837277,2.38634109,-0.20044307,0.22818549,0.71827114,0,13:11:08.8,0,0
19,0.31563243,1.15666127,0.69108385,1.80327749,2.40220332,1.17068696,0.17778163,-0.46396694,-0.06189783,-0.14760599,0.05484055,0.01940496,0.10645507,-0.11622772,-0.05267311,-0.10079838,-0.01174985,-0.03093551,0.12368917,0.06497185,-0.24246776,0.12441076,-0.00759580,0.10126048,0.12854601,0.03433848,-0.13886446,-0.52309227,-1.61808336,0.25944084,2.35880160,-0.14938579,0.22649883,0.67224187,0,13:11:08.9,0,0
20,0.30232963,1.01670933,0.76515341,1.64125860,2.25733948,1.05765784,0.25277868,-0.51392049,-0.27246237,-0.14882369,0.05225528,0.01806073,0.10088747,-0.12250433,-0.04898425,-0.10032103,-0.02085873,-0.02375839,0.12529157,0.06670281,-0.23788305,0.12558179,-0.01055796,0.10145203,0.12643284,0.03679662,-0.13435379,-0.50179332,-1.57871842,0.25013497,2.33897209,-0.08673427,0.22609834,0.63418627,0,13:11:09.0,0,0
