Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191019132932
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,705,646,647,612,681,632,742,668,681,632,763,680,1445,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,98,98,6,6,6,6,31,31,44,44,6,6,31,31,6,6,6,6,6,6,6,6,24,24,7,7,7,7,15,15,6,6,6,6,6,6,6,6,6,6,6,6,12,12,6,6,124,124,6,6,31,31,15,15,31,31,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,31,31,98,98,7,7,6,6,12,12,12,12,6,6,6,6,6,6,6,6,7,7,6,6,7,7,12,12,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,14.62,43.72,12.74,24.10,100.00,1.00,12.81,26.35,13.42,52.85,19.05,100.00,2.05,3.21,1.76,3.85,2.88,9.13,2.87,4.43,2.92,5.97,2.94,7.86,2.64,3.73,3.36,4.66,1.76,3.44,2.72,3.14,2.57,3.87,2.17,4.02,2.77,4.79,1.81,4.00,1.00,1.00,3.28,2.95,3.93,7.86,41.32,1.00,3.66,4.80,15.44,61.32,100.00,1.00,100.00,100.00,100.00,100.00,98.50,100.00,57.62,100.00,10.23,21.72,12.29,35.07,35.54,100.00,76.98,100.00,2.38,4.54,1.61,3.90,1.68,4.75,1.94,3.76,1.23,2.11,1.19,2.33,1.36,1.70,6.01,17.39,3.00,4.28,1.13,2.05,2.23,6.12,2.50,2.97,28.21,40.57,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/19 13:29:39
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.47829252,0.68183267,-0.20211186,0.02382717,0.78966469,-0.33286148,0.20851997,4.23856354,-0.00910807,0.17894682,0.22112785,0.58592457,1.08927810,0.39798597,0.05640689,0.17167239,0.89141369,0.05926058,0.56237715,-0.00915267,0.14304125,-0.14005640,0.12173545,-0.08836677,0.08287343,0.00000000,0.18263711,0.42765892,-0.74035978,0.56295377,0.40897322,-0.70138341,1.39881098,1.00864196,0,13:29:48.1,0,0
2,0.51536709,0.85145187,-0.10116895,0.09441796,0.86481780,-0.35135108,0.20023741,4.53507423,-0.01288091,0.18103422,0.21628845,0.58521163,1.08869612,0.38959616,0.05282360,0.16533667,0.88246149,0.05766186,0.55907547,-0.01200907,0.14329982,-0.13835658,0.12131128,-0.09391133,0.08034351,0.00000000,0.17861579,0.41572917,-0.76078171,0.56124532,0.40601343,-0.61862487,1.37012994,1.02241302,0,13:29:48.2,0,0
3,0.58033746,0.98174304,0.00622571,0.13968012,0.89982128,-0.37095648,0.18859845,4.80580091,-0.01881780,0.18328170,0.20854674,0.58436054,1.08809996,0.38032517,0.04888795,0.15822680,0.87293923,0.05542604,0.55504423,-0.01434872,0.14250661,-0.13630374,0.12142072,-0.09964008,0.07804127,0.00000000,0.17391172,0.40464112,-0.70001513,0.55885041,0.40235749,-0.54102987,1.34135497,0.99944186,0,13:29:48.3,0,0
4,0.66712815,1.06397235,0.11123012,0.15621954,0.89255810,-0.39149991,0.17402993,5.02570391,-0.02691411,0.18555434,0.19821326,0.58336854,1.08750761,0.37060469,0.04470962,0.15067196,0.86317092,0.05264741,0.55043328,-0.01619064,0.14077219,-0.13394168,0.12208723,-0.10522322,0.07619435,0.00000000,0.16875738,0.39468855,-0.56499994,0.55588424,0.39788315,-0.47670060,1.31655788,0.94628346,0,13:29:48.4,0,0
5,0.76728976,1.09167492,0.20422024,0.14290997,0.84268463,-0.41261604,0.15713711,5.17686415,-0.03699852,0.18779525,0.18590496,0.58223164,1.08692729,0.36094812,0.04038785,0.14303114,0.85352975,0.04943688,0.54541349,-0.01756234,0.13823245,-0.13131750,0.12332696,-0.11035693,0.07499825,0.00000000,0.16339831,0.38614693,-0.36417556,0.55250055,0.39259899,-0.43206364,1.29671836,0.86875689,0,13:29:48.5,0,0
6,0.87129587,1.06233239,0.27624285,0.10091111,0.75344056,-0.43312415,0.13897996,5.24717474,-0.04836491,0.19000533,0.17254688,0.58095658,1.08636916,0.35195532,0.03602068,0.13572989,0.84445012,0.04594573,0.54019922,-0.01847812,0.13508281,-0.12845193,0.12514226,-0.11471418,0.07465605,0.00000000,0.15816176,0.37929368,-0.10764518,0.54892391,0.38670075,-0.40937400,1.28388846,0.77743590,0,13:29:48.6,0,0
7,0.96763706,0.97687727,0.31920558,0.03333922,0.63030750,-0.45242560,0.12037094,5.23157072,-0.06053416,0.19231389,0.15942924,0.57957476,1.08584368,0.34419864,0.03169965,0.12915847,0.83634841,0.04234555,0.53500986,-0.01895952,0.13153452,-0.12536499,0.12751386,-0.11799642,0.07533074,0.00000000,0.15339287,0.37434590,0.19393520,0.54540169,0.38046825,-0.40839329,1.27909672,0.68204629,0,13:29:48.7,0,0
8,1.04626226,0.83953965,0.32616055,-0.05504399,0.48036894,-0.46926373,0.10240994,5.13112354,-0.07262314,0.19479051,0.14770558,0.57811302,1.08535886,0.33824974,0.02749261,0.12370062,0.82962912,0.03878776,0.53005469,-0.01902239,0.12778553,-0.12208682,0.13039492,-0.12000343,0.07710616,0.00000000,0.14939804,0.37144312,0.52691215,0.54219848,0.37431046,-0.42636886,1.28277194,0.59365642,0,13:29:48.8,0,0
9,1.09768248,0.65807301,0.29291424,-0.15774570,0.31340864,-0.48301387,0.08591369,4.95768642,-0.08401731,0.19754593,0.13864934,0.57661694,1.08491647,0.33454186,0.02345068,0.11964315,0.82459873,0.03543485,0.52553076,-0.01867087,0.12403928,-0.11861830,0.13373929,-0.12058731,0.08002479,0.00000000,0.14646068,0.37066033,0.87824845,0.53957152,0.36865321,-0.45904422,1.29454529,0.51933223,0,13:29:48.9,0,0
10,1.11438668,0.44290072,0.21800156,-0.26776096,0.13924950,-0.49221808,0.07202385,4.72522736,-0.09361786,0.20073627,0.13337563,0.57514381,1.08453774,0.33337945,0.01961624,0.11720166,0.82147813,0.03243065,0.52162087,-0.01790822,0.12048288,-0.11497372,0.13747555,-0.11968775,0.08406243,0.00000000,0.14483841,0.37199765,1.23484433,0.53775537,0.36395422,-0.49911264,1.31417763,0.46859881,0,13:29:49.0,0,0
11,1.09210753,0.20714089,0.10241347,-0.37755853,-0.03132043,-0.49604264,0.06159769,4.45520735,-0.10061084,0.20440337,0.13268827,0.57375777,1.08423376,0.33492997,0.01600773,0.11649391,0.82040119,0.02987486,0.51845270,-0.01673493,0.11725009,-0.11116625,0.14152987,-0.11735602,0.08910912,0.00000000,0.14467701,0.37531456,1.58535504,0.53693235,0.36064968,-0.54031211,1.34185576,0.44471964,0,13:29:49.1,0,0
12,1.02994156,-0.03549926,-0.04897481,-0.48069283,-0.18918239,-0.49415255,0.05498855,4.17237568,-0.10453057,0.20857377,0.13700376,0.57251614,1.08400941,0.33912638,0.01260938,0.11748797,0.82131046,0.02783284,0.51611686,-0.01515052,0.11443940,-0.10721430,0.14581959,-0.11375425,0.09497869,0.00000000,0.14602767,0.38040408,1.91481364,0.53719682,0.35902700,-0.57498741,1.37693453,0.45152572,0,13:29:49.2,0,0
13,0.93019313,-0.27013257,-0.22934206,-0.57135057,-0.32657298,-0.48629537,0.05267264,3.90168381,-0.10489850,0.21313572,0.14616649,0.57147384,1.08387363,0.34566781,0.00940316,0.12001632,0.82399189,0.02631448,0.51463211,-0.01315843,0.11209624,-0.10315327,0.15024632,-0.10912622,0.10143794,0.00000000,0.14887035,0.38691518,2.21008039,0.53858435,0.35923138,-0.59725022,1.41868830,0.48942921,0,13:29:49.3,0,0
14,0.79831415,-0.48286024,-0.42955589,-0.64540851,-0.43735605,-0.47280863,0.05471707,3.66661310,-0.10153039,0.21796225,0.15966031,0.57066989,1.08381617,0.35403073,0.00632984,0.12376700,0.82805926,0.02529685,0.51399189,-0.01076980,0.11023051,-0.09901636,0.15473075,-0.10382246,0.10818236,0.00000000,0.15306538,0.39443931,2.45886517,0.54103714,0.36124679,-0.60511822,1.46609128,0.55426019,0,13:29:49.4,0,0
15,0.64276582,-0.66125023,-0.63849699,-0.70059615,-0.51687717,-0.45458585,0.06091205,3.48768187,-0.09459227,0.22276606,0.17626023,0.57015067,1.08383644,0.36362123,0.00335803,0.12839779,0.83308476,0.02473101,0.51414323,-0.00799269,0.10882995,-0.09483355,0.15919724,-0.09817253,0.11493558,0.00000000,0.15842383,0.40250716,2.64915943,0.54444557,0.36494127,-0.59759885,1.51998425,0.63995463,0,13:29:49.5,0,0
16,0.47454625,-0.79546219,-0.84440154,-0.73643732,-0.56455255,-0.43256995,0.07081201,3.37853956,-0.08441611,0.22736236,0.19472767,0.56992841,1.08391273,0.37366924,0.00042812,0.13346219,0.83851415,0.02452609,0.51499462,-0.00484389,0.10784676,-0.09065844,0.16357583,-0.09261072,0.12135895,0.00000000,0.16462681,0.41062787,2.77133346,0.54861355,0.36995485,-0.57540494,1.57810259,0.73807323,0,13:29:49.6,0,0
17,0.30548877,-0.87889016,-1.03566778,-0.75436425,-0.58153421,-0.40808272,0.08382846,3.34695148,-0.07153270,0.23143606,0.21325448,0.56999099,1.08400810,0.38336319,-0.00253990,0.13847554,0.84376544,0.02455011,0.51641679,-0.00134655,0.10718822,-0.08655117,0.16780761,-0.08755306,0.12713884,0.00000000,0.17132771,0.41827911,2.81702089,0.55329871,0.37576234,-0.54442620,1.63845730,0.83718836,0,13:29:49.7,0,0
18,0.14784274,-0.90719825,-1.20131159,-0.75722092,-0.57066166,-0.38306332,0.09901138,3.39586496,-0.05687833,0.23466519,0.22989330,0.57031584,1.08409023,0.39185816,-0.00560412,0.14294803,0.84823298,0.02466431,0.51826245,0.00246146,0.10675853,-0.08257597,0.17184579,-0.08337501,0.13201074,0.00000000,0.17814569,0.42500859,2.77929878,0.55825001,0.38181239,-0.50824893,1.69983125,0.92945898,0,13:29:49.8,0,0
19,0.01332420,-0.88095468,-1.33164060,-0.74927008,-0.53762126,-0.35957626,0.11519384,3.51802111,-0.04153421,0.23668639,0.24264921,0.57084316,1.08409548,0.39840230,-0.00884703,0.14643238,0.85137308,0.02471171,0.52037603,0.00652664,0.10644077,-0.07882100,0.17563963,-0.08045008,0.13572438,0.00000000,0.18467362,0.43041638,2.65492654,0.56319499,0.38746312,-0.47449505,1.75737488,1.00205028,0,13:29:49.9,0,0
20,-0.08881681,-0.80316550,-1.41887188,-0.73507923,-0.48804483,-0.33929428,0.13129593,3.70068192,-0.02648911,0.23735487,0.24995889,0.57148701,1.08395302,0.40236318,-0.01236205,0.14854506,0.85273826,0.02450446,0.52257049,0.01078003,0.10608542,-0.07538339,0.17915352,-0.07910614,0.13808283,0.00000000,0.19048940,0.43423715,2.44366431,0.56787544,0.39213207,-0.45089701,1.80669796,1.04659975,0,13:29:50.0,0,0
