Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191019152553
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,910,767,722,656,696,641,732,662,761,679,583,574,1315,1570,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,124,124,6,6,44,44,6,6,6,6,49,49,44,44,6,6,31,31,30,30,7,7,6,6,6,6,22,22,15,15,12,12,6,6,6,6,7,7,6,6,7,7,6,6,6,6,15,15,15,15,28,28,6,6,7,7,22,22,15,15,62,62,31,31,6,6,44,44,6,6,6,6,62,62,62,62,88,88,30,30,6,6,6,6,12,12,124,124,6,6,6,6,6,6,7,7,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,26.37,42.79,10.60,28.78,15.74,68.79,14.51,38.56,1.81,4.53,2.54,8.97,1.60,2.30,1.58,3.04,3.19,6.31,3.23,4.34,3.13,4.65,3.26,3.89,2.22,3.33,3.26,3.85,1.83,3.20,3.44,3.52,1.89,2.79,2.54,2.88,2.78,3.76,4.28,6.66,1.82,3.54,2.54,1.87,2.94,2.38,1.45,3.97,3.69,2.97,2.06,2.87,69.37,100.00,69.37,100.00,24.36,29.80,100.00,100.00,100.00,100.00,9.72,19.09,12.39,43.55,45.59,48.40,2.75,6.70,1.20,2.15,1.11,2.81,1.73,3.58,14.82,14.94,2.36,3.66,1.31,1.81,1.17,1.99,4.69,6.57,2.10,2.64,1.84,2.02,1.12,2.15,4.62,3.39,18.71,17.36,7.80,32.48,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/19 15:26:00
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.50816232,-0.36431643,2.14135528,0.00549585,-0.61601144,-0.35704815,-0.22427177,-0.11072844,-0.81570083,0.62049288,0.43394288,-0.03127519,0.87756473,0.27796173,-0.61367995,-0.00309952,0.03434174,-0.07462252,-0.13355194,-0.40044665,-0.28333336,-0.52704990,-0.02423964,-0.48748651,-0.40615776,-0.21183491,-0.17719355,-0.11372420,-0.54502797,-0.05729736,0.14491542,-0.83022296,0.15711714,0.10530354,0,15:26:09.1,0,0
2,0.42292351,-0.48041877,2.13629580,-0.09984031,-0.83589399,-0.37658352,-0.24165337,-0.11233750,-0.84681898,0.61891234,0.43419069,-0.03009187,0.87700731,0.27626631,-0.61323684,-0.00713961,0.03096473,-0.07327330,-0.13575819,-0.40568718,-0.28235927,-0.52542084,-0.02607857,-0.48454437,-0.40733844,-0.21174744,-0.17590275,-0.11389967,-0.54571348,-0.05695227,0.13492772,-0.96937102,0.15280350,0.10950528,0,15:26:09.2,0,0
3,0.34423214,-0.57069737,2.12622762,-0.19156045,-1.01166630,-0.37779325,-0.24968953,-0.11360456,-0.86112922,0.61607331,0.43448892,-0.02907943,0.87657976,0.27529007,-0.61283880,-0.00981258,0.02825351,-0.07276477,-0.13726868,-0.40914306,-0.28195259,-0.52383435,-0.02766427,-0.48068842,-0.40680858,-0.21161029,-0.17417595,-0.11452093,-0.54601735,-0.05668506,0.12561674,-1.10336161,0.14874007,0.11317968,0,15:26:09.3,0,0
4,0.27835715,-0.62611228,2.11237311,-0.26305845,-1.13180804,-0.36017755,-0.24801712,-0.11452150,-0.85797381,0.61199731,0.43481013,-0.02829240,0.87636560,0.27506611,-0.61241484,-0.01111556,0.02628024,-0.07300074,-0.13816179,-0.41090864,-0.28201082,-0.52243221,-0.02898780,-0.47612372,-0.40469891,-0.21152246,-0.17207526,-0.11561677,-0.54603672,-0.05651122,0.11703019,-1.22364295,0.14506494,0.11544282,0,15:26:09.4,0,0
5,0.22964609,-0.63906556,2.09592032,-0.30882767,-1.18903184,-0.32562888,-0.23769036,-0.11503229,-0.83882803,0.60682184,0.43512964,-0.02775133,0.87644535,0.27556014,-0.61189085,-0.01110524,0.02505735,-0.07385321,-0.13853765,-0.41115353,-0.28241318,-0.52131337,-0.03006047,-0.47106424,-0.40123200,-0.21157360,-0.16967197,-0.11719622,-0.54587084,-0.05643395,0.10923530,-1.32250679,0.14187948,0.11565039,0,15:26:09.5,0,0
6,0.20166723,-0.60603255,2.07851624,-0.32577965,-1.17971957,-0.27697739,-0.21988605,-0.11512192,-0.80571926,0.60077953,0.43543380,-0.02745011,0.87686825,0.27670324,-0.61121917,-0.00988787,0.02454327,-0.07516502,-0.13851242,-0.41009209,-0.28304219,-0.52051431,-0.03089817,-0.46575388,-0.39671895,-0.21184064,-0.16706587,-0.11924452,-0.54559648,-0.05645628,0.10222916,-1.39463210,0.13933985,0.11307318,0,15:26:09.6,0,0
7,0.19575536,-0.52645457,2.06128907,-0.31294817,-1.10480654,-0.21874142,-0.19672991,-0.11475819,-0.76211387,0.59420216,0.43571109,-0.02732151,0.87768084,0.27836153,-0.61032295,-0.00761813,0.02464372,-0.07676222,-0.13820311,-0.40797898,-0.28376356,-0.52001882,-0.03153765,-0.46040732,-0.39151034,-0.21235844,-0.16434659,-0.12170137,-0.54527187,-0.05656071,0.09600435,-1.43602598,0.13764566,0.10771838,0,15:26:09.7,0,0
8,0.21226002,-0.40426111,2.04556203,-0.27223271,-0.97024930,-0.15670910,-0.17108785,-0.11396689,-0.71265566,0.58751065,0.43595359,-0.02726293,0.87890524,0.28038806,-0.60913491,-0.00447652,0.02522536,-0.07846257,-0.13772494,-0.40508950,-0.28445870,-0.51976293,-0.03202565,-0.45527118,-0.38603327,-0.21315409,-0.16163372,-0.12450211,-0.54495114,-0.05672532,0.09051581,-1.44386542,0.13687241,0.09967260,0,15:26:09.8,0,0
9,0.24946068,-0.24619243,2.03209209,-0.20700075,-0.78478581,-0.09728449,-0.14593029,-0.11273766,-0.66230607,0.58117920,0.43616202,-0.02715761,0.88052285,0.28258988,-0.60761845,-0.00066616,0.02612753,-0.08011544,-0.13718241,-0.40168923,-0.28503996,-0.51964509,-0.03241618,-0.45056388,-0.38070419,-0.21423428,-0.15903667,-0.12754270,-0.54467475,-0.05692623,0.08568516,-1.41847694,0.13715439,0.08933303,0,15:26:09.9,0,0
10,0.30316928,-0.06260286,2.02085209,-0.12307897,-0.56137937,-0.04489667,-0.12316899,-0.11118342,-0.61462110,0.57569999,0.43632478,-0.02686106,0.88248736,0.28477728,-0.60575265,0.00359907,0.02717048,-0.08159640,-0.13666990,-0.39803943,-0.28545433,-0.51954669,-0.03277278,-0.44649425,-0.37593836,-0.21556757,-0.15667218,-0.13070863,-0.54446292,-0.05715146,0.08141615,-1.36222124,0.13851859,0.07735934,0,15:26:10.0,0,0
11,0.36938632,0.13561593,2.01268816,-0.02627436,-0.31302735,-0.00482932,-0.10530890,-0.10933627,-0.57396406,0.57157934,0.43643633,-0.02621231,0.88473147,0.28675243,-0.60354161,0.00807086,0.02816252,-0.08281902,-0.13626781,-0.39437130,-0.28567508,-0.51934427,-0.03315705,-0.44323307,-0.37209821,-0.21711564,-0.15465194,-0.13389358,-0.54433596,-0.05738644,0.07756464,-1.27933705,0.14092018,0.06448893,0,15:26:10.1,0,0
12,0.44267708,0.33567551,2.00712442,0.07635550,-0.05513669,0.01995240,-0.09346127,-0.10736308,-0.54280233,0.56927949,0.43649366,-0.02504806,0.88717055,0.28829288,-0.60098207,0.01250090,0.02890209,-0.08374977,-0.13604197,-0.39088106,-0.28572327,-0.51893330,-0.03363454,-0.44089696,-0.36944079,-0.21880327,-0.15305437,-0.13695686,-0.54429048,-0.05761198,0.07401629,-1.17642164,0.14423317,0.05150579,0,15:26:10.2,0,0
13,0.51772082,0.52408457,2.00419116,0.17708535,0.19582514,0.02767240,-0.08834498,-0.10535028,-0.52282131,0.56920099,0.43649083,-0.02323246,0.88970065,0.28920388,-0.59811574,0.01664635,0.02920751,-0.08440496,-0.13603890,-0.38772199,-0.28565225,-0.51823735,-0.03425950,-0.43956774,-0.36816022,-0.22054620,-0.15194982,-0.13978587,-0.54430890,-0.05782044,0.07063894,-1.06003320,0.14824873,0.03930882,0,15:26:10.3,0,0
14,0.58894271,0.68810642,2.00358009,0.26850498,0.42537615,0.01771871,-0.09016974,-0.10352678,-0.51498044,0.57163149,0.43641293,-0.02066665,0.89220351,0.28934070,-0.59500259,0.02031230,0.02894709,-0.08485126,-0.13629496,-0.38498229,-0.28555539,-0.51721209,-0.03507503,-0.43927729,-0.36833203,-0.22226140,-0.15137580,-0.14227648,-0.54438716,-0.05800973,0.06731140,-0.93815726,0.15262929,0.02853528,0,15:26:10.4,0,0
15,0.65151465,0.81755745,2.00491238,0.34495994,0.62107760,-0.00727087,-0.09734531,-0.10200447,-0.51745349,0.57672429,0.43625340,-0.01729267,0.89456129,0.28857765,-0.59171003,0.02333504,0.02802696,-0.08518665,-0.13680643,-0.38270298,-0.28552738,-0.51585424,-0.03611080,-0.44000697,-0.36992574,-0.22384493,-0.15135190,-0.14434029,-0.54448843,-0.05819099,0.06393331,-0.81949472,0.15707409,0.01969300,0,15:26:10.5,0,0
16,0.70017749,0.90419513,2.00786352,0.40180743,0.77290452,-0.04349969,-0.10798487,-0.10101632,-0.52778661,0.58446729,0.43600950,-0.01310799,0.89666164,0.28685352,-0.58832490,0.02558616,0.02639651,-0.08554530,-0.13757168,-0.38087788,-0.28567585,-0.51419878,-0.03737269,-0.44166687,-0.37280527,-0.22520339,-0.15185267,-0.14590950,-0.54459792,-0.05837008,0.06045633,-0.71061939,0.16119121,0.01323279,0,15:26:10.6,0,0
17,0.73250246,0.94248545,2.01171303,0.43559328,0.87373573,-0.08651132,-0.11988982,-0.10065241,-0.54304606,0.59468031,0.43567282,-0.00818672,0.89840174,0.28417209,-0.58493811,0.02700208,0.02405648,-0.08606452,-0.13856354,-0.37945271,-0.28610879,-0.51232117,-0.03885157,-0.44414172,-0.37675923,-0.22624333,-0.15284476,-0.14696027,-0.54466116,-0.05856329,0.05687194,-0.61769319,0.16457462,0.00914448,0,15:26:10.7,0,0
18,0.74653161,0.93078309,2.01613617,0.44524750,0.92098069,-0.13148186,-0.13098362,-0.10108807,-0.56002843,0.60699707,0.43522948,-0.00267151,0.89968967,0.28059828,-0.58164823,0.02758957,0.02108211,-0.08689246,-0.13974065,-0.37833390,-0.28692004,-0.51031506,-0.04050967,-0.44725642,-0.38148266,-0.22688475,-0.15425231,-0.14746471,-0.54463130,-0.05878059,0.05321784,-0.54584652,0.16683611,0.00722297,0,15:26:10.8,0,0
19,0.74127823,0.86934423,2.02038670,0.43037447,0.91414940,-0.17278114,-0.13874741,-0.10233890,-0.57497895,0.62091738,0.43467867,0.00322754,0.90045947,0.27625602,-0.57854581,0.02744038,0.01759863,-0.08816213,-0.14105538,-0.37739524,-0.28818557,-0.50828630,-0.04229860,-0.45080656,-0.38663283,-0.22706293,-0.15598626,-0.14743148,-0.54446620,-0.05903148,0.04954074,-0.49916437,0.16763975,0.00707574,0,15:26:10.9,0,0
