Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191026151555
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,945,787,697,641,736,664,722,656,796,700,808,707,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,98,98,6,6,124,124,6,6,6,6,44,44,31,31,6,6,31,31,6,6,6,6,6,6,6,6,12,12,7,7,6,6,6,6,6,6,7,7,12,12,7,7,6,6,6,6,14,14,6,6,44,44,15,15,44,44,15,15,6,6,120,120,31,31,6,6,30,30,6,6,6,6,62,62,56,56,88,88,72,72,6,6,6,6,6,6,15,15,6,6,6,6,6,6,7,7,7,7,6,6,6,6,88,88,6,6,15,15,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,1.00,1.00,100.00,100.00,100.00,100.00,36.27,56.17,1.00,1.00,60.75,100.00,100.00,100.00,22.45,67.42,63.54,100.00,1.95,2.40,1.87,2.71,2.91,4.28,2.51,3.57,2.71,4.17,2.26,3.10,2.27,3.42,6.19,7.36,2.50,3.58,3.10,3.49,2.15,2.69,2.38,3.32,3.10,4.06,2.02,3.20,5.26,6.60,3.95,8.08,5.30,7.58,2.36,5.40,54.43,87.84,100.00,100.00,100.00,1.00,96.09,100.00,53.54,60.19,91.70,100.00,100.00,100.00,13.20,27.38,19.59,37.16,100.00,100.00,100.00,100.00,2.42,3.78,1.61,2.45,1.28,2.03,2.48,5.47,2.18,3.60,1.40,2.01,1.28,2.21,3.07,4.18,2.21,3.24,1.17,2.01,1.78,3.54,100.00,100.00,61.90,88.32,2.03,6.77,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/26 15:16:03
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.19240808,0.26351699,-1.02692735,1.15948367,0.79088521,0.75785029,0.06520951,0.15403600,1.60039711,-0.05782637,-0.04958227,0.01757403,-0.23756479,-0.35083926,-0.23866633,-0.36583757,-0.28160992,-0.11242016,-0.11695672,-0.36140880,0.14165485,-0.27277517,-0.45252031,-0.05621046,-0.08621075,-0.28279272,0.16087882,-0.24213947,0.27325776,0.07324273,3.14220715,-0.95737982,0.03249901,-0.17455265,0,15:16:12.1,0,0
2,-0.30826199,0.25035527,-1.96103859,1.15488768,0.80757844,0.66976410,-0.04969272,0.10440088,1.69584203,-0.07695984,-0.04070620,0.01728346,-0.23654415,-0.35325995,-0.23853961,-0.36944643,-0.28302324,-0.11140657,-0.11558671,-0.35807130,0.14265908,-0.27296007,-0.45232767,-0.05601498,-0.08523803,-0.29024926,0.15838607,-0.24981655,0.27246004,0.07225519,3.02371979,-1.01865721,0.03650583,-0.16324599,0,15:16:12.2,0,0
3,-0.43031663,0.22963890,-2.94872475,1.09849727,0.79178363,0.52565807,-0.22002253,0.05901079,1.72064817,-0.09577061,-0.03046892,0.01681620,-0.23590468,-0.35588863,-0.23887245,-0.37320274,-0.28425932,-0.11037668,-0.11432409,-0.35540333,0.14375152,-0.27325153,-0.45246956,-0.05568250,-0.08437185,-0.29937276,0.15605745,-0.25911286,0.27183163,0.07049595,2.88224316,-1.08136833,0.03936214,-0.14528392,0,15:16:12.3,0,0
4,-0.54905343,0.20472477,-3.93332791,0.99969471,0.74872929,0.32894549,-0.43778622,0.01974642,1.66881526,-0.11264512,-0.01810492,0.01614588,-0.23564801,-0.35850647,-0.23964372,-0.37679440,-0.28518802,-0.10936495,-0.11310406,-0.35343352,0.14482763,-0.27358216,-0.45287082,-0.05519572,-0.08362146,-0.30906922,0.15389998,-0.26919362,0.27136594,0.06831793,2.72692728,-1.14145482,0.04102503,-0.12154910,0,15:16:12.4,0,0
5,-0.65456992,0.17850246,-4.85616398,0.86906379,0.68425775,0.08752865,-0.69161916,-0.01223400,1.53906488,-0.12627730,-0.00422104,0.01525083,-0.23575026,-0.36091694,-0.24081555,-0.37994516,-0.28571853,-0.10841131,-0.11188111,-0.35213450,0.14578158,-0.27387238,-0.45342964,-0.05457549,-0.08301372,-0.31829640,0.15186946,-0.27918506,0.27104226,0.06602287,2.56786394,-1.19379807,0.04153417,-0.09322764,0,15:16:12.5,0,0
6,-0.73732585,0.15465747,-5.66080856,0.72019184,0.60655403,-0.18614580,-0.96372116,-0.03605854,1.34092534,-0.13554156,0.01081733,0.01413129,-0.23617017,-0.36294842,-0.24232627,-0.38242188,-0.28580385,-0.10754890,-0.11058458,-0.35144275,0.14652908,-0.27405658,-0.45404622,-0.05385340,-0.08256576,-0.32599953,0.14990209,-0.28820080,0.27084547,0.06380429,2.41560793,-1.23246729,0.04099957,-0.06030078,0,15:16:12.6,0,0
7,-0.78869718,0.13602220,-6.29732990,0.56622785,0.52347726,-0.47717482,-1.23726368,-0.05252451,1.08815968,-0.13989700,0.02445784,0.01280276,-0.23684928,-0.36446962,-0.24410374,-0.38404635,-0.28543782,-0.10682441,-0.10920238,-0.35126755,0.14698140,-0.27408665,-0.45460987,-0.05315438,-0.08235213,-0.33129722,0.14780486,-0.29546630,0.27075854,0.06181674,2.27895784,-1.25242400,0.03958327,-0.02347185,0,15:16:12.7,0,0
8,-0.80178672,0.12571223,-6.72609997,0.42100480,0.44329563,-0.76742494,-1.49102569,-0.06283421,0.80119485,-0.13922873,0.03348394,0.01128965,-0.23771743,-0.36539158,-0.24607360,-0.38470426,-0.28464758,-0.10627649,-0.10772591,-0.35147783,0.14708596,-0.27392331,-0.45502374,-0.05254636,-0.08239617,-0.33348021,0.14547807,-0.30033675,0.27075660,0.06013076,2.16619682,-1.24611378,0.03747761,0.01824087,0,15:16:12.8,0,0
9,-0.77226645,0.12574688,-6.92084599,0.29665861,0.37355867,-1.03916585,-1.70686960,-0.06913235,0.50437737,-0.13400850,0.03332003,0.00962616,-0.23869392,-0.36569923,-0.24815747,-0.38438144,-0.28352067,-0.10593006,-0.10615588,-0.35194808,0.14680907,-0.27355522,-0.45520997,-0.05216071,-0.08275179,-0.33219081,0.14273687,-0.30238774,0.27079517,0.05874418,2.08418941,-1.20921755,0.03488230,0.06437438,0,15:16:12.9,0,0
10,-0.69913745,0.13770390,-6.87065029,0.20318109,0.32074285,-1.27390206,-1.87053370,-0.07395204,0.21787716,-0.12506346,0.01938712,0.00785876,-0.23968284,-0.36540526,-0.25027534,-0.38311821,-0.28217122,-0.10580594,-0.10450963,-0.35253513,0.14615099,-0.27297887,-0.45510498,-0.05212321,-0.08347460,-0.32730457,0.13939843,-0.30132818,0.27087751,0.05763410,2.03745008,-1.13737547,0.03198329,0.11521018,0,15:16:13.0,0,0
11,-0.58422452,0.16214953,-6.58073330,0.14803006,0.28957182,-1.45567763,-1.97001755,-0.08053368,-0.03385501,-0.11368995,-0.01333374,0.00601921,-0.24060734,-0.36455634,-0.25237384,-0.38100368,-0.28072292,-0.10591580,-0.10282150,-0.35312036,0.14513211,-0.27223387,-0.45468318,-0.05251047,-0.08457999,-0.31907126,0.13537315,-0.29714549,0.27096269,0.05665124,2.02807593,-1.02791655,0.02893562,0.17098440,0,15:16:13.1,0,0
12,-0.43257421,0.19879657,-6.07192516,0.13508238,0.28282112,-1.57188225,-1.99961352,-0.09192809,-0.23585308,-0.10142232,-0.06918257,0.00415002,-0.24138254,-0.36325321,-0.25439170,-0.37819174,-0.27932078,-0.10626075,-0.10112427,-0.35359108,0.14379343,-0.27135196,-0.45393479,-0.05336801,-0.08605184,-0.30798236,0.13063295,-0.29007262,0.27102244,0.05565562,2.05650139,-0.88159257,0.02583292,0.23163724,0,15:16:13.2,0,0
13,-0.25189191,0.24634072,-5.37888527,0.16478325,0.30172476,-1.61541212,-1.95949495,-0.11085668,-0.37702191,-0.08987797,-0.15156247,0.00227171,-0.24195416,-0.36161941,-0.25630701,-0.37487316,-0.27810913,-0.10684533,-0.09947719,-0.35388115,0.14217708,-0.27040401,-0.45290259,-0.05469740,-0.08784993,-0.29476222,0.12524439,-0.28058740,0.27100983,0.05453850,2.12137532,-0.70219207,0.02281331,0.29635414,0,15:16:13.3,0,0
14,-0.05218977,0.30183509,-4.54722166,0.23325363,0.34419429,-1.58352494,-1.85647821,-0.13900815,-0.45203444,-0.08056144,-0.26145878,0.00039095,-0.24228215,-0.35980248,-0.25811645,-0.37126940,-0.27722400,-0.10768050,-0.09796412,-0.35394323,0.14031558,-0.26945683,-0.45162269,-0.05648852,-0.08993172,-0.28033450,0.11929388,-0.26936066,0.27089319,0.05316036,2.21938753,-0.49713993,0.01984891,0.36345696,0,15:16:13.4,0,0
15,0.15460846,0.36130345,-3.62978673,0.33302310,0.40547523,-1.48008454,-1.70264387,-0.17718875,-0.46368989,-0.07483253,-0.39807376,-0.00149354,-0.24234554,-0.35794020,-0.25983360,-0.36759609,-0.27677855,-0.10876469,-0.09664158,-0.35376132,0.13824819,-0.26858330,-0.45015854,-0.05869031,-0.09221978,-0.26567993,0.11295783,-0.25719506,0.27062228,0.05135952,2.34569407,-0.27686012,0.01692588,0.43071887,0,15:16:13.5,0,0
16,0.35809878,0.42218143,-2.68247247,0.45726305,0.48210564,-1.31269646,-1.51258111,-0.22574684,-0.41719383,-0.07362872,-0.55815053,-0.00339421,-0.24215002,-0.35614145,-0.26147878,-0.36403772,-0.27684250,-0.11007653,-0.09552883,-0.35334003,0.13603273,-0.26784983,-0.44858310,-0.06119475,-0.09460870,-0.25172713,0.10650611,-0.24488112,0.27017343,0.04900267,2.49446559,-0.05308592,0.01400825,0.49592289,0,15:16:13.6,0,0
17,0.54568267,0.48033515,-1.75725746,0.59580386,0.56773871,-1.09258175,-1.30429626,-0.28243926,-0.32504815,-0.07732726,-0.73529500,-0.00529363,-0.24168365,-0.35449421,-0.26304463,-0.36074188,-0.27743694,-0.11158564,-0.09466834,-0.35270923,0.13371232,-0.26730561,-0.44695634,-0.06387091,-0.09698320,-0.23931286,0.10023104,-0.23319268,0.26952568,0.04607132,2.65945125,0.15946037,0.01105403,0.55643004,0,15:16:13.7,0,0
18,0.70689660,0.53123373,-0.90944082,0.73686165,0.65533185,-0.83642769,-1.09934568,-0.34414139,-0.20431496,-0.08586267,-0.92157143,-0.00720785,-0.24098176,-0.35309026,-0.26455277,-0.35784298,-0.27856916,-0.11326227,-0.09408626,-0.35192093,0.13131757,-0.26699576,-0.44534522,-0.06662589,-0.09925665,-0.22912695,0.09438433,-0.22288324,0.26865098,0.04254660,2.83437634,0.34523961,0.00803152,0.60855061,0,15:16:13.8,0,0
19,0.83451235,0.57078248,-0.17310256,0.86870408,0.73700535,-0.56083882,-0.91744256,-0.40756342,-0.07294630,-0.09861256,-1.10707819,-0.00912770,-0.24007760,-0.35194859,-0.26598924,-0.35539165,-0.28018403,-0.11506926,-0.09379094,-0.35102621,0.12888511,-0.26692942,-0.44379470,-0.06934221,-0.10133788,-0.22157171,0.08921265,-0.21455927,0.26754358,0.03848622,3.01288390,0.48874679,0.00493375,0.64922535,0,15:16:13.9,0,0
