Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191019144955
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1315,1006,912,768,766,682,737,665,881,750,688,636,1095,1207,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under
Analog Gain,124,124,6,6,124,124,6,6,6,6,31,31,44,44,6,6,31,31,6,6,6,6,6,6,6,6,12,12,6,6,6,6,6,6,6,6,7,7,14,14,6,6,7,7,6,6,6,6,7,7,28,28,6,6,12,12,72,72,22,22,6,6,31,31,6,6,31,31,6,6,6,6,49,49,56,56,124,124,112,112,6,6,6,6,6,6,14,14,6,6,6,6,6,6,7,7,6,6,6,6,6,6,7,7,31,31,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,72.38,100.00,100.00,100.00,19.06,34.07,16.23,27.13,100.00,1.00,10.23,27.54,12.22,25.93,20.90,58.65,1.95,2.51,2.46,3.40,3.46,5.07,2.54,3.43,3.08,3.92,2.31,2.61,2.22,3.06,3.26,3.91,2.19,3.17,3.64,3.69,3.96,4.27,1.99,3.09,2.29,2.77,4.20,7.04,1.98,5.65,3.48,1.93,3.26,2.32,1.00,1.00,4.07,2.48,25.09,78.76,68.64,100.00,81.04,100.00,100.00,100.00,100.00,100.00,90.26,100.00,5.50,12.20,7.23,21.87,1.00,1.00,100.00,1.00,1.68,2.23,1.21,2.07,2.16,3.46,1.85,3.35,1.55,2.30,1.56,1.77,1.49,1.74,100.00,1.00,2.27,2.65,1.63,2.35,1.50,3.09,4.06,2.56,4.39,4.33,19.35,67.42,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/19 14:50:05
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.33012527,0.60747927,0.84869927,0.80657095,0.83584529,0.05827951,-0.08218972,-1.21624577,0.09370224,0.18864292,-0.32747120,-0.00136366,-0.13429244,-0.15692355,-0.05748082,0.00416948,-0.11844680,-0.01823016,-0.12455457,0.04550873,0.00935843,0.01759593,-0.27122700,0.06851374,0.02700583,0.04361005,0.93921500,0.82099545,0.00000000,1.13841581,0.54574996,-0.55820495,0.44327310,-0.97014248,0,14:50:14.1,0,0
2,0.16607295,0.55671704,0.81638241,0.76795298,0.74744666,0.06883746,-0.06909353,-1.04702795,0.10387085,0.19401805,-0.31724977,-0.00290345,-0.13556252,-0.15739360,-0.05941680,0.00316714,-0.11824448,-0.01970937,-0.12510867,0.04340824,0.00916717,0.01593345,-0.27148482,0.06631894,0.02621434,0.04196718,0.93920624,0.82005924,0.00000000,1.13775504,0.54611957,-0.34980106,0.44564930,-1.07131076,0,14:50:14.2,0,0
3,0.02124707,0.49265534,0.77088314,0.72110480,0.64112973,0.08256419,-0.05446051,-0.87714899,0.11645889,0.19923291,-0.30797702,-0.00451036,-0.13679847,-0.15778574,-0.06135211,0.00209788,-0.11812490,-0.02136336,-0.12529239,0.04139476,0.00907653,0.01441652,-0.27184370,0.06409690,0.02516429,0.04026691,0.93904811,0.81910819,0.00000000,1.13737237,0.54796028,-0.09667661,0.44306388,-1.11405396,0,14:50:14.3,0,0
4,-0.09400019,0.41827437,0.71491086,0.66830087,0.52376795,0.09856559,-0.03925990,-0.71956939,0.13076583,0.20403078,-0.29973450,-0.00617232,-0.13802823,-0.15809359,-0.06325624,0.00103041,-0.11812161,-0.02314881,-0.12518007,0.03950100,0.00903888,0.01304191,-0.27229041,0.06191572,0.02397398,0.03856288,0.93876809,0.81815696,0.00000000,1.13721824,0.55123407,0.18180779,0.43601266,-1.09763122,0,14:50:14.4,0,0
5,-0.16978151,0.33649167,0.65284395,0.61183465,0.40062344,0.11571261,-0.02473791,-0.58591807,0.14586675,0.20821871,-0.29248992,-0.00786497,-0.13926347,-0.15832964,-0.06509491,0.00001797,-0.11828720,-0.02501812,-0.12484834,0.03775512,0.00900550,0.01178858,-0.27280599,0.05979559,0.02268853,0.03693162,0.93835503,0.81724405,0.00000000,1.13722575,0.55576932,0.46510449,0.42483926,-1.02523863,0,14:50:14.5,0,0
6,-0.20048623,0.24960376,0.58895928,0.55395836,0.27718008,0.13276631,-0.01201900,-0.48404524,0.16078828,0.21170916,-0.28613490,-0.00956383,-0.14051034,-0.15851890,-0.06684259,-0.00089760,-0.11866658,-0.02690114,-0.12436327,0.03616862,0.00895050,0.01063426,-0.27336681,0.05775116,0.02135849,0.03544553,0.93780065,0.81640059,0.00000000,1.13730204,0.56136143,0.73208237,0.40959406,-0.90635133,0,14:50:14.6,0,0
7,-0.18158230,0.16196972,0.52878892,0.49768212,0.15907650,0.14866078,-0.00204261,-0.41944864,0.17458569,0.21442288,-0.28059378,-0.01124394,-0.14177385,-0.15868834,-0.06847262,-0.00168442,-0.11929060,-0.02872673,-0.12378210,0.03474802,0.00886289,0.00954916,-0.27395338,0.05576663,0.01997113,0.03417691,0.93707478,0.81566614,0.00000000,1.13736963,0.56775224,0.96102113,0.39141104,-0.75432831,0,14:50:14.7,0,0
8,-0.11215942,0.07679962,0.47654891,0.44536507,0.05085398,0.16237335,0.00438771,-0.39678502,0.18638285,0.21631505,-0.27584696,-0.01286698,-0.14303546,-0.15885977,-0.06993937,-0.00230481,-0.12016693,-0.03040783,-0.12314117,0.03349835,0.00875135,0.00850791,-0.27453846,0.05383564,0.01851189,0.03319799,0.93614644,0.81507230,0.00000000,1.13735509,0.57449269,1.13426435,0.37077364,-0.58612144,0,14:50:14.8,0,0
9,0.00573853,-0.00190366,0.43598813,0.39963251,-0.04249638,0.17329882,0.00705335,-0.41546631,0.19558291,0.21745029,-0.27182460,-0.01440676,-0.14427555,-0.15903874,-0.07122814,-0.00271708,-0.12128036,-0.03186907,-0.12247056,0.03241543,0.00862864,0.00748351,-0.27509335,0.05193214,0.01695373,0.03257458,0.93500274,0.81464511,0.00000000,1.13718271,0.58114702,1.23951447,0.34844697,-0.41927668,0,14:50:14.9,0,0
10,0.16673483,-0.07007507,0.40982458,0.36287853,-0.11635493,0.18095893,0.00594355,-0.47195032,0.20172854,0.21788466,-0.26857558,-0.01585073,-0.14546090,-0.15925200,-0.07232727,-0.00291772,-0.12260968,-0.03307160,-0.12181181,0.03147373,0.00849790,0.00644611,-0.27558976,0.05000204,0.01524389,0.03233459,0.93361676,0.81437600,0.00000000,1.13679850,0.58731157,1.26971602,0.32509094,-0.27009696,0,14:50:15.0,0,0
11,0.36307055,-0.12581557,0.39911398,0.33616701,-0.16882825,0.18521696,0.00141895,-0.56129879,0.20465505,0.21770418,-0.26623011,-0.01720962,-0.14658713,-0.15952927,-0.07326785,-0.00293490,-0.12413196,-0.03399991,-0.12121116,0.03064666,0.00835502,0.00536184,-0.27600765,0.04798415,0.01330539,0.03249002,0.93196303,0.81423795,0.00000000,1.13614094,0.59233797,1.22338939,0.30062604,-0.15284607,0,14:50:15.1,0,0
12,0.58321249,-0.16555488,0.40327713,0.32118589,-0.19601156,0.18650806,-0.00566165,-0.67517269,0.20472600,0.21701919,-0.26491147,-0.01849378,-0.14764211,-0.15986194,-0.07407566,-0.00277461,-0.12578943,-0.03466589,-0.12071080,0.02989951,0.00819491,0.00421020,-0.27632853,0.04582549,0.01108924,0.03302479,0.93004137,0.81420505,0.00000000,1.13517559,0.59605306,1.10602427,0.27715540,-0.08064163,0,14:50:15.2,0,0
13,0.81523013,-0.18698503,0.42031705,0.31839487,-0.19584557,0.18540688,-0.01420040,-0.80385500,0.20233743,0.21595216,-0.26483825,-0.01971810,-0.14861116,-0.16026908,-0.07478441,-0.00248051,-0.12753427,-0.03511425,-0.12035327,0.02920410,0.00801059,0.00300320,-0.27653429,0.04349796,0.00857651,0.03391261,0.92788649,0.81422454,0.00000000,1.13389719,0.59806859,0.92871684,0.25486326,-0.05974278,0,14:50:15.3,0,0
14,1.04529297,-0.18891722,0.44661015,0.32759249,-0.16770749,0.18279488,-0.02288849,-0.93708396,0.19825493,0.21466170,-0.26615900,-0.02091799,-0.14949834,-0.16074942,-0.07544996,-0.00210226,-0.12931250,-0.03541701,-0.12018000,0.02853628,0.00778096,0.00175367,-0.27661389,0.04097312,0.00573941,0.03507608,0.92553490,0.81422687,0.00000000,1.13231838,0.59815490,0.70712131,0.23481612,-0.09278519,0,14:50:15.4,0,0
15,1.25987625,-0.17052525,0.47761539,0.34801868,-0.11126046,0.17933705,-0.03057641,-1.06437159,0.19321047,0.21326399,-0.26899028,-0.02212496,-0.15031022,-0.16128877,-0.07611598,-0.00169544,-0.13105987,-0.03566679,-0.12023237,0.02788362,0.00747647,0.00047998,-0.27656201,0.03826061,0.00260489,0.03642709,0.92305022,0.81415719,0.00000000,1.13048649,0.59623688,0.45901650,0.21774828,-0.17755182,0,14:50:15.5,0,0
16,1.44637883,-0.13281149,0.50800955,0.37811676,-0.02827706,0.17604840,-0.03601674,-1.17717648,0.18828042,0.21190128,-0.27336076,-0.02334923,-0.15103969,-0.16184641,-0.07679452,-0.00128881,-0.13269605,-0.03594930,-0.12051834,0.02726429,0.00708371,-0.00076410,-0.27637881,0.03541843,-0.00073563,0.03788235,0.92054129,0.81396139,0.00000000,1.12846553,0.59243149,0.20359954,0.20456763,-0.30816543,0,14:50:15.6,0,0
17,1.59410977,-0.07797267,0.53208601,0.41559520,0.07737168,0.17372175,-0.03830887,-1.26973391,0.18440497,0.21065027,-0.27926922,-0.02462207,-0.15170763,-0.16241930,-0.07752936,-0.00097204,-0.13419938,-0.03637189,-0.12106930,0.02668086,0.00655732,-0.00194032,-0.27608144,0.03248644,-0.00420541,0.03933777,0.91808474,0.81358796,0.00000000,1.12632382,0.58682442,-0.03989485,0.19595137,-0.47682962,0,14:50:15.7,0,0
18,1.69482923,-0.00904542,0.54398352,0.45787156,0.20171811,0.17283398,-0.03691228,-1.33509755,0.18225855,0.20962168,-0.28647783,-0.02596880,-0.15233383,-0.16300006,-0.07835624,-0.00081321,-0.13554844,-0.03703357,-0.12189600,0.02613322,0.00585584,-0.00302492,-0.27569461,0.02952550,-0.00769424,0.04068721,0.91577739,0.81298769,0.00000000,1.12413108,0.57975656,-0.25482887,0.19202426,-0.67148626,0,14:50:15.8,0,0
19,1.74293685,0.06969392,0.53852636,0.50184774,0.33826429,0.17370351,-0.03168904,-1.36979759,0.18232727,0.20885168,-0.29470688,-0.02741971,-0.15295304,-0.16357248,-0.07931143,-0.00087682,-0.13674088,-0.03802625,-0.12300590,0.02563385,0.00494025,-0.00397145,-0.27524322,0.02661875,-0.01105475,0.04184359,0.91371942,0.81213623,0.00000000,1.12195098,0.57148796,-0.42742252,0.19253878,-0.88036788,0,14:50:15.9,0,0
20,1.73712862,0.15373418,0.51166224,0.54445821,0.48046175,0.17625950,-0.02292810,-1.37373996,0.18485209,0.20833109,-0.30358154,-0.02899165,-0.15359752,-0.16417865,-0.08042539,-0.00126166,-0.13781543,-0.03942365,-0.12440068,0.02518499,0.00376718,-0.00476591,-0.27476817,0.02384146,-0.01414058,0.04273275,0.91199094,0.81101722,0.00000000,1.11983562,0.56233114,-0.54925096,0.19638397,-1.09224677,0,14:50:16.0,0,0
