Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191026134701
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,1843,1317,775,687,772,686,641,608,717,653,716,653,813,710,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Under,Under
Analog Gain,124,124,6,6,49,49,6,6,6,6,49,49,49,49,6,6,31,31,6,6,6,6,12,12,6,6,7,7,7,7,15,15,14,14,6,6,6,6,7,7,6,6,6,6,6,6,7,7,6,6,31,31,15,15,31,31,12,12,6,6,44,44,31,31,6,6,31,31,6,6,6,6,62,62,62,62,72,72,22,22,6,6,6,6,6,6,31,31,7,7,6,6,6,6,7,7,6,6,6,6,6,6,49,49,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,22.71,43.02,40.75,60.53,100.00,1.00,8.73,20.29,1.19,3.50,1.15,3.90,2.42,3.63,2.10,4.19,2.71,7.93,3.41,5.01,2.90,6.54,2.17,6.45,2.15,3.50,2.03,3.71,2.63,6.23,2.48,2.86,1.72,2.80,1.68,3.39,2.92,4.97,1.69,3.80,2.19,9.39,4.43,10.37,2.34,9.45,1.86,5.31,55.53,94.79,1.67,4.66,1.00,1.00,88.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,14.20,38.40,14.50,59.07,1.00,1.00,1.98,5.83,1.69,3.48,1.23,1.83,1.09,2.78,34.99,34.97,2.42,4.56,1.38,2.96,100.00,100.00,100.00,100.00,2.25,3.31,1.22,1.79,1.75,4.48,5.24,8.59,19.99,55.82,1.14,3.09,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/26 13:47:08
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.50797784,0.05223205,-1.67565453,-0.22333339,0.20249610,-0.71057874,-1.09036970,-3.27036452,-0.54375476,0.19933665,0.03308698,-0.16378821,0.02220351,-0.10246316,-0.22377706,-0.24777763,0.13657890,-0.26802686,0.08011536,-0.00607085,-0.23608699,-0.16747586,-0.14360237,-0.15788527,-0.08370928,-0.25683045,-0.22673160,-0.40132755,-0.21777539,-0.16920952,-0.37004519,-3.33163071,0.01642808,-1.92784464,0,13:47:17.1,0,0
2,0.55772185,0.10690112,-1.65753162,-0.10479852,0.25040120,-0.59830868,-0.82261503,-3.25636387,-0.48488808,0.19961089,0.03336358,-0.16229180,0.02389673,-0.10122716,-0.22042049,-0.24634455,0.13651991,-0.26539281,0.08311108,-0.00438463,-0.23221047,-0.16670223,-0.14215253,-0.16017304,-0.08502723,-0.24991371,-0.23295237,-0.39420784,-0.21476032,-0.17464656,-0.37126100,-3.23727345,0.01667886,-2.12317896,0,13:47:17.2,0,0
3,0.58447832,0.14157675,-1.61536539,0.02022507,0.31855109,-0.49673751,-0.57350880,-3.21703959,-0.42875698,0.19980484,0.03363432,-0.16048434,0.02592208,-0.09952329,-0.21688981,-0.24443977,0.13678066,-0.26234627,0.08642246,-0.00252882,-0.22789188,-0.16584632,-0.14051186,-0.16237344,-0.08633806,-0.24373476,-0.23988453,-0.38776213,-0.21211679,-0.17946707,-0.37235036,-3.09503865,0.01679020,-2.30930305,0,13:47:17.3,0,0
4,0.59166837,0.15147160,-1.54745460,0.14234106,0.39792156,-0.40933263,-0.35569599,-3.15677071,-0.37777582,0.19997276,0.03394112,-0.15839973,0.02825029,-0.09727876,-0.21329765,-0.24204536,0.13745737,-0.25896105,0.08995085,-0.00054132,-0.22324410,-0.16496214,-0.13873464,-0.16431049,-0.08750464,-0.23850045,-0.24705584,-0.38229874,-0.20989272,-0.18388848,-0.37328044,-2.91421986,0.01632537,-2.47228265,0,13:47:17.4,0,0
5,0.58246821,0.13369022,-1.45585454,0.25276676,0.47930664,-0.33820423,-0.17767099,-3.08240461,-0.33367786,0.20016927,0.03432489,-0.15608168,0.03083661,-0.09445148,-0.20975661,-0.23914568,0.13860108,-0.25531590,0.09359308,0.00155265,-0.21838532,-0.16408947,-0.13687158,-0.16583227,-0.08840211,-0.23432083,-0.25399977,-0.37805527,-0.20809598,-0.18816248,-0.37400720,-2.70230150,0.01493073,-2.60004616,0,13:47:17.5,0,0
6,0.55929345,0.08724849,-1.34689510,0.34290045,0.55207777,-0.28532568,-0.04701073,-3.00059319,-0.29790553,0.20045407,0.03481867,-0.15356928,0.03363461,-0.09103317,-0.20635903,-0.23574887,0.14024876,-0.25149551,0.09724870,0.00373428,-0.21344042,-0.16325852,-0.13497375,-0.16678774,-0.08891175,-0.23116983,-0.26023126,-0.37510854,-0.20666860,-0.19245079,-0.37448359,-2.46844602,0.01251364,-2.68117929,0,13:47:17.6,0,0
7,0.52305049,0.01288176,-1.23044491,0.40506998,0.60704327,-0.25103500,0.03376279,-2.91777992,-0.27103591,0.20088921,0.03545406,-0.15090854,0.03658079,-0.08708320,-0.20317814,-0.23188582,0.14237802,-0.24759094,0.10081544,0.00597963,-0.20853409,-0.16247888,-0.13308690,-0.16705136,-0.08894199,-0.22897381,-0.26531655,-0.37350261,-0.20554930,-0.19683351,-0.37464949,-2.21953559,0.00910140,-2.70769048,0,13:47:17.7,0,0
8,0.47473264,-0.08714957,-1.11594534,0.43321756,0.63640803,-0.23482987,0.06462055,-2.84022331,-0.25305501,0.20152952,0.03625089,-0.14815728,0.03961005,-0.08268062,-0.20026889,-0.22761470,0.14493817,-0.24369115,0.10419951,0.00827408,-0.20378350,-0.16174482,-0.13124420,-0.16653746,-0.08843723,-0.22759894,-0.26891619,-0.37318283,-0.20465791,-0.20128456,-0.37444144,-1.96304250,0.00488940,-2.67447257,0,13:47:17.8,0,0
9,0.41320652,-0.20834140,-1.01604259,0.42356244,0.63486809,-0.23401266,0.05108493,-2.77440524,-0.24331419,0.20241717,0.03721165,-0.14532571,0.04268211,-0.07794411,-0.19762936,-0.22299461,0.14785802,-0.23985367,0.10735065,0.01060531,-0.19925122,-0.16103049,-0.12946759,-0.16519549,-0.08737412,-0.22686160,-0.27080500,-0.37402827,-0.20391169,-0.20565823,-0.37379098,-1.70791543,0.00024330,-2.57998371,0,13:47:17.9,0,0
10,0.33525962,-0.34460935,-0.94350058,0.37518480,0.60103875,-0.24556361,0.00034956,-2.72516847,-0.24037991,0.20357764,0.03832370,-0.14243482,0.04575137,-0.07304779,-0.19525476,-0.21812455,0.15102369,-0.23613426,0.11023833,0.01296087,-0.19499619,-0.16030107,-0.12776990,-0.16302305,-0.08576807,-0.22656836,-0.27089977,-0.37584323,-0.20323953,-0.20969021,-0.37263554,-1.46065521,-0.00433111,-2.42658138,0,13:47:18.0,0,0
11,0.23789498,-0.48899865,-0.90841848,0.28899878,0.53537410,-0.26524985,-0.07679982,-2.69366002,-0.24256653,0.20502742,0.03957033,-0.13949350,0.04878939,-0.06817418,-0.19310740,-0.21311034,0.15431720,-0.23258115,0.11284573,0.01534474,-0.19105636,-0.15950426,-0.12614818,-0.16007105,-0.08366827,-0.22652033,-0.26925111,-0.37840694,-0.20259453,-0.21301354,-0.37092337,-1.22856760,-0.00818159,-2.22006321,0,13:47:18.1,0,0
12,0.11729351,-0.63301784,-0.91911209,0.16899320,0.44312766,-0.28825852,-0.16735029,-2.67982483,-0.24789950,0.20674646,0.04091072,-0.13650134,0.05177835,-0.06351630,-0.19111148,-0.20806685,0.15760601,-0.22921650,0.11519849,0.01774135,-0.18743114,-0.15859713,-0.12459565,-0.15642351,-0.08116028,-0.22655916,-0.26603770,-0.38150194,-0.20197074,-0.21522732,-0.36860159,-1.01698256,-0.01073795,-1.96727407,0,13:47:18.2,0,0
13,-0.02960541,-0.76851267,-0.98028636,0.02063400,0.33160904,-0.31203699,-0.25743732,-2.68026543,-0.25476626,0.20870136,0.04229333,-0.13345708,0.05470460,-0.05927384,-0.18921284,-0.20313272,0.16076486,-0.22606327,0.11733609,0.02014817,-0.18411878,-0.15753572,-0.12308836,-0.15221970,-0.07835602,-0.22659750,-0.26156473,-0.38490394,-0.20139791,-0.21577545,-0.36567348,-0.83155334,-0.01135344,-1.67758906,0,13:47:18.3,0,0
14,-0.20375890,-0.88791406,-1.09209573,-0.14829524,0.21024084,-0.32975039,-0.33544663,-2.69012499,-0.26114956,0.21084052,0.04366396,-0.13035715,0.05757186,-0.05563564,-0.18733439,-0.19845128,0.16366325,-0.22314963,0.11929662,0.02256204,-0.18111864,-0.15628514,-0.12159498,-0.14762977,-0.07538141,-0.22656199,-0.25619778,-0.38838270,-0.20092247,-0.21424562,-0.36215162,-0.67788178,-0.00959800,-1.36355984,0,13:47:18.4,0,0
15,-0.40420344,-0.98363310,-1.24886751,-0.32807362,0.08959977,-0.33746555,-0.39113137,-2.70416903,-0.26562169,0.21307741,0.04495569,-0.12719743,0.06038076,-0.05274929,-0.18542719,-0.19414443,0.16619703,-0.22047272,0.12114701,0.02496808,-0.17839356,-0.15483209,-0.12009595,-0.14285712,-0.07238102,-0.22646096,-0.25039786,-0.39174652,-0.20063485,-0.21025106,-0.35804176,-0.55912805,-0.00509489,-1.03792763,0,13:47:18.5,0,0
16,-0.62654722,-1.04984593,-1.44064105,-0.50904822,-0.01921122,-0.33263904,-0.41562641,-2.71409488,-0.26722285,0.21532719,0.04611572,-0.12398683,0.06313124,-0.05071454,-0.18345669,-0.19031280,0.16829562,-0.21804577,0.12294773,0.02734222,-0.17592813,-0.15317540,-0.11856420,-0.13812573,-0.06950132,-0.22635336,-0.24463668,-0.39483333,-0.20064785,-0.20348065,-0.35339209,-0.47935414,0.00221406,-0.71383756,0,13:47:18.6,0,0
17,-0.86505610,-1.08175325,-1.65474296,-0.67991424,-0.10546019,-0.31288406,-0.40537059,-2.71405196,-0.26537618,0.21748099,0.04708551,-0.12073267,0.06582774,-0.04958868,-0.18139149,-0.18704274,0.16990086,-0.21585739,0.12476602,0.02966903,-0.17368318,-0.15132201,-0.11697371,-0.13362731,-0.06685820,-0.22633754,-0.23932415,-0.39750454,-0.20106713,-0.19387093,-0.34823889,-0.43818772,0.01227164,-0.40570927,0,13:47:18.7,0,0
18,-1.11035466,-1.07758570,-1.87374508,-0.83207542,-0.16238269,-0.27692303,-0.35901189,-2.69709492,-0.25994441,0.21943475,0.04782410,-0.11743461,0.06848632,-0.04937033,-0.17920329,-0.18437311,0.17099650,-0.21388648,0.12665980,0.03193270,-0.17161253,-0.14929177,-0.11530792,-0.12954704,-0.06455835,-0.22652060,-0.23487623,-0.39964247,-0.20197895,-0.18150906,-0.34260821,-0.43516836,0.02473518,-0.12544854,0,13:47:18.8,0,0
19,-1.35200942,-1.03677070,-2.07978964,-0.95571214,-0.18370757,-0.22535059,-0.28003427,-2.65637708,-0.25176361,0.22108997,0.04829653,-0.11412451,0.07109548,-0.05001610,-0.17691348,-0.18231358,0.17158532,-0.21211337,0.12867817,0.03411264,-0.16967653,-0.14712402,-0.11355926,-0.12604693,-0.06267630,-0.22704124,-0.23160452,-0.40119290,-0.20345457,-0.16664748,-0.33655551,-0.46618941,0.03905162,0.11528324,0,13:47:18.9,0,0
