Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191027094320
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1110,885,747,671,856,735,767,683,971,803,803,704,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,124,124,6,6,24,24,6,6,6,6,49,49,48,48,6,6,31,31,6,6,24,24,7,7,15,15,6,6,7,7,6,6,6,6,6,6,12,12,6,6,7,7,6,6,7,7,6,6,6,6,6,6,31,31,7,7,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,98,98,15,15,6,6,6,6,6,6,24,24,6,6,6,6,6,6,6,6,6,6,6,6,12,12,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,100.00,36.06,43.92,100.00,100.00,100.00,100.00,35.92,58.30,13.01,26.61,42.51,92.73,17.23,40.90,1.34,2.77,1.93,4.94,2.99,4.15,2.73,3.55,2.54,3.89,3.60,4.33,3.26,4.42,2.20,4.10,2.54,3.45,4.67,5.51,1.87,3.30,6.37,6.77,2.12,2.85,2.52,4.81,2.74,4.14,1.54,3.12,29.37,88.64,10.53,17.67,91.61,100.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00,100.00,100.00,91.87,100.00,90.18,100.00,100.00,100.00,11.11,28.15,10.35,29.31,13.97,14.63,2.86,6.36,1.54,2.51,1.56,2.28,1.80,2.71,2.13,3.39,2.07,3.19,1.36,2.04,1.49,2.19,1.63,2.31,2.07,2.55,1.40,1.72,1.82,5.12,100.00,100.00,100.00,100.00,1.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/27 09:43:29
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.37464046,0.60012454,0.04303250,0.70037991,0.96960419,0.11767153,0.11719040,-0.26820475,0.15385938,-0.13370290,0.18875906,0.09832586,0.06432984,-0.05215886,0.16794889,-0.00411941,0.22127400,0.15849710,0.21919996,0.12396149,0.22659571,0.03668227,0.31369045,-0.03038320,0.04958683,-0.22625093,-0.08011694,-0.33483231,1.20936155,-2.27173638,-0.83203471,-0.70275718,-1.07883418,0.80272114,0,09:43:38.1,0,0
2,0.40453103,0.52363229,0.06249696,0.59158057,0.81297642,0.05028671,0.11241150,-0.26601541,0.13923572,-0.13327238,0.19732034,0.10242584,0.06950558,-0.04944420,0.17095032,-0.00235829,0.22435777,0.16033098,0.22512746,0.12740576,0.22843784,0.03920832,0.31668001,-0.02695571,0.05003087,-0.23796853,-0.07871799,-0.35647506,1.23020792,-2.33816147,-0.84841454,-0.94876999,-1.04567122,0.91742927,0,09:43:38.2,0,0
3,0.38013524,0.44752422,0.09687494,0.47670260,0.65351802,-0.01888774,0.10481440,-0.26294219,0.12085786,-0.13269903,0.20604751,0.10694487,0.07519691,-0.04679044,0.17452112,-0.00035129,0.22715952,0.16269971,0.23103131,0.13117814,0.23069210,0.04189011,0.31962037,-0.02378992,0.05007036,-0.25053424,-0.07901283,-0.38107923,1.23215353,-2.38024664,-0.86840874,-1.22983432,-0.98711312,1.02312660,0,09:43:38.3,0,0
4,0.29326078,0.37617886,0.14268802,0.36553448,0.50204349,-0.08796971,0.09447395,-0.25937602,0.09923280,-0.13196905,0.21493612,0.11188131,0.08146226,-0.04418690,0.17869797,0.00194137,0.22957155,0.16560751,0.23691760,0.13516837,0.23341198,0.04463482,0.32225308,-0.02089347,0.04973229,-0.26298708,-0.08068318,-0.40720230,1.22117639,-2.39907646,-0.89099824,-1.53405678,-0.90710235,1.10932148,0,09:43:38.4,0,0
5,0.13926230,0.31289992,0.19467013,0.26586735,0.36645254,-0.15486735,0.08173084,-0.25567713,0.07522593,-0.13108273,0.22396463,0.11720669,0.08832695,-0.04161940,0.18345830,0.00455212,0.23150820,0.16903621,0.24278341,0.13923557,0.23661429,0.04734106,0.32431257,-0.01828953,0.04907053,-0.27421007,-0.08333975,-0.43292850,1.20361805,-2.39538383,-0.91269761,-1.84887052,-0.80987751,1.16245627,0,09:43:38.5,0,0
6,-0.07866997,0.26004091,0.24698173,0.18430138,0.25351390,-0.21723977,0.06685608,-0.25217602,0.04944798,-0.13005042,0.23310106,0.12289397,0.09579990,-0.03907544,0.18876292,0.00750924,0.23291008,0.17293783,0.24864060,0.14321032,0.24030337,0.04988435,0.32552567,-0.01597520,0.04815448,-0.28326192,-0.08654336,-0.45647189,1.18658161,-2.37475920,-0.93309891,-2.16101718,-0.70376760,1.17401278,0,09:43:38.6,0,0
7,-0.35311121,0.21787100,0.29359859,0.12446440,0.16623509,-0.27376747,0.05045504,-0.24922949,0.02289221,-0.12889037,0.24232490,0.12888786,0.10385161,-0.03654509,0.19452043,0.01081709,0.23372898,0.17724314,0.25447837,0.14692813,0.24444528,0.05215396,0.32566214,-0.01394841,0.04705646,-0.28941631,-0.08986490,-0.47627938,1.17449617,-2.34129953,-0.94905895,-2.46179819,-0.59508276,1.13620293,0,09:43:38.7,0,0
8,-0.67145485,0.18580411,0.32866317,0.08821482,0.10586218,-0.32218844,0.03345409,-0.24708991,-0.00325938,-0.12762980,0.25162551,0.13512541,0.11244501,-0.03400592,0.20062281,0.01449481,0.23396313,0.18186432,0.26028901,0.15023188,0.24898255,0.05405304,0.32453659,-0.01219384,0.04585377,-0.29210618,-0.09297688,-0.49076056,1.17011774,-2.30079627,-0.95712239,-2.73964834,-0.49066162,1.04570866,0,09:43:38.8,0,0
9,-1.01668000,0.16188434,0.34755188,0.07416253,0.07043097,-0.35997686,0.01689711,-0.24603254,-0.02762386,-0.12631153,0.26097316,0.14151514,0.12148347,-0.03142799,0.20690788,0.01855430,0.23365945,0.18668848,0.26603994,0.15298408,0.25382856,0.05550678,0.32204080,-0.01067601,0.04463740,-0.29101273,-0.09550353,-0.49870154,1.17301989,-2.25958943,-0.95400786,-2.98672104,-0.39645809,0.90217960,0,09:43:38.9,0,0
10,-1.36852813,0.14359292,0.34675640,0.07877853,0.05615985,-0.38477591,0.00200869,-0.24625799,-0.04896811,-0.12498193,0.27033779,0.14793397,0.13082857,-0.02879804,0.21318245,0.02297200,0.23288204,0.19158602,0.27170676,0.15508571,0.25887910,0.05646810,0.31815630,-0.00937346,0.04347892,-0.28606704,-0.09721813,-0.49941736,1.18268788,-2.22417498,-0.93770337,-3.19652534,-0.31847990,0.70908314,0,09:43:39.0,0,0
11,-1.70499861,0.12757376,0.32455638,0.09629686,0.05741044,-0.39449143,-0.00996327,-0.24781214,-0.06601093,-0.12369465,0.27967972,0.15427145,0.14034356,-0.02609337,0.21927090,0.02772796,0.23174337,0.19641277,0.27724573,0.15646608,0.26400521,0.05691794,0.31294265,-0.00826364,0.04243722,-0.27757111,-0.09803320,-0.49304792,1.19508457,-2.19905376,-0.90837348,-3.36988974,-0.26001909,0.47272643,0,09:43:39.1,0,0
12,-2.00403833,0.11037453,0.28147554,0.11983116,0.06747079,-0.38716796,-0.01777713,-0.25064728,-0.07758799,-0.12250768,0.28895813,0.16038780,0.14985111,-0.02331425,0.22498244,0.03277431,0.23036937,0.20100796,0.28258482,0.15712768,0.26904798,0.05689301,0.30657315,-0.00731347,0.04156494,-0.26593414,-0.09792465,-0.47977084,1.20576727,-2.18840337,-0.86601257,-3.50239396,-0.22462741,0.20337418,0,09:43:39.2,0,0
13,-2.24529219,0.08951921,0.21982744,0.14280190,0.08062351,-0.36063337,-0.02011023,-0.25461715,-0.08241054,-0.12147571,0.29814172,0.16611919,0.15915291,-0.02046400,0.23011376,0.03804005,0.22889414,0.20522723,0.28765902,0.15709600,0.27385032,0.05645068,0.29927531,-0.00650567,0.04088721,-0.25199333,-0.09708507,-0.46091038,1.20818543,-2.19476938,-0.81254405,-3.59464335,-0.21447119,-0.08596648,0,09:43:39.3,0,0
14,-2.41175270,0.06262317,0.14380778,0.15796362,0.08991992,-0.31422427,-0.01602346,-0.25942951,-0.07975694,-0.12064345,0.30719304,0.17131868,0.16807052,-0.01754245,0.23450890,0.04346385,0.22747141,0.20895946,0.29242557,0.15646362,0.27829745,0.05570459,0.29137379,-0.00578455,0.04043646,-0.23651774,-0.09567458,-0.43782327,1.19766366,-2.22073555,-0.75211209,-3.64873409,-0.23085430,-0.38349336,0,09:43:39.4,0,0
15,-2.49118090,0.02805485,0.05883832,0.15856692,0.08967084,-0.24863508,-0.00520293,-0.26485080,-0.06957912,-0.12004799,0.31608835,0.17585346,0.17643173,-0.01458261,0.23805074,0.04894140,0.22622140,0.21210124,0.29682741,0.15535192,0.28226840,0.05477885,0.28321385,-0.00512390,0.04021836,-0.22067128,-0.09398619,-0.41280466,1.16774905,-2.26424742,-0.68847018,-3.66864777,-0.27206418,-0.67552871,0,09:43:39.5,0,0
16,-2.47715497,-0.01452374,-0.02775525,0.14067429,0.07608303,-0.16512765,0.01253196,-0.27054927,-0.05195890,-0.11971299,0.32480201,0.17957643,0.18406433,-0.01160543,0.24063952,0.05437994,0.22526833,0.21458618,0.30082452,0.15390971,0.28566813,0.05381009,0.27517089,-0.00447721,0.04024311,-0.20544694,-0.09229850,-0.38786602,1.11489272,-2.32282639,-0.62568116,-3.65747309,-0.33561471,-0.94765478,0,09:43:39.6,0,0
17,-2.36967254,-0.06427063,-0.10886353,0.10176936,0.04665645,-0.06688862,0.03661893,-0.27622712,-0.02777209,-0.11964988,0.33331212,0.18237297,0.19083136,-0.00867182,0.24224865,0.05964500,0.22468098,0.21638334,0.30438441,0.15230957,0.28844178,0.05294342,0.26762125,-0.00382587,0.04049675,-0.19203471,-0.09092904,-0.36556220,1.03722620,-2.39247036,-0.56854540,-3.61940312,-0.41774341,-1.18706250,0,09:43:39.7,0,0
18,-2.17523217,-0.11884508,-0.17720789,0.04233762,0.00223198,0.04118176,0.06577983,-0.28152263,0.00137225,-0.11985974,0.34163269,0.18416500,0.19664808,-0.00582419,0.24288286,0.06462526,0.22451606,0.21750681,0.30749241,0.15072319,0.29056793,0.05232345,0.26091391,-0.00312300,0.04098266,-0.18149483,-0.09010067,-0.34831172,0.93426323,-2.46733713,-0.52074498,-3.55867839,-0.51333833,-1.38286340,0,09:43:39.8,0,0
19,-1.90640056,-0.17572387,-0.22665553,-0.03576329,-0.05566254,0.15368795,0.09858568,-0.28616655,0.03390971,-0.12032948,0.34978312,0.18489815,0.20145272,-0.00310534,0.24260776,0.06921355,0.22479324,0.21800993,0.31015918,0.14932051,0.29207766,0.05207283,0.25535372,-0.00235287,0.04169034,-0.17472069,-0.09002315,-0.33823499,0.80860102,-2.54054642,-0.48685086,-3.47937489,-0.61675948,-1.52482271,0,09:43:39.9,0,0
20,-1.58088553,-0.23188180,-0.25192782,-0.12900126,-0.12456878,0.26205412,0.13255322,-0.28993055,0.06695791,-0.12103595,0.35777429,0.18455385,0.20522130,-0.00055808,0.24152265,0.07331654,0.22550051,0.21798535,0.31240019,0.14821617,0.29301503,0.05226267,0.25114256,-0.00150115,0.04261288,-0.17237358,-0.09079295,-0.33684504,0.66461712,-2.60601473,-0.47046849,-3.38525867,-0.72189873,-1.60730541,0,09:43:40.0,0,0
