Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191020100324
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1105,882,537,547,586,576,522,538,621,597,533,545,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Under,Under
Analog Gain,124,124,6,6,31,31,6,6,6,6,49,49,44,44,112,112,31,31,6,6,150,150,7,7,62,62,6,6,7,7,6,6,6,6,31,31,31,31,6,6,31,31,6,6,6,6,31,31,49,49,6,6,31,31,120,120,49,49,6,6,6,6,31,31,6,6,31,31,6,6,6,6,72,72,62,62,49,49,12,12,6,6,31,31,6,6,6,6,31,31,49,49,6,6,6,6,56,56,144,144,6,6,120,120,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,100.00,46.99,99.90,100.00,100.00,100.00,100.00,23.61,59.43,6.75,17.09,1.00,100.00,9.00,20.46,1.54,3.20,100.00,100.00,3.17,4.54,1.00,1.00,15.21,22.51,27.87,34.03,12.06,20.39,19.33,12.64,10.33,16.44,76.14,52.15,18.75,12.04,14.92,15.26,7.67,11.76,12.93,8.12,5.02,7.68,7.78,6.20,84.16,87.77,4.84,7.51,75.61,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,17.05,35.15,10.29,28.44,2.55,9.09,2.39,4.83,1.74,2.84,3.67,4.56,25.28,37.73,37.76,64.97,2.53,4.68,6.45,4.59,31.36,20.30,14.55,19.75,3.05,3.20,23.83,24.63,96.00,100.00,100.00,100.00,100.00,100.00,25.19,64.67,15.28,42.37,100.00,100.00

Measurement Information
Date,2019/10/20 10:03:31
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00000003,-0.74053472,-0.71985489,-0.54613858,-0.89322394,-0.41151866,-0.12333926,0.00388942,-0.04047711,-0.12559190,0.00000000,-0.08712623,0.00000000,0.18086839,-0.35523832,-0.26930392,0.14414653,-0.48705605,-0.04563481,0.20808557,-0.32127964,0.08703461,0.29316133,-0.12189116,-0.03813024,0.15898469,-0.01922366,-0.75580829,0.08746502,-0.84428293,0.44292867,-1.42196691,0.08205531,0.60122317,0,10:03:40.1,0,0
2,-0.12765214,-0.70408392,-0.69474053,-0.52361172,-0.86000723,-0.54738683,-0.14727721,0.00576278,-0.07435267,-0.12560029,0.00000000,-0.08752133,0.00000000,0.18042476,-0.34610969,-0.26588288,0.14499715,-0.47483319,0.08161107,0.22546081,-0.29633939,0.09610597,0.30030882,-0.11993477,-0.03475813,0.15708455,-0.01899776,-0.71669620,0.08453955,-0.94920135,0.48703685,-1.62984037,0.17474471,0.88620490,0,10:03:40.2,0,0
3,-0.27748826,-0.65578461,-0.66131121,-0.51044577,-0.82527208,-0.71445584,-0.17239054,0.00741685,-0.11130786,-0.12598711,0.00000000,-0.08828442,0.00000000,0.17910805,-0.33846465,-0.26175538,0.14286676,-0.45912886,0.21536943,0.23576108,-0.26933241,0.10274985,0.30245465,-0.11908519,-0.03182169,0.15464774,-0.01957546,-0.68491888,0.08161847,-1.04629660,0.55130875,-1.84998834,0.26442474,1.17040110,0,10:03:40.3,0,0
4,-0.44256324,-0.59776199,-0.62085080,-0.50629598,-0.79065841,-0.90261108,-0.19760714,0.00865230,-0.14944839,-0.12674890,0.00000000,-0.08939549,0.00000000,0.17740984,-0.33269462,-0.25684157,0.13843597,-0.44054967,0.35242617,0.23843990,-0.24111681,0.10648353,0.29947034,-0.11950612,-0.02942046,0.15158775,-0.02099291,-0.66105163,0.07898712,-1.12694395,0.63294756,-2.06674838,0.34859008,1.44049489,0,10:03:40.4,0,0
5,-0.61426002,-0.53298485,-0.57489568,-0.51030338,-0.75794137,-1.10093510,-0.22199482,0.00921946,-0.18711954,-0.12785397,0.00000000,-0.09081604,0.00000000,0.17569853,-0.32903302,-0.25125664,0.13228139,-0.41998723,0.48893332,0.23332541,-0.21279310,0.10690134,0.29143131,-0.12126985,-0.02754016,0.14786951,-0.02323123,-0.64508331,0.07672276,-1.18358624,0.72651172,-2.26508355,0.42426991,1.68589616,0,10:03:40.5,0,0
6,-0.78288549,-0.46514493,-0.52501309,-0.52139217,-0.72880286,-1.29944599,-0.24462618,0.00884503,-0.22244778,-0.12925044,0.00000000,-0.09249638,0.00000000,0.17447722,-0.32757306,-0.24505976,0.12524879,-0.39838102,0.62136191,0.22089092,-0.18542735,0.10386366,0.27879712,-0.12434015,-0.02610252,0.14364339,-0.02620475,-0.63665807,0.07510623,-1.20973575,0.82626170,-2.43066597,0.49014273,1.89690077,0,10:03:40.6,0,0
7,-0.93838686,-0.39747393,-0.47287160,-0.53796190,-0.70397556,-1.48447943,-0.26426515,0.00727665,-0.25345391,-0.13086709,0.00000000,-0.09438079,0.00000000,0.17428952,-0.32825232,-0.23835260,0.11824839,-0.37682876,0.74551630,0.20222194,-0.16021237,0.09752321,0.26239187,-0.12862433,-0.02503678,0.13898553,-0.02981376,-0.63487858,0.07458946,-1.19996214,0.92639351,-2.55195117,0.54480195,2.06724381,0,10:03:40.7,0,0
8,-1.07112718,-0.33294818,-0.42051569,-0.55673784,-0.68321621,-1.64544630,-0.28019959,0.00433996,-0.27873930,-0.13261649,0.00000000,-0.09640487,0.00000000,0.17560822,-0.33085150,-0.23122954,0.11214036,-0.35641634,0.85836160,0.17883731,-0.13816912,0.08827195,0.24329959,-0.13397637,-0.02420865,0.13421579,-0.03396178,-0.63794941,0.07533778,-1.15289629,1.02054024,-2.61827159,0.58766502,2.19218993,0,10:03:40.8,0,0
9,-1.17264962,-0.27451140,-0.37026522,-0.57575035,-0.66677296,-1.77365828,-0.29211935,0.00000001,-0.29752487,-0.13440694,0.00000000,-0.09850266,0.00000000,0.17887455,-0.33510828,-0.22372618,0.10774238,-0.33819118,0.95655364,0.15283018,-0.12020297,0.07681095,0.22292483,-0.14016661,-0.02349063,0.12949060,-0.03850339,-0.64475924,0.07742574,-1.06784701,1.10340035,-2.62234306,0.61938632,2.27083254,0,10:03:40.9,0,0
10,-1.23636222,-0.22446352,-0.32388878,-0.59269726,-0.65392333,-1.86253726,-0.29960954,-0.00558434,-0.30902711,-0.13614365,0.00000000,-0.10059980,0.00000000,0.18428062,-0.34059766,-0.21601769,0.10559107,-0.32297295,1.03774488,0.12610860,-0.10688675,0.06388383,0.20249441,-0.14688581,-0.02271912,0.12504248,-0.04327974,-0.65327018,0.08081641,-0.94748276,1.17077065,-2.56318736,0.63988352,2.30351353,0,10:03:41.0,0,0
11,-1.25807810,-0.18515632,-0.28348988,-0.60621351,-0.64443332,-1.90737855,-0.30256504,-0.01202429,-0.31309184,-0.13773185,0.00000000,-0.10263070,0.00000000,0.19171049,-0.34684512,-0.20834942,0.10593276,-0.31139904,1.10025883,0.10092220,-0.09857002,0.05045582,0.18346238,-0.15373451,-0.02164273,0.12103086,-0.04808416,-0.66172224,0.08534575,-0.79649061,1.21930134,-2.44172049,0.64892596,2.29379535,0,10:03:41.1,0,0
12,-1.23636222,-0.15798235,-0.25006968,-0.61542457,-0.63761091,-1.90770662,-0.30100304,-0.01869424,-0.30975252,-0.13910526,0.00000000,-0.10455517,0.00000000,0.20107968,-0.35334215,-0.20084184,0.10884777,-0.30378056,1.14311934,0.07928541,-0.09524176,0.03750137,0.16712566,-0.16039497,-0.02009371,0.11772139,-0.05276359,-0.66843170,0.09071483,-0.62214208,1.24795675,-2.26317763,0.64818555,2.24519777,0,10:03:41.2,0,0
13,-1.17264962,-0.14339852,-0.22442922,-0.62013191,-0.63266504,-1.86445832,-0.29507169,-0.02476184,-0.29951420,-0.14021331,0.00000000,-0.10633858,0.00000000,0.21202564,-0.35966644,-0.19371431,0.11416317,-0.30020598,1.16577339,0.06309347,-0.09669428,0.02605730,0.15467839,-0.16656381,-0.01797701,0.11527865,-0.05718433,-0.67233407,0.09628350,-0.43273684,1.25702143,-2.03953242,0.63898748,2.16229773,0,10:03:41.3,0,0
14,-1.07112718,-0.14047971,-0.20685484,-0.61911654,-0.62786365,-1.78235257,-0.28538963,-0.02925788,-0.28346866,-0.14102650,0.00000000,-0.10796509,0.00000000,0.22412562,-0.36537600,-0.18708669,0.12154581,-0.30053422,1.16867566,0.05374794,-0.10244491,0.01695718,0.14698130,-0.17195021,-0.01514380,0.11388834,-0.06122730,-0.67287755,0.10173183,-0.23791079,1.24824667,-1.78226626,0.62128472,2.05120039,0,10:03:41.4,0,0
15,-0.93838686,-0.14828143,-0.19770186,-0.61274660,-0.62279248,-1.66862845,-0.27264491,-0.03118354,-0.26293945,-0.14154156,0.00000000,-0.10943073,0.00000000,0.23662260,-0.37010670,-0.18125881,0.13029173,-0.30441484,1.15235651,0.05211964,-0.11183836,0.01087406,0.14460157,-0.17632398,-0.01155339,0.11355871,-0.06478986,-0.67019093,0.10622950,-0.04776692,1.22466421,-1.50755918,0.59815252,1.91791666,0,10:03:41.5,0,0
16,-0.78288555,-0.16452301,-0.19648981,-0.60018498,-0.61531085,-1.53210902,-0.25776991,-0.02964617,-0.23947735,-0.14178535,0.00000000,-0.11074697,0.00000000,0.24863595,-0.37360305,-0.17655082,0.13949096,-0.31127334,1.11859894,0.05867736,-0.12403329,0.00831829,0.14786214,-0.17950015,-0.00713747,0.11425535,-0.06779574,-0.66475344,0.10934481,0.12810412,1.18994331,-1.23284507,0.57039505,1.76988864,0,10:03:41.6,0,0
17,-0.61426008,-0.18704776,-0.20192003,-0.58234447,-0.60493487,-1.38229954,-0.24155520,-0.02400859,-0.21464825,-0.14180003,0.00000000,-0.11193199,0.00000000,0.25932661,-0.37573707,-0.17324756,0.14832407,-0.32046357,1.06846511,0.07313378,-0.13817690,0.00945961,0.15653323,-0.18137617,-0.00193826,0.11603674,-0.07021799,-0.65788561,0.11044818,0.28051251,1.14877105,-0.97564083,0.53997177,1.61064065,0,10:03:41.7,0,0
18,-0.44256330,-0.21310855,-0.21294144,-0.55938697,-0.59064245,-1.22800982,-0.22474171,-0.01403337,-0.18978028,-0.14164750,0.00000000,-0.11301130,0.00000000,0.26777932,-0.37647998,-0.17164212,0.15585203,-0.33119377,1.00404358,0.09482595,-0.15333046,0.01425222,0.17021245,-0.18200737,0.00389407,0.11893544,-0.07208373,-0.65142614,0.10899214,0.40296054,1.10563719,-0.75225979,0.50854659,1.44853449,0,10:03:41.8,0,0
19,-0.27748826,-0.23923056,-0.22747539,-0.53095806,-0.57110274,-1.07874393,-0.20833275,-0.00000000,-0.16654928,-0.14140719,0.00000000,-0.11401393,0.00000000,0.27319652,-0.37586534,-0.17205957,0.16124678,-0.34271744,0.92777932,0.12250439,-0.16856140,0.02234670,0.18809251,-0.18146259,0.01019274,0.12283565,-0.07344615,-0.64721817,0.10457090,0.49097443,1.06553173,-0.57707268,0.47799894,1.28909957,0,10:03:41.9,0,0
