Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191027091230
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1125,894,782,691,896,759,817,712,1021,832,753,674,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Over,Over,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,72,72,6,6,124,124,6,6,6,6,44,44,31,31,6,6,31,31,6,6,15,15,7,7,12,12,6,6,7,7,6,6,6,6,6,6,12,12,7,7,7,7,6,6,12,12,6,6,6,6,98,98,24,24,124,124,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,44,44,47,47,12,12,6,6,6,6,6,6,22,22,6,6,6,6,6,6,12,12,6,6,6,6,12,12,124,124,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,50.30,98.50,100.00,100.00,100.00,100.00,33.89,90.18,25.36,65.40,17.97,100.00,21.32,45.82,8.74,22.43,1.50,2.87,2.65,5.94,3.26,4.14,2.27,3.05,2.29,3.29,3.90,4.21,2.40,2.95,2.18,3.51,2.32,2.84,4.35,4.89,3.05,4.29,3.78,3.79,2.42,2.65,2.60,4.16,2.21,2.96,1.90,3.58,1.00,1.00,5.55,8.08,1.00,1.00,96.75,100.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,78.32,100.00,100.00,100.00,10.42,23.48,3.21,8.31,2.64,7.52,2.46,4.82,1.93,2.90,1.27,3.04,1.15,2.26,2.87,5.62,1.39,1.93,1.28,3.01,1.26,1.68,6.00,10.93,2.36,2.77,1.19,2.13,1.59,3.84,1.00,1.00,100.00,100.00,65.66,90.93,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/27 09:12:39
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.46244052,-0.27622306,0.07388226,-0.39791870,-0.03778002,0.88321185,0.06105835,0.11850289,0.48571408,-0.09556481,-0.32070959,0.02529767,-0.11527488,-0.42684662,0.16350716,-0.33294871,-0.34722343,0.20137908,-0.00786073,-0.21343689,0.02937587,0.06956346,-0.01998996,0.13244502,0.10698102,0.00000000,0.28612909,0.21483368,0.26679251,-1.14738262,0.95762438,-0.46343657,1.83058298,2.05373383,0,09:12:49.1,0,0
2,0.47934568,-0.26901683,0.07565843,-0.41308662,-0.03251986,0.81497860,0.01137462,0.11935066,0.47178185,-0.09450898,-0.32251918,0.02710778,-0.11660138,-0.42971393,0.16062029,-0.33472165,-0.34850523,0.19792373,-0.00878198,-0.21486196,0.02974687,0.07029866,-0.01798170,0.13758561,0.10568124,0.00000000,0.28590909,0.24295864,0.29088831,-1.26619172,1.04021633,-0.40916899,1.73102689,2.07465911,0,09:12:49.2,0,0
3,0.49553615,-0.25329447,0.07985973,-0.40371355,-0.02153444,0.74416661,0.00441251,0.12168829,0.45937723,-0.09352116,-0.32404420,0.03017286,-0.11711051,-0.43247822,0.15886368,-0.33625340,-0.34973824,0.19425659,-0.01029441,-0.21652275,0.02996452,0.07087700,-0.01638172,0.14257617,0.10420135,0.00000000,0.28477141,0.26032716,0.32411796,-1.37582576,1.12219012,-0.37486544,1.62349701,2.06198668,0,09:12:49.3,0,0
4,0.51130432,-0.23041950,0.08836097,-0.37251511,-0.00600051,0.67357504,0.04063192,0.12530422,0.44885141,-0.09265719,-0.32528251,0.03423189,-0.11698427,-0.43519169,0.15807034,-0.33761257,-0.35098574,0.19031417,-0.01252833,-0.21847345,0.02991452,0.07124060,-0.01526479,0.14715891,0.10253502,0.00000000,0.28266355,0.26687124,0.36618826,-1.46645510,1.19954538,-0.36103696,1.51606894,2.00941825,0,09:12:49.4,0,0
5,0.52726007,-0.20211743,0.10282954,-0.32324234,0.01258190,0.60641116,0.11857340,0.12988974,0.44047290,-0.09196295,-0.32623237,0.03901076,-0.11642045,-0.43788427,0.15804544,-0.33883992,-0.35226923,0.18607040,-0.01555218,-0.22074971,0.02950231,0.07136178,-0.01468661,0.15111493,0.10068391,0.00000000,0.27959317,0.26344961,0.41565910,-1.52990520,1.26649487,-0.36518064,1.41731668,1.91567743,0,09:12:49.5,0,0
6,0.54362261,-0.17021655,0.12420200,-0.26011881,0.03263250,0.54488206,0.23284209,0.13507776,0.43388972,-0.09148855,-0.32692486,0.04421760,-0.11562774,-0.44059375,0.15856276,-0.33998242,-0.35363087,0.18151790,-0.01935453,-0.22335681,0.02866225,0.07123136,-0.01466856,0.15423679,0.09862478,0.00000000,0.27556795,0.25208154,0.47047204,-1.56015635,1.31941283,-0.38428909,1.33508706,1.78010893,0,09:12:49.6,0,0
7,0.56053799,-0.13668972,0.15239736,-0.18801610,0.05255641,0.49203929,0.37828445,0.14042570,0.42896253,-0.09127686,-0.32741886,0.04951150,-0.11485150,-0.44336852,0.15932719,-0.34109321,-0.35510677,0.17665131,-0.02388669,-0.22630957,0.02732638,0.07083097,-0.01521685,0.15633248,0.09631428,0.00000000,0.27059415,0.23284669,0.52832919,-1.55463052,1.35429001,-0.41551650,1.27488387,1.60521650,0,09:12:49.7,0,0
8,0.57754892,-0.10325597,0.18578184,-0.11164476,0.07110779,0.44907200,0.54630631,0.14549279,0.42499530,-0.09135915,-0.32778996,0.05458242,-0.11430939,-0.44623548,0.16004798,-0.34220022,-0.35671034,0.17150220,-0.02904827,-0.22962433,0.02546233,0.07014304,-0.01633638,0.15727812,0.09372768,0.00000000,0.26479325,0.20801070,0.58681160,-1.51286042,1.36718130,-0.45389900,1.24105096,1.39606571,0,09:12:49.8,0,0
9,0.59394294,-0.07128857,0.22281729,-0.03458583,0.08732492,0.41901940,0.72758549,0.14985757,0.42170113,-0.09175418,-0.32812107,0.05914387,-0.11420571,-0.44921365,0.16043589,-0.34333670,-0.35845608,0.16611275,-0.03469430,-0.23328392,0.02307853,0.06916606,-0.01800287,0.15700132,0.09082891,0.00000000,0.25827011,0.17948560,0.64312172,-1.43746960,1.35521054,-0.49563935,1.23579991,1.15997934,0,09:12:49.9,0,0
10,0.60901225,-0.04205244,0.26122263,0.03966054,0.10043248,0.40388581,0.91369569,0.15314847,0.41874504,-0.09247209,-0.32851529,0.06293616,-0.11472546,-0.45234820,0.16022690,-0.34456858,-0.36037466,0.16052026,-0.04067122,-0.23729628,0.02018841,0.06787943,-0.02019624,0.15546054,0.08757044,0.00000000,0.25112686,0.14866684,0.69554448,-1.33322549,1.31731689,-0.53755510,1.25784314,0.90378100,0,09:12:50.0,0,0
11,0.62160498,-0.01647291,0.29840615,0.10823579,0.10995990,0.40436774,1.09580171,0.15505581,0.41560280,-0.09351564,-0.32909831,0.06572013,-0.11603423,-0.45568761,0.15917061,-0.34596691,-0.36249602,0.15476179,-0.04682380,-0.24166059,0.01682999,0.06625963,-0.02289919,0.15267174,0.08392007,0.00000000,0.24352232,0.11731301,0.74274325,-1.20589602,1.25611377,-0.57678527,1.30608201,0.63722843,0,09:12:50.1,0,0
12,0.63087869,0.00515276,0.33123845,0.16981368,0.11607711,0.42031506,1.26412666,0.15539758,0.41177809,-0.09487855,-0.32998508,0.06730615,-0.11827001,-0.45928043,0.15705916,-0.34760714,-0.36484867,0.14888108,-0.05299502,-0.24639836,0.01306924,0.06426091,-0.02610449,0.14871116,0.07986432,0.00000000,0.23563395,0.08618109,0.78369379,-1.06212878,1.17300880,-0.61270535,1.37594998,0.37092295,0,09:12:50.2,0,0
13,0.63583350,0.02215569,0.35668057,0.22210489,0.11878440,0.45210606,1.41207647,0.15408763,0.40729827,-0.09653834,-0.33128440,0.06758080,-0.12151491,-0.46316981,0.15376639,-0.34956950,-0.36745897,0.14290392,-0.05907226,-0.25152528,0.00896564,0.06183929,-0.02979077,0.14368418,0.07539050,0.00000000,0.22764380,0.05672972,0.81770551,-0.90958107,1.07426739,-0.64474159,1.46128654,0.11423787,0,09:12:50.3,0,0
14,0.63561660,0.03448369,0.37283996,0.26434663,0.11849859,0.49808851,1.53215635,0.15115340,0.40187618,-0.09846202,-0.33308586,0.06643589,-0.12582590,-0.46738988,0.14919400,-0.35193977,-0.37035504,0.13686471,-0.06497897,-0.25704664,0.00460286,0.05895384,-0.03392608,0.13775964,0.07052030,0.00000000,0.21973553,0.03000911,0.84496236,-0.75626415,0.96561813,-0.67358828,1.55548203,-0.12066926,0,09:12:50.4,0,0
15,0.62957197,0.04201936,0.37799403,0.29559883,0.11559339,0.55562121,1.62054205,0.14673026,0.39535898,-0.10061849,-0.33546442,0.06380193,-0.13124564,-0.47198054,0.14329027,-0.35481218,-0.37356463,0.13079597,-0.07069892,-0.26297635,0.00005486,0.05556548,-0.03849263,0.13111542,0.06528739,0.00000000,0.21206607,0.00663094,0.86533982,-0.60805941,0.85551387,-0.70027816,1.65077138,-0.32488486,0,09:12:50.5,0,0
16,0.61753219,0.04497633,0.37107688,0.31592903,0.11061469,0.62108922,1.67410755,0.14105859,0.38758919,-0.10296343,-0.33846867,0.05968750,-0.13774653,-0.47695842,0.13607989,-0.35825002,-0.37710756,0.12470305,-0.07624689,-0.26932806,-0.00461668,0.05164019,-0.04346809,0.12396246,0.05975073,0.00000000,0.20480055,-0.01236292,0.88061488,-0.47168809,0.75283146,-0.72677833,1.74044323,-0.48818552,0,09:12:50.6,0,0
17,0.59970289,0.04343834,0.35231757,0.32521299,0.10396054,0.69102877,1.69246793,0.13442512,0.37877765,-0.10546977,-0.34212592,0.05411937,-0.14527923,-0.48234719,0.12763047,-0.36231619,-0.38099769,0.11855315,-0.08171403,-0.27609208,-0.00938038,0.04716768,-0.04881325,0.11648828,0.05397325,0.00000000,0.19801767,-0.02661435,0.89158994,-0.35154909,0.66678894,-0.75376272,1.81798017,-0.60212111,0,09:12:50.7,0,0
18,0.57689470,0.03729432,0.32338083,0.32233837,0.09583906,0.76121670,1.67610526,0.12719694,0.36904663,-0.10811170,-0.34645280,0.04715065,-0.15378180,-0.48817414,0.11804690,-0.36705786,-0.38525203,0.11232150,-0.08721811,-0.28327426,-0.01420571,0.04213960,-0.05449599,0.10885867,0.04803351,0.00000000,0.19180603,-0.03603234,0.89891779,-0.25087205,0.60600972,-0.78102076,1.87898839,-0.65970773,0,09:12:50.8,0,0
19,0.55020422,0.02656429,0.28620264,0.30677676,0.08631635,0.82795978,1.62839866,0.11973710,0.35883394,-0.11087019,-0.35143578,0.03890438,-0.16313864,-0.49444076,0.10750650,-0.37249327,-0.38986564,0.10597075,-0.09292123,-0.29086980,-0.01909853,0.03656978,-0.06047925,0.10120752,0.04200214,0.00000000,0.18615036,-0.04047379,0.90399933,-0.17410864,0.57570112,-0.80794156,1.91987765,-0.65577739,0,09:12:50.9,0,0
20,0.52126324,0.01162220,0.24381605,0.27940771,0.07569486,0.88705051,1.55296528,0.11239608,0.34828356,-0.11373490,-0.35705480,0.02952091,-0.17322206,-0.50114030,0.09621848,-0.37862173,-0.39483449,0.09947013,-0.09900041,-0.29885763,-0.02408029,0.03048722,-0.06670591,0.09363277,0.03595191,0.00000000,0.18101431,-0.04020442,0.90666884,-0.12189995,0.58249921,-0.83302450,1.94130802,-0.58933485,0,09:12:51.0,0,0
