Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191020093055
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,1698,1231,920,773,547,553,626,599,537,547,636,605,548,553,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Under,Under
Analog Gain,112,112,6,6,15,15,6,6,49,49,49,49,31,31,15,15,31,31,6,6,44,44,7,7,124,124,6,6,120,120,6,6,6,6,31,31,31,31,6,6,30,30,6,6,6,6,31,31,49,49,6,6,62,62,6,6,6,6,6,6,6,6,31,31,6,6,44,44,6,6,6,6,56,56,7,7,15,15,28,28,6,6,28,28,6,6,6,6,15,15,31,31,88,88,6,6,124,124,62,62,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,41.83,91.53,37.75,68.03,36.87,100.00,3.42,5.58,34.66,97.04,6.46,22.03,2.11,4.73,16.02,37.54,1.49,2.92,1.94,3.82,3.30,4.40,1.00,1.00,12.94,20.21,29.24,29.69,5.85,11.21,10.66,8.53,7.72,15.04,28.23,20.29,12.23,10.42,7.11,8.93,10.89,17.52,8.42,6.82,4.89,8.17,6.88,6.89,100.00,100.00,13.54,24.48,100.00,100.00,72.22,100.00,100.00,100.00,100.00,100.00,1.00,1.00,23.02,59.86,18.18,23.61,37.53,77.16,85.48,100.00,6.45,17.85,2.82,6.48,2.79,6.28,2.28,5.19,1.93,2.93,2.75,3.62,15.98,23.33,17.62,41.04,2.63,5.21,5.66,4.42,20.03,19.89,15.85,22.71,70.36,71.91,3.80,3.80,56.14,75.15,100.00,100.00,100.00,100.00,29.98,63.70,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/20 09:31:03
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.25506845,-0.38053420,-0.42872113,-0.53433406,-1.83672798,-0.35999128,-0.68069017,-0.01086402,-0.75879151,-0.11679157,-0.39157209,-0.28971365,0.06075719,-0.47813129,-3.33945394,-1.15166616,-0.92550099,-1.00521553,-0.30517128,-1.65306616,-0.66496015,-1.32577193,-1.25947869,-0.56074238,-0.11060318,-0.10607513,0.10550837,-0.15734166,-1.20867574,-2.58991599,-0.09787234,-0.77151388,-0.44908780,-0.25668138,0,09:31:12.1,0,0
2,-0.21527068,-0.37448332,-0.37172279,-0.53290534,-1.83965552,-0.44889590,-0.64692050,-0.01942743,-0.71116638,-0.12281948,-0.39437938,-0.28876778,0.05426194,-0.44832340,-3.34118557,-1.14006984,-0.90859151,-1.01747525,-0.34206668,-1.65537608,-0.67581260,-1.33166194,-1.26062298,-0.56275064,-0.11167198,-0.15375277,0.11121219,-0.13147904,-1.20806623,-2.62392569,-0.09331392,-0.96841413,-0.45134360,-0.27040800,0,09:31:12.2,0,0
3,-0.17834559,-0.37178835,-0.30997300,-0.53473258,-1.84245539,-0.55628282,-0.61871541,-0.02579891,-0.67576772,-0.12745550,-0.39550075,-0.28799155,0.05278176,-0.42083630,-3.34274244,-1.13031769,-0.89398444,-1.02777135,-0.36831525,-1.65401530,-0.68461668,-1.33494616,-1.25929582,-0.56362772,-0.11164276,-0.20241408,0.11699157,-0.10385288,-1.20095122,-2.63830590,-0.10485134,-1.14669073,-0.45538235,-0.27972820,0,09:31:12.3,0,0
4,-0.14431126,-0.37346438,-0.24610969,-0.54124188,-1.84494209,-0.66933525,-0.59798372,-0.02964999,-0.65572089,-0.13042670,-0.39479929,-0.28736907,0.05641996,-0.39761272,-3.34402466,-1.12322593,-0.88279593,-1.03477776,-0.38087890,-1.64907384,-0.69050080,-1.33536363,-1.25552440,-0.56326181,-0.11036412,-0.24830335,0.12261335,-0.07077719,-1.18742168,-2.63455248,-0.13441694,-1.29327357,-0.46123600,-0.28364080,0,09:31:12.4,0,0
5,-0.11467321,-0.37964904,-0.18307106,-0.55230230,-1.84692693,-0.77476531,-0.58632934,-0.03080496,-0.65363961,-0.13155831,-0.39224392,-0.28688851,0.06489167,-0.38022029,-3.34498525,-1.11942017,-0.87590593,-1.03745556,-0.37757680,-1.64116848,-0.69282949,-1.33307552,-1.24967170,-0.56159639,-0.10776695,-0.28805453,0.12800932,-0.02904754,-1.16753042,-2.61314774,-0.18257904,-1.39652944,-0.46868551,-0.28153738,0,09:31:12.5,0,0
6,-0.09034749,-0.39045975,-0.12393826,-0.56784850,-1.84824359,-0.86009014,-0.58456171,-0.02942820,-0.67072338,-0.13089575,-0.38801801,-0.28652716,0.07750615,-0.36986768,-3.34557915,-1.11930382,-0.87386084,-1.03493321,-0.35764226,-1.63105571,-0.69114923,-1.32828045,-1.24220920,-0.55864680,-0.10387881,-0.31818482,0.13317157,0.02476661,-1.14146209,-2.57494760,-0.24919748,-1.44722736,-0.47747034,-0.27308604,0,09:31:12.6,0,0
7,-0.07162087,-0.40558332,-0.07153092,-0.58742523,-1.84874272,-0.91571218,-0.59313232,-0.02565179,-0.70723629,-0.12847579,-0.38231015,-0.28626320,0.09324867,-0.36724481,-3.34579825,-1.12302554,-0.87684053,-1.02673244,-0.32059646,-1.61959219,-0.68520850,-1.32137346,-1.23368132,-0.55437285,-0.09863616,-0.33666760,0.13855493,0.09327465,-1.11086309,-2.51854920,-0.33090240,-1.43935895,-0.48707885,-0.25834388,0,09:31:12.7,0,0
8,-0.05820403,-0.42428312,-0.02824620,-0.61016351,-1.84831071,-0.93366015,-0.61167341,-0.01985633,-0.76210636,-0.12450984,-0.37544999,-0.28606778,0.11101470,-0.37226209,-3.34570217,-1.13031423,-0.88456947,-1.01271379,-0.26738292,-1.60779846,-0.67501843,-1.31284773,-1.22472107,-0.54892230,-0.09216775,-0.34279159,0.14419703,0.17591150,-1.07670414,-2.44535375,-0.42399478,-1.37075210,-0.49680629,-0.23784406,0,09:31:12.8,0,0
9,-0.04917547,-0.44580704,0.00379740,-0.63500953,-1.84689224,-0.90962332,-0.63916099,-0.01256945,-0.83285224,-0.11932313,-0.36786324,-0.28591609,0.12952153,-0.38456964,-3.34536505,-1.14080215,-0.89654118,-0.99289095,-0.19950378,-1.59668267,-0.66071784,-1.30333030,-1.21600378,-0.54240489,-0.08465928,-0.33753809,0.15052679,0.27136990,-1.04043448,-2.35509515,-0.52293181,-1.24546492,-0.50588512,-0.21230960,0,09:31:12.9,0,0
10,-0.04380966,-0.46869156,0.02330459,-0.66044098,-1.84444320,-0.84244740,-0.67385936,-0.00435810,-0.91571605,-0.11329388,-0.35999078,-0.28578615,0.14752907,-0.40304536,-3.34487033,-1.15373278,-0.91178274,-0.96795607,-0.11942514,-1.58704007,-0.64282662,-1.29341078,-1.20804667,-0.53498006,-0.07627530,-0.32204410,0.15804262,0.37679693,-1.00386298,-2.24733925,-0.62145412,-1.06758118,-0.51358515,-0.18296172,0,09:31:13.0,0,0
11,-0.04118091,-0.49122345,0.02991310,-0.68451774,-1.84096968,-0.73465836,-0.71327662,0.00423431,-1.00541413,-0.10681120,-0.35227707,-0.28566548,0.16378658,-0.42597789,-3.34429431,-1.16809487,-0.92897952,-0.93893057,-0.03061229,-1.57964742,-0.62208825,-1.28379619,-1.20138228,-0.52681315,-0.06722851,-0.29908848,0.16727804,0.48917413,-0.96891731,-2.12178874,-0.71217352,-0.84729469,-0.51910073,-0.15112568,0,09:31:13.1,0,0
12,-0.04063107,-0.51194018,0.02389142,-0.70566869,-1.83653080,-0.59221864,-0.75476801,0.01249363,-1.09664869,-0.10039046,-0.34521598,-0.28553134,0.17718972,-0.45168838,-3.34373665,-1.18291497,-0.94688517,-0.90702331,0.06309731,-1.57492018,-0.59936708,-1.27493727,-1.19634640,-0.51809168,-0.05780431,-0.27271560,0.17857440,0.60155737,-0.93799102,-1.97987568,-0.78843290,-0.59822649,-0.52168614,-0.11857168,0,09:31:13.2,0,0
13,-0.04197527,-0.52929974,0.00603481,-0.72210205,-1.83118188,-0.42506281,-0.79541016,0.01991659,-1.18332815,-0.09444004,-0.33918744,-0.28536463,0.18674175,-0.47830901,-3.34324265,-1.19718444,-0.96417701,-0.87374002,0.15721929,-1.57329690,-0.57574058,-1.26749814,-1.19325173,-0.50899655,-0.04833267,-0.24762660,0.19218677,0.70693207,-0.91261762,-1.82552588,-0.84403259,-0.33661303,-0.52071726,-0.08686364,0,09:31:13.3,0,0
14,-0.04562893,-0.54207319,-0.02182693,-0.73262656,-1.82510173,-0.24307540,-0.83190072,0.02612561,-1.25883591,-0.08930177,-0.33446974,-0.28518003,0.19161980,-0.50377780,-3.34284186,-1.20986640,-0.97952390,-0.84075528,0.24711284,-1.57478273,-0.55239481,-1.26189756,-1.19214082,-0.49974632,-0.03908832,-0.22873989,0.20819323,0.79717875,-0.89488387,-1.66180730,-0.87374848,-0.08028848,-0.51584077,-0.05779776,0,09:31:13.4,0,0
15,-0.05432605,-0.54890674,-0.05747282,-0.73557287,-1.81853414,-0.05816459,-0.86118400,0.03072196,-1.31719375,-0.08535276,-0.33133805,-0.28500527,0.19118901,-0.52632380,-3.34262085,-1.22009242,-0.99181920,-0.80973196,0.32807100,-1.57921803,-0.53056490,-1.25843525,-1.19298720,-0.49059922,-0.03049031,-0.22121762,0.22632904,0.86405092,-0.88612020,-1.49410653,-0.87464970,0.15118089,-0.50689042,-0.03295876,0,09:31:13.5,0,0
16,-0.06785170,-0.54901713,-0.09830359,-0.73020399,-1.81173420,0.11863653,-0.88059056,0.03348011,-1.35326922,-0.08284853,-0.32994670,-0.28487557,0.18486649,-0.54441202,-3.34256244,-1.22719169,-1.00024426,-0.78224963,0.39628413,-1.58620656,-0.51137441,-1.25728643,-1.19558942,-0.48176602,-0.02275146,-0.22848955,0.24626651,0.90069741,-0.88751823,-1.32963812,-0.84644228,0.34166661,-0.49406165,-0.01351327,0,09:31:13.6,0,0
17,-0.08799863,-0.54216307,-0.14148191,-0.71610582,-1.80504799,0.27608091,-0.88811433,0.03437138,-1.36340594,-0.08191570,-0.33031949,-0.28483638,0.17245667,-0.55712932,-3.34268856,-1.23085546,-1.00443161,-0.75965106,0.44798529,-1.59518218,-0.49583784,-1.25847578,-1.19964671,-0.47352743,-0.01626038,-0.25361142,0.26716527,0.89877379,-0.89909387,-1.17543149,-0.79058146,0.47568151,-0.47780663,-0.00065308,0,09:31:13.7,0,0
18,-0.11705924,-0.52858174,-0.18444480,-0.69366759,-1.79877305,0.40425208,-0.88255912,0.03352707,-1.34570849,-0.08256915,-0.33235851,-0.28493935,0.15398230,-0.56389290,-3.34296775,-1.23094988,-1.00428152,-0.74283683,0.48066315,-1.60557711,-0.48474962,-1.26191068,-1.20483446,-0.46612275,-0.01128938,-0.29877996,0.28809324,0.85201931,-0.92036802,-1.03984392,-0.71088344,0.53878605,-0.45873708,0.00500734,0,09:31:13.8,0,0
