Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191020105008
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,1068,860,610,590,592,579,661,620,617,594,671,626,578,571,1045,1124,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,24,24,6,6,44,44,6,6,6,6,15,15,15,15,12,12,31,31,6,6,6,6,7,7,7,7,7,7,6,6,6,6,7,7,6,6,7,7,6,6,7,7,6,6,7,7,6,6,6,6,120,120,7,7,7,7,112,112,6,6,6,6,31,31,6,6,44,44,6,6,6,6,24,24,22,22,15,15,31,31,7,7,6,6,7,7,22,22,6,6,7,7,6,6,12,12,6,6,7,7,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,36.30,38.35,100.00,100.00,100.00,100.00,100.00,100.00,1.00,1.00,4.96,11.90,3.22,9.50,3.31,8.72,12.85,16.96,2.38,2.84,2.16,3.92,4.31,4.26,2.64,4.22,5.24,8.39,2.43,4.28,2.76,4.75,5.51,7.79,2.48,3.94,11.83,13.27,2.70,3.65,4.83,7.35,2.85,4.28,4.62,5.20,2.09,3.66,2.50,3.51,44.96,45.21,3.91,3.60,3.57,3.96,51.41,52.28,46.76,50.33,23.06,68.64,55.79,76.68,1.00,1.00,100.00,46.81,100.00,100.00,100.00,100.00,3.10,7.48,2.39,7.76,1.72,4.54,3.69,4.58,3.38,3.57,1.52,2.43,2.67,4.28,2.04,4.01,2.01,3.45,3.49,4.14,1.77,2.29,2.05,3.57,1.72,2.50,2.44,2.81,2.21,3.36,3.82,3.87,72.17,76.26,32.93,86.38,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/20 10:50:16
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.25270310,-0.82456750,-0.32428402,-0.01661480,-0.32334074,-0.07909220,-0.04748340,-0.17163213,-0.22447962,-0.30184034,-0.18292978,-0.15921952,0.01606864,-0.21455055,-0.02583994,-0.22769293,-0.30663133,-0.05395955,-0.10537402,-0.18393113,0.04983922,-0.12017761,-0.07999172,-0.18332823,0.00122147,-0.74462271,-0.13439894,-0.16904847,-0.76856732,-0.38044804,-0.21957400,-0.22186746,0.00000000,-0.42763460,0,10:50:25.1,0,0
2,-0.26560426,-0.77982897,-0.29561108,0.00805404,-0.41705686,-0.07393134,-0.04512769,-0.16809146,-0.21718453,-0.30087548,-0.18070817,-0.15676518,0.01828003,-0.21776927,-0.02250965,-0.22638626,-0.30725515,-0.05474910,-0.11315525,-0.18111518,0.04804877,-0.11645772,-0.07868072,-0.18035144,0.00152337,-0.77279913,-0.13389075,-0.16930851,-0.78054601,-0.38950053,-0.22378659,-0.23435086,0.00000000,-0.40548104,0,10:50:25.2,0,0
3,-0.27916172,-0.70274210,-0.28891179,0.04246935,-0.48196912,-0.06706148,-0.04159098,-0.16449787,-0.20877479,-0.29983413,-0.17845665,-0.15368932,0.02099488,-0.22082537,-0.01860094,-0.22519796,-0.30755743,-0.05538309,-0.12079444,-0.17812060,0.04646207,-0.11248633,-0.07704366,-0.17783646,0.00150591,-0.80979747,-0.13402136,-0.16937031,-0.80333084,-0.39554241,-0.22823378,-0.23822716,0.00000000,-0.36346298,0,10:50:25.3,0,0
4,-0.29169166,-0.59070539,-0.30693308,0.08490635,-0.50495940,-0.05872177,-0.03701159,-0.16093709,-0.19953462,-0.29875487,-0.17627555,-0.15011680,0.02404780,-0.22346832,-0.01420516,-0.22402130,-0.30729610,-0.05578526,-0.12805070,-0.17499070,0.04518096,-0.10839098,-0.07516205,-0.17583260,0.00120732,-0.85559511,-0.13471979,-0.16924511,-0.83708787,-0.39847580,-0.23281038,-0.23281984,0.00000000,-0.31095815,0,10:50:25.4,0,0
5,-0.30137315,-0.44713107,-0.35122553,0.13255806,-0.47462052,-0.04929194,-0.03160849,-0.15746695,-0.18984233,-0.29766077,-0.17423195,-0.14623301,0.02724062,-0.22547127,-0.00944205,-0.22273415,-0.30628535,-0.05590090,-0.13469315,-0.17178315,0.04426366,-0.10430891,-0.07314724,-0.17434700,0.00068675,-0.91005993,-0.13586485,-0.16894799,-0.88136971,-0.39838982,-0.23733866,-0.21782768,0.00000000,-0.25552985,0,10:50:25.5,0,0
6,-0.30685195,-0.27549806,-0.42370123,0.18258527,-0.38249728,-0.03924335,-0.02568260,-0.15411292,-0.18018377,-0.29655632,-0.17236470,-0.14226693,0.03035458,-0.22660932,-0.00447145,-0.22119440,-0.30434358,-0.05571452,-0.14057009,-0.16858196,0.04372103,-0.10038898,-0.07113861,-0.17337213,0.00000380,-0.97280049,-0.13732867,-0.16848300,-0.93526381,-0.39572176,-0.24162240,-0.19397317,0.00000000,-0.20630306,0,10:50:25.6,0,0
7,-0.30703676,-0.08104154,-0.52456802,0.23165810,-0.22416116,-0.02914669,-0.01959862,-0.15089519,-0.17114915,-0.29545373,-0.17069933,-0.13849188,0.03317652,-0.22673325,0.00051696,-0.21926793,-0.30138281,-0.05524080,-0.14556581,-0.16547151,0.04353383,-0.09674797,-0.06926822,-0.17286554,-0.00078318,-1.04285014,-0.13897541,-0.16786058,-0.99723488,-0.39111835,-0.24536885,-0.16265497,0.00000000,-0.17191449,0,10:50:25.7,0,0
8,-0.30094120,0.12808052,-0.65119177,0.27664340,-0.00000007,-0.01953794,-0.01367918,-0.14785440,-0.16323701,-0.29438347,-0.16926041,-0.13517992,0.03551854,-0.22576465,0.00533301,-0.21683264,-0.29739296,-0.05450132,-0.14955923,-0.16253671,0.04367902,-0.09348644,-0.06765225,-0.17277192,-0.00165792,-1.11909211,-0.14068806,-0.16708039,-1.06518781,-0.38552541,-0.24836735,-0.12551515,0.00000000,-0.15877536,0,10:50:25.8,0,0
9,-0.28779662,0.34304500,-0.79901075,0.31455135,0.28437507,-0.01100225,-0.00828481,-0.14500469,-0.15698630,-0.29337358,-0.16803892,-0.13259968,0.03722516,-0.22364409,0.00978369,-0.21377975,-0.29240325,-0.05354102,-0.15244415,-0.15984941,0.04413059,-0.09065723,-0.06638360,-0.17300758,-0.00260087,-1.20018709,-0.14234379,-0.16614948,-1.13656104,-0.37965816,-0.25029865,-0.08400671,0.00000000,-0.17189096,0,10:50:25.9,0,0
10,-0.26699886,0.55505908,-0.96052152,0.34301037,0.61817014,-0.00403272,-0.00371984,-0.14233929,-0.15285407,-0.29246202,-0.16702358,-0.13094808,0.03822720,-0.22040722,0.01373794,-0.21001998,-0.28654563,-0.05239619,-0.15415378,-0.15745379,0.04485282,-0.08825298,-0.06551016,-0.17346568,-0.00362526,-1.28447413,-0.14383881,-0.16505808,-1.20833015,-0.37423834,-0.25072968,-0.04076978,0.00000000,-0.21171696,0,10:50:26.0,0,0
11,-0.23863073,0.75335330,-1.12824118,0.36039340,0.98591340,0.00093603,-0.00026415,-0.13985610,-0.15121563,-0.29168671,-0.16619658,-0.13037464,0.03849716,-0.21613248,0.01709064,-0.20549598,-0.27997565,-0.05108820,-0.15458313,-0.15537111,0.04584583,-0.08623921,-0.06504714,-0.17403319,-0.00477319,-1.37010300,-0.14509133,-0.16380396,-1.27742445,-0.37003303,-0.24962163,0.00141577,0.00000000,-0.27884728,0,10:50:26.1,0,0
12,-0.20300290,0.92964137,-1.29246545,0.36625043,1.36840820,0.00366230,0.00193079,-0.13758835,-0.15216821,-0.29110986,-0.16555494,-0.13090888,0.03810219,-0.21095814,0.01982277,-0.20018715,-0.27290529,-0.04960905,-0.15362827,-0.15358104,0.04715151,-0.08451748,-0.06494959,-0.17459160,-0.00611801,-1.45506215,-0.14605115,-0.16238964,-1.34047043,-0.36743307,-0.24678122,0.04037533,0.00000000,-0.36821315,0,10:50:26.2,0,0
13,-0.16078842,1.07519126,-1.44236326,0.36033142,1.74406099,0.00405142,0.00280009,-0.13555135,-0.15561384,-0.29078388,-0.16508326,-0.13251211,0.03716114,-0.20506224,0.02194609,-0.19414052,-0.26557949,-0.04794793,-0.15120037,-0.15205973,0.04880916,-0.08297917,-0.06516831,-0.17504592,-0.00776106,-1.53731179,-0.14670543,-0.16082859,-1.39438236,-0.36649686,-0.24206668,0.07409649,0.00000000,-0.47219181,0,10:50:26.3,0,0
14,-0.11319870,1.18434608,-1.56694698,0.34396228,2.09047675,0.00214100,0.00234147,-0.13375439,-0.16126223,-0.29075253,-0.16476820,-0.13504429,0.03584597,-0.19863486,0.02352105,-0.18743771,-0.25821590,-0.04605882,-0.14718838,-0.15073657,0.05090570,-0.08146819,-0.06557121,-0.17530136,-0.00979516,-1.61478233,-0.14704196,-0.15914795,-1.43627429,-0.36701345,-0.23558950,0.10038993,0.00000000,-0.58148885,0,10:50:26.4,0,0
15,-0.06186287,1.25253093,-1.65583563,0.31956899,2.38618684,-0.00185221,0.00066037,-0.13221663,-0.16866106,-0.29104349,-0.16460551,-0.13827172,0.03436540,-0.19190674,0.02467314,-0.18023764,-0.25102401,-0.04389710,-0.14161716,-0.14953402,0.05350219,-0.07983220,-0.06602962,-0.17527881,-0.01231770,-1.68541479,-0.14708215,-0.15738861,-1.46384501,-0.36858255,-0.22754362,0.11855724,0.00000000,-0.68304527,0,10:50:26.5,0,0
16,-0.00879653,1.27908158,-1.70005941,0.28955933,2.61235189,-0.00758857,-0.00207382,-0.13095351,-0.17718606,-0.29165894,-0.16458483,-0.14190401,0.03294208,-0.18508929,0.02556225,-0.17272916,-0.24417856,-0.04138386,-0.13454583,-0.14836875,0.05668823,-0.07793187,-0.06640774,-0.17490973,-0.01539247,-1.74735880,-0.14685327,-0.15560335,-1.47531915,-0.37047222,-0.21822903,0.12818396,0.00000000,-0.76626682,0,10:50:26.6,0,0
17,0.04364846,1.26479006,-1.69271588,0.25718075,2.75428677,-0.01462333,-0.00564043,-0.12997086,-0.18606645,-0.29257891,-0.16469947,-0.14556667,0.03181361,-0.17840268,0.02640345,-0.16512898,-0.23779188,-0.03840439,-0.12601733,-0.14712216,0.06056318,-0.07562678,-0.06655546,-0.17412576,-0.01904551,-1.79880977,-0.14637344,-0.15386097,-1.46969783,-0.37169620,-0.20796219,0.12898643,0.00000000,-0.81829119,0,10:50:26.7,0,0
18,0.09304211,1.21393180,-1.62944615,0.22630976,2.80266380,-0.02249175,-0.00982412,-0.12924390,-0.19456992,-0.29373482,-0.16491795,-0.14886594,0.03119005,-0.17204238,0.02741959,-0.15768640,-0.23193653,-0.03484270,-0.11615542,-0.14570257,0.06520249,-0.07281504,-0.06635493,-0.17287867,-0.02325223,-1.83819258,-0.14564535,-0.15223372,-1.44675183,-0.37131301,-0.19726209,0.12234243,0.00000000,-0.82976711,0,10:50:26.8,0,0
19,0.13685800,1.13257194,-1.50829709,0.20052484,2.75428677,-0.03067041,-0.01437966,-0.12875259,-0.20188260,-0.29503390,-0.16520703,-0.15141566,0.03125338,-0.16615193,0.02884044,-0.15063542,-0.22658123,-0.03060361,-0.10522691,-0.14402658,0.07062712,-0.06943572,-0.06572919,-0.17111321,-0.02791670,-1.86428678,-0.14465877,-0.15080829,-1.40719569,-0.36825913,-0.18655071,0.10947667,0.00000000,-0.79332680,0,10:50:26.9,0,0
