Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191020112931
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,1203,940,615,593,562,562,596,582,567,565,601,585,583,574,1270,1496,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,144,144,6,6,144,144,6,6,6,6,31,31,31,31,31,31,31,31,6,6,7,7,7,7,7,7,7,7,15,15,7,7,7,7,7,7,12,12,7,7,12,12,7,7,7,7,7,7,6,6,6,6,6,6,96,96,62,62,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,98,98,48,48,7,7,6,6,15,15,6,6,7,7,15,15,7,7,31,31,12,12,6,6,6,6,7,7,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.00,1.00,45.05,81.58,16.60,100.00,8.62,32.86,20.34,29.14,2.49,3.23,2.80,4.55,3.50,3.75,3.25,4.71,7.83,11.38,3.85,6.76,4.76,8.07,11.05,13.12,5.14,8.22,10.59,8.78,5.69,6.32,10.55,12.25,4.87,6.48,3.65,4.69,5.44,8.23,1.80,2.77,83.02,100.00,2.49,2.44,100.00,100.00,100.00,100.00,1.00,100.00,100.00,100.00,16.63,62.29,1.00,1.00,1.00,1.00,100.00,100.00,100.00,100.00,9.61,18.39,1.00,1.00,7.32,9.60,2.63,4.05,3.29,3.62,2.94,4.14,2.15,3.45,14.73,28.15,3.36,5.60,2.69,2.74,2.79,2.93,3.33,4.03,2.19,2.80,1.92,2.41,1.97,3.48,3.49,4.03,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/10/20 11:29:38
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.63762403,0.14628008,0.04845722,-0.12328157,-1.36103296,-0.41305065,-0.54894340,-0.56370670,-0.44015580,-0.33036032,-0.34274101,-0.28992254,-0.45922655,-0.42646989,-0.34151542,-0.20152728,-0.37304142,-0.14627269,-0.14610773,-0.31955913,-0.19156514,-0.54356712,-0.40181181,-0.39076054,-0.12555368,-0.35600817,-0.10413691,-1.60549474,0.02793199,1.15148950,2.16660857,-0.65350473,0.00000000,0.37310466,0,11:29:47.1,0,0
2,0.65419602,0.09753143,-0.02398036,-0.15593725,-1.72079694,-0.50716799,-0.60610479,-0.58361959,-0.46711534,-0.32962731,-0.34240940,-0.28482708,-0.45172861,-0.42647740,-0.33543202,-0.20235127,-0.37925628,-0.14910978,-0.14917000,-0.31922290,-0.19144586,-0.54081476,-0.40104324,-0.38945156,-0.12452742,-0.35172930,-0.10630430,-1.52405548,0.02793199,1.19238985,2.23868585,-0.74373245,0.00000000,0.29099607,0,11:29:47.2,0,0
3,0.66838598,0.08676563,-0.09121665,-0.16303180,-1.99458277,-0.59035665,-0.61009419,-0.60476136,-0.48917639,-0.32883254,-0.34170684,-0.28011733,-0.44419092,-0.42721522,-0.32979414,-0.20347938,-0.38635361,-0.14977834,-0.14946634,-0.31941119,-0.18763648,-0.53797460,-0.40034476,-0.38756695,-0.12305183,-0.34681648,-0.10845063,-1.44677150,0.02793199,1.23118532,2.29459167,-0.81220418,0.00000000,0.22198829,0,11:29:47.3,0,0
4,0.67666513,0.11507980,-0.14990047,-0.14431635,-2.17052794,-0.65910321,-0.55980796,-0.62536436,-0.50566179,-0.32798472,-0.34053984,-0.27585334,-0.43674928,-0.42841408,-0.32464492,-0.20470071,-0.39386383,-0.14784859,-0.14645004,-0.32011247,-0.17972788,-0.53496873,-0.39962551,-0.38512659,-0.12116223,-0.34124798,-0.11058336,-1.37748909,0.02793199,1.26638138,2.33283043,-0.85535860,0.00000000,0.16926984,0,11:29:47.4,0,0
5,0.67421126,0.17720713,-0.19867572,-0.10256190,-2.24348044,-0.71057177,-0.45832652,-0.64368308,-0.51622701,-0.32713404,-0.33887604,-0.27211609,-0.42958775,-0.42981613,-0.32003140,-0.20584056,-0.40134150,-0.14313790,-0.13989261,-0.32128069,-0.16772710,-0.53174698,-0.39883125,-0.38225284,-0.11897164,-0.33501190,-0.11273903,-1.31927633,0.02793199,1.29434586,2.35051703,-0.87098557,0.00000000,0.13510202,0,11:29:47.5,0,0
6,0.65788674,0.26538619,-0.23724383,-0.04228971,-2.21511793,-0.74399567,-0.31512031,-0.65820867,-0.52117908,-0.32636824,-0.33673987,-0.26898083,-0.42290059,-0.43111533,-0.31599289,-0.20669180,-0.40824571,-0.13581103,-0.13001102,-0.32285830,-0.15213631,-0.52833146,-0.39795649,-0.37907729,-0.11663248,-0.32822260,-0.11492296,-1.27421880,0.02793199,1.31262505,2.34592652,-0.85964304,0.00000000,0.12065299,0,11:29:47.6,0,0
7,0.62570876,0.36775213,-0.26517963,0.02981171,-2.09353113,-0.75922489,-0.14223354,-0.66764677,-0.52106506,-0.32579696,-0.33421701,-0.26654223,-0.41692084,-0.43213060,-0.31257275,-0.20711970,-0.41419160,-0.12614170,-0.11727913,-0.32478294,-0.13363288,-0.52483439,-0.39706630,-0.37583506,-0.11435095,-0.32105878,-0.11716010,-1.24397445,0.02793199,1.31918061,2.31468296,-0.82151127,0.00000000,0.12590049,0,11:29:47.7,0,0
8,0.57825840,0.47142059,-0.28325948,0.10623731,-1.89232767,-0.75751919,0.04470430,-0.67108858,-0.51677132,-0.32555786,-0.33145514,-0.26488701,-0.41188473,-0.43265957,-0.30981964,-0.20703238,-0.41878638,-0.11462605,-0.10245744,-0.32692808,-0.11319317,-0.52139503,-0.39624330,-0.37279442,-0.11236979,-0.31397256,-0.11945900,-1.22913957,0.02793199,1.31259286,2.25488162,-0.75980550,0.00000000,0.14961345,0,11:29:47.8,0,0
9,0.51486975,0.56183904,-0.29361656,0.17939655,-1.62935054,-0.74187642,0.23024619,-0.66798049,-0.50957382,-0.32579553,-0.32865676,-0.26409084,-0.40800413,-0.43261361,-0.30776346,-0.20640452,-0.42180496,-0.10191154,-0.08655594,-0.32921791,-0.09198679,-0.51826370,-0.39563003,-0.37026721,-0.11095615,-0.30741170,-0.12183689,-1.22972047,0.02793199,1.29305184,2.16303802,-0.67836362,0.00000000,0.19085068,0,11:29:47.9,0,0
10,0.43787500,0.62506622,-0.29769206,0.24125968,-1.32514083,-0.71623582,0.39742115,-0.65827864,-0.50084358,-0.32665583,-0.32606453,-0.26420000,-0.40547547,-0.43189931,-0.30643666,-0.20521513,-0.42305821,-0.08873411,-0.07061758,-0.33151609,-0.07117054,-0.51569891,-0.39538023,-0.36855352,-0.11036806,-0.30203164,-0.12429719,-1.24424648,0.02793199,1.25979972,2.03801012,-0.58257157,0.00000000,0.24638879,0,11:29:48.0,0,0
11,0.35032937,0.64784425,-0.29826903,0.28429568,-1.00128126,-0.68413317,0.53083986,-0.64241260,-0.49179676,-0.32827303,-0.32394835,-0.26524526,-0.40444773,-0.43045509,-0.30585653,-0.20347796,-0.42243043,-0.07580770,-0.05573829,-0.33373138,-0.05180646,-0.51400733,-0.39567944,-0.36794928,-0.11084173,-0.29842955,-0.12683606,-1.27077413,0.02793199,1.21424973,1.87974441,-0.47827706,0.00000000,0.31034899,0,11:29:48.1,0,0
12,0.25832272,0.62040091,-0.29664195,0.30339158,-0.67876989,-0.64978153,0.61771530,-0.62118411,-0.48352987,-0.33074147,-0.32257777,-0.26718485,-0.40497977,-0.42832172,-0.30599335,-0.20127271,-0.41996300,-0.06384771,-0.04291389,-0.33572519,-0.03489096,-0.51344085,-0.39666733,-0.36869180,-0.11256533,-0.29730368,-0.12943956,-1.30640924,0.02793199,1.15797234,1.68985939,-0.37175691,0.00000000,0.37835220,0,11:29:48.2,0,0
13,0.16761082,0.53659976,-0.29426947,0.29468811,-0.37655139,-0.61714077,0.64921588,-0.59581459,-0.47692069,-0.33410683,-0.32217661,-0.26994979,-0.40706939,-0.42554471,-0.30680752,-0.19868028,-0.41574034,-0.05344092,-0.03296850,-0.33736947,-0.02114087,-0.51419032,-0.39843857,-0.37090519,-0.11564405,-0.29912707,-0.13206877,-1.34835315,0.02793199,1.09254718,1.47267890,-0.26933059,0.00000000,0.44488609,0,11:29:48.3,0,0
14,0.08368792,0.39345205,-0.29208073,0.25585741,-0.11340046,-0.58970428,0.62220317,-0.56788051,-0.47259632,-0.33838120,-0.32295832,-0.27342737,-0.41063973,-0.42215151,-0.30825636,-0.19575371,-0.40988487,-0.04504903,-0.02645468,-0.33855522,-0.01102163,-0.51639223,-0.40106079,-0.37466317,-0.12011322,-0.30433068,-0.13469605,-1.39418113,0.02793199,1.02089691,1.23433447,-0.17687953,0.00000000,0.50497651,0,11:29:48.4,0,0
15,0.01451520,0.19287193,-0.28940469,0.18726638,0.10238727,-0.57027972,0.53767169,-0.53899336,-0.47089934,-0.34350809,-0.32505289,-0.27746180,-0.41552436,-0.41815382,-0.31027019,-0.19255547,-0.40252024,-0.03899166,-0.02369879,-0.33920467,-0.00472878,-0.52009070,-0.40452683,-0.37992379,-0.12591329,-0.31314316,-0.13728850,-1.44069040,0.02793199,0.94501746,0.98450184,-0.09958014,0.00000000,0.55409765,0,11:29:48.5,0,0
16,-0.03274635,-0.05945615,-0.28457755,0.09097324,0.26068947,-0.56042695,0.40241611,-0.51077074,-0.47171915,-0.34937033,-0.32850727,-0.28188232,-0.42151129,-0.41367197,-0.31280953,-0.18920319,-0.39396462,-0.03538613,-0.02471669,-0.33925399,-0.00212667,-0.52520537,-0.40875021,-0.38657236,-0.13289997,-0.32555404,-0.13983163,-1.48538172,0.02793199,0.86729741,0.73283243,-0.04077132,0.00000000,0.58934039,0,11:29:48.6,0,0
17,-0.05170808,-0.35349360,-0.27664438,-0.02873138,0.35935646,-0.56041706,0.22758825,-0.48464903,-0.47456855,-0.35578969,-0.33326986,-0.28647003,-0.42829192,-0.40877408,-0.31577569,-0.18578185,-0.38450918,-0.03418985,-0.02919736,-0.33871353,-0.00280016,-0.53158087,-0.41360223,-0.39437985,-0.14084718,-0.34139580,-0.14230874,-1.52668595,0.02793199,0.79092950,0.49151620,-0.00339028,0.00000000,0.60828310,0,11:29:48.7,0,0
18,-0.03849083,-0.67556238,-0.26440632,-0.16613933,0.40394577,-0.57003599,0.02640762,-0.46190760,-0.47889698,-0.36253628,-0.33920291,-0.29100376,-0.43552396,-0.40356651,-0.31907538,-0.18238623,-0.37445453,-0.03519709,-0.03655196,-0.33761248,-0.00615337,-0.53893602,-0.41887820,-0.40304729,-0.14945652,-0.36009136,-0.14471206,-1.56350219,0.02793199,0.71654952,0.27154529,0.01145058,0.00000000,0.60859025,0,11:29:48.8,0,0
19,0.00913323,-1.01061404,-0.24670434,-0.31461278,0.40063962,-0.58768463,-0.18379264,-0.44341707,-0.48381898,-0.36933547,-0.34607044,-0.29528052,-0.44286442,-0.39816508,-0.32263750,-0.17909849,-0.36412460,-0.03809872,-0.04601062,-0.33601561,-0.01145089,-0.54689485,-0.42432547,-0.41218090,-0.15837647,-0.38104635,-0.14703590,-1.59484863,0.02793199,0.64600044,0.08464903,0.00413913,0.00000000,0.59047419,0,11:29:48.9,0,0
