Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191027103930
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,1323,1010,630,602,627,600,626,599,672,627,666,623,573,568,1440,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,112,112,6,6,150,150,6,6,6,6,31,31,31,31,62,62,31,31,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,7,7,6,6,14,14,7,7,6,6,6,6,14,14,6,6,6,6,6,6,112,112,31,31,6,6,31,31,6,6,6,6,62,62,72,72,124,124,28,28,6,6,6,6,6,6,60,60,7,7,6,6,6,6,12,12,6,6,6,6,7,7,62,62,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.00,1.00,13.89,48.11,20.17,1.00,1.00,1.00,9.01,13.24,1.87,2.36,1.71,3.00,3.03,3.18,2.21,3.34,3.11,5.09,2.58,4.41,3.04,5.15,2.35,3.23,2.59,4.34,3.35,3.95,2.15,3.20,4.53,6.26,2.02,3.13,3.22,3.52,2.77,4.69,2.21,2.88,1.00,1.00,3.63,5.03,1.00,100.00,100.00,1.00,46.32,51.57,27.95,28.64,1.00,1.00,100.00,100.00,1.00,100.00,100.00,100.00,100.00,100.00,10.67,24.86,1.00,1.00,1.00,1.00,2.38,3.41,2.69,3.04,1.56,2.44,1.83,3.01,2.91,2.93,2.27,3.83,1.46,1.80,1.28,1.66,3.95,59.18,1.74,2.55,2.62,2.86,2.75,4.07,5.62,5.88,100.00,100.00,100.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/10/27 10:39:38
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.18626618,-0.07946295,-0.58248222,0.27150655,-0.60246330,-0.21700653,0.67571408,-0.12008554,0.09508276,-0.14769781,-0.22380726,-0.01235993,0.04941146,0.07093789,-0.02894091,-0.11943480,0.14899920,0.22406036,0.07828776,-0.10238373,0.12279461,-0.36866555,-0.25210643,-0.17671441,-0.15399754,0.00000000,0.09484228,-2.12619734,-0.90120167,0.03192022,0.44995642,0.85553420,-0.05259530,-1.91898048,0,10:39:48.1,0,0
2,0.31967357,-0.23527062,-0.57196575,0.15462825,-0.47075686,-0.23798531,0.78980094,-0.19278459,0.09515239,-0.14851831,-0.22825879,-0.01584847,0.04297622,0.06883607,-0.03269315,-0.12223065,0.14798900,0.22139195,0.07423911,-0.10569465,0.11890160,-0.37209785,-0.25491470,-0.17763184,-0.15358746,0.00000000,0.09816538,-2.17493033,-1.09730101,0.03135702,0.46768144,0.78213382,-0.05433366,-1.65993023,0,10:39:48.2,0,0
3,0.46445864,-0.37840962,-0.55750257,0.02512034,-0.40312922,-0.24825083,0.91246629,-0.22435333,0.09512420,-0.14909898,-0.23234646,-0.02006633,0.03569880,0.06656574,-0.03710039,-0.12546775,0.14747185,0.21894903,0.06994016,-0.10901294,0.11542823,-0.37615454,-0.25798875,-0.17919900,-0.15347031,0.00000000,0.10065450,-2.28892636,-1.27071619,0.02893310,0.48298657,0.71035701,-0.05613950,-1.41898906,0,10:39:48.3,0,0
4,0.61498946,-0.50068176,-0.53820592,-0.11046004,-0.40203679,-0.24791954,1.04001057,-0.21021289,0.09522868,-0.14941263,-0.23596200,-0.02483169,0.02783193,0.06419393,-0.04209948,-0.12889098,0.14738367,0.21669337,0.06571861,-0.11216331,0.11238822,-0.38061011,-0.26120722,-0.18131603,-0.15365344,0.00000000,0.10245905,-2.46742797,-1.41908097,0.02480222,0.49631691,0.64191973,-0.05772598,-1.21103060,0,10:39:48.4,0,0
5,0.76423472,-0.59250253,-0.51278937,-0.24228786,-0.46485075,-0.23765288,1.16958904,-0.15035138,0.09565214,-0.14943326,-0.23903711,-0.02996179,0.01963959,0.06183096,-0.04762330,-0.13221870,0.14767538,0.21459359,0.06188023,-0.11501395,0.10980454,-0.38527277,-0.26448834,-0.18385014,-0.15412167,0.00000000,0.10373760,-2.70748234,-1.54238105,0.01919533,0.50810242,0.57526875,-0.05873733,-1.04955268,0,10:39:48.5,0,0
6,0.90513754,-0.64713401,-0.47948912,-0.36191678,-0.58403790,-0.21842149,1.29626870,-0.04905882,0.09666930,-0.14914960,-0.24153461,-0.03528545,0.01138116,0.05959373,-0.05360235,-0.13518271,0.14830849,0.21263130,0.05868242,-0.11742789,0.10771634,-0.38993266,-0.26771349,-0.18663782,-0.15482944,0.00000000,0.10467060,-3.00183988,-1.64137673,0.01246194,0.51897067,0.50580239,-0.05872060,-0.94845092,0,10:39:48.6,0,0
7,1.02974820,-0.66093397,-0.43738863,-0.46124569,-0.74773198,-0.19201061,1.41568935,0.08571868,0.09835716,-0.14855702,-0.24345046,-0.04064505,0.00328854,0.05760350,-0.05995658,-0.13754979,0.14925586,0.21079168,0.05629263,-0.11932774,0.10613102,-0.39443257,-0.27081263,-0.18950930,-0.15570235,0.00000000,0.10543324,-3.34227467,-1.72058392,0.00500609,0.52953076,0.42730650,-0.05731158,-0.91712660,0,10:39:48.7,0,0
8,1.13110054,-0.63339919,-0.38449922,-0.53404415,-0.94066054,-0.16018535,1.52234054,0.24331751,0.10083798,-0.14766586,-0.24481319,-0.04594743,-0.00447685,0.05596343,-0.06664643,-0.13916190,0.15048702,0.20906666,0.05480411,-0.12069041,0.10504336,-0.39866200,-0.27373892,-0.19231300,-0.15666682,0.00000000,0.10617644,-3.71383524,-1.78347027,-0.00274430,0.54042566,0.33046907,-0.05428067,-0.96026325,0,10:39:48.8,0,0
9,1.20312238,-0.56691587,-0.31953967,-0.57560050,-1.14535701,-0.12573731,1.61277461,0.41147885,0.10401571,-0.14650288,-0.24567652,-0.05110282,-0.01179374,0.05476222,-0.07360922,-0.13989396,0.15199231,0.20747298,0.05425658,-0.12150318,0.10444632,-0.40252659,-0.27643245,-0.19488911,-0.15761970,0.00000000,0.10705199,-4.10224104,-1.83372378,-0.01030818,0.55222011,0.20646293,-0.04943312,-1.08136237,0,10:39:48.9,0,0
10,1.24135470,-0.46694031,-0.24235196,-0.58381951,-1.34796345,-0.09025975,1.68297386,0.57753056,0.10784633,-0.14509675,-0.24609630,-0.05605222,-0.01858335,0.05405106,-0.08078454,-0.13968383,0.15375036,0.20604877,0.05463581,-0.12180198,0.10433643,-0.40596578,-0.27886668,-0.19712389,-0.15848137,0.00000000,0.10816687,-4.49321556,-1.87695897,-0.01726590,0.56532037,0.04397407,-0.04263492,-1.28118002,0,10:39:49.0,0,0
11,1.24256980,-0.33846894,-0.15313950,-0.55670780,-1.52639985,-0.05604057,1.73125935,0.72951269,0.11227828,-0.14346805,-0.24612643,-0.06074057,-0.02481614,0.05385205,-0.08810300,-0.13852556,0.15575567,0.20485173,0.05588244,-0.12163663,0.10469516,-0.40897173,-0.28101987,-0.19891353,-0.15916063,0.00000000,0.10964546,-4.86708450,-1.91489124,-0.02314560,0.57998931,-0.15903752,-0.03397255,-1.54931509,0,10:39:49.1,0,0
12,1.20538437,-0.19041908,-0.05345250,-0.49580875,-1.66513002,-0.02475234,1.75387621,0.85714293,0.11713893,-0.14167273,-0.24584606,-0.06514012,-0.03052723,0.05414572,-0.09549946,-0.13648987,0.15800266,0.20394188,0.05785601,-0.12108298,0.10549983,-0.41157594,-0.28290087,-0.20021212,-0.15958758,0.00000000,0.11156090,-5.20616388,-1.95059454,-0.02761968,0.59604174,-0.40452194,-0.02374969,-1.87265062,0,10:39:49.2,0,0
13,1.13055634,-0.03418083,0.05400771,-0.40564191,-1.75201929,0.00174408,1.75223398,0.95254469,0.12212502,-0.13974221,-0.24531478,-0.06919263,-0.03575148,0.05487903,-0.10287545,-0.13367814,0.16047619,0.20337945,0.06043348,-0.12022794,0.10675025,-0.41380185,-0.28453031,-0.20100306,-0.15972124,0.00000000,0.11394589,-5.49455547,-1.98594046,-0.03044583,0.61310726,-0.69072956,-0.01232116,-2.23477292,0,10:39:49.3,0,0
14,1.02089608,0.12002889,0.16543792,-0.29200760,-1.77936256,0.02253835,1.72824395,1.01010680,0.12713017,-0.13769086,-0.24456210,-0.07284835,-0.04054003,0.05595271,-0.11013730,-0.13020648,0.16313492,0.20322444,0.06350386,-0.11914348,0.10840025,-0.41566065,-0.28589413,-0.20129499,-0.15952757,0.00000000,0.11679170,-5.72024679,-2.02242541,-0.03141474,0.63032085,-1.01092899,-0.00012913,-2.61645842,0,10:39:49.4,0,0
15,0.88062209,0.26372525,0.27584875,-0.16157348,-1.74457932,0.03687096,1.68432748,1.02903557,0.13191821,-0.13555771,-0.24362621,-0.07605438,-0.04495727,0.05721980,-0.11716325,-0.12623158,0.16591226,0.20351763,0.06695638,-0.11791852,0.11040504,-0.41719344,-0.28701508,-0.20115989,-0.15901835,0.00000000,0.12004091,-5.87103176,-2.05920124,-0.03041456,0.64642602,-1.35438049,0.01234436,-2.99573231,0,10:39:49.5,0,0
16,0.71497744,0.38814566,0.38009083,-0.02261511,-1.65051544,0.04446368,1.62420356,1.00843358,0.13628589,-0.13335782,-0.24253039,-0.07875291,-0.04906730,0.05851265,-0.12383919,-0.12192708,0.16872504,0.20427644,0.07066082,-0.11662211,0.11269633,-0.41843587,-0.28789446,-0.20069188,-0.15822096,0.00000000,0.12360875,-5.94234419,-2.09702182,-0.02745008,0.65996265,-1.70563304,0.02470330,-3.34952140,0,10:39:49.6,0,0
17,0.53083766,0.48694608,0.47295797,0.11696369,-1.50716543,0.04562637,1.55172634,0.95164669,0.14014876,-0.13110076,-0.24128914,-0.08087704,-0.05292984,0.05965485,-0.13005883,-0.11746339,0.17148206,0.20550166,0.07449973,-0.11530323,0.11519690,-0.41941619,-0.28854388,-0.20000319,-0.15717755,0.00000000,0.12739407,-5.92816448,-2.13370132,-0.02262667,0.66923511,-2.04754758,0.03647596,-3.65662909,0,10:39:49.7,0,0
18,0.33495912,0.55514807,0.54832381,0.24804324,-1.32537830,0.04108343,1.47086787,0.86422229,0.14346798,-0.12879461,-0.23990457,-0.08233911,-0.05656875,0.06048960,-0.13569847,-0.11299507,0.17410403,0.20716187,0.07837754,-0.11398097,0.11781667,-0.42014822,-0.28896648,-0.19919309,-0.15593058,0.00000000,0.13126324,-5.82904577,-2.16763949,-0.01609469,0.67247760,-2.36091089,0.04744488,-3.89696550,0,10:39:49.8,0,0
19,0.13470745,0.59270132,0.60111314,0.36451629,-1.12419605,0.03214596,1.38500905,0.75288981,0.14625734,-0.12645033,-0.23838867,-0.08307667,-0.06002272,0.06089392,-0.14066941,-0.10865214,0.17652312,0.20921955,0.08221684,-0.11265299,0.12049393,-0.42063099,-0.28915104,-0.19837084,-0.15453799,0.00000000,0.13508347,-5.65044928,-2.19778895,-0.00816796,0.66804546,-2.62661004,0.05752740,-4.05550337,0,10:39:49.9,0,0
