Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191020135357
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,945,787,582,574,651,614,572,568,626,599,658,618,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,7,7,6,6,98,98,6,6,6,6,49,49,48,48,6,6,31,31,7,7,72,72,6,6,6,6,7,7,12,12,6,6,6,6,7,7,12,12,6,6,7,7,6,6,6,6,31,31,15,15,6,6,24,24,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,72,72,62,62,31,31,6,6,7,7,15,15,15,15,6,6,6,6,6,6,7,7,12,12,6,6,24,24,6,6,6,6,6,6,6,6,6,6
Digital Gain,54.34,59.90,100.00,100.00,1.00,1.00,100.00,100.00,100.00,100.00,51.79,100.00,17.72,34.08,100.00,100.00,9.66,27.97,1.90,5.89,100.00,100.00,1.91,2.38,2.41,3.76,5.50,8.00,2.40,2.95,3.02,3.90,3.95,4.02,3.69,4.35,4.55,3.71,2.97,3.60,5.64,5.30,2.46,3.52,1.80,4.32,3.81,5.38,2.83,9.55,1.00,1.00,3.06,6.41,100.00,100.00,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,15.82,47.46,15.75,35.59,1.00,1.00,3.28,9.69,2.38,3.92,2.62,4.87,2.18,3.77,2.11,3.36,2.27,2.82,3.00,2.77,1.98,1.99,2.80,3.05,2.30,2.91,1.04,2.76,16.03,48.61,44.84,100.00,100.00,100.00,1.00,100.00,100.00,1.00,100.00,100.00

Measurement Information
Date,2019/10/20 13:54:04
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.08305781,-0.07280631,0.00000000,-0.12768997,0.10034891,-1.48105609,0.05180918,0.28691477,-0.43076670,1.24278581,8.51736641,-0.01752658,1.86843050,1.61408937,-0.76184905,0.35771692,0.88065326,-0.17917623,0.67864746,0.48238981,0.12350716,2.52588415,0.79197401,0.75272274,1.11437190,-0.09000937,0.03521047,2.11658120,0.00000000,-2.01990962,0.00000000,0.07261434,0.09293425,1.97117400,0,13:54:13.1,0,0
2,-0.07740725,0.02072257,0.00000000,0.06772836,0.24363354,-1.72773373,0.01382248,0.31217065,-0.47880349,1.23438954,8.31888580,-0.02338891,1.87680805,1.61982548,-0.76640642,0.36993197,0.88672721,-0.12760232,0.68246746,0.47902289,0.12707143,2.52101040,0.76460552,0.74371624,1.07826650,-0.16268142,0.02852075,2.02956653,0.00000000,-2.32871342,0.00000000,0.02088855,-0.13101041,1.64148176,0,13:54:13.2,0,0
3,-0.07135372,0.08903471,0.00000000,0.21336554,0.34527948,-2.00613809,-0.03176235,0.33244228,-0.52922362,1.22213292,8.10825348,-0.03049310,1.88052511,1.62398326,-0.77046949,0.38401231,0.89537054,-0.07926039,0.68709451,0.47633815,0.12944470,2.51628041,0.74255931,0.73356026,1.04200780,-0.25909057,0.02122319,1.93178535,0.00000000,-2.68010592,0.00000000,-0.03725366,-0.40342429,1.23860443,0,13:54:13.3,0,0
4,-0.06526276,0.13240208,0.00000000,0.30668414,0.40731943,-2.29962397,-0.08109222,0.34799576,-0.57848459,1.20718169,7.89933300,-0.03869819,1.88036549,1.62659943,-0.77392697,0.39909911,0.90605021,-0.03553033,0.69220674,0.47433981,0.13054997,2.51136875,0.72605568,0.72232276,1.00651515,-0.37055087,0.01359017,1.82587826,0.00000000,-3.06346130,0.00000000,-0.09707219,-0.71705079,0.79362118,0,13:54:13.4,0,0
5,-0.05950638,0.15189594,0.00000000,0.34754762,0.43311778,-2.58848691,-0.13015406,0.35975060,-0.62324500,1.19075334,7.70760679,-0.04779848,1.87722671,1.62780130,-0.77670264,0.41426024,0.91809368,0.00238897,0.69737643,0.47296596,0.13033487,2.50591731,0.71497953,0.71013325,0.97263312,-0.48684964,0.00591980,1.71347141,0.00000000,-3.46770644,0.00000000,-0.15308553,-1.06498277,0.33928025,0,13:54:13.5,0,0
6,-0.05443247,0.15022159,0.00000000,0.34067404,0.42968234,-2.85394025,-0.17534041,0.36829591,-0.66083276,1.17404306,7.54839897,-0.05750997,1.87206495,1.62770677,-0.77873766,0.42852995,0.93071991,0.03358587,0.70223439,0.47213006,0.12884258,2.49957752,0.70891440,0.69718206,0.94105339,-0.59839302,-0.00149545,1.59813130,0.00000000,-3.87656331,0.00000000,-0.19938913,-1.43472373,-0.09194361,0,13:54:13.6,0,0
7,-0.05029411,0.13015796,0.00000000,0.29170969,0.40370652,-3.07543874,-0.21314758,0.37472570,-0.68904340,1.15820265,7.43061066,-0.06752102,1.86580312,1.62647927,-0.78006697,0.44099048,0.94312847,0.05745253,0.70642066,0.47174934,0.12618555,2.49213052,0.70722479,0.68366760,0.91228485,-0.69348413,-0.00843104,1.48297465,0.00000000,-4.27081823,0.00000000,-0.23009521,-1.81089783,-0.47037941,0,13:54:13.7,0,0
8,-0.04734715,0.09608522,0.00000000,0.21079186,0.36396998,-3.23567820,-0.24106754,0.37995654,-0.70670688,1.14421332,7.36225510,-0.07749140,1.85928857,1.62432837,-0.78073275,0.45081726,0.95452237,0.07363325,0.70960075,0.47171146,0.12248929,2.48339939,0.70909882,0.66984165,0.88678908,-0.76291239,-0.01464548,1.37007511,0.00000000,-4.63124037,0.00000000,-0.23988342,-2.17681336,-0.77142572,0,13:54:13.8,0,0
9,-0.04570992,0.05221043,0.00000000,0.10918777,0.31878367,-3.31927109,-0.25705424,0.38533661,-0.71312517,1.13286316,7.34303188,-0.08707928,1.85326469,1.62153089,-0.78083396,0.45739913,0.96425712,0.08209655,0.71153033,0.47195435,0.11795563,2.47347116,0.71369445,0.65603954,0.86503172,-0.80083531,-0.01992255,1.26283991,0.00000000,-4.93792009,0.00000000,-0.22462170,-2.51490140,-0.97976094,0,13:54:13.9,0,0
10,-0.04539312,0.00262605,0.00000000,-0.00146192,0.27543831,-3.31637073,-0.26031443,0.39190480,-0.70873517,1.12469459,7.37263632,-0.09597971,1.84830546,1.61838424,-0.78051585,0.46032113,0.97182626,0.08303569,0.71207482,0.47244871,0.11277549,2.46259856,0.72019649,0.64258295,0.84730649,-0.80173004,-0.02412637,1.16467679,0.00000000,-5.17409563,0.00000000,-0.18200040,-2.80795908,-1.08827615,0,13:54:14.0,0,0
11,-0.04630018,-0.04935043,0.00000000,-0.10964940,0.23937406,-3.22216415,-0.25117213,0.40129191,-0.69484836,1.11999464,7.44320631,-0.10395209,1.84479892,1.61520147,-0.77995855,0.45939034,0.97689670,0.07689361,0.71116793,0.47321627,0.10719009,2.45122528,0.72792393,0.62984490,0.83389688,-0.76443034,-0.02716409,1.08032119,0.00000000,-5.32337332,0.00000000,-0.11210679,-3.04003692,-1.09874034,0,13:54:14.1,0,0
12,-0.04819802,-0.10030182,0.00000000,-0.20482475,0.21399349,-3.03853703,-0.23108055,0.41446587,-0.67367256,1.11877632,7.54554796,-0.11083523,1.84294963,1.61227131,-0.77936238,0.45462176,0.97930974,0.06427116,0.70887500,0.47430348,0.10143211,2.43998027,0.73635823,0.61817497,0.82507855,-0.69105482,-0.02901910,1.01365864,0.00000000,-5.37558031,0.00000000,-0.01786016,-3.19893670,-1.02282906,0,13:54:14.2,0,0
13,-0.05085840,-0.14804764,0.00000000,-0.27996632,0.19914758,-2.77401400,-0.20170875,0.43237090,-0.64712203,1.12077820,7.66627932,-0.11653750,1.84278810,1.60986698,-0.77890158,0.44628906,0.97913474,0.04590920,0.70532846,0.47578588,0.09573585,2.42962790,0.74520308,0.60793787,0.82116199,-0.58683926,-0.02970573,0.96788180,0.00000000,-5.32450485,0.00000000,0.09476824,-3.27672029,-0.87842703,0,13:54:14.3,0,0
14,-0.05396183,-0.19019671,0.00000000,-0.32824764,0.19443452,-2.44114232,-0.16555429,0.45537347,-0.61752921,1.12549388,7.79240894,-0.12108021,1.84416664,1.60817027,-0.77875203,0.43482855,0.97660339,0.02262388,0.70079046,0.47776622,0.09032821,2.42101288,0.75439340,0.59944832,0.82244027,-0.45970246,-0.02930112,0.94673997,0.00000000,-5.17066193,0.00000000,0.21681714,-3.26956701,-0.68916267,0,13:54:14.4,0,0
15,-0.05717060,-0.22589293,0.00000000,-0.34739807,0.19624911,-2.05827260,-0.12573220,0.48324123,-0.58748180,1.13223743,7.90829086,-0.12458615,1.84678650,1.60731316,-0.77909058,0.42083174,0.97211510,-0.00474565,0.69552219,0.48035961,0.08536297,2.41501021,0.76407099,0.59295678,0.82916546,-0.31959245,-0.02795810,0.95551604,0.00000000,-4.91833687,0.00000000,0.33671653,-3.17811823,-0.48204693,0,13:54:14.5,0,0
16,-0.06012038,-0.25559109,0.00000000,-0.33922225,0.19830261,-1.64621246,-0.08530221,0.51570368,-0.55891186,1.14020634,8.00082874,-0.12724137,1.85027921,1.60735488,-0.78003407,0.40499040,0.96615070,-0.03536889,0.68987018,0.48365605,0.08097385,2.41241455,0.77449524,0.58862644,0.84156936,-0.17951885,-0.02583853,0.99491972,0.00000000,-4.58027840,0.00000000,0.44099531,-3.00908589,-0.28455877,0,13:54:14.6,0,0
17,-0.06253322,-0.28040025,0.00000000,-0.30901852,0.19299138,-1.22830927,-0.04739311,0.55153865,-0.53360623,1.14852643,8.05847359,-0.12930603,1.85418642,1.60827708,-0.78167897,0.38802516,0.95926589,-0.06843618,0.68414116,0.48773074,0.07723404,2.41385841,0.78604466,0.58659160,0.85984975,-0.04911420,-0.02309821,1.06519568,0.00000000,-4.17321873,0.00000000,0.51528978,-2.77331471,-0.12190987,0,13:54:14.7,0,0
18,-0.06420553,-0.30121648,0.00000000,-0.26333779,0.17387231,-0.82828784,-0.01474456,0.58876848,-0.51286668,1.15637112,8.07156086,-0.13105609,1.85807896,1.60999525,-0.78406376,0.37066457,0.95204920,-0.10320877,0.67865783,0.49261269,0.07416428,2.41976547,0.79908133,0.58676070,0.88386631,0.06085064,-0.02000109,1.16578138,0.00000000,-3.71861553,0.00000000,0.54558182,-2.48651266,-0.01524191,0,13:54:14.8,0,0
19,-0.06507857,-0.31916612,0.00000000,-0.21002153,0.13543899,-0.46849385,0.01017477,0.62493706,-0.49768433,1.16298425,8.03411388,-0.13277549,1.86152017,1.61233628,-0.78719497,0.35355437,0.94498962,-0.13901731,0.67362863,0.49822223,0.07167724,2.43017149,0.81384331,0.58896279,0.91331834,0.14111415,-0.01677610,1.29382515,0.00000000,-3.23923087,0.00000000,0.51956755,-2.16541886,0.02054333,0,13:54:14.9,0,0
20,-0.06512531,-0.33592692,0.00000000,-0.15920040,0.07276627,-0.16849075,0.02586059,0.65709394,-0.48818576,1.16776752,7.94384718,-0.13470581,1.86417460,1.61506152,-0.79099804,0.33724585,0.93850917,-0.17527260,0.66921800,0.50444186,0.06965545,2.44481301,0.83044761,0.59285563,0.94758713,0.18341573,-0.01369416,1.44540370,0.00000000,-2.76175213,0.00000000,0.42994949,-1.83032548,-0.02275729,0,13:54:15.0,0,0
