Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191027130536
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1320,1009,707,647,671,626,627,600,666,623,1038,842,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,98,98,6,6,124,124,6,6,6,6,44,44,44,44,6,6,31,31,12,12,124,124,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,44,44,6,6,6,6,49,49,12,12,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,56,56,31,31,7,7,6,6,6,6,12,12,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,38.32,100.00,17.81,44.20,75.67,100.00,24.50,78.83,1.47,5.04,8.53,8.55,2.26,2.92,1.94,3.47,3.65,6.20,2.09,2.96,3.65,5.10,2.65,3.79,3.35,4.62,4.85,5.57,2.51,4.59,2.83,3.30,2.06,3.60,1.39,3.72,3.21,7.85,1.69,5.69,100.00,100.00,19.62,100.00,39.63,100.00,1.00,1.00,100.00,100.00,1.00,1.00,1.00,1.00,100.00,100.00,63.58,80.97,86.23,100.00,100.00,100.00,14.13,50.43,9.05,26.80,1.00,1.00,2.80,9.08,2.58,4.24,2.09,4.62,1.92,3.37,1.95,3.62,2.14,3.15,1.57,2.02,1.19,1.91,2.67,4.39,3.71,3.85,2.93,2.76,1.21,4.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/27 13:05:45
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.00292768,0.28291079,0.16364451,1.07646096,0.52057511,0.80377448,0.16798928,-0.08640689,0.03591939,0.00655440,5.86098909,-0.28505513,0.48035991,0.04043647,-0.41707975,-0.03978604,0.26322663,-0.51251096,0.30772620,0.27951020,-0.17068763,0.27397007,0.36321053,-0.32213691,0.52248788,3.05442977,0.69128859,-0.30619487,0.00000000,-2.46867990,0.00000000,0.00000000,-0.42033941,0.13042119,0,13:05:54.1,0,0
2,-0.01270111,0.31245455,0.14637244,1.15736806,0.58141422,0.76285893,0.19683191,-0.07369549,0.07586079,0.00061657,5.92474699,-0.28634307,0.47832704,0.04245894,-0.41892263,-0.03930965,0.26601198,-0.51762277,0.30995196,0.28228548,-0.16809094,0.28173530,0.37144619,-0.30582821,0.53740209,3.05726862,0.86284989,-0.38222614,0.00000000,-2.05566382,0.00000000,0.00000000,-0.29646191,0.18376613,0,13:05:54.2,0,0
3,-0.03134758,0.34945172,0.13366154,1.26390839,0.67167491,0.70582402,0.21958631,-0.05948478,0.10858145,-0.00380486,6.01849747,-0.28805757,0.47745091,0.04597725,-0.42031491,-0.03902774,0.27046475,-0.52447402,0.31531662,0.28814518,-0.16275904,0.29451713,0.38533342,-0.28605169,0.55753201,3.08360410,1.04656565,-0.46393919,0.00000000,-1.63861632,0.00000000,0.00000000,-0.14039844,0.24060944,0,13:05:54.3,0,0
4,-0.05264898,0.39204171,0.12503742,1.38675261,0.78465414,0.63533050,0.23400907,-0.04399229,0.13072127,-0.00632291,6.13471174,-0.29020923,0.47764763,0.05068807,-0.42116594,-0.03905567,0.27583775,-0.53276092,0.32328734,0.29638916,-0.15503132,0.31109282,0.40390375,-0.26409051,0.58122945,3.12798476,1.23572707,-0.54839790,0.00000000,-1.23798752,0.00000000,0.00000000,0.04219499,0.30111220,0,13:05:54.4,0,0
5,-0.07666451,0.43820912,0.11952373,1.51555753,0.91203272,0.55305380,0.23795311,-0.02743479,0.13884217,-0.00647793,6.26166630,-0.29268688,0.47882164,0.05614632,-0.42137453,-0.03951842,0.28116524,-0.54193312,0.33299685,0.30598390,-0.14554337,0.32955706,0.42547187,-0.24162303,0.60627580,3.18136764,1.41899872,-0.63257593,0.00000000,-0.87612242,0.00000000,0.00000000,0.24148558,0.36482352,0,13:05:54.5,0,0
6,-0.10303053,0.48463708,0.11545149,1.63748169,1.04277372,0.46136391,0.22988905,-0.01042360,0.13024542,-0.00373598,6.38435507,-0.29525286,0.48088712,0.06177289,-0.42082825,-0.04053950,0.28535247,-0.55119956,0.34329724,0.31563073,-0.13519394,0.34744087,0.44771013,-0.22055608,0.63002455,3.23419905,1.58330822,-0.71351606,0.00000000,-0.57244629,0.00000000,0.00000000,0.44619027,0.43137923,0,13:05:54.6,0,0
7,-0.13089360,0.52833688,0.11125173,1.74068439,1.16629124,0.36225042,0.20910670,0.00677416,0.10312817,0.00248745,6.48571682,-0.29754505,0.48378298,0.06689771,-0.41939723,-0.04223653,0.28725466,-0.55955184,0.35284829,0.32385847,-0.12507853,0.36185142,0.46774060,-0.20295641,0.64950919,3.27650142,1.71508944,-0.78809869,0.00000000,-0.34516582,0.00000000,0.00000000,0.64342463,0.50034726,0,13:05:54.7,0,0
8,-0.15956643,0.56551635,0.10515854,1.81263065,1.27109671,0.25787115,0.17672209,0.02356289,0.05876422,0.01278138,6.54798555,-0.29913607,0.48743194,0.07080273,-0.41700831,-0.04469495,0.28580740,-0.56584316,0.36016217,0.32911521,-0.11648122,0.36966380,0.48232198,-0.19080095,0.66175759,3.29818368,1.79985654,-0.85389864,0.00000000,-0.20936652,0.00000000,0.00000000,0.81819355,0.57022989,0,13:05:54.8,0,0
9,-0.18859841,0.59187162,0.09561825,1.84204721,1.34565401,0.15125822,0.13458003,0.03944302,-0.00069657,0.02769227,6.55420256,-0.29953945,0.49176854,0.07279161,-0.41361511,-0.04794065,0.28012627,-0.56882268,0.36378828,0.32986179,-0.11073434,0.36776096,0.48803693,-0.18595217,0.66388071,3.29188561,1.82408094,-0.90892565,0.00000000,-0.17413349,0.00000000,0.00000000,0.95856565,0.63999206,0,13:05:54.9,0,0
10,-0.21715225,0.60378373,0.08123405,1.82111084,1.38122368,0.04508754,0.08534225,0.05394762,-0.07198124,0.04766922,6.48965883,-0.29826301,0.49671811,0.07223310,-0.40920767,-0.05192197,0.26959983,-0.56716567,0.36244059,0.32472634,-0.10909451,0.35330182,0.48158330,-0.19005065,0.65324599,3.25194263,1.77647626,-0.95212972,0.00000000,-0.24103817,0.00000000,0.00000000,1.05416524,0.70872915,0,13:05:55.0,0,0
11,-0.24453634,0.59824866,0.06063034,1.74475348,1.37089407,-0.05590141,0.03314363,0.06665631,-0.14943893,0.07301010,6.34322739,-0.29483929,0.50219977,0.06862321,-0.40385258,-0.05651017,0.25396878,-0.55962324,0.35507199,0.31258366,-0.11268857,0.32394415,0.46000230,-0.20421366,0.62783682,3.17537713,1.64830971,-0.98307514,0.00000000,-0.40568405,0.00000000,0.00000000,1.09879923,0.77530473,0,13:05:55.1,0,0
12,-0.26983109,0.57295239,0.03310804,1.61200047,1.31137943,-0.14778116,-0.01858635,0.07699226,-0.22674906,0.10381112,6.10841846,-0.28889683,0.50810480,0.06159343,-0.39768922,-0.06152405,0.23334028,-0.54512405,0.34095958,0.29266116,-0.12240849,0.27807075,0.42095280,-0.22899361,0.58635688,3.06362104,1.43736434,-1.00265515,0.00000000,-0.65727770,0.00000000,0.00000000,1.08917081,0.83997947,0,13:05:55.2,0,0
13,-0.29216352,0.52679580,-0.00121279,1.42493331,1.20197010,-0.22630863,-0.06436023,0.08470488,-0.29741782,0.13990898,5.78407335,-0.28017813,0.51430058,0.05096731,-0.39091519,-0.06668151,0.20823599,-0.52281773,0.31982765,0.26461694,-0.13880944,0.21497402,0.36294356,-0.26444334,0.52831352,2.91947079,1.14510393,-1.01160932,0.00000000,-0.98013228,0.00000000,0.00000000,1.02622974,0.90247381,0,13:05:55.3,0,0
14,-0.31053028,0.45999867,-0.04137432,1.19032943,1.04616594,-0.28835130,-0.10005492,0.08953533,-0.35496396,0.18087883,5.37462187,-0.26858452,0.52062142,0.03676869,-0.38378924,-0.07165384,0.17953449,-0.49219060,0.29183674,0.22856355,-0.16205764,0.13495578,0.28549349,-0.30997470,0.45411050,2.74982405,0.78013188,-1.01166868,0.00000000,-1.35386574,0.00000000,0.00000000,0.91390598,0.96112120,0,13:05:55.4,0,0
15,-0.32419950,0.37444916,-0.08595305,0.91827786,0.85115421,-0.33010659,-0.12179877,0.09128235,-0.39312357,0.22602211,4.88995171,-0.25417772,0.52688789,0.01926166,-0.37659585,-0.07603919,0.14843756,-0.45306304,0.25765407,0.18509679,-0.19185972,0.03937826,0.18923084,-0.36440733,0.36507130,2.56482482,0.35616040,-1.00519896,0.00000000,-1.75669169,0.00000000,0.00000000,0.76018882,1.01497591,0,13:05:55.5,0,0
16,-0.33243346,0.27417853,-0.13286804,0.62376136,0.62797594,-0.34995037,-0.12722439,0.09002444,-0.40772593,0.27438688,4.34475756,-0.23718327,0.53292024,-0.00110430,-0.36963055,-0.07941585,0.11636919,-0.40568608,0.21835186,0.13524881,-0.22750972,-0.06940589,0.07589582,-0.42613435,0.26329389,2.37529254,-0.10826457,-0.99463820,0.00000000,-2.16409659,0.00000000,0.00000000,0.57570809,1.06322443,0,13:05:55.6,0,0
17,-0.33440012,0.16369100,-0.18026118,0.32125235,0.38864833,-0.34713456,-0.11510901,0.08566669,-0.39617169,0.32480940,3.75758600,-0.21798909,0.53852481,-0.02369061,-0.36318579,-0.08135321,0.08488137,-0.35071912,0.17536265,0.08043124,-0.26790652,-0.18817084,-0.05172936,-0.49314344,0.15153910,2.19372892,-0.58979678,-0.98306680,0.00000000,-2.55334187,0.00000000,0.00000000,0.37353143,1.10523283,0,13:05:55.7,0,0
18,-0.32953700,0.04891078,-0.22549911,0.02653453,0.14716376,-0.32222331,-0.08557542,0.07829774,-0.35778233,0.37596866,3.14957404,-0.19714388,0.54351783,-0.04772623,-0.35753196,-0.08146451,0.05551691,-0.28920972,0.13036555,0.02233703,-0.31164005,-0.31303370,-0.18997827,-0.56310523,0.03316596,2.03221035,-1.06319022,-0.97315395,0.00000000,-2.90469146,0.00000000,0.00000000,0.16664366,1.13998890,0,13:05:55.8,0,0
19,-0.31718656,-0.06305414,-0.26618609,-0.24338923,-0.08125541,-0.27620804,-0.03999744,0.06816007,-0.29373366,0.42647400,2.54303455,-0.17530356,0.54773653,-0.07235684,-0.35288057,-0.07942295,0.02971412,-0.22251672,0.08519477,-0.03716774,-0.35705665,-0.43969923,-0.33453315,-0.63362372,-0.08821665,1.90031135,-1.50225866,-0.96771413,0.00000000,-3.20064235,0.00000000,0.00000000,-0.03191110,1.16758144,0,13:05:55.9,0,0
20,-0.29704636,-0.16532174,-0.30041125,-0.47487146,-0.28306809,-0.21221554,0.01848654,0.05564103,-0.20796092,0.47494206,1.95991135,-0.15319443,0.55105704,-0.09668750,-0.34937519,-0.07498453,0.00869093,-0.15225355,0.04167826,-0.09616651,-0.40239662,-0.56374848,-0.48070151,-0.70236218,-0.20892255,1.80626261,-1.88148892,-0.96910036,0.00000000,-3.43018484,0.00000000,0.00000000,-0.21224372,1.18615592,0,13:05:56.0,0,0
