Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191020131429
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,1365,1035,667,624,681,632,602,585,666,623,653,615,2000,1700,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,112,112,6,6,24,24,6,6,6,6,49,49,48,48,6,6,31,31,12,12,6,6,6,6,6,6,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,31,31,12,12,6,6,60,60,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,62,62,47,47,31,31,6,6,6,6,7,7,14,14,7,7,6,6,6,6,7,7,7,7,6,6,31,31,6,6,6,6,6,6,6,6,6,6
Digital Gain,1.00,1.00,100.00,100.00,42.53,54.25,100.00,100.00,100.00,100.00,43.57,100.00,13.67,31.07,86.45,100.00,13.83,35.51,1.00,3.84,9.21,45.25,1.16,2.26,1.56,4.25,3.16,6.83,2.28,2.99,2.23,2.91,2.30,3.21,3.43,4.26,5.53,5.78,2.45,3.84,3.35,3.62,1.23,2.16,1.98,4.40,3.28,6.20,2.30,6.75,100.00,1.00,7.43,21.96,100.00,100.00,1.00,1.00,100.00,100.00,1.00,1.00,1.00,1.00,100.00,100.00,80.64,72.28,79.66,100.00,100.00,100.00,13.95,43.34,10.68,30.19,35.46,79.40,2.11,8.50,1.57,3.32,1.83,4.74,1.86,4.19,1.54,2.38,1.63,2.11,1.77,2.11,1.30,1.85,1.76,2.39,100.00,100.00,100.00,100.00,1.33,8.41,90.60,100.00,100.00,100.00,1.00,1.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/20 13:14:36
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,0.22932498,-0.07235580,0.16315030,0.46665838,0.37002653,1.26940572,-0.07249720,1.12158000,0.47199985,-0.53550965,0.02606073,-1.57543135,1.60919607,0.22226261,-0.62583739,-0.00037092,0.64043945,-0.00229317,0.34014013,0.30643338,-0.21810691,0.67597169,0.53907055,0.10196497,-0.15832965,-2.80231190,0.30824450,-1.71763563,0.00000000,-2.52949762,0.00000000,0.00000000,0.56131554,1.57619119,0,13:14:46.1,0,0
2,0.26155272,-0.06362117,0.18258385,0.43086401,0.37456810,1.14557827,-0.03019170,1.09708810,0.53435659,-0.53645021,0.03147885,-1.58168638,1.60645545,0.21486937,-0.63115239,-0.01966109,0.62796116,-0.02929470,0.33109170,0.30475438,-0.22633147,0.66531324,0.53575617,0.10100920,-0.15263404,-2.85986161,0.32751685,-1.76986146,0.00000000,-2.64664602,0.00000000,0.00000000,0.71543527,1.57221925,0,13:14:46.2,0,0
3,0.23990218,-0.05678718,0.19327593,0.38156703,0.38151076,0.98378319,0.01682433,1.07092202,0.60584015,-0.53736627,0.03623999,-1.58748150,1.60401142,0.20799792,-0.63604212,-0.03726080,0.61727011,-0.05701046,0.32261744,0.30335394,-0.23408440,0.65576154,0.53246534,0.10033876,-0.14652306,-2.86623383,0.35126963,-1.81644952,0.00000000,-2.75742865,0.00000000,0.00000000,0.82589912,1.48579526,0,13:14:46.3,0,0
4,0.16857131,-0.05305647,0.19546612,0.31890413,0.38928732,0.79289693,0.06613202,1.04187047,0.68291664,-0.53830558,0.03989927,-1.59275246,1.60186350,0.20157169,-0.64040387,-0.05326929,0.60832584,-0.08622607,0.31463864,0.30224082,-0.24136430,0.64755362,0.52927554,0.09979109,-0.14031583,-2.81535554,0.37822431,-1.85405457,0.00000000,-2.86267638,0.00000000,0.00000000,0.88666844,1.32847273,0,13:14:46.4,0,0
5,0.05362218,-0.05302533,0.19042073,0.24379191,0.39657152,0.58248293,0.11667668,1.00908017,0.76314372,-0.53925669,0.04212760,-1.59744644,1.60001266,0.19552323,-0.64418769,-0.06783878,0.60101855,-0.11760983,0.30706370,0.30139464,-0.24818538,0.64089620,0.52624226,0.09920485,-0.13429862,-2.70650363,0.40693265,-1.88197136,0.00000000,-2.96111465,0.00000000,0.00000000,0.89526355,1.11193442,0,13:14:46.5,0,0
6,-0.09441354,-0.05703779,0.17964421,0.15763144,0.40145835,0.36431378,0.16652191,0.97225666,0.84298491,-0.54017055,0.04265229,-1.60151494,1.59846461,0.18978010,-0.64740336,-0.08114662,0.59519225,-0.15163761,0.29981965,0.30077618,-0.25456187,0.63599080,0.52340466,0.09845819,-0.12875541,-2.54233527,0.43581301,-1.89820445,0.00000000,-3.05116582,0.00000000,0.00000000,0.85468715,0.85444629,0,13:14:46.6,0,0
7,-0.26403403,-0.06470160,0.16488676,0.06248703,0.40240312,0.15126829,0.21367475,0.93126535,0.91883463,-0.54094857,0.04129713,-1.60488427,1.59726083,0.18430589,-0.65007603,-0.09335252,0.59068173,-0.18852212,0.29285365,0.30034918,-0.26051199,0.63302898,0.52079403,0.09744620,-0.12392538,-2.32893229,0.46328992,-1.90145946,0.00000000,-3.12942791,0.00000000,0.00000000,0.76910084,0.57312083,0,13:14:46.7,0,0
8,-0.44556615,-0.07525072,0.14769253,-0.03872396,0.39789009,-0.04373072,0.25646719,0.88673794,0.98742229,-0.54143828,0.03805707,-1.60745943,1.59648168,0.17913094,-0.65225500,-0.10456348,0.58732271,-0.22814573,0.28615764,0.30008480,-0.26602340,0.63219506,0.51843023,0.09614717,-0.12001210,-2.07552147,0.48789895,-1.89012229,0.00000000,-3.19303107,0.00000000,0.00000000,0.64694625,0.28561407,0,13:14:46.8,0,0
9,-0.63135028,-0.08752967,0.12942581,-0.14342710,0.38685328,-0.21258183,0.29287446,0.83919537,1.04549074,-0.54145253,0.03307485,-1.60911560,1.59625185,0.17433979,-0.65401655,-0.11485660,0.58495235,-0.27006045,0.27975893,0.29996043,-0.27106383,0.63365328,0.51632380,0.09455926,-0.11712296,-1.79680634,0.50841606,-1.86565197,0.00000000,-3.24050760,0.00000000,0.00000000,0.49784127,0.00448204,0,13:14:46.9,0,0
10,-0.81016105,-0.10003193,0.11156286,-0.24895567,0.36877233,-0.34801710,0.32109642,0.78983301,1.09001625,-0.54079282,0.02658078,-1.60972834,1.59672105,0.17006449,-0.65544206,-0.12425499,0.58343989,-0.31354132,0.27370825,0.29997346,-0.27559626,0.63753414,0.51449245,0.09283089,-0.11525400,-1.50335741,0.52396643,-1.82761085,0.00000000,-3.26767135,0.00000000,0.00000000,0.33327264,-0.25843009,0,13:14:47.0,0,0
11,-0.97478712,-0.11151513,0.09503473,-0.35274169,0.34251127,-0.44487792,0.33932456,0.74065632,1.11849427,-0.53928256,0.01897361,-1.60919845,1.59802747,0.16647300,-0.65664488,-0.13274194,0.58267641,-0.35758799,0.26810333,0.30014834,-0.27957135,0.64392877,0.51296234,0.09107895,-0.11434334,-1.20912969,0.53385562,-1.77825713,0.00000000,-3.27119970,0.00000000,0.00000000,0.16457115,-0.49375817,0,13:14:47.1,0,0
12,-1.11989129,-0.12046517,0.07999714,-0.45192194,0.30842790,-0.50214070,0.34625217,0.69501358,1.12928379,-0.53678799,0.01072858,-1.60745502,1.60030127,0.16375741,-0.65772134,-0.14028037,0.58257532,-0.40102944,0.26305604,0.30051541,-0.28294116,0.65287483,0.51176512,0.08951136,-0.11420573,-0.92746693,0.53789902,-1.71997607,0.00000000,-3.24894929,0.00000000,0.00000000,0.00209765,-0.69880331,0,13:14:47.2,0,0
13,-1.24201095,-0.12588915,0.06654105,-0.54423505,0.26799375,-0.52099550,0.34029675,0.65471441,1.12084413,-0.53326690,0.00231784,-1.60447991,1.60362935,0.16207896,-0.65875322,-0.14682381,0.58305442,-0.44259754,0.25867146,0.30113563,-0.28565690,0.66435665,0.51094770,0.08833768,-0.11464998,-0.66994894,0.53611171,-1.65524971,0.00000000,-3.19914937,0.00000000,0.00000000,-0.14648956,-0.87246054,0,13:14:47.3,0,0
14,-1.33998215,-0.12685810,0.05433203,-0.62648195,0.22281270,-0.50646329,0.32111955,0.62233251,1.09324455,-0.52875555,-0.00574774,-1.60032201,1.60803914,0.16159527,-0.65980446,-0.15232429,0.58404094,-0.48101512,0.25507659,0.30208412,-0.28764504,0.67828459,0.51057720,0.08777898,-0.11543155,-0.44541413,0.52884650,-1.58623636,0.00000000,-3.12179708,0.00000000,0.00000000,-0.27633128,-1.01728833,0,13:14:47.4,0,0
15,-1.41358924,-0.12280790,0.04292477,-0.69599074,0.17522013,-0.46448168,0.28851286,0.60112596,1.04721677,-0.52339882,-0.01293624,-1.59507537,1.61350083,0.16241921,-0.66085970,-0.15672414,0.58546984,-0.51508600,0.25240740,0.30343950,-0.28880757,0.69450623,0.51073313,0.08812234,-0.11621386,-0.25926301,0.51693976,-1.51507378,0.00000000,-3.01538181,0.00000000,0.00000000,-0.38222477,-1.13649869,0,13:14:47.5,0,0
16,-1.46266997,-0.11395452,0.03166353,-0.74994177,0.12835121,-0.40223759,0.24263802,0.59356874,0.98417324,-0.51747459,-0.01880701,-1.58895671,1.61985433,0.16457453,-0.66191322,-0.16001102,0.58726197,-0.54380155,0.25078541,0.30526596,-0.28906572,0.71274382,0.51149869,0.08957176,-0.11667889,-0.11544203,0.50140309,-1.44592118,0.00000000,-2.88183165,0.00000000,0.00000000,-0.46413857,-1.23711848,0,13:14:47.6,0,0
17,-1.48952544,-0.10046111,0.01978734,-0.78528047,0.08600866,-0.32512763,0.18546563,0.60166126,0.90749824,-0.51136440,-0.02299500,-1.58228648,1.62683916,0.16800067,-0.66292793,-0.16223079,0.58931684,-0.56642842,0.25027782,0.30761558,-0.28839135,0.73262984,0.51295549,0.09227256,-0.11654686,-0.00964590,0.48331809,-1.37984514,0.00000000,-2.72305393,0.00000000,0.00000000,-0.52363867,-1.32490277,0,13:14:47.7,0,0
18,-1.49637294,-0.08322785,0.00625807,-0.79908216,0.05165850,-0.24068631,0.11846961,0.62508804,0.82022637,-0.50556064,-0.02537553,-1.57550013,1.63405526,0.17254673,-0.66388083,-0.16348207,0.59151739,-0.58255953,0.25090116,0.31049085,-0.28679302,0.75368220,0.51516825,0.09627686,-0.11558544,0.06110446,0.46385279,-1.31976128,0.00000000,-2.54381657,0.00000000,0.00000000,-0.56419903,-1.40526593,0,13:14:47.8,0,0
19,-1.48581350,-0.06318712,-0.00951640,-0.78953558,0.02825748,-0.15362649,0.04467176,0.66408157,0.72713828,-0.50061256,-0.02587673,-1.56911016,1.64100981,0.17796604,-0.66472429,-0.16390775,0.59372032,-0.59212363,0.25264964,0.31387562,-0.28431493,0.77533543,0.51818949,0.10152392,-0.11362097,0.10441805,0.44419578,-1.26786792,0.00000000,-2.35006642,0.00000000,0.00000000,-0.59209412,-1.48117805,0,13:14:47.9,0,0
20,-1.46120405,-0.04163203,-0.02794884,-0.75477344,0.01819274,-0.06775457,-0.03281132,0.71654332,0.63292176,-0.49709892,-0.02467031,-1.56366420,1.64715767,0.18393235,-0.66538310,-0.16368829,0.59577334,-0.59543294,0.25542593,0.31770176,-0.28105035,0.79696012,0.52204311,0.10788973,-0.11058892,0.13153923,0.42530787,-1.22541487,0.00000000,-2.14740968,0.00000000,0.00000000,-0.61317432,-1.55319321,0,13:14:48.0,0,0
