Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191027143912
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,715,652,667,624,626,599,682,632,611,591,663,621,1020,1083,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,24,24,6,6,112,112,6,6,6,6,31,31,7,7,6,6,30,30,12,12,72,72,6,6,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,15,15,12,12,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,62,62,56,56,6,6,24,24,6,6,6,6,6,6,98,98,7,7,6,6,6,6,31,31,31,31,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,40.37,41.42,100.00,100.00,100.00,100.00,100.00,100.00,54.40,100.00,23.87,54.64,3.99,9.08,1.63,3.61,4.42,8.55,1.64,3.75,8.44,8.47,2.06,2.79,3.85,6.18,2.02,3.62,2.50,5.06,3.71,7.87,2.23,4.26,2.44,4.66,3.24,5.67,1.72,3.15,2.90,4.10,2.35,3.37,2.42,3.45,5.30,8.06,1.83,3.28,100.00,100.00,2.40,2.33,69.86,100.00,100.00,100.00,1.00,1.00,100.00,100.00,83.94,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.70,100.00,8.01,12.98,8.61,43.82,100.00,100.00,100.00,100.00,1.69,2.65,1.83,3.10,1.47,2.41,100.00,100.00,2.42,4.72,1.08,2.48,1.23,1.74,1.00,1.00,2.96,4.82,1.41,2.08,1.20,2.37,2.74,2.80,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/27 14:39:20
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.05047313,-1.08185542,0.33279809,0.06015330,0.09263153,-0.17342386,0.15200487,0.06740208,-0.08025672,0.01140775,-1.30496430,0.05373546,-0.06166890,-0.13404518,-0.23886296,-0.19181593,-0.07502322,-0.04813102,-0.07749519,-0.18123329,-0.21967743,-0.19292919,0.00389427,-0.06222117,0.01973470,1.07127380,0.08709501,0.99634254,-0.54557431,-0.02427023,0.36730835,-0.31671432,-0.11500339,-1.48861098,0,14:39:29.1,0,0
2,-0.03165021,-1.02551377,0.28103501,0.03386446,0.11976814,-0.13982522,0.15987587,0.06937265,-0.07432490,0.01239967,-1.29315996,0.05418408,-0.06110858,-0.13206688,-0.23791890,-0.18781057,-0.07338192,-0.04617498,-0.07500374,-0.17898655,-0.21872145,-0.19220750,0.00620808,-0.06192874,0.02102432,1.00722468,0.08688553,1.08556116,-0.65559393,-0.00494759,0.41904485,-0.42021608,-0.08542706,-1.75625730,0,14:39:29.2,0,0
3,-0.01252671,-1.00232577,0.23798713,-0.00430968,0.13475317,-0.11366789,0.16628501,0.07136072,-0.07009849,0.01338635,-1.28125131,0.05470057,-0.06035024,-0.13033539,-0.23671401,-0.18351215,-0.07192153,-0.04475352,-0.07282600,-0.17679991,-0.21797901,-0.19143760,0.00815168,-0.06108903,0.02246399,0.91715753,0.08681288,1.16788518,-0.78304517,0.01876754,0.47780371,-0.49996743,-0.03656091,-2.02975798,0,14:39:29.3,0,0
4,0.00570955,-1.01487613,0.20490542,-0.05283710,0.13622311,-0.09638690,0.17092715,0.07333201,-0.06779436,0.01435174,-1.26951158,0.05529347,-0.05935024,-0.12886919,-0.23526846,-0.17908749,-0.07066843,-0.04383022,-0.07093328,-0.17469712,-0.21737748,-0.19058780,0.00974880,-0.05972227,0.02400349,0.80475265,0.08689979,1.23873281,-0.92261410,0.04507162,0.54042417,-0.55803764,0.03159303,-2.29707241,0,14:39:29.4,0,0
5,0.02192407,-1.06267488,0.18224406,-0.11030198,0.12296743,-0.08892661,0.17358847,0.07524133,-0.06751692,0.01528370,-1.25821841,0.05596068,-0.05806539,-0.12767933,-0.23359907,-0.17471294,-0.06963605,-0.04331323,-0.06925866,-0.17270286,-0.21682160,-0.18963452,0.01103074,-0.05785974,0.02558535,0.67592174,0.08715841,1.29426289,-1.06800699,0.07154433,0.60266978,-0.59745944,0.11696774,-2.54214859,0,14:39:29.5,0,0
6,0.03517428,-1.14125693,0.17009248,-0.17416443,0.09554393,-0.09122047,0.17426401,0.07704600,-0.06917491,0.01617496,-1.24758518,0.05668509,-0.05649098,-0.12676375,-0.23174918,-0.17055804,-0.06882369,-0.04308597,-0.06773348,-0.17085798,-0.21622121,-0.18858844,0.01202689,-0.05557793,0.02715038,0.53703803,0.08758154,1.33167338,-1.21339548,0.09528458,0.66175628,-0.62357694,0.21536583,-2.75242090,0,14:39:29.6,0,0
7,0.04469075,-1.24348724,0.16785172,-0.24195950,0.05483162,-0.10292966,0.17298304,0.07869670,-0.07264770,0.01701965,-1.23783886,0.05744955,-0.05463065,-0.12610364,-0.22977197,-0.16677199,-0.06821913,-0.04301037,-0.06627218,-0.16918455,-0.21548915,-0.18745252,0.01277476,-0.05294679,0.02864707,0.39555475,0.08814852,1.34956121,-1.35304153,0.11311183,0.71516132,-0.64367074,0.32061437,-2.91688991,0,14:39:29.7,0,0
8,0.05006040,-1.35935414,0.17444459,-0.31037927,0.00286266,-0.12311700,0.16989313,0.08014337,-0.07769710,0.01781419,-1.22917318,0.05821962,-0.05252210,-0.12566613,-0.22773880,-0.16346364,-0.06779694,-0.04294088,-0.06481006,-0.16771278,-0.21456309,-0.18626125,0.01331020,-0.05011007,0.03001454,0.25907496,0.08880745,1.34812915,-1.48211539,0.12182038,0.76066232,-0.66472459,0.42593390,-3.02682972,0,14:39:29.8,0,0
9,0.05103572,-1.47783506,0.18872224,-0.37650257,-0.05722155,-0.15013939,0.16527706,0.08133075,-0.08397738,0.01856494,-1.22175872,0.05894145,-0.05026035,-0.12540880,-0.22573946,-0.16069676,-0.06752039,-0.04274461,-0.06328756,-0.16648126,-0.21340694,-0.18506530,0.01365924,-0.04721440,0.03120263,0.13402258,0.08949462,1.32801485,-1.59650457,0.11846828,0.79701304,-0.69330496,0.52246362,-3.07710958,0,14:39:29.9,0,0
10,0.04759759,-1.58581829,0.20894088,-0.43708056,-0.12197427,-0.18192594,0.15950964,0.08221604,-0.09104701,0.01927018,-1.21570945,0.05956701,-0.04793812,-0.12529029,-0.22385927,-0.15849140,-0.06735381,-0.04231307,-0.06168528,-0.16550587,-0.21201862,-0.18392022,0.01385774,-0.04442282,0.03217360,0.02713033,0.09013452,1.29140186,-1.69376886,0.10067712,0.82390171,-0.73397833,0.60002810,-3.06562233,0,14:39:30.0,0,0
11,0.04021962,-1.67217386,0.23327520,-0.48934233,-0.18776970,-0.21622749,0.15301773,0.08276794,-0.09844378,0.01994360,-1.21104574,0.06003446,-0.04568854,-0.12524919,-0.22220412,-0.15681462,-0.06723853,-0.04154987,-0.05997944,-0.16479605,-0.21039027,-0.18288241,0.01392537,-0.04188549,0.03290848,-0.05657890,0.09065531,1.24105048,-1.77121091,0.06691500,0.84289753,-0.78831834,0.65000582,-2.99415588,0,14:39:30.1,0,0
12,0.02938172,-1.72794354,0.25921452,-0.53119135,-0.25085071,-0.25046375,0.14628179,0.08296176,-0.10569537,0.02060235,-1.20778847,0.06028488,-0.04365477,-0.12523009,-0.22086394,-0.15558831,-0.06711820,-0.04041331,-0.05819387,-0.16434483,-0.20856772,-0.18201080,0.01388685,-0.03975741,0.03340520,-0.11424289,0.09098101,1.18091011,-1.82923961,0.01673453,0.85544240,-0.85785359,0.66514069,-2.86742926,0,14:39:30.2,0,0
13,0.01584849,-1.74594140,0.28470513,-0.56090426,-0.30785832,-0.28213474,0.13979515,0.08279815,-0.11233192,0.02126434,-1.20589423,0.06025688,-0.04200204,-0.12517582,-0.21993138,-0.15469079,-0.06693126,-0.03888484,-0.05634595,-0.16413820,-0.20659089,-0.18136147,0.01375652,-0.03819466,0.03366094,-0.14325522,0.09103484,1.11397612,-1.86680615,-0.04906142,0.86519665,-0.94033545,0.64033949,-2.69365025,0,14:39:30.3,0,0
14,0.00046336,-1.72165918,0.30718666,-0.57703763,-0.35540372,-0.30937347,0.13394029,0.08229124,-0.11799604,0.02194882,-1.20529974,0.05990965,-0.04087253,-0.12503286,-0.21946946,-0.15397446,-0.06662058,-0.03700859,-0.05449571,-0.16414329,-0.20454529,-0.18098183,0.01354099,-0.03730108,0.03370037,-0.14199494,0.09076985,1.04359841,-1.88367164,-0.12834863,0.87637007,-1.02992082,0.57432961,-2.48366594,0,14:39:30.4,0,0
15,-0.01586974,-1.65583479,0.32529515,-0.58042288,-0.39172187,-0.33060041,0.12908207,0.08147142,-0.12239779,0.02267089,-1.20591974,0.05921093,-0.04039866,-0.12476052,-0.21953000,-0.15328605,-0.06613128,-0.03485066,-0.05271023,-0.16431864,-0.20251268,-0.18090987,0.01325124,-0.03719478,0.03354448,-0.11442762,0.09013373,0.97154772,-1.88325131,-0.21771975,0.89045560,-1.11942327,0.46708027,-2.25018120,0,14:39:30.5,0,0
16,-0.03208305,-1.55079615,0.33721101,-0.57080251,-0.41485670,-0.34452996,0.12549874,0.08038612,-0.12535071,0.02344169,-1.20763230,0.05814854,-0.04066965,-0.12432911,-0.22011931,-0.15246274,-0.06542067,-0.03252167,-0.05106229,-0.16461517,-0.20059076,-0.18116283,0.01289411,-0.03793065,0.03322789,-0.06405661,0.08910912,0.89992702,-1.86691749,-0.31263891,0.91101003,-1.20101941,0.32410818,-2.00834584,0,14:39:30.6,0,0
17,-0.04740582,-1.41198242,0.34151506,-0.54894996,-0.42404938,-0.35094872,0.12329276,0.07909970,-0.12683330,0.02426263,-1.21028948,0.05673086,-0.04174068,-0.12372977,-0.22122250,-0.15137978,-0.06446750,-0.03016058,-0.04963987,-0.16497786,-0.19887806,-0.18172920,0.01247953,-0.03953151,0.03278049,0.00547135,0.08769360,0.83022255,-1.83609223,-0.40770745,0.94028312,-1.26540864,0.15224922,-1.77046716,0,14:39:30.7,0,0
18,-0.06103561,-1.24674523,0.33749044,-0.51612085,-0.41942602,-0.34936807,0.12259877,0.07767836,-0.12681647,0.02512477,-1.21374083,0.05499402,-0.04360934,-0.12296629,-0.22277585,-0.14992958,-0.06325310,-0.02791540,-0.04849703,-0.16534981,-0.19745244,-0.18258566,0.01199870,-0.04198360,0.03223189,0.08917019,0.08590928,0.76377791,-1.79107845,-0.49702600,0.98041093,-1.30370069,-0.03670200,-1.54979837,0,14:39:30.8,0,0
19,-0.07235985,-1.06511092,0.32479262,-0.47427797,-0.40224242,-0.34036553,0.12336426,0.07619932,-0.12542579,0.02602427,-1.21775579,0.05301303,-0.04619073,-0.12205505,-0.22467279,-0.14804885,-0.06177862,-0.02592975,-0.04768514,-0.16566971,-0.19638067,-0.18368244,0.01145978,-0.04521278,0.03161984,0.18295515,0.08380717,0.70062059,-1.73340344,-0.57462770,1.03272188,-1.30821633,-0.23079439,-1.35789287,0,14:39:30.9,0,0
