Header
File Version,1.02.00
Software Version,1.04
Firmware Version,1.01(5A20)


Measurement Mode,Monitor
Measurement Controller ID,A
Measurement ID,A20191020145007
Experiment Comment,

Subject Information
ID,DB_VR
Name,
Measurement Comment,
Age, 33y
Sex,Male

Analysis Information
Hb Calculation Type,Standard
Low-pass Filter,ON
Low-pass Filter Cutoff Frequency [Hz],0.500
High-pass Filter,OFF
High-pass Filter Cutoff Frequency [Hz],0.100
Tap Count,101
Window Selection,Hamming
Moving Average,OFF
Moving Average Interval [s],0.5
Motion Check,OFF
Motion Check Congnition Area [s],2.0
Motion Check Threshold [mM*mm],0.5
Baseline,OFF
Baseline Degree,0.0
Block Design,OFF
 Mark,A
 Pre Time [s],10.0
 Recovery Time [s],50.0
 Post Time [s],5.0

Probe Information
Probe Mode,2x12
Temperature Correction,OFF
Measurement Count,10
StrayLight threshold [%],40
Under threshold [%],30
Over threshold [%],80
LED channel,LED1(850.0),LED1(730.0),LED2(850.0),LED2(730.0),LED3(850.0),LED3(730.0),LED4(850.0),LED4(730.0),LED5(850.0),LED5(730.0),LED6(850.0),LED6(730.0),LED7(850.0),LED7(730.0),LED8(850.0),LED8(730.0),LED9(850.0),LED9(730.0),LED10(850.0),LED10(730.0),LED11(850.0),LED11(730.0),LED12(850.0),LED12(730.0)
LED Setting,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto
IF,2000,1409,2000,1409,2000,1409,690,637,652,615,591,579,627,600,661,620,678,630,1065,1157,2000,1409,2000,1409
LED Status,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
Measurement channel,CH1(850.0),CH1(730.0),CH2(850.0),CH2(730.0),CH3(850.0),CH3(730.0),CH4(850.0),CH4(730.0),CH5(850.0),CH5(730.0),CH6(850.0),CH6(730.0),CH7(850.0),CH7(730.0),CH8(850.0),CH8(730.0),CH9(850.0),CH9(730.0),CH10(850.0),CH10(730.0),CH11(850.0),CH11(730.0),CH12(850.0),CH12(730.0),CH13(850.0),CH13(730.0),CH14(850.0),CH14(730.0),CH15(850.0),CH15(730.0),CH16(850.0),CH16(730.0),CH17(850.0),CH17(730.0),CH18(850.0),CH18(730.0),CH19(850.0),CH19(730.0),CH20(850.0),CH20(730.0),CH21(850.0),CH21(730.0),CH22(850.0),CH22(730.0),CH23(850.0),CH23(730.0),CH24(850.0),CH24(730.0),CH25(850.0),CH25(730.0),CH26(850.0),CH26(730.0),CH27(850.0),CH27(730.0),CH28(850.0),CH28(730.0),CH29(850.0),CH29(730.0),CH30(850.0),CH30(730.0),CH31(850.0),CH31(730.0),CH32(850.0),CH32(730.0),CH33(850.0),CH33(730.0),CH34(850.0),CH34(730.0),Short CH1(850.0),Short CH1(730.0),Short CH2(850.0),Short CH2(730.0),Short CH3(850.0),Short CH3(730.0),Short CH4(850.0),Short CH4(730.0),Short CH5(850.0),Short CH5(730.0),Short CH6(850.0),Short CH6(730.0),Short CH7(850.0),Short CH7(730.0),Short CH8(850.0),Short CH8(730.0),Short CH9(850.0),Short CH9(730.0),Short CH10(850.0),Short CH10(730.0),Short CH11(850.0),Short CH11(730.0),Short CH12(850.0),Short CH12(730.0),Short CH13(850.0),Short CH13(730.0),Short CH14(850.0),Short CH14(730.0),Short CH15(850.0),Short CH15(730.0),Short CH16(850.0),Short CH16(730.0),Short CH17(850.0),Short CH17(730.0),Short CH18(850.0),Short CH18(730.0),Short CH19(850.0),Short CH19(730.0),Short CH20(850.0),Short CH20(730.0),Short CH21(850.0),Short CH21(730.0),Short CH22(850.0),Short CH22(730.0)
Exception channel,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
Signal Check Result,Normal,Normal,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under,Normal,Normal,Under,Under,Normal,Normal,Under,Under,Under,Under,Normal,Normal,Normal,Normal,Normal,Normal,Under,Under,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Normal,Normal,Over,Over,Over,Over,Normal,Normal,Under,Under,Under,Under,Under,Under,Under,Under
Analog Gain,15,15,6,6,31,31,6,6,6,6,44,44,44,44,6,6,44,44,6,6,6,6,6,6,7,7,6,6,15,15,12,12,6,6,6,6,7,7,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,31,6,6,31,31,6,6,6,6,56,56,31,31,31,31,7,7,6,6,6,6,6,6,6,6,7,7,6,6,6,6,7,7,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Digital Gain,72.07,54.82,100.00,100.00,38.67,58.86,20.35,66.91,22.99,62.09,11.33,25.88,6.16,26.91,100.00,1.00,28.19,100.00,100.00,1.00,100.00,100.00,1.90,2.53,2.49,4.45,1.75,3.59,2.06,3.90,2.81,5.30,1.97,4.01,2.45,4.35,4.33,7.91,1.69,3.39,2.26,3.60,1.84,3.04,1.82,4.15,3.89,6.53,1.56,4.14,100.00,100.00,2.37,2.11,100.00,100.00,100.00,100.00,1.00,1.00,100.00,100.00,69.96,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.93,100.00,6.00,14.28,6.06,20.15,2.20,10.33,100.00,100.00,1.43,2.17,1.24,2.29,1.51,2.87,13.62,33.78,2.91,5.13,1.38,2.42,1.15,2.29,2.38,4.01,2.03,3.29,1.00,2.87,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1.00,100.00,1.00

Measurement Information
Date,2019/10/20 14:50:15
Measurement Type,Block
PreScan Time [s],10.0
Mark In,Manual
Mark Class,A,B,C,D,E,F,G,H,I,J,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,FA,FB,FC,FD,FE,FF,FG,FH,FI,FJ,GA,GB,GC,GD,GE,GF,GG,GH,GI,GJ,HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ,IA,IB,IC,ID,IE,IF,IG,IH,II,IJ
Mark Name,Block A,Block B,Block C,Block D,Block E,Block F,Block G,Block H,Block I,Block J,Block AA,Block AB,Block AC,Block AD,Block AE,Block AF,Block AG,Block AH,Block AI,Block AJ,Block BA,Block BB,Block BC,Block BD,Block BE,Block BF,Block BG,Block BH,Block BI,Block BJ,Block CA,Block CB,Block CC,Block CD,Block CE,Block CF,Block CG,Block CH,Block CI,Block CJ,Block DA,Block DB,Block DC,Block DD,Block DE,Block DF,Block DG,Block DH,Block DI,Block DJ,Block EA,Block EB,Block EC,Block ED,Block EE,Block EF,Block EG,Block EH,Block EI,Block EJ,Block FA,Block FB,Block FC,Block FD,Block FE,Block FF,Block FG,Block FH,Block FI,Block FJ,Block GA,Block GB,Block GC,Block GD,Block GE,Block GF,Block GG,Block GH,Block GI,Block GJ,Block HA,Block HB,Block HC,Block HD,Block HE,Block HF,Block HG,Block HH,Block HI,Block HJ,Block IA,Block IB,Block IC,Block ID,Block IE,Block IF,Block IG,Block IH,Block II,Block IJ
Mark Stimulation [s],15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mark Rest [s],30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Mark Repeat Count,3



Data
Control Box No.15(O2Hb),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,Mark,Time,PreScan,HbOffset
1,-0.49948272,-0.90115613,-0.23190479,0.01231958,-0.01574285,-0.12876731,0.15472741,1.36591351,-0.31557658,5.25970697,0.27982756,-0.03759442,0.23936152,0.00829408,-0.06941671,0.09800693,0.06940689,-0.06973257,-0.09781616,-0.04398323,-0.39408547,-0.30776909,-0.03924559,-0.22884773,-0.04946085,0.13491745,-0.08729472,-0.29529575,0.28199103,0.00000000,1.66619897,-0.42239171,0.12789761,-0.35925665,0,14:50:24.1,0,0
2,-0.52555144,-0.94320148,-0.23652598,0.01485285,-0.01857776,-0.11796238,0.19138864,1.41195190,-0.42446929,5.28052521,0.21988413,-0.03546562,0.24068236,0.00897306,-0.06882346,0.10000719,0.07096232,-0.06706664,-0.09412222,-0.04206031,-0.39298669,-0.30630249,-0.03806519,-0.22478086,-0.04657844,0.12645915,-0.08456059,-0.29671708,0.27959254,0.00000000,1.45157731,-0.36478978,-0.25613520,-0.39187625,0,14:50:24.2,0,0
3,-0.54889578,-1.00886548,-0.24208213,0.01805997,-0.02123578,-0.11808622,0.21335272,1.48513865,-0.52155834,5.34763718,0.17488208,-0.03317402,0.24226581,0.00998706,-0.06826393,0.10179181,0.07262895,-0.06425793,-0.09013678,-0.04015844,-0.39163104,-0.30465373,-0.03696286,-0.22086863,-0.04390525,0.12467325,-0.08177720,-0.29539537,0.29915020,0.00000000,1.18907595,-0.32672980,-0.67190099,-0.46037689,0,14:50:24.3,0,0
4,-0.56614053,-1.08687806,-0.24763454,0.02201187,-0.02330604,-0.12987217,0.21854681,1.57985961,-0.59897047,5.46046543,0.14758694,-0.03079701,0.24405962,0.01132643,-0.06774031,0.10325175,0.07433598,-0.06138321,-0.08604576,-0.03835293,-0.39003494,-0.30287769,-0.03598143,-0.21724588,-0.04152838,0.12996702,-0.07902774,-0.29113090,0.33745900,0.00000000,0.89764965,-0.29827800,-1.10758495,-0.55239218,0,14:50:24.4,0,0
5,-0.57398623,-1.16466987,-0.25221887,0.02658912,-0.02452007,-0.15332693,0.20588596,1.68955243,-0.65128326,5.61668301,0.13993725,-0.02840080,0.24602634,0.01299034,-0.06723757,0.10433388,0.07604412,-0.05851638,-0.08204354,-0.03668787,-0.38821733,-0.30101505,-0.03513830,-0.21399629,-0.03949811,0.14235227,-0.07636931,-0.28524542,0.38876715,0.00000000,0.59953719,-0.27109262,-1.54368734,-0.65614861,0,14:50:24.5,0,0
6,-0.57040536,-1.23060322,-0.25541228,0.03160604,-0.02459183,-0.18809876,0.17514412,1.80655503,-0.67497730,5.81080627,0.15320726,-0.02603693,0.24814092,0.01497024,-0.06670324,0.10503712,0.07772999,-0.05572709,-0.07832227,-0.03519326,-0.38619831,-0.29910621,-0.03444381,-0.21119422,-0.03785033,0.16185752,-0.07386266,-0.27810922,0.44745490,0.00000000,0.31590807,-0.23715433,-1.96037698,-0.76196826,0,14:50:24.6,0,0
7,-0.55362803,-1.27476418,-0.25692913,0.03659792,-0.02346902,-0.23312899,0.12720114,1.92246079,-0.66807884,6.03339815,0.18876052,-0.02373311,0.25039932,0.01724027,-0.06607641,0.10537621,0.07936917,-0.05305302,-0.07502747,-0.03387612,-0.38398165,-0.29717925,-0.03389711,-0.20883313,-0.03656980,0.18830998,-0.07153197,-0.27074510,0.50686455,0.00000000,0.06879835,-0.19023065,-2.33641052,-0.85951078,0,14:50:24.7,0,0
8,-0.52314740,-1.28915262,-0.25687078,0.04087199,-0.02134119,-0.28672111,0.06414984,2.02977419,-0.63301778,6.27537489,0.24770047,-0.02151418,0.25280163,0.01976923,-0.06529532,0.10540897,0.08095905,-0.05053100,-0.07226870,-0.03272179,-0.38157579,-0.29525647,-0.03348018,-0.20690928,-0.03564294,0.22130956,-0.06939711,-0.26454800,0.56031549,0.00000000,-0.12188947,-0.12714666,-2.65277267,-0.94200301,0,14:50:24.8,0,0
9,-0.47925791,-1.26937163,-0.25553876,0.04397175,-0.01824532,-0.34673479,-0.01112318,2.12098312,-0.57252079,6.52304506,0.32854337,-0.01938263,0.25535795,0.02249442,-0.06428169,0.10521733,0.08249996,-0.04816968,-0.07008587,-0.03169204,-0.37896946,-0.29334086,-0.03315151,-0.20536524,-0.03502199,0.25975648,-0.06746494,-0.26071617,0.60327905,0.00000000,-0.24023916,-0.04713325,-2.88675761,-1.00439715,0,14:50:24.9,0,0
10,-0.42337880,-1.21610272,-0.25329325,0.04500802,-0.01473162,-0.41013482,-0.09444743,2.19024181,-0.49027556,6.76363850,0.42950839,-0.01733186,0.25807601,0.02536528,-0.06298274,0.10490727,0.08400883,-0.04598405,-0.06850434,-0.03074600,-0.37617108,-0.29142818,-0.03287877,-0.20412888,-0.03465387,0.30217806,-0.06572435,-0.26037684,0.63166732,0.00000000,-0.27436176,0.04570918,-3.02306008,-1.04475534,0,14:50:25.0,0,0
11,-0.35782483,-1.13250232,-0.25050831,0.04336803,-0.01134132,-0.47386304,-0.18162391,2.23405075,-0.39222118,6.98437929,0.54720426,-0.01534239,0.26096609,0.02832125,-0.06133828,0.10461906,0.08550578,-0.04395949,-0.06747450,-0.02982471,-0.37317193,-0.28949755,-0.03261068,-0.20310286,-0.03447405,0.34664124,-0.06415207,-0.26406655,0.64245588,0.00000000,-0.22108757,0.14646928,-3.05027294,-1.06550360,0,14:50:25.1,0,0
12,-0.28579316,-1.02508962,-0.24767162,0.03854120,-0.00855344,-0.53419358,-0.26719001,2.24963117,-0.28563234,7.17158794,0.67687112,-0.01338963,0.26402968,0.03130116,-0.05931548,0.10447236,0.08701482,-0.04206561,-0.06689155,-0.02886629,-0.36994743,-0.28751493,-0.03229339,-0.20217387,-0.03440973,0.39071664,-0.06271099,-0.27220556,0.63512766,0.00000000,-0.08325909,0.24625090,-2.96531963,-1.06923199,0,14:50:25.2,0,0
13,-0.21090463,-0.90273583,-0.24516086,0.03024223,-0.00687489,-0.58759314,-0.34605888,2.23722649,-0.17592855,7.31286573,0.81213218,-0.01142746,0.26728508,0.03425736,-0.05687205,0.10460594,0.08856992,-0.04024949,-0.06659392,-0.02780392,-0.36646867,-0.28544089,-0.03187323,-0.20121147,-0.03438115,0.43167791,-0.06134060,-0.28427488,0.61087334,0.00000000,0.13094716,0.33658633,-2.76787853,-1.06079972,0,14:50:25.3,0,0
14,-0.13756718,-0.77617836,-0.24318999,0.01859661,-0.00654066,-0.63016069,-0.41270036,2.19777799,-0.06880098,7.39989185,0.94590992,-0.00942134,0.27072653,0.03714903,-0.05400177,0.10515916,0.09020597,-0.03844875,-0.06639507,-0.02657475,-0.36269674,-0.28322977,-0.03129400,-0.20009626,-0.03431073,0.46616542,-0.05998524,-0.29888996,0.57152265,0.00000000,0.40734065,0.40802956,-2.46754742,-1.04958141,0,14:50:25.4,0,0
15,-0.06898731,-0.65455174,-0.24181934,0.00394968,-0.00778028,-0.65878481,-0.46279499,2.13475370,0.03122180,7.42743826,1.07070136,-0.00731901,0.27436629,0.03994576,-0.05070638,0.10622592,0.09195183,-0.03659876,-0.06609888,-0.02511673,-0.35861164,-0.28081560,-0.03050298,-0.19873346,-0.03413733,0.49221441,-0.05858948,-0.31404793,0.52261531,0.00000000,0.72727776,0.45343319,-2.08083177,-1.04194033,0,14:50:25.5,0,0
16,-0.00985532,-0.54575282,-0.24135381,-0.01284391,-0.01055274,-0.67123395,-0.49282971,2.05225968,0.11955943,7.39095068,1.17843497,-0.00509954,0.27818018,0.04262910,-0.04702532,0.10788330,0.09383905,-0.03463954,-0.06551270,-0.02338071,-0.35420510,-0.27815509,-0.02945975,-0.19704500,-0.03380860,0.50667119,-0.05710734,-0.32689619,0.47120142,0.00000000,1.06699264,0.46465290,-1.63328421,-1.04694140,0,14:50:25.6,0,0
17,0.03734275,-0.45633510,-0.24161318,-0.03052240,-0.01440787,-0.66599804,-0.50048363,1.95604098,0.19480783,7.29139233,1.26190662,-0.00273694,0.28216478,0.04519638,-0.04300108,0.11016933,0.09589282,-0.03251908,-0.06448513,-0.02134067,-0.34948677,-0.27521169,-0.02814679,-0.19498821,-0.03329517,0.50829113,-0.05549717,-0.33463857,0.42418507,0.00000000,1.40322459,0.43924400,-1.15131104,-1.06887841,0,14:50:25.7,0,0
18,0.06963051,-0.39174458,-0.24283060,-0.04797953,-0.01915640,-0.64288783,-0.48511538,1.85236394,0.25608954,7.13221025,1.31382322,-0.00023923,0.28627202,0.04764518,-0.03871496,0.11308414,0.09812074,-0.03018331,-0.06287307,-0.01899140,-0.34448004,-0.27196786,-0.02655623,-0.19254085,-0.03257228,0.49581832,-0.05372272,-0.33434588,0.39059278,0.00000000,1.71228051,0.37592629,-0.66684294,-1.11210239,0,14:50:25.8,0,0
19,0.08520222,-0.35514781,-0.24491328,-0.06383605,-0.02425361,-0.60263109,-0.44729090,1.74682379,0.30393726,6.92140388,1.32963717,0.00237682,0.29046535,0.04999803,-0.03425147,0.11659583,0.10053541,-0.02761816,-0.06060149,-0.01633707,-0.33923969,-0.26841065,-0.02469361,-0.18973057,-0.03164415,0.46907201,-0.05178902,-0.32195950,0.37773412,0.00000000,1.97386622,0.27709752,-0.21304865,-1.18014026,0,14:50:25.9,0,0
